DOY2,HR2,FC,FCH4,LE,H,PPFD_IN,TA,TS,RH,VPD,USTAR,WS,V_SIGMA,TAU,T_SONIC,CO2,H2O,U_SIGMA,W_SIGMA,PA,LW_IN,LW_OUT,NETRAD,SW_IN,SW_OUT
1,0.25,2.21851125,31.0835,9.294,-7.464,0,19.685,17.36,79.31225,11.6739375,0.266875,2.96394911775,0.4274424075,-0.01150511,22.0685,419.76075,0.13916775,0.79621125,0.35957,102.70825,293.832778306375,243.010683760683,-3.17693642149513,-4.35186840120664,0.00453691904047987
1,0.75,1.975981,25.69275,13.477,-4.899,0,19.3775,17.285,72.265,11.95815,0.2831,3.30063226,0.433307555,-0.0111338,21.5327,420.02725,0.1379155,0.8106375,0.35438375,102.6865,307.316127497621,250.718660968661,-3.56621290881709,-1.73444004524887,2.0249344077961
1,1.25,1.9334325,24.25675,4.315,-7.09175,0,18.445,17.24,76.156,11.898305,0.267625,3.20194187025,0.3353684505,-0.011660405,20.9578,422.653,0.1375635,0.77332125,0.35712025,102.66875,312.709800190295,250.420584045584,-2.55923864849248,-0.953010558069381,2.23940592203898
1,1.75,1.73722625,26.274,8.1305,-4.8315,0,18.48,17.2525,77.237,11.7887375,0.244325,3.021599338,0.250426664,-0.0081206975,20.85725,430.428,1.892947,0.8292035,0.37321,102.673,305.0337773549,247.90722934473,-2.58829715826475,-1.40871474358974,2.24739317841079
1,2.25,1.634448,34.11025,9.603,-6.108,0,18.7275,17.285,82.44,11.55459,0.248325,2.92971665625,0.3814580685,-0.007766,20.36895,427.5755,0.75489925,0.85982875,0.37335725,102.61475,318.63582302569,248.396723646724,-2.29565046577392,-1.02902997737557,2.4769340329835
1,2.75,2.12527975,31.420125,13.11,-5.208,0,19.5025,17.245,70.73,11.86326,0.267,3.107315886,0.393414263,-0.00655819,20.54005,422.2915,0.3279025,0.85562275,0.3865515,102.599,316.808277830638,247.286858974359,-2.49737224628635,-1.1514387254902,2.44292541229386
1,3.25,1.520395,28.73,13.2195,-4.97475,0,19.2875,17.1275,78.705,11.35414,0.2618,3.1763620535,0.46728318125,-0.006896485,20.648425,425.89725,0.45473875,0.7629325,0.37281675,102.60075,313.544005708849,246.584045584046,-2.54097347819305,-1.56954939668175,2.39032608695652
1,3.75,1.980664,23.1255,10.4,-5.502,0,20.045,17.015,69.657,11.99392,0.27645,2.927864548,0.3607405975,-0.00649955,21.054425,424.62475,0.1332055,0.76568525,0.34823375,102.6545,315.675784966698,246.665954415955,-2.39788742223911,-1.41161764705882,2.34020614692654
1,4.25,1.547331,30.63025,3.6665,-7.82875,0,20.9825,16.96,66.93,11.9842375,0.26785,3.01353903,0.37745221025,-0.0076317375,21.4601,430.045,0.12979325,0.7703125,0.368019,102.696,317.02093244529,246.803774928775,-2.60396937249702,-1.21498604826546,2.0446251874063
1,4.75,1.509383,42.0181666666667,3.506,-5.066,0,20.2075,16.935,71.065,11.42062,0.2388,2.78919355125,0.33138438625,-0.01198895,20.0711,444.952,0.1277855,0.711006,0.31034125,102.66725,318.534253092293,246.787571225071,-2.01240454730217,-1.47366138763197,2.32283733133433
1,5.25,2.1087335,53.4060833333333,7.47775,-6.0035,0,20.5725,16.905,67.2545,11.675785,0.201675,2.6352026825,0.25740580675,-0.019043725,19.831675,446.48275,0.131251,0.68636575,0.309878,102.69275,318.113701236918,246.740028490029,-1.93425786162351,-0.473636538461538,2.44473013493253
1,5.75,2.02049425,64.794,7.44625,-5.11975,0,21,16.875,67.637,11.125845,0.234625,2.55718063775,0.267851862,-0.01428715,19.4526,444.6845,0.130099,0.8051355,0.34743775,102.7215,317.007373929591,247.18287037037,-2.3182344984182,-1.38759992458522,1.92272676161919
1,6.25,1.657633,59.3861875,4.9605,-3.1895,0,20.9325,16.845,71.317,10.80931,0.243225,2.758458898,0.28651855,-0.01141695,19.217925,446.0465,0.1310115,0.90125875,0.368978,102.739,315.561370123692,246.887642450142,-2.19928156623047,-1.16877639517345,2.15211019490255
1,6.75,2.445134,53.978375,0.732,-5.81775,0,20.6375,16.815,74.503,10.64114,0.2506,2.83693551325,0.3092964715,-0.014139175,17.480875,442.12625,0.2886965,0.827173,0.35815825,102.7565,316.094196003806,246.490918803419,-1.33241534464666,0.705732654600301,2.66355697151424
1,7.25,2.64852625,48.5705625,9.6545,-7.11,33.5638888925,20.325,16.7925,77.218,10.73549,0.253875,3.00774505225,0.33770559725,-0.012900925,17.16305,441.81525,0.3060565,0.861699,0.3838255,102.78525,316.931969552807,246.460826210826,24.8449313521972,40.0344268476621,16.214523988006
1,7.75,1.97038075,43.16275,14.358,0.898,117.5621418,20.43,16.7625,75.95625,10.4084575,0.3029,3.2907954185,0.4768825745,-0.0098782325,17.196125,445.807,1.00638525,0.8561475,0.355392,102.79875,314.474785918173,247.630876068376,93.6261858606896,131.546568627451,37.8048725637181
1,8.25,1.8872,41.902,24.97,18.3915,259.55,19.4275,16.8,76.765,9.80552,0.32775,3.58216118575,0.63606203925,-0.019515275,17.8849,431.879,1.20009875,0.94705775,0.37156525,102.84325,318.0675547098,249.568376068376,188.82652282456,245.510180995475,56.6836581709146
