DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,PPFD_IN
1,17.75,-0.139861,0.524116,4.67611,3.17449,2.12114,0.439322,1.53487,410.614,2.95397,0.955639,0.711875,0.562175,0.116,2.617
1,18.25,-0.181957,1.01844,4.42274,1.18202,2.24618,0.451667,1.39796,410.429,2.79964,0.855953,0.737372,0.554453,0.1274,-0.0515
1,18.75,-0.14817,6.94514,3.91184,1.81871,1.87124,0.429694,1.31418,411.14,2.71961,0.856108,0.789395,0.576488,0.118305,-0.156
1,19.25,-0.155474,3.82966,3.66833,1.81169,2.21868,0.417596,1.09031,409.922,2.52759,0.985243,0.713158,0.571636,0.1205575,-0.145
1,19.75,-0.0699,5.72809,3.88718,1.35675,2.24438,0.395299,0.982405,411.0735,2.57003,0.888468,0.763806,0.523393,0.1157,-0.1495
1,20.25,-0.1195655,3.92874,5.00547,1.81705,2.128555,0.3884395,0.9258325,411.151,2.602085,0.967142,0.735159,0.56562,0.113999,-0.147
1,20.75,-0.1244845,3.52037,3.55118,0.801987,2.23743,0.4090495,0.881104,410.881,2.59049,0.956375,0.72168,0.558113,0.1211085,-0.1415
1,21.25,-0.146638,4.20328,2.58224,1.1703315,2.09192,0.444323,0.885904,410.914,2.60086,0.914452,0.749358,0.55019,0.105617,-0.143
1,21.75,-0.182757,6.59352,3.85921,1.85559,2.01813,0.43197,0.965749,410.52,2.62319,0.957738,0.796209,0.564261,0.108971,-0.148
1,22.25,-0.214928,5.60727,3.075985,1.53184,2.07653,0.444508,0.828688,411.153,2.58338,0.889386,0.838483,0.572508,0.1279,-0.1415
1,22.75,-0.134129,8.43754,6.10485,1.44126,2.26822,0.4493135,0.841413,411.019,2.55752,1.03233,0.725871,0.5462395,0.1179895,-0.1425
1,23.25,-0.125565,6.24894,3.40794,1.2578,1.95288,0.394624,0.661766,410.899,2.49384,0.805226,0.697795,0.509743,0.1204,-0.135
1,23.75,-0.120568,7.88152,3.03634,2.05054,2.02668,0.381413,0.614697,410.4545,2.49399,0.848329,0.750712,0.532805,0.119464,-0.146
2,0.25,-0.141956,9.00269,3.27315,1.835345,2.0777,0.384201,-2.76511,415.898,1.73413,0.830771,0.724296,0.523059,0.136631,-0.132
2,0.75,-0.162472,5.67885,3.34825,1.447245,2.23048,0.387009,-2.80996,416.941,1.763915,0.928167,0.7024,0.503759,0.132551,-0.131
2,1.25,-0.178261,5.78067,3.26881,1.946295,2.31902,0.391935,-2.968,417.226,1.61967,0.938353,0.734592,0.515136,0.121868,-0.13
2,1.75,-0.153829,5.80094,3.13191,2.24339,2.04177,0.380656,-2.8778,416.3845,1.60133,0.864097,0.7105895,0.4893885,0.130736,-0.107
2,2.25,-0.125188,8.1251,4.16893,1.97714,1.91923,0.32961,-3.015495,415.476,1.65902,0.873355,0.723725,0.46697,0.146941,-0.111
2,2.75,-0.0983,7.00353,1.469545,1.769385,2.01317,0.331677,-3.17831,417.641,1.77547,0.813733,0.632995,0.443547,0.1253,-0.112
2,3.25,-0.1249,8.89817,2.51437,1.781085,1.96079,0.345566,-3.1079,416.0855,1.73422,0.798144,0.660378,0.471507,0.149486,-0.111
2,3.75,-0.106405,9.01488,3.749765,2.29045,1.936785,0.33622,-3.3474,415.967,1.70748,0.763994,0.6567,0.438615,0.132245,-0.1005
2,4.25,-0.140741,6.6933,4.04063,2.37981,2.151975,0.3591,-3.74791,416.965,1.72622,0.891532,0.683941,0.506777,0.1295,-0.096
2,4.75,-0.1189025,4.0357,3.20937,2.47731,2.12765,0.3417335,-3.42362,416.964,1.764135,0.890011,0.7320775,0.4706895,0.1221,-0.094
2,5.25,-0.135882,6.026905,3.75699,2.54448,2.29159,0.3426015,-3.659915,416.675,1.79188,0.8752845,0.740156,0.4681495,0.130844,-0.091
2,5.75,-0.127069,5.211605,3.46318,2.26923,2.26974,0.369437,-3.809575,417.4635,1.65629,0.872906,0.779115,0.4965345,0.138555,-0.0955
2,6.25,-0.1219135,4.02818,3.11708,2.805315,2.05815,0.347592,-3.751785,417.9335,1.68882,0.826676,0.729034,0.481796,0.1281,-0.101
2,6.75,-0.140246,5.06904,3.59672,2.05973,2.210755,0.35981,-3.508935,419.1575,1.57054,0.9132745,0.7241625,0.511521,0.1338,-0.092
2,7.25,-0.145863,5.24416,3.37037,1.82867,2.331475,0.395147,-3.748475,419.866,1.533995,0.896391,0.696893,0.527382,0.1246,0.517
2,7.75,-0.163329,8.01373,5.345865,3.58467,2.139385,0.367944,-3.5868,418.864,1.44818,0.884967,0.667118,0.514664,0.1295915,6.4765
2,8.25,-0.163491,15.87895,4.74969,2.54431,2.060615,0.3943385,-3.421185,419.7205,1.659325,0.9355565,0.7891795,0.520186,0.1436,31.49
2,8.75,-0.198066,27.6256,5.57147,2.67812,2.25664,0.424518,-2.89976,419.611,1.73017,1.01008,0.832104,0.58424,0.178846,80.03
2,9.25,-0.197308,36.24075,6.27652,2.72346,2.32681,0.453782,-2.72716,417.8135,1.79462,1.08069,0.877883,0.601352,0.2394,152.8
2,9.75,-0.208523,38.3242,7.37745,2.30981,2.63096,0.468687,-2.6612,415.2905,1.863005,1.1023,0.925758,0.63602,0.2440885,232.5
2,10.25,-0.265727,56.4389,9.85554,3.279155,2.82292,0.537623,-2.28827,414.453,1.92113,1.19336,0.997363,0.679924,0.2757,301.7
2,10.75,-0.326035,44.6909,9.67342,3.4657,2.63301,0.55172,-1.947725,414.3755,2.01846,1.29599,1.0475,0.670698,0.3053,398.8
