DOY2,HR2,USTAR,NEE,FC,SC,H,SH,LE,SLE,CO2,H2O,TA,TS_1_1_1,TS_1_2_1,TS_1_3_1,NETRAD,RH,SW_IN,SW_OUT,T_CANOPY,G,TS_1_4_1,VPD,WS,LW_IN,LW_OUT,PPFD_IN,PA
1,0.25,0.528134075,0.860713724999999,0.805556237499999,0.11629585,6.4428838,1.41885075,11.0403878,0.3293266,431.09128025,5.9383039375,1.5911244,0.29779316,0.339689385,0.509441845,0.98730425,99.84868,0.584436562499999,3.3594705,0.372070100450002,0.757685609999996,0.69915547,1.64955252325,4.4254338,318.69349,319.6185125,0.00369161239999999,100.616025
1,0.75,0.5266272,0.78426985,0.587028875,0.257833875,7.7619953,1.011559575,10.21916275,0.3178644,446.020608225,5.8725385,1.402416925,0.2880786,0.336875305,0.5112077125,1.513027625,99.851285,0.2720899025,2.83897875,0.309640170800002,0.540249469999998,0.6950014875,1.560557906,4.220667525,318.597205,319.5344375,0.00447271084999999,100.5969875
1,1.25,0.4993124,0.6705918,0.636256,0.147332599999999,5.36232089999998,1.258115575,10.0332381,0.291917025,442.45980025,6.0220982,1.4166277,0.29338396,0.33685963,0.516080075,1.4735805,99.85057,0.145176381249999,2.86291425,0.331431606200001,0.430538315999999,0.6915468925,1.487471299,4.166276,318.99115,319.417625,0.00551545299999998,100.586675
1,1.75,0.4943295,0.703849875,0.5430342875,0.1971252,8.12247199999998,1.7356725375,9.44338725,0.534044999999999,442.077735925,5.89037055,1.280201625,0.2946805,0.338527675,0.5134094925,1.3771890875,99.8518975,0.451619025,3.14731025,0.266585378750001,0.37505923,0.688571975,1.44199291275,4.2429877,315.532095,318.597525,0.00425616514999998,100.5914
1,2.25,0.491732625,0.655835199999999,0.515433025,0.10709805,7.46356565,1.63159775,11.1937001875,0.5961782,438.447468,5.82825825,1.3941609,0.29828152,0.3438756375,0.5108797725,2.179179125,99.8481625,0.274519969999998,2.297637,0.308986707050001,0.34960867,0.6948956175,1.378533021,4.2087768,316.08637,318.4978375,0.0057863686,100.6020125
1,2.75,0.47655875,0.78021735,0.674845175,0.255812875,5.43412573749999,1.76114715,11.24372835,0.3983934125,434.99114115,5.8049508,1.403306275,0.30337104,0.3722079225,0.50881324,3.03331425,99.848035,0.389945892499996,2.27235825,0.854993065400006,0.33337012,0.69260875,1.31721621975,4.259786025,315.961745,318.7339875,0.00712643889999994,100.638675
1,3.25,0.495036675,0.848562599999999,0.628805,0.32381625,6.90849977499999,1.6928215625,12.487503925,0.631696525,433.85978345,5.760271475,1.38006014999999,0.3119555,0.3693159025,0.50773262,2.455797,99.848215,0.223449427499999,2.33772675,0.888891328300006,0.31656079,0.6933239725,1.27642746325,4.07709785,317.60953,318.469075,0.0062695098,100.6687125
1,3.75,0.4830797125,0.7861533125,0.687272,0.216853025,5.70982339999996,1.4259802,9.8149475,0.686427125,437.383577,5.8548136,1.361572575,0.3184631,0.3877489475,0.5080033425,3.3356845,99.8508675,0.170411171499998,2.1319505,0.884388174300006,0.312273228,0.6921864175,1.3216955485,4.07851235,316.7185,318.6392,0.0047232647,100.619975
1,4.25,0.487131675,0.779148975000001,0.60112545,0.2245806,5.43743145,1.6800724,10.0103398,0.580414399999999,429.9989886375,5.7728556375,1.365726875,0.34637434,0.388581835,0.5547030175,3.35919,99.85107,0.370418124999998,1.9139875,0.754881637000007,0.311176082,0.6954687825,1.368208958,4.0937753,317.265635,318.56465,0.0050168162,100.5902125
1,4.75,0.50737225,0.51724075,0.39935225,0.2346516,5.8768655,1.5489149,9.729692425,0.501583625,434.9560906,5.83337105,1.333157175,0.32089918,0.3850179475,0.5077789775,2.996378375,99.85176,0.244328922499999,2.0579535,0.603101126100006,0.318531082,0.71067824,1.35495683725,3.740770025,317.433735,318.4633125,0.00502520709999999,100.5848875
1,5.25,0.49238935,0.678068587499999,0.5392351,0.150677625,7.25951394999999,1.77506655,10.2531505625,0.786958412499999,443.34894715,5.832654275,1.3188604,0.32037472,0.37625919,0.51045874,6.211411375,99.854352,0.2596895375,2.134542875,0.186604114000003,0.348722773,0.70867555,1.30438113825,3.925070975,317.477525,318.1528375,0.00794310004999994,100.5932625
1,5.75,0.497987875,0.5907626875,0.480964099999999,0.1608197375,8.62914395,1.512795,9.824819,0.590783599999998,446.279188575,5.6902191,1.1798526,0.32350514,0.355456715,0.5101268925,4.700179375,99.85584725,0.44498611,2.0670648,-0.147809690799999,0.361136071999999,0.7009245875,1.297161099425,3.8891527,316.942135,318.096825,0.00855410244999991,100.59945
1,6.25,0.5215444375,0.6453106,0.47704705,0.19009675,8.72781687499999,1.657573,10.498687325,0.623163225,443.8899851875,5.836662,1.0771446,0.32793976,0.3513522575,0.506342995,5.36197675,99.85576625,0.744221262499999,2.24181225,-0.12379946055,0.360771889999999,0.6880623025,1.3500154199,4.37157365,317.093045,318.21435,0.0052867234,100.621
1,6.75,0.5221024125,0.6552305125,0.5639075,0.192663,8.931152325,2.0849615,12.978833725,0.6304725,440.96562165,5.7519105,1.0754095,0.32719508,0.3479177775,0.503859820000001,4.85340025,99.85473025,0.0858230489999997,1.866324825,0.113414668350002,0.338558859999999,0.6772230275,1.41649426705,4.0453215,317.414725,317.8658375,0.0140704254999999,100.646625
