DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,LE,SLE,G,TS_1,TS_2,TS_3,RH,PA,CO2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1
3,11.25,0.393874,4.3985,3.31516,-2.1578308335,-2.143015,-0.026705556,139.85,71.6995,0.1036267407,43.2785308315,2.6165,2.514,2.8235,55.0206717225,83.617585,399.07371565,383.64,1144,604,83.32446,263.95,357.07744,5.7977160286,-0.162492,1.2187411538,1.1634732485,0.4520165926,4.088,0.7608856682,1.75,2.2,2.775,2.9,3.4
3,11.75,0.421038,4.733,3.483,-2.2811358335,-2.23958,-0.0261830555,148.617,80.4411,0.0884304162,49.6426927215,3.466,3.1155,3.4425,53.7432108515,83.61425,398.97760527,417.723015,1267,635.55,89.35,267.351,360.65,5.90511160205,-0.188032,1.26756016825,1.2486405686,0.4688080022,4.761,0.8293027192,1.9,2.2,2.8,2.9,3.4
3,12.25,0.4225303886,5.2705,3.59642,-2.250794074,-2.241635,-0.0244994445,155.5835,86.8188,0.0779683121,55.3115845455,4.157,3.5625,4.277,52.639888014,83.622,399.06064817,402.63,1227,627.45,88.05,271.3388,364.25,5.9098205016,-0.185016,1.3084112503,1.2378166262,0.4771268175,5.166,0.8181631867,2.2,2.25,2.8,2.9,3.4
3,12.75,0.42394,5.8135,3.51421,-2.333382222,-2.31055,-0.0251380555,164.3715,94.53425,0.064888043,55.0801307445,4.6925,3.97,5.139,51.8651555935,83.5965,399.07503357,434.46,1270,650.35,91.3,270.73565,366.35,5.9941977919,-0.186585,1.3371330575,1.3029092094,0.48401017675,5.704,0.84984040325,2.5,2.3,2.8,2.9,3.4
3,13.25,0.437579,6.055,3.69567,-2.3816744445,-2.36624,-0.018113333,159.612,93.5897,0.00072622415,52.935805011,5.331,4.3935,5.672,50.836859921,83.59225,398.924949375,406.1,1234.5,624.95,87.35,272.4,366.55,6.13171425915,-0.200608,1.3146900775,1.2978828915,0.4985117852,5.869,0.8321418148,2.85,2.3,2.8,2.9,3.4
3,13.75,0.453532,6.3535,3.83088,-2.370812222,-2.371345,-0.018113333,157.988,95.2776,0.03146212845,41.11368426,5.612,4.6485,5.9015,50.2935794065,83.5717,398.95677528,401.545,1159.5,595.7,83.35,277.606,369.47051,6.0905840455,-0.216309,1.33243198575,1.34222066235,0.50820183945,6.142,0.8146183155,3.2,2.3,2.8,2.9,3.4
3,14.25,0.454533,6.6595,3.86153,-2.300202222,-2.25958,-0.017068333,150.069,89.0793,-0.004261399,39.6092231395,5.8825,4.963,6.2385,48.720354556,83.54715,398.80766916,369.55,1127,566.55,80.75423,279.65,369.55,5.9866439542,-0.2121355,1.306043644,1.322108165,0.512027343,6.210596,0.79348724,3.6,2.425,2.75,2.9,3.4
3,14.75,0.457335,6.4065,3.865845,-2.056031111,-2.081975,-0.013004444,136.379,88.0315,-0.018143137,28.9733053465,6.227,5.103,6.4655,48.9444584825,83.5172,399.13330545,345.15,1032,524.4256,73.92,280.65,364.7678,5.9368236967,-0.217635,1.38561316665,1.2974982606,0.5281740041,6.215,0.7304286413,4,2.55,2.7,2.9,3.4
3,15.25,0.444425,6.6475,3.92939,-1.854236111,-1.86199,-0.011262778,120.4025,79.0646,0.0055332384,21.4512199815,6.3235,5.124,6.453,48.9892483905,83.50115,399.35349448,298.13,935,494.1,69.108462,279,364.461525,5.87258197085,-0.206118,1.3376808289,1.3302969593,0.5036516653,6.432,0.6861289966,4.25,2.7,2.7,2.9,3.4
3,15.75,0.431793,6.549,3.80696,-1.367205,-1.38061,-0.004992778,103.638,71.9591,-0.077910001,12.585953939,6.249,5.22,6.413,48.460706806,83.4952,398.79913904,247.63434,784.4,399.65,58.705,279.4,360.15,5.9292700445,-0.195468,1.29844276685,1.2656110525,0.49930095955,6.4865,0.6025296673,4.5,2.85,2.7,2.9,3.4
3,16.25,0.424368,6.4705,3.78501,-1.2250480555,-1.17013,-0.000580556,84.4567,64.75435,-0.066607524,5.3286860213,6.0275,5.1625,6.2685,48.891735931,83.4811,398.47462848,202.325,655.3,340.6996,50.0918135,273.1598,355.70485,5.9932226353,-0.189021,1.249041625,1.2143845144,0.47854648235,6.306,0.5171576162,4.675,2.975,2.75,2.9,3.4
3,16.75,0.428027,6.3625,3.78205,-0.888798,-0.8500435,0.0066183333,60.1357,53.33355,-0.092816374,0.73033682465,5.696,5.1365,6.01,48.598222958,83.47345,399.128331225,132.4493555,495.3,264.0406,41.475,272.25,348.81951,5.8237498109,-0.192203,1.2027510133,1.1266499013,0.468195472,6.357,0.437029725,4.85,3.1,2.8,2.9,3.4
3,17.25,0.3794005,6.165,3.569225,-0.3367657225,-0.364012,0.0117272222,30.4852,42.4009,-0.05801466,-5.0134994705,5.293,5.013,5.807,49.2619437515,83.46545,399.35010066,67.412233,365.1,196.85,31.44,268.05,343.75,5.7450454218,-0.1501175,1.1179354554,1.05324852155,0.4332260338,5.8985,0.3201983067,4.825,3.25,2.8,2.925,3.4
