DOY2,HR2,T_BOLE_1_1_1,T_BOLE_2_1_1,G_1_2_1,G_2_2_1,G_3_2_1,G_4_2_1,NEE,G_1_1_1,USTAR,FC,LE,SLE,H,SH,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN_1_1_1,PPFD_OUT,PPFD_IN_1_2_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,WS,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1
1,0.25,-2.5974075,-2.5100675,-0.16943625,-0.5364405,-0.67342275,-0.43462175,0.182102,-0.2602315,0.7298725,0.194972825,6.21573624999999,1.98818274999999,4.95290149999999,6.821855,13.9209275,1.51303525,0.66594665,297.92895,299.446525,0.1272652,0.0543277424999998,1.2670545,-2.711385,-3.009,-3.4319775,-3.5126025,98.943825,97.99194,97.42405,5.61833,-1.63295,-1.374805,-1.20248,-0.82384675,0.307852,1.1820125,-1.02147825,-0.91863525,-0.60113725,-0.497519,0.31474975,1.170305
1,0.75,-2.88867,-2.82379,-0.1796605,-0.5385855,-0.67857425,-0.4383935,0.460894375,-0.315431375,0.702353125,0.4333925,7.1504575,2.42809625,24.6154,12.1671954999999,16.502335,1.2598305,0.644387550000001,298.215675,299.2871,0.106415,0.0178040425,1.33385825,-2.675115,-3.06202,-3.4480375,-3.51813,98.977395,98.3682,97.64834,5.6051625,-1.6362725,-1.37676,-1.2057225,-0.82508975,0.30612,1.1794525,-1.02698525,-0.92266425,-0.60962925,-0.498164,0.30808225,1.1777325
1,1.25,-2.989205,-2.9202175,-0.188758,-0.54119625,-0.68670825,-0.4448635,0.5365966875,-0.367501875,0.6431002,0.53930645,41.61354,2.26186524999999,7.49137375,11.94611875,16.38043,1.05362875,0.5467852,300.0666,298.945375,0.205625,0.0340869899999999,1.28086925,-2.594825,-2.87204250000001,-3.4613225,-3.55399,99.0129575,98.400695,97.6329525,5.056275,-1.6389825,-1.37764,-1.2083825,-0.8259885,0.304944,1.178555,-1.03042725,-0.92555325,-0.61574825,-0.492559,0.3059535,1.1726075
1,1.75,-3.098,-3.0287,-0.20072425,-0.54471025,-0.6918345,-0.45303225,0.612299000000001,-0.370899325,0.7549056,0.6452204,3.860246,2.137768,60.5027599999999,10.16356775,15.6136625,1.0269115,0.683016525,300.066875,298.353725,0.148987175,0.0298110325,1.27983525,-2.399925,-2.7504475,-3.4925375,-3.6056,99.28163,98.25948,97.7089575,5.09395,-1.63528,-1.375225,-1.210675,-0.824144500000001,0.3032835,1.17872,-1.0343445,-0.9282545,-0.6220105,-0.485378,0.313566,1.174155
1,2.25,-3.16976,-3.09904,-0.212824,-0.55058275,-0.69999375,-0.45954575,0.3603932,-0.306453875,0.66600045,0.36282815,3.646237,2.72827374999999,7.60525099999999,11.6117525,17.77104,1.353151,0.695118625,298.3751,298.85085,0.206970325,0.0866537549999999,1.30400175,-2.62125,-2.8658825,-3.5288625,-3.3718875,99.5476275,98.735915,97.9884075,5.318865,-1.63405,-1.37518,-1.214395,-0.821853000000001,0.302059,1.176545,-1.038805,-0.932024,-0.6301545,-0.4792205,0.3175925,1.170225
1,2.75,-3.2503,-3.17744,-0.2283605,-0.55443975,-0.70910925,-0.46658375,0.4817506,-0.1332355525,0.6341076,0.569117,2.88198,2.70356774999999,11.051235,9.818117,20.97569,1.36358425,0.764399625,298.0003,298.4546,0.230254525,0.04836481,1.30459725,-2.864505,-3.1574775,-3.371525,-3.4133375,99.509655,98.5458,97.94882,5.59387,-1.63191,-1.37618,-1.21888,-0.821216500000001,0.29939,1.1727,-1.0418,-0.935976,-0.637775,-0.4894855,0.300563,1.166515
1,3.25,-3.29156,-3.22186,-0.24445875,-0.558912,-0.7212855,-0.47782425,0.319301625,-0.133018142500001,0.61056115,0.3554315,6.79203375,2.54138775,19.8213825,7.763172,18.630825,1.7256825,0.762616225,297.983225,298.467,0.206464225000001,0.0561562599999999,1.34637225,-3.058805,-3.4369425,-3.56961,-3.60344,99.1291975,98.26179,97.9005025,5.2853875,-1.630945,-1.37358,-1.223105,-0.825415500000001,0.29707,1.16887,-1.044655,-0.9414195,-0.649104,-0.5155805,0.297475499999999,1.158545
1,3.75,-3.3252325,-3.25462,-0.2650115,-0.564485,-0.7343135,-0.48722275,0.37509845,-0.2758472,0.6308813,0.40181225,4.4638985,1.81934125,11.2733175,8.38015374999998,18.0144525,1.786504,0.789870725,297.39285,297.430475,0.279002550000001,0.068454735,1.3378095,-3.2682825,-3.5586475,-3.7078125,-3.7675875,98.815815,97.81003,97.7444725,5.41028,-1.6278575,-1.369925,-1.2261275,-0.832130750000001,0.294234,1.163325,-1.04641,-0.94698375,-0.666052250000001,-0.53755275,0.26884475,1.140375
1,4.25,-3.3701775,-3.295525,-0.28769925,-0.57356575,-0.74780725,-0.50068075,0.30498845,-0.292970875,0.66964985,0.34439895,3.407427,1.82658575,24.089315,8.09948174999999,11.8991275,1.86194075,0.69262925,297.60595,296.944875,0.249475450000001,0.0241595474999999,1.348976,-3.305955,-3.6297525,-3.7466,-3.9079625,98.94966,98.18492,97.99386,4.9591675,-1.626685,-1.37344,-1.2318825,-0.8357885,0.28886475,1.15829,-1.0505775,-0.952211,-0.679804500000001,-0.54643575,0.262804249999999,1.1245225
1,4.75,-3.4091475,-3.3335025,-0.313468,-0.5899855,-0.7656485,-0.51584175,0.486060275,-0.33972175,1.0454162,0.457941,3.193836,1.90006675,7.622893,10.906373,13.7539425,1.6750375,0.733763825,297.571275,297.8275,0.3351892,0.0683471375,1.34756325,-3.35061,-3.6891525,-3.8284625,-3.9138,98.6376525,98.28659,98.00763,5.55808,-1.62711,-1.37709,-1.23553,-0.833562,0.28390275,1.154205,-1.0543875,-0.95701975,-0.684385000000001,-0.56256725,0.279197749999999,1.1195875
