DOY2,HR2,WS,U_SIGMA,V_SIGMA,W_SIGMA,TA,RH,PA,T_SONIC,CO2,H2O,FC,NEE,H,LE,USTAR,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_A,TS_2_2_1,TS_2_2_2,TS_2_2_3,TS_2_2_4,TS_2_2_5,TS_2_2_6,TS_2_2_A,TS_2_3_1,TS_2_3_2,TS_2_3_3,TS_2_3_4,TS_2_3_5,TS_2_3_6,TS_2_3_A,T_SONIC_SIGMA
1,0.25,3.8551,0.3508,0,0,-27.583335,0,101.1579,-20.9389,513.605425,0.040325,-0.2665,-0.2665,-11.5164,-3.3598,0.15375,0.13205,165.4475,200.6775,0,0,-11.60725,-11.9033,-8.18005,-10.64315,-11.60975,-11.79515,-11.9798,-11.7741,-13.2318,-10.6259,-15.2226,-12.6108,-11.5637,-12.3227,-12.476,-12.4392,-10.012,-13.9333,-11.8026,-10.3876,-11.7326,-11.6209,0.002675
1,0.75,3.491375,0.350875,0,0,-27.492835,0,101.150625,-21.0217,517.9459,0.0164,-1.32305,-1.32305,-13.5525,-2.71285,0.1653,0.26135,164.55405,201.5855,0,0,-11.58455,-12.0289,-8.2291,-10.62475,-11.6134,-11.79825,-11.9852,-11.78605,-13.2419,-10.6234,-15.1992,-12.6004,-11.5598,-12.3295,-12.4723,-12.4462,-10.015,-13.93575,-11.8052,-10.38015,-11.72695,-11.6201,0.00565
1,1.25,3.7828,0.23395,0,0,-27.47767,0,101.123125,-20.70485,518.1604,0.0136,-0.71605,-0.71605,-9.59575,-1.3678,0.21125,0.26355,166.2735,201.7555,0,0,-11.7133,-11.99555,-8.1333,-10.58065,-11.6195,-11.7953,-11.9905,-11.7849,-13.2489,-10.6256,-15.1845,-12.5879,-11.567,-12.3315,-12.4772,-12.4435,-10.0133,-13.93905,-11.8049,-10.3815,-11.7147,-11.619,0.0065
1,1.75,3.796675,0.3394,0,0,-27.36016,0,101.166575,-20.770375,515.948075,0.0157,-0.9547,-0.9547,-9.85965,-1.9862,0.1692,0.2341,166.5935,202.057,0,0,-11.4924,-11.9019,-8.09445,-10.532,-11.62955,-11.79835,-11.99945,-11.78535,-13.2436,-10.6299,-15.1641,-12.5869,-11.5576,-12.333,-12.4835,-12.4446,-10.0124,-13.9324,-11.8055,-10.3884,-11.72125,-11.6162,0.0077
1,2.25,3.89255,0.352825,0,0,-27.0987525,0,101.18405,-20.565925,510.37125,0.0137,-0.665625,-0.665625,-14.2045,-2.59235,0.215125,0.2598,166.4925,202.19305,0,0,-11.67145,-11.84875,-8.1682,-10.52175,-11.63345,-11.8003,-12.00175,-11.7846,-13.2427,-10.6247,-15.1712,-12.5719,-11.562,-12.3331,-12.4911,-12.4417,-10.0152,-13.9337,-11.7991,-10.3859,-11.7233,-11.6149,0.0044
1,2.75,3.41915,0.29105,0,0,-27.24833,0,101.17645,-20.554,512.966125,0.0485,-0.5901,-0.5901,-9.877,-2.12705,0.16175,0.20595,166.792,201.497,0,0,-11.5701,-11.83675,-7.99045,-10.51325,-11.6336,-11.8041,-12.00245,-11.7827,-13.2431,-10.6151,-15.171,-12.5695,-11.542,-12.3384,-12.5046,-12.4481,-10.0243,-13.93695,-11.7925,-10.3899,-11.73055,-11.6034,0.0062
1,3.25,3.5611,0.2546,0,0,-27.460995,0,101.16775,-20.7407,509.03055,0.0322,-0.68195,-0.68195,-12.30075,-3.96805,0.1711,0.25905,164.15295,200.6625,0,0,-11.60855,-11.8565,-7.9792,-10.49895,-11.62465,-11.8033,-11.99755,-11.786,-13.2395,-10.6157,-15.191,-12.5559,-11.5372,-12.3389,-12.5049,-12.4438,-10.0156,-13.93785,-11.8035,-10.3847,-11.7346,-11.5928,0.00495
1,3.75,3.58425,0.2763,0,0,-27.63017,0,101.13975,-20.5143,508.8449,0.0485,-0.9798,-0.9798,-10.42875,-2.25555,0.17195,0.2319,164.63975,200.107,0,0,-11.63535,-11.81835,-8.06635,-10.5288,-11.61915,-11.8044,-11.99975,-11.7844,-13.2488,-10.6105,-15.1665,-12.5432,-11.5269,-12.3416,-12.5014,-12.4451,-10.0201,-13.93655,-11.7973,-10.38265,-11.74615,-11.5801,0.005725
1,4.25,3.653,0.2294,0,0,-27.9785,0,101.1165,-20.5564,510.1594,0.04855,-0.4483,-0.4483,-9.8264,-1.839975,0.16455,0.2162,164.805,200.436,0,0,-11.7151,-11.8459,-7.9228,-10.49705,-11.6202,-11.7964,-11.9938,-11.7756,-13.2468,-10.6107,-15.1512,-12.5575,-11.5242,-12.34,-12.4998,-12.4537,-10.0207,-13.93275,-11.7936,-10.37395,-11.75095,-11.5917,0.0058
1,4.75,3.43335,0.21585,0,0,-27.52917,0,101.09255,-20.709725,514.711225,0.0484,-1.16005,-1.16005,-8.941,-2.377275,0.16175,0.3293,163.9069,200.7105,0,0,-11.64385,-11.82605,-8.0681,-10.4678,-11.6303,-11.80205,-11.9921,-11.76805,-13.2586,-10.608,-15.129,-12.5662,-11.524,-12.3374,-12.5043,-12.4562,-10.0299,-13.93875,-11.7957,-10.36795,-11.75785,-11.5957,0.009425
1,5.25,3.79495,0.327,0,0,-27.36217,0,101.0998,-20.96645,510.3541,0.040525,-1.31215,-1.31215,-15.0822,-1.8598,0.1724,0.1814,164.23115,200.0055,0,0,-11.68155,-11.836,-7.8523,-10.56045,-11.6431,-11.808,-11.99695,-11.76815,-13.2605,-10.6063,-15.118,-12.5846,-11.514,-12.3325,-12.5035,-12.4673,-10.0227,-13.93205,-11.797,-10.372,-11.7561,-11.6104,0.006
1,5.75,3.9175,0.24145,0,0,-27.5323325,0,101.07565,-21.16355,512.0619,0.0485,-1.238975,-1.238975,-8.12705,-0.9311,0.19865,0.2451,165.469,200.1055,0,0,-11.5369,-11.82195,-7.85935,-10.54945,-11.64365,-11.8168,-12.00345,-11.77305,-13.2483,-10.603,-15.1037,-12.5883,-11.5119,-12.3434,-12.4958,-12.4768,-10.0344,-13.94,-11.7994,-10.37215,-11.7593,-11.6106,0.004
1,6.25,3.6472,0.3016,0,0,-27.67217,0,101.066425,-21.15155,511.749,0.04815,-1.5981,-1.5981,-14.1839,-2.0615,0.21775,0.1514,165.281,200.57615,0,0,-11.577,-11.6685,-7.90865,-10.55495,-11.64125,-11.8212,-12.00505,-11.77235,-13.2464,-10.616,-15.1197,-12.5847,-11.5133,-12.3509,-12.4994,-12.4735,-10.0269,-13.9388,-11.7927,-10.3685,-11.7596,-11.6107,0.0103
1,6.75,3.71485,0.256525,0,0,-27.76617,0,101.105,-20.77765,509.15615,0.048825,-1.5928,-1.5928,-13.6348,-0.887775,0.1655,0.176325,164.9185,199.611,0,0,-11.51375,-11.8098,-7.91535,-10.5447,-11.6412,-11.81545,-12.0144,-11.767,-13.2485,-10.6132,-15.1379,-12.5854,-11.5202,-12.3557,-12.5018,-12.4625,-10.0352,-13.9413,-11.7974,-10.3691,-11.759,-11.611,0.00545
1,7.25,3.57155,0.240875,0,0,-27.849835,0,101.1074,-20.9369,503.8988,0.042025,-2.14855,-2.14855,-19.6126,-1.3605,0.17525,0.10765,165.8931,200.1535,0,0,-11.5524,-11.683,-7.8625,-10.52755,-11.6566,-11.8161,-12.0177,-11.77,-13.2408,-10.6217,-15.148,-12.5898,-11.5354,-12.3515,-12.5021,-12.4832,-10.0328,-13.93735,-11.7939,-10.3735,-11.75,-11.6077,0.0044
1,7.75,3.624075,0.232975,0,0,-27.77883,0,101.113075,-20.8801,507.875,0.0488,-1.523625,-1.523625,-17.3839,-1.048225,0.1534,0.1733,165.5215,199.768,0,0,-11.3884,-11.7962,-7.8581,-10.41805,-11.6623,-11.81695,-12.01,-11.76915,-13.2412,-10.6376,-15.145,-12.5978,-11.5442,-12.3479,-12.5055,-12.4779,-10.0348,-13.9377,-11.8006,-10.37135,-11.74125,-11.6081,0.0058
1,8.25,3.4326,0.3367,0,0,-27.800995,0,101.1294,-21.0376,508.538275,0.0487,-0.9085,-0.9085,-18.41745,-1.965775,0.220375,0.143175,165.05075,199.149,0,0,-11.50215,-11.9481,-8.0005,-10.47615,-11.6685,-11.82405,-12.00215,-11.7789,-13.2305,-10.6363,-15.1328,-12.6047,-11.5436,-12.3565,-12.5088,-12.4856,-10.0445,-13.93825,-11.8026,-10.3759,-11.739,-11.6066,0.006175
1,8.75,4.97,0.4166,0,0,-27.621505,0,101.11645,-20.9281,507.37125,0.01645,-0.7344,-0.7344,-11.09335,-0.892325,0.199225,0.1204,165.927,199.1534,0,0,-11.4224,-11.79735,-7.86355,-10.34225,-11.67245,-11.8315,-11.99815,-11.78295,-13.2217,-10.6288,-15.1268,-12.594,-11.5413,-12.35,-12.5026,-12.4836,-10.0429,-13.94175,-11.8,-10.3765,-11.7415,-11.6045,0.009975
1,9.25,4.817025,0.361225,0,0,-27.5705,0,101.101125,-21.12065,509.396,0.0248,-1.9236,-1.9236,-13.5694,-0.170025,0.2241,0.1445,165.9117,198.7315,0,0,-11.34495,-11.85575,-7.85075,-10.41225,-11.6675,-11.838,-12.001,-11.7862,-13.2163,-10.6323,-15.1217,-12.5957,-11.5423,-12.3517,-12.5044,-12.4792,-10.0419,-13.94215,-11.8078,-10.37115,-11.73265,-11.6073,0.00925
1,9.75,4.26535,0.39085,0,0,-27.383665,0,101.0354,-20.84495,503.876625,0.039975,-1.99285,-1.99285,-17.40275,-2.58445,0.2362,0.1383,164.4728,198.3675,0,0,-11.5247,-11.80135,-7.95905,-10.3306,-11.67105,-11.8439,-12.00555,-11.792,-13.2077,-10.6307,-15.1157,-12.5998,-11.5469,-12.367,-12.5059,-12.4762,-10.0446,-13.94315,-11.8075,-10.36795,-11.74105,-11.606,0.0077
1,10.25,3.5,0.3929,0,0,-27.368995,0,101.093625,-21.13945,501.143875,0.048575,-1.914525,-1.914525,-14.4602,-1.104,0.25925,0.2323,165.9175,198.5545,0,0,-11.4612,-11.75265,-7.9398,-10.3507,-11.67745,-11.8538,-12.00285,-11.7961,-13.2022,-10.626,-15.1149,-12.6108,-11.5514,-12.3652,-12.5156,-12.4679,-10.0524,-13.93875,-11.8045,-10.36945,-11.7361,-11.6074,0.0073
1,10.75,4.856,0.464825,0,0,-27.29317,0,101.0604,-20.8546,499.899175,0.0485,-1.1727,-1.1727,-14.75755,-0.7953,0.259775,0.2108,166.78755,197.326,0,0,-11.5428,-11.85145,-7.99385,-10.52855,-11.68655,-11.86415,-12.0031,-11.80575,-13.1971,-10.6217,-15.1216,-12.6048,-11.565,-12.3585,-12.5239,-12.4767,-10.0515,-13.93845,-11.8074,-10.3592,-11.7302,-11.6216,0.01115
