DOY2,HR2,CO2,H2O,FC,SC,NEE,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,H,LE,WS,USTAR,W_SIGMA,V_SIGMA,U_SIGMA,PA,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,TS_1_1_1,TS_1_2_1,NETRAD,PPFD_IN,PPFD_BC_IN,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,393.708882602256,6.71508385222232,0.713275068155337,0.341150505826701,0.857226155074788,-2.685,-2.11306725,-1.85212,-2.05725,-3.99651,6.57156829434089,3.521112,0.7285975,0.854147993336538,1.10944,1.228275,99.705125875,92.4249655067983,92.3171817351598,92.3,93.775,0.670312475,0.545728,0.559460325,0.113787225,3.777513,3.96,-5.057863,0,0,0,1.622857,301.19945,314.0715
1,0.75,394.087032534286,7.21577753905405,0.598115921846181,0.262432918800035,0.674640402078519,-2.69025,-2.091,-1.85574175,-2.04586775,-4.299055,8.17509576949956,3.32329,0.709176548,0.838302474777345,1.0879175,1.201825,99.7128,92.7847301628713,91.6235,92.2,94.047505,0.6728857,0.6184275,0.6153196,0.006,3.7424495,3.9535,-4.97212275,0,0,0,1.6032415,301.12085,314.026
1,1.25,393.105689185461,7.0445963621279,0.555462771016324,0.282237937270916,0.762354669038939,-2.676,-2.136436,-1.98359,-2.077,-3.59023,7.6319699619099,3.2362595,0.708106881,0.802515718057037,1.10942,1.18132,99.74395,92.5504225,91.82817,92.49783,94.05,0.6703082,0.5402015,0.6370119,0.058,3.718162,4.0046455,-5.42259,0,0,0,1.597262,299.8396,314.1125
1,1.75,393.418370147827,6.96074401724364,0.747143018986222,0.243417558137992,0.658853360336536,-2.712,-2.136036,-1.937338,-2.044,-4.41663,7.23214911332538,3.269488,0.69643071,0.81626,1.031955,1.18474,99.7128,92.6354109994629,92.1727,92.53438,93.78581,0.5615734,0.4984517,0.6200509,0.07010796,3.69995375,3.975574,-5.21274,0,0,0,1.6466705,301.91045,314.151
1,2.25,393.493050996878,6.79374714800916,0.798705573862652,0.315147546051916,0.82036287870384,-2.768338,-2.165,-1.983456,-2.055,-4.386385,8.28312305467435,3.4098855,0.72107975,0.836322162971567,1.07504,1.190895,99.65444196,92.912231037183,91.8563462328767,92.3310025,93.95,0.401308575,0.20487145,0.52023125,0.06210138,3.6380515,3.953074,-5.5453515,0,0,0,1.643224,298.4316,314.28525
1,2.75,393.94876951024,6.82603699156805,0.736292944192796,0.262720667385858,0.700635225424182,-2.820206,-2.2,-1.954,-2.061,-3.11259,6.98926957284995,3.38348,0.738791521,0.85686,1.10346,1.204755,99.7168,92.7721027073261,91.9938608219178,92.3697675,94.3,0.371775175,0.202339275,0.41675425,0,3.62670375,3.935151,-5.868046,0,0,0,1.668478,299.2795,314.159675
1,3.25,393.524949085021,6.8462275,0.650249322134913,0.326005323470463,0.849685274618342,-2.944,-2.15,-2.031,-2.156,-3.820615,7.28418285962315,3.384752,0.7174618245,0.831710030550831,1.030685,1.07992,99.807123945,93.005148696192,92.382,92.5555825,94.65,0.229767925,0.173942775,0.352947375,-0.082,3.600375,3.914795,-5.04702175,0,0,0,1.640035,300.1885,313.941
1,3.75,393.772552454502,6.964801,0.801990532313457,0.324968120150401,0.932132303755642,-2.971,-2.135,-2.055,-2.204,-3.675304223,8.51315158685521,3.361779,0.7243310525,0.84981746876303,1.024445,1.11324,99.775375815,93.5416006607511,92.760355,92.7,94.907895,-0.053551615,0.0200395125,0.22677575,-0.1394982,3.585825,3.889252,-5.1540355,0,0,0,1.60726925,300.05035,313.4651
1,4.25,394.010009090066,6.67529541381332,0.685668382316159,0.369609769016616,0.822663160988881,-3.122296,-2.209,-2.088,-2.203,-4.684325,8.00052281578348,3.29335375,0.713750508,0.81632,0.959355,1.0644425,99.78913515,93.5381285619457,93.4083425,93.207525,95,-0.1354246,-0.000484524999999993,0.0292618,-0.456,3.5715,3.8709685,-4.77367275,0,0,0,1.56237925,297.65525,313.05685
1,4.75,394.55521197834,6.76007766945347,0.574519217395983,0.294549094233525,0.904756394695077,-3.158,-2.252,-2.052,-2.244544,-4.6421075,7.30215748015556,3.242955,0.7087025,0.8102795359081,0.997645,1.13371,99.76190271,93.4215422642662,93.78463,93.2092,94.8,-0.01723218,0.00575383,-0.120175,-0.642,3.555475,3.8675,-4.279144,0,0,0,1.468685,299.99855,313.24445
