DOY2,HR2,USTAR_1_2_1,WS_1_2_1,FC_1_2_1,H_1_2_1,LE_1_2_1
1,0.25,0.313,1.337,0.824,-19.069,1.407
1,0.75,0.256,1.212,0.9135,-23.1795,1.154
1,1.25,0.259,1.204,0.966,-22.54,0.906
1,1.75,0.253,1.215,1.072,-25.785,0.83
1,2.25,0.252,1.208,0.799,-19.556,0.281
1,2.75,0.241,1.165,0.725,-21.757,0.739
1,3.25,0.2725,1.1505,0.72,-19.9605,0.7785
1,3.75,0.2175,0.9815,0.571,-17.7105,0.0365
1,4.25,0.267,1.129,0.717,-21.154,0.227
1,4.75,0.248,1.123,0.397,-20.259,0.722
1,5.25,0.2595,1.1885,0.595,-17.483,0.7025
1,5.75,0.223,1.181,0.5555,-17.463,0.4115
1,6.25,0.253,1.186,0.741,-18.065,0.485
1,6.75,0.232,1.2425,0.6635,-20.2565,0.707
1,7.25,0.2455,1.186,0.3655,-17.474,0.2755
1,7.75,0.274,1.21,0.195,-15.638,1.232
1,8.25,0.288,1.224,-0.092,-6.049,3.184
1,8.75,0.3295,1.2765,-1.037,11.628,9.2135
1,9.25,0.3795,1.3445,-1.7775,32.089,20.8065
1,9.75,0.451,1.369,-2.955,48.05,26.9425
1,10.25,0.524,1.67,-3.541,71.276,37.706
1,10.75,0.5535,1.842,-5.223,121.3285,49.659
1,11.25,0.618,1.828,-6.968,146.917,60.806
1,11.75,0.61,2.024,-8.2075,162.86,82.479
1,12.25,0.6715,2.1805,-8.328,164.067,95.779
1,12.75,0.6875,2.204,-7.957,151.179,93.4235
1,13.25,0.701,2.256,-7.668,141.474,90.983
1,13.75,0.69,2.374,-7.711,131.003,86.771
1,14.25,0.697,2.183,-7.7745,115.699,92.626
1,14.75,0.667,2.112,-7.979,117.948,94.348
1,15.25,0.6255,2.149,-6.944,97.6155,86.8645
1,15.75,0.621,2.084,-5.52,47.133,75.829
1,16.25,0.581,1.939,-3.91,13.941,60.741
1,16.75,0.5005,1.5875,-2.1825,-9.93,44.1025
1,17.25,0.3435,1.2985,-0.574,-16.4275,24.577
1,17.75,0.2425,1.1215,0.1165,-16.7665,11.6345
1,18.25,0.256,1.166,0.363,-19.033,8.83
1,18.75,0.261,1.2215,0.326,-20.9855,6.6095
