DOY2,HR2,CO2,CO2_SIGMA,FC,SC,H2O,H2O_SIGMA,H,SH,LE,SLE,PA,RH,TA,T_SONIC,T_SONIC_SIGMA,VPD,PPFD_IN,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,TAU,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,G_1_1_1,G_1_2_1,G_1_3_1,G_1_4_1,TS_1_1_1,TS_1_2_1,CH4,FCH4,SCH4
1,0.25,550.9638,50.1466845229999,12.26738,4.10987474999999,23.72064,3.99333402925,12.6039,0.683096399999999,39.844475,9.2704505,102.372,100,21.289375,24.685,0.657196,5.55271,2.811616874825,-0.909163600000003,0.236941487499999,2.561279775,412.9014725,420.50415,-0.00143,0.380993,1.061046653,1.037198149,0.474297,3.25466652475,10.170725,0.951212459999997,2.834630975,2.76978035,22.0945,21.576925,1921.2315,5.81180349999998,0.084797
1,0.75,555.30705,59.46709487875,23.600855,4.64975,23.43818,3.1175169604,6.90697474999999,0.852006299999996,59.2265049999998,2.043044,102.34585,100,21.4775,24.8033,0.63781325,6.11804049999999,2.7312,-0.347247717500007,0.0783979576999991,2.366090475,412.9890075,421.275525,-0.0012335,0.42430415,1.1538308233,1.0460118001,0.5090306793,3.1728113984,10.306675,0.694400872499998,2.537325725,2.5743558,21.95795,21.476325,1919.658,2.112768,0.22443895
1,1.25,547.798225,50.8109963,16.0156225,20.3342525,23.44138,2.88437483842499,11.565,1.03225,48.025825,2.00035425,102.3278,100,21.50655,24.8007,0.6217921603,4.873929,2.716308,-0.424994025000001,0.00332499999999996,2.345819625,408.6142625,421.752225,-0.000481749999999998,0.3948804,1.016393943,0.8811914326,0.4572483631,2.9207890998,10.003428,0.486274565,2.1776,2.3976159,21.833,21.38735,1918.023,1.5641281,0.3893859
1,1.75,518.691675,56.3145194445,13.75491,33.08742,23.58059,5.77443416619998,17.5730075,1.2435875,40.550515,1.87451,102.3119,100,21.43805,24.9927,0.790155920824999,4.44776125,2.75605,0.0232795249999969,0.292508875,2.60314295,409.402795,421.5793575,-0.000783775,0.42701105,1.005695463,0.9173668,0.49530812515,3.224011,10.0025215,0.374283832499999,1.56713615,2.16308735,21.7181,21.3218,1914.982,6.63718725,0.16591975
1,2.25,572.6091,101.94619566,15.53102,31.516,24.1394225,4.44544862154998,20.759395,1.65210225,40.3064899999999,2.1076855,102.305325,100,21.49855,24.989905,0.5538202418,4.17238225,2.905128,-0.0688833372500002,0.195787949999999,2.551300675,408.919315,421.183875,-0.0010415,0.4181594,1.0815545,0.874272511925,0.504542243825,3.62809593795,10.1185425,0.318461279999998,1.43023525,2.0273019,21.634825,21.279725,1923.38575,2.08023025,0.3046388
1,2.75,546.874575,112.299016375,45.874275,27.18105,23.36839,4.80615401525,6.2824165,0.810998674999999,43.218675,2.10074749999999,102.2879,100,20.875,24.18505,0.661971186899999,3.595694,2.96608,0.0591221129999987,0.0316824999999996,2.584546775,412.4632225,420.75865,-0.0006839,0.431187,1.0234285716,0.964348304199999,0.4709708273,3.5776435981,10.8378125,0.359401907499997,1.433725425,2.0709848,21.58345,21.2428,1912.79825,2.89654775,0.209142175
1,3.25,568.856375,97.6819703555,27.0067774999998,28.004225,23.264135,4.3223475301,7.111968,1.1784415,67.704055,2.13233475,102.2644,100,20.79715,24.70812,0.708539899999999,3.7968595,3.016682,0.0869320274999971,0.0123499999999999,2.398465025,411.9892775,420.44435,-0.001235,0.456851,1.1215922801,0.906996919499999,0.5120459929,3.58365,11.0146425,0.833717284999999,1.70650535,2.2359913,21.53665,21.207825,1928.54625,1.56716025,0.456785
1,3.75,610.569425,91.3048083419998,12.8257125,25.8314675000001,23.599135,4.53910502699999,14.1862575000001,0.928847225,34.80554,1.546454,102.242425,100,20.79225,24.7582875,0.820005629374998,4.264979,3.06087,-0.0364330575000013,0.0978146124999988,2.198872425,418.97815,421.5018575,-0.000914075000000001,0.492607175,1.194353655925,0.929455375675,0.520359897875,3.86685825,10.94286,1.1363025,1.73624355,2.70392075,21.466775,21.17395,1931.16125,21.021765,0.22535415
1,4.25,618.9602,95.7186942084996,31.57929,8.31958050000001,23.75074,5.69941426339998,9.07739249999999,1.32783925,58.3656375,3.68833599999999,102.22285,100.00075,20.825125,24.6579725,0.608758180775,4.489113,3.116076,0.168991477499997,0.144284135,2.2770824,421.1826825,421.65455,-0.0011195,0.461468625,1.2050795,0.943452421874999,0.496055280825,3.87719679025,10.750635,1.30477325,1.805790675,3.0573376,21.38575,21.110125,1932.36,2.734584,0.345841625
1,4.75,601.565775,65.605482512,29.1001775,6.85414599999998,23.86671,3.80032648225,5.65696,1.18219,47.7079199999999,1.797206,102.21895,100,20.9155,24.9546,0.63078760315,4.0694015,3.166992,-0.106136725,0.1809044575,2.5977364,422.1146225,424.0385,-0.000766625,0.40557865,1.1449706174,1.026261675,0.47822980285,3.90641025,12.18166,1.3175882,2.65514854999999,4.1876843,21.313125,21.008775,1918.06,2.164627,0.351826
