DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_2_3_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_1_3,H2O_1_2_2,H2O_1_2_3,H2O_1_3_2,H2O_1_3_3,H2O_1_4_2,H2O_1_4_3,H2O_1_5_2,H2O_1_5_3,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CO2_1_5_2,CO2_1_5_3,CH4_1_1_1,CH4_1_2_1,CH4_1_3_1,CH4_1_5_1
1,0.25,3.94509716631914,8.62960753786666,0.308374625473613,1.9061641385442,0.267608508038742,1.50720005767095,3.72446496350989,1.16319770575543,0.479844861964565,-2.36860744885099,2.04774380225011,0.884187535672606,3,2.2575,0.95,0.3825,7.9279,7.725,7.72485,7.4412,7.8231,6.633075,99.42616,83.5975,3.90875,7.905,8.14,7.8575,7.9525,1.1,-1.1125,2.3,-0.76,0.64,330.55,350.875,344.675,352.425,0.2575,0.33,0.05,0.12,0,0.27,0.31,0.02,0.09,8.69375,8.6895,9.623,10.056,11.26925,11.7855,12.47875,13.44575,15.5465,6.70575,8.246,8.76525,9.4495,10.241,11.15525,11.76925,13.70425,8.34875,9.0945,9.815,10.224,11.5325,11.905,12.42975,13.26525,14.20875,7.78075,6.5055,8.91425,9.2915,10.217,11.62525,11.85,12.831,14.055,8.12575,8.7935,9.23125,9.5325,10.9705,10.8825,13.9375,13.167,-7.964,-6.307,-6.093,-17.1075,7.08776225030881,8.45847048753278,8.28315431307885,6.829772711274,6.17604161096134,7.71128294382876,6.89196524299351,8.05960143974763,7.81214015927153,7.04358898376209,8.07321839164083,430.995710334115,435.726625735433,432.479477033575,434.007954502559,433.349566415758,439.896154288345,430.989320234241,442.967275980668,445.116511293792,453.62954264678,444.698543045316,2396.26971238521,2302.51658059002,2164.85295564547,2253.65299419744
1,0.75,3.86705731139299,8.44490763507673,0.297633815823671,1.70669530294445,0.332693668592906,1.25865777334234,3.86866091841155,0.49770500724662,0.499673765373178,-4.98569907740745,0.681802979707757,0.920339470646982,3.035,2.32,0.98,0.365,8.0325,7.484,7.3528,7.1288,6.8972,6.56335,99.4461,84.9675,3.673475,7.505,7.58,7.91,7.3825,1,-0.945,2.2,-0.7,0.675,329.375,351.025,344.9,349.775,0.25,0.33,0.05,0.12,0.0075,0.27,0.32,0.02,0.09,8.6535,8.577,9.54175,10.0425,11.27375,11.7785,12.47275,13.44275,15.54475,6.717,8.19875,8.7205,9.4115,10.2405,11.1595,11.76975,13.703,8.27825,9.08725,9.77125,10.21075,11.5425,11.905,12.4285,13.264,14.209,7.75425,6.356,8.8485,9.28675,10.22375,11.62,11.848,12.829,14.05375,8.12325,8.72725,9.1545,9.51175,10.974,10.885,13.93775,13.16475,-6.1475,-5.571,-4.4295,-13.86,7.24235962021169,8.12768719497584,8.49196924987035,6.87023102493699,6.78915058676606,7.06529695566086,7.82827115714831,7.22592057948655,7.62386193962801,7.42567886416032,7.58216546092688,429.56223609443,432.587761161298,436.562662512266,436.08871481603,431.065228680584,437.786602662507,434.828674543418,443.682719623055,444.835099766896,454.319755803303,459.187368279333,2319.32467899296,2287.44890421077,2367.4625939851,2403.93221668404
1,1.25,3.74591153109032,8.05682337302989,0.350110003520737,1.2431523784767,0.39777882914707,3.16426560072061,2.22676996130467,-0.167787691262192,0.508861495211536,-2.63555698529282,0.621767932864586,0.917750307986759,3.005,2.1875,0.97,0.335,7.68235,7.334,7.496325,7.2382,7.0066,6.6574,99.41976,85.3025,3.47105,7.9775,8.21,8.2275,7.9625,1.1,-0.8975,2.2,-0.7325,0.7,329.525,351.375,347.375,351.8,0.25,0.33,0.05,0.12,0.0075,0.27,0.325,0.0275,0.09,8.67325,8.513,9.46325,10.015,11.2775,11.772,12.46925,13.4405,15.54275,6.709,8.2025,8.726,9.38575,10.2415,11.16525,11.76925,13.701,8.26,9.11075,9.67325,10.21275,11.55225,11.905,12.4295,13.2625,14.207,7.678,6.23025,8.7735,9.2915,10.23225,11.61325,11.846,12.82475,14.052,8.1215,8.68025,9.10975,9.498,10.9775,10.8875,13.93575,13.16275,-7.77775,-6.9625,-6.7705,-13.92,7.51309070783399,8.12257190379432,8.7080719466767,6.75095558859531,5.90302603915049,7.00677342212796,8.06554527936926,7.53473247512682,8.81679762964015,7.2862677575839,8.24580998361702,430.254562833359,428.960040051969,433.07778857918,435.361755972997,432.926906658282,433.435873916961,434.567474491683,442.659339006512,444.753109145563,454.759957176401,452.400206280083,2242.37964560071,2272.38122783152,2468.20341520707,2481.48300079268
1,1.75,3.76071958755118,8.11367048538068,0.33600453298626,1.32615757407035,0.782553766733201,1.49439025034718,2.87184545324318,0.917650986231666,0.533942573268935,-2.15322656753731,3.12849180003207,1.00733070068701,3.115,2.39,0.96,0.35,7.69175,7.223,7.452675,7.4535,7.4921,6.566225,99.43406,86.6925,3.3365,8.0225,7.94,8.105,7.9975,1,-0.845,2.2,-0.74,0.76,330.875,351.525,346.4,352.15,0.2475,0.33,0.0575,0.12,0.01,0.27,0.31,0.02,0.08,8.656,8.402,9.38475,9.999,11.282,11.76475,12.4655,13.43875,15.54075,6.70025,8.24225,8.72125,9.36125,10.243,11.17,11.76925,13.699,8.21475,9.15075,9.63125,10.21675,11.5605,11.8945,12.42975,13.2605,14.205,7.70825,6.14875,8.7065,9.2995,10.24175,11.60675,11.8435,12.82225,14.04975,8.1255,8.70825,9.09725,9.46225,10.98025,10.89075,13.9375,13.1605,-7.69,-6.9875,-6.52075,-14.03,7.36383029571098,8.85744139619335,8.38554038338686,6.52410893304163,6.42078738029038,9.42087395305083,7.99061382500797,8.67488776656008,8.28824627277311,8.23099976311714,8.45357375941719,430.356118806005,431.18514618829,433.921568086722,431.91647580519,438.712948139876,435.290614096275,435.617178578774,444.106712621059,436.070587857174,453.741002460964,448.087101052234,2300.87793894855,2489.36345670873,2413.46780328339,2181.23275147226
1,2.25,3.71373994070878,8.03479369877499,0.360442256942941,1.44152055001127,0.330868888805432,1.29774123782788,4.16327466095995,1.0249958707272,0.536613209865973,-2.88584594967499,1.48584017712314,0.920751119448741,3.2,2.38,1.01,0.33,7.6882,7.226,7.538775,7.4398,6.8454,6.572225,99.45749,86.0575,3.2645,7.62,7.59,7.54,7.69,1,-0.8375,2.3,-0.75,0.6575,328.475,351.625,341.95,351.175,0.25,0.33,0.05,0.12,0,0.27,0.315,0.0275,0.08,8.68075,8.41,9.30575,9.99925,11.28475,11.75825,12.46325,13.43775,15.5385,6.50575,8.24275,8.71325,9.3045,10.2485,11.175,11.769,13.69675,8.2275,9.1545,9.63175,10.198,11.55975,11.89625,12.42675,13.25925,14.20225,7.7025,6.13,8.66375,9.30675,10.25125,11.59875,11.841,12.8195,14.04825,8.17075,8.71325,9.086,9.46025,10.98225,10.89425,13.94375,13.1585,-7.8225,-6.832,-5.1545,-13.695,7.53966987672024,9.28925393372938,8.42157938351797,6.83204908017924,5.8011229132613,9.27807401255904,6.5762319421404,8.86010989205247,6.51228089939487,7.86024214513469,8.52082808373514,430.818689797454,432.651601983372,430.489170035572,434.725203349761,433.226141850163,437.808795971725,433.067052056365,446.454954693898,451.477675212366,454.002932726255,448.397320111635,2636.54087483358,2439.36943191941,2548.32322991723,2221.19488590857
1,2.75,3.84659285188703,7.76697500023397,0.327558245499681,1.27418935950754,1.38290616596674,1.69545596491655,2.23925649970981,1.40279197840375,0.52500690559752,-2.85390138058609,1.07621396792153,0.934468523728636,3.155,2.29,0.95,0.3525,7.748,7.254,7.520375,7.4791,6.6295,6.109125,99.4769,87.375,3.0202,7.2475,7.21,7.235,7.1725,1.1,-0.86,2.4,-0.69,0.6,330.325,349.7,341.875,349.425,0.2575,0.33,0.0575,0.12,0.0075,0.27,0.305,0.02,0.09,8.67325,8.4085,9.2255,10.00375,11.28775,11.75125,12.46075,13.436,15.537,6.16175,8.1975,8.70825,9.2635,10.24775,11.1755,11.76775,13.6955,8.1615,9.0755,9.594,10.214,11.5555,11.898,12.4245,13.258,14.20125,7.708,6.17625,8.66775,9.25275,10.26075,11.5915,11.8375,12.8165,14.0465,8.18425,8.67975,9.07575,9.43,10.98425,10.8965,13.94075,13.1555,-7.96,-6.35325,-6.357,-13.1775,7.36031642556424,7.89433752736459,8.14424102048185,6.84469088168806,6.33118668904508,7.13516510147625,6.56770756513509,7.17204720958383,7.98392974025645,7.11875160367254,7.87884401430607,432.611832354694,434.927787504967,433.305111684038,428.838941049782,433.235248580418,439.159219244161,441.021199484005,440.349433659556,436.791879537824,451.345108154199,446.854439066371,2460.11984207211,2349.70635473605,2570.03450707654,2270.73001881935
1,3.25,3.97290265667134,7.51861122819457,0.357133760258226,1.36859994163068,1.36727710450469,1.30098153127635,3.47674993747455,0.742718043888315,0.56070202203914,-3.21419901706074,1.79019568565763,0.942884999628212,3.1925,2.375,1.07,0.3625,7.53355,7.1175,7.309475,7.164,6.7238,5.978375,99.44978,86.855,3.043025,7.19,6.64,7.1075,6.74,1,-0.8725,2.1,-0.64,0.64,328.4,348.85,340.675,348.5,0.25,0.33,0.05,0.13,0.0075,0.27,0.31,0.02,0.0825,8.665,8.3605,9.145,9.98575,11.2905,11.74475,12.459,13.43425,15.53475,6.13575,8.12,8.6925,9.26175,10.2505,11.184,11.769,13.69325,8.08425,9.04475,9.56475,10.23,11.54925,11.9,12.4215,13.2565,14.19975,7.71575,6.088,8.66925,9.2095,10.26275,11.585,11.8365,12.81475,14.045,8.1385,8.67975,9.065,9.41275,10.9855,10.89875,13.9395,13.15325,-9.318,-7.669,-9.086,-10.9,7.17766986327528,8.74399568554544,9.38751764196241,7.01374127276847,7.40154270006522,8.30550685460241,9.89643251566023,8.93850561155423,8.85901440559106,8.32633492872018,8.77797107695645,433.09851507082,433.220630571075,435.106013321677,438.889833997424,428.867821767284,439.844832164382,433.641572688686,445.005973186587,450.009534697886,455.148695902477,451.597662242726,2436.37688423394,2703.67763327164,2591.74578423586,2513.3641378149
1,3.75,4.04561797258849,7.39980959942881,0.326918182507517,1.51516960300398,0.907706594100353,2.68768901693468,5.09927906291413,1.18124471953942,0.590642859032597,-3.28800968212306,1.49103494305904,1.02914918572475,3.165,2.44,1.04,0.3925,7.59065,6.9145,7.425125,7.0971,6.9112,5.87755,99.43684,86.5125,2.99445,6.915,6.73,7.1975,6.9425,1,-0.755,2.1,-0.66,0.7475,332.25,348.65,341.525,348.1,0.2475,0.33,0.05,0.12,0.01,0.27,0.33,0.02,0.09,8.605,8.3335,9.06625,9.95525,11.2925,11.7385,12.4565,13.4325,15.5325,5.978,8.11075,8.67575,9.22325,10.25625,11.18275,11.76875,13.69175,8.0385,9.011,9.538,10.20475,11.54275,11.9025,12.41975,13.25525,14.198,7.6615,5.94225,8.69825,9.188,10.26275,11.57925,11.838,12.8095,14.04375,8.0945,8.686,9.0605,9.3945,10.9865,10.90125,13.93875,13.15125,-8.6345,-6.748,-6.7175,-8.93,6.63193558672058,6.94199035811493,8.68712403821639,6.26241889281411,6.50859490042499,6.49145774700175,8.54954462657393,6.37794308337278,9.74963975866757,6.63509245364851,9.56353530536889,429.64848908408,438.864833662931,431.503861672422,444.047791393202,430.088089552883,445.75946469965,430.361587673436,447.464321791326,433.685212475649,452.914755236391,451.729624931072,2412.63392639577,2427.47689963803,2617.77786878609,2546.39101608496
1,4.25,3.8834587480844,7.37151170302208,0.342475371598856,1.66969110143353,0.378987652919584,1.14687692862287,3.61548699901708,0.171406615631964,0.530027139852279,-4.56164741414695,1.3743501239406,0.995184756308167,3.24,2.45,1.02,0.3825,7.49395,6.9465,7.11435,6.9246,6.2354,5.788075,99.42771,87.26,2.7943,7.365,7.51,7.4975,7.355,1.1,-0.73,2.2,-0.66,0.69,332.325,349.075,339.975,349.275,0.2475,0.33,0.05,0.12,0.01,0.27,0.34,0.02,0.09,8.55175,8.331,8.99,9.93,11.29325,11.732,12.455,13.43075,15.53025,5.7525,8.0615,8.65825,9.1875,10.25875,11.18575,11.769,13.6905,7.95125,8.95625,9.55525,10.19075,11.53625,11.9045,12.41875,13.25325,14.19775,7.6185,5.77775,8.67,9.18375,10.26325,11.5745,11.8375,12.80875,14.0425,8.01475,8.589,9.03975,9.35325,10.987,10.903,13.93875,13.149,-8.8305,-7.199,-7.302,-10.755,7.0605562345044,7.37181205235922,7.60754462571261,6.35515448992089,6.02620763568556,8.82439910162036,6.93549171148828,7.18225947346155,8.57009780429879,6.93645411237423,8.35852460913512,430.416587871148,434.358576916548,430.614656668553,435.462962581946,438.036714472964,438.815457434299,436.399482543436,445.323202903806,443.2904902081,451.074352566353,452.905708684606,2602.59191907025,2580.27915175203,2573.10210926236,2199.51507748852
1,4.75,3.70703584114467,7.33105476467516,0.324076982440017,1.31065877495542,0.0484395600661017,1.37028289673229,5.64387344556796,0.435894902137723,0.55661225044839,-5.55124884369232,0.938308477635633,1.00799230831191,3.145,2.37,1.07,0.38,7.03095,6.75675,7.018575,6.9859,6.0104,5.977725,99.415915,87.255,2.73585,7.35,7.24,7.365,6.945,1,-0.825,2.4,-0.67,0.63,335.5,349.45,340.475,349.6,0.25,0.33,0.05,0.12,0.0075,0.27,0.325,0.02,0.08,8.5305,8.321,8.9135,9.908,11.29225,11.72575,12.45375,13.42925,15.528,5.6635,8.0885,8.63525,9.158,10.25875,11.1895,11.76925,13.68825,7.91825,8.912,9.511,10.16725,11.53,11.90725,12.41675,13.25125,14.1965,7.566,5.63075,8.6075,9.184,10.26225,11.57075,11.8365,12.8055,14.0415,7.93125,8.44075,9.00525,9.32275,10.9865,10.9055,13.93725,13.146,-9.4535,-7.081,-7.4085,-10.335,6.4493533495457,7.58012468139044,8.65363659167616,6.38685368827335,6.24343753732167,7.0681704525783,6.47372575994317,7.26775435355094,8.28573337499412,7.25900541501687,8.56347124154043,430.913097222215,434.50584699396,432.90850333063,441.347258802379,429.244847623849,445.229694279769,432.082045489325,446.006331156247,446.457964837963,456.621941013134,454.511991316466,2681.45874709686,2671.27967417285,2528.42620224621,2615.89566893701
