DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,SC,H,SH,LE,SLE,PA,T_SONIC,TAU,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,LW_IN,LW_OUT,SW_IN,SW_OUT,NETRAD
1,0.25,417.942,0.0400822891727435,4.09885,1.10867037481841,3.88889,0.197957,-7.52745,-2.60856,5.050015,0.0993447,98.68,3.10450000000003,-0.1786615,0.371368,0.914650198092982,0.72717327139402,0.495038190547932,4.07123,258.0315,330.7515,-3.3189,1.039985,-75.34665
1,0.75,418.295,0.0428725951603767,4.149605,1.14351213373536,4.0175,0.273166,-5.6791,-2.2964,4.257625,0.0934762,98.675,3.13350000000003,-0.1964575,0.3946295,0.907193465298539,0.736195789775092,0.505742774765343,3.94507,266.853,338.937,-2.77017,1.00333,-71.2737
1,1.25,418.646,0.0403580570437914,4.13774,1.13666910323807,3.643515,-0.0708461,-5.637955,-1.28154,3.13251,-0.06805235,98.6788,3.16250000000002,-0.205869,0.3983975,0.98160044441618,0.763010183878404,0.526450201632901,4.1244,273.19,332.6015,-2.586385,0.9340835,-68.1398
1,1.75,419.0105,0.0453860552230412,4.21883,1.1274617510142,4.071075,0.0988415,-5.88158,-1.401865,4.04274,-0.0483256,98.6948,3.00200000000001,-0.214804,0.409796,0.963017133803963,0.785098083044405,0.536101669462053,4.19659,264.387,324.743,-2.8062,1.031,-68.7173
1,2.25,419.316,0.0407937128620377,4.19144,1.12222452999244,4.2047,0.274161,-6.88808,-1.429945,5.760245,0.066976,98.71435,2.8015,-0.2208875,0.4162635,0.925813147097976,0.727280765320424,0.529558328208596,4.154435,278.027,320.457,-2.51027,0.970833,-67.1027
1,2.75,419.515,0.0463204394303946,4.07129,0.960866796179366,4.201725,0.1744435,-5.47696,-1.520615,4.19927,0.205479,98.7289,2.72500000000002,-0.206349,0.401057,0.910836977729824,0.74551123398645,0.507057195984832,4.12908,285.4365,330.0635,-1.70435,0.76355,-47.78815
1,3.25,419.7465,0.0426199992596807,4.192025,1.15307977631051,4.06801,0.22394,-5.084215,-0.665424,5.597375,-0.265516,98.7361,2.66700000000003,-0.217216,0.415839,0.953073974043988,0.771154977938935,0.539610044383905,4.07854,269.597,334.21,-2.77037,0.882667,-68.8127
1,3.75,419.906,0.0419428182171871,4.06048,1.06811048117692,4.833355,0.218752,-5.954885,-1.91704,5.27448,-0.234405,98.73095,2.34000000000003,-0.211751,0.408855,0.921302633334847,0.807837979727488,0.529143930871548,4.213315,285.667,334.5,-2.05613,0.9192,-42.4743
1,4.25,420.04,0.0486787427939547,3.9553,1.17567052206397,4.2892,0.154702,-3.97962,-1.68266,3.96588,-0.0949482,98.7029,2.05850000000001,-0.1857595,0.383226,0.888841571776458,0.740822844064424,0.499061067590259,4.050855,285.8835,326.29,-1.45,0.89715,-43.154
1,4.75,420.389,0.0525964812738608,3.910035,1.15509020287229,4.94242,0.288931,-5.00535,-1.15117,4.385095,0.13040055,98.6815,2.04600000000005,-0.203971,0.407337,0.886963922603394,0.728820279630033,0.513198791892576,4.02928,281.92,319.07,-1.65942,0.891665,-33.59465
