DOY2,HR2,CO2,FC,G,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SW_IN,SW_OUT,T_SONIC,TA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,USTAR,VPD,WS
1,0.25,408.36825,-3.40490375,-15.9507196125,-66.9088125,1.3415623744,-4.53427025,159.6125,241.21,-86.625,97.69732,-0.1536,-0.19015,63.367913065,-3.7514,-0.035,-13.226847915,-15.13633775,0.6,0.437,2.9,-0.097025,0.6175,1.231525,2.7,3.30175,-0.65995,0.412,1.105,1.858575,2.59265,3.32705,3.953575,4.877425,6.120425,-2.79645,-0.51645,0.497075,1.075075,1.760575,2.49065,3.225575,4.0465,5.505425,0.058428415,0.014435120175,0.7270676
1,0.75,408.5846,-2.42672725,-14.470570723,-67.73915,1.3408356282,-4.95298,160.72,240.42,-86.85,97.68756,-0.113,-0.144,63.138230918,-3.7214,-0.07345,-13.5040969025,-15.009288,0.6,0.407425,2.9,-0.1434,0.6166,1.2864,2.7034,3.2951,-0.6775,0.431025,1.1245,1.84005,2.60005,3.30755,3.941025,4.882475,6.120425,-2.822225,-0.553975,0.498025,1.076025,1.762525,2.493025,3.229525,4.062,5.509475,0.0645625,0.0184851166,0.466150625
1,1.25,408.6065,-1.17501875,-16.919624426,-64.58158,1.26231701445,-5.06172225,159.76,240.12,-86.76,97.711765,-0.1156,-0.1034,61.829136044,-3.7766,-0.0509,-13.629382235,-16.287704,0.6,0.4706,2.9,-0.147,0.62,1.243,2.7066,3.2999,-0.6775,0.412,1.104525,1.84005,2.60005,3.32655,3.961025,4.882475,6.120425,-2.845975,-0.611925,0.48805,1.076025,1.773025,2.503525,3.209525,4.0515,5.49845,0.0786576075,0.0182022252,0.51937425
1,1.75,408.2909,-2.64793575,-15.583391614,-63.5416375,1.286655938225,-5.215523,159.58,237.96,-86.1975,97.7318,-0.1156,-0.1594,63.801425036,-3.689,-0.06445,-13.9548728835,-16.423094,0.6,0.453825,2.9,-0.1502,0.62,1.2702,2.7066,3.3319,-0.641875,0.411525,1.104525,1.84005,2.58005,3.30755,3.941025,4.881475,6.09945,-2.869675,-0.6409,0.48805,1.076025,1.773025,2.49355,3.220025,4.0515,5.49845,0.054555,0.0180669118,0.4345415
1,2.25,408.64985,-1.795273,-15.595682773,-64.333785,1.23144028085,-7.068666,158.46,240,-85.2,97.70516,-0.081,-0.081,63.89089404125,-3.62075,-0.1806,-14.6840417515,-15.7162935,0.6,0.4206,2.9,-0.176725,0.611725,1.252975,2.711725,3.311975,-0.568725,0.411525,1.104525,1.858575,2.58055,3.30705,3.921525,4.881975,6.09945,-2.876275,-0.699375,0.48805,1.076025,1.7535,2.493025,3.220025,4.0515,5.50895,0.06013181,0.016484324275,0.3974086
1,2.75,408.4248,-2.291632,-16.11392159375,-64.2054,1.273670541,-5.78472075,165.04,240.82,-85.7,97.720275,-0.0599,-0.12085,63.9232116175,-3.519775,-0.115,-14.78341199,-15.794432,0.6,0.4706,2.9,-0.176725,0.60875,1.235975,2.723275,3.289775,-0.584375,0.41105,1.104525,1.83955,2.60005,3.32655,3.961025,4.881975,6.120425,-2.78365,-0.72835,0.48805,1.076025,1.7535,2.493025,3.220025,4.0515,5.49845,0.06766292,0.0156130326,0.421257725
1,3.25,408.66275,-1.439942,-15.83497798925,-47.016485,1.4478147524,-6.66976875,162.42,239.34,-86.65,97.73246,-0.07995,-0.08595,63.2019278345,-3.46335,-0.107,-13.602857752,-15.729105,0.6,0.44425,2.9,-0.176725,0.60875,1.23895,2.720475,3.328225,-0.584375,0.41105,1.104525,1.84005,2.58055,3.288525,3.921525,4.8615,6.09995,-2.80265,-0.757325,0.487575,1.076025,1.7535,2.493025,3.209525,4.0515,5.49845,0.0652739125,0.014032249175,0.442012325
1,3.75,409.342275,-1.2667985,-16.151464625,-49.503755,1.272049461175,-7.7198405,153.94,238.82,-86.5,97.7613125,-0.0659,-0.087,61.4724809655,-3.570125,-0.129,-14.721276821,-16.5773805,0.6,0.45,2.9,-0.19355,0.6175,1.20875,2.714525,3.31675,-0.54925,0.410575,1.085525,1.84005,2.56105,3.30655,3.940525,4.842,6.09995,-2.812625,-0.7559,0.478075,1.086,1.762525,2.493025,3.209525,4.0515,5.49845,0.06730155,0.01208576045,0.39819
1,4.25,408.3763,-3.1237636649,-17.27078062775,-52.33134,1.30487176435,-9.65838475,152.42,238.4,-84.6,97.77072,-0.0909,-0.1603,59.11307030925,-3.697075,-0.165,-15.0418787705,-16.713701,0.6,0.44065,2.9,-0.20675,0.611725,1.252975,2.70875,3.32345,-0.586775,0.410575,1.086,1.82055,2.56055,3.30705,3.941025,4.8615,6.079425,-2.860125,-0.744975,0.478075,1.067,1.7535,2.484,3.209525,4.0515,5.49845,0.0528631275,0.011713097825,0.6576381
1,4.75,408.1966,-2.436999,-15.808273511,-51.8198675,1.2515803658,-6.670722,152.66,237.94,-84.4,97.77181,-0.06095,-0.103725,57.27068672325,-3.587375,-0.166225,-15.32162467575,-16.999876,0.6,0.42825,2.9,-0.2348,0.611725,1.22855,2.711725,3.345725,-0.588675,0.4296,1.086,1.82055,2.56105,3.288525,3.941025,4.8615,6.09945,-2.907575,-0.773,0.478075,1.067,1.764,2.493025,3.209525,4.042,5.49845,0.0348407575,0.012784293825,0.5073582
1,5.25,408.6615,-2.02230175,-15.0112077485,-56.04598,1.21678731725,-6.776205,158.38,235.32,-83.925,97.78381,-0.086525,-0.131575,60.61056165125,-3.536175,-0.12185,-15.8841599295,-17.260147,0.6,0.407425,2.9,-0.270275,0.614525,1.20875,2.71005,3.356775,-0.62525,0.410575,1.086,1.84005,2.58005,3.288525,3.921525,4.8615,6.07995,-2.9147,-0.792,0.46905,1.067,1.7535,2.493025,3.209525,4.042,5.48895,0.057845,0.015351159025,0.4499255
1,5.75,408.4545,-3.19668375,-17.2737579225,-56.238864394,1.2489035645,-8.487993,162.14,232.54,-83.2,97.851755,-0.0909,-0.1448,59.43644807325,-3.5189,-0.133925,-15.8947917445,-17.4673665,0.6,0.4431,2.9,-0.28645,0.6175,1.214525,2.71245,3.345725,-0.661825,0.4101,1.086,1.82005,2.56055,3.288525,3.921525,4.861,6.09945,-2.963625,-0.839975,0.46905,1.067,1.7535,2.493025,3.2005,4.042,5.488475,0.0449517125,0.0144634873,0.72409428005
1,6.25,408.881,-1.607945,-16.86756118475,-46.45256,1.233883080575,-6.72576775,152.24,232.7,-82.75,97.8762125,-0.126625,-0.118575,60.809490789,-3.669725,-0.12,-16.19888302,-17.676097,0.6,0.415075,2.9,-0.270275,0.603475,1.205775,2.71245,3.345725,-0.68035,0.4096,1.085525,1.82055,2.56055,3.28755,3.9025,4.842,6.07995,-2.9916,-0.877975,0.460025,1.067,1.7535,2.484,3.200025,4.042,5.488475,0.0667,0.014876561775,0.664484375
1,6.75,409.0975,-1.3664225,-15.9640492515,-49.903365,1.17334926,-7.645253,147.84,231.5,-81.4,97.877,0,-0.068,67.98470223825,-3.20095,-0.091,-16.542438715,-17.9244075,0.6,0.5,2.9,-0.270275,0.611725,1.205775,2.71245,3.335,-0.663725,0.4291,1.086,1.82055,2.560075,3.288025,3.921525,4.861,6.079425,-2.994925,-0.906,0.460025,1.067,1.7535,2.484,3.200025,4.0315,5.477975,0.04454325,0.012901656575,0.5840445
1,7.25,408.870325,-1.269935,-18.92158267325,-40.8053,1.14571133305,-7.94062075,147.38,229.66,-68.98,97.8568,1.545625,0.00875000000000004,67.24755320775,0.418975,0.051175,-17.09396562375,-17.922646,0.6,0.424425,2.9,-0.259225,0.614525,1.222775,2.70495,3.329475,-0.704125,0.4096,1.085525,1.82055,2.56055,3.268525,3.9025,4.8615,6.098925,-3.059,-0.90695,0.451,1.067,1.7535,2.484,3.200025,4.0315,5.488475,0.0462725,0.01229781305,0.59958755
1,7.75,409.24355,-2.82654925,-16.2185204885,-40.31362,1.17896867,-5.907686,151.58,237.46,-17.1375,97.85823,9.18625,0.6741,67.29536513275,4.22155,0.796075,-17.48289431525,-17.2347725,0.6,0.426325,2.9,-0.253275,0.614525,1.20875,2.70255,3.295725,-0.7236,0.4096,1.086,1.802025,2.542025,3.268525,3.921025,4.8415,6.07995,-3.11225,-0.917875,0.460025,1.06605,1.7535,2.474025,3.200025,4.0315,5.477975,0.06123733,0.0173601507,0.41792285
