DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,PPFD_IN,TA,RH
1,0.25,-0.71845305,-20.0484475,-14.3264275,-16.3415,0.693641525,0.115912775,-5.661453,391.6796,0.645297975,0.3336139,0.20321915,0.1806519,0.043615,-0.1975,-5.664944,33.35227
1,0.75,-1.1617065,-21.08591,-4.500779,-12.446326,0.389643,0.10250675,-5.8760055,391.06375,0.640770425,0.24676995,0.219049275,0.1630424,0.05356,-0.1938,-5.82741,33.9415425
1,1.25,-1.25604215,-21.9272175,-15.372925,-43.20676,0.524961325,0.125061,-5.972968,390.552125,0.628208,0.332104675,0.276835225,0.15140185,0.0525925,-0.196,-5.919652,33.8653625
1,1.75,-1.122194,-18.91688,-1.7560525,-33.0959,0.6119232,0.0941444,-6.300332,390.18465,0.6317895,0.3475226,0.212912,0.175946,0.04952,-0.209,-6.10047,31.4321725
1,2.25,-1.1664749,-45.8916,-15.6164085,-14.992205,0.395118875,0.1023104,-6.20358075,390.174625,0.65744195,0.289871725,0.18691655,0.13637605,0.0522175,-0.2054,-6.31341,30.7360575
1,2.75,-1.0037266,-36.76052,-6.05344,-13.3799625,0.47231435,0.10471985,-6.09969025,390.0244,0.6440692,0.328214825,0.23630855,0.1867135,0.054955,-0.210375,-6.30208,30.61475
1,3.25,-1.042785525,-31.060605,-4.6677345,-21.574,0.620665325,0.101567525,-6.072964,389.6832,0.64077055,0.2927088,0.212139675,0.171788775,0.0493,-0.20165,-6.410196,30.2285
1,3.75,-0.96614345,-29.612815,-15.4198525,-12.27402,0.41082,0.119521975,-6.012664,389.83225,0.6547011,0.29597225,0.215690325,0.16991375,0.04115,-0.1926,-6.459276,30.5541
1,4.25,-0.910167275,-50.5120725,-106.7948,-9.56987375,0.4707564,0.12599025,-7.694572,388.30245,0.6150134,0.3364898,0.2623272,0.140903175,0.05087,-0.18645,-6.58741,29.59615
1,4.75,-0.75211235,-30.605275,-29.791455,-11.07229625,0.702923125,0.0869008,-6.28919125,385.0216,0.59478805,0.23719695,0.2498879,0.1186818,0.04643,-0.189375,-6.839072,29.50265
1,5.25,-0.8423016,-27.002285,-9.5216525,-18.094045,0.62272505,0.0796675,-6.664935,391.7388,0.5003424,0.24548735,0.222564175,0.1197996,0.052145,-0.194975,-7.027142,30.30585
