DOY2,HR2,USTAR,TA_1,WS,FC,H,LE,G_1_2_1,RH_1,PA,VPD,NETRAD,PPFD_IN,H2O_1
1,0.25,0.0375,-5.4096,0.3016,-1.574775,-105.29685,-9.42675,-8.540525,18.33425,85.768,0.182,-83.70615,-0.46505,1.994375
1,0.75,0.039,-5.58115,0.2701,-0.8596,-110.518,-9.576975,-8.724025,17.69155,85.73255,0.32375,-84.6455,-0.4626,2.04875
1,1.25,0.036575,-5.93615,0.264825,-1.6497,-100.9325,-8.100875,-9.019525,17.4854,85.69305,0.304,-83.10585,-0.4604,2.040475
1,1.75,0.03665,-6.063,0.273025,-1.6409,-110.923425,-8.2456,-9.385,17.334425,85.68585,0.257,-83.44395,-0.477275,2.007175
1,2.25,0.036,-5.945575,0.2742,-0.8966,-103.92345,-5.2056,-9.6118,16.642875,85.6764,0.18875,-83.79205,-0.45525,1.844675
1,2.75,0.031,-5.99215,0.1997,-0.6725,-118.105825,-3.92325,-9.731575,17.098375,85.67715,0.3875,-83.806,-0.499975,1.9486
1,3.25,0.034575,-6.11395,0.208275,-1.07755,-107.239175,-4.21915,-10.144775,16.4375,85.67305,0.453,-83.13565,-0.4871,1.99125
1,3.75,0.0337,-6.2114,0.27995,-0.884,-97.6932,-4.9046,-10.6288,16.47645,85.66915,0.6285,-82.20105,-0.544925,1.9571
1,4.25,0.0344,-6.075925,0.296925,-1.12245,-109.244,-3.753825,-10.994475,17.485075,85.64895,0.63,-82.8905,-0.49585,1.9177
1,4.75,0.0382,-6.29145,0.2367,-0.88205,-115.505375,-6.38055,-11.1645,17.1717,85.6478,0.18875,-83.3689,-0.498975,1.896825
1,5.25,0.033,-6.3124,0.118575,-0.96085,-98.2376,-4.557025,-11.336625,17.040125,85.64325,0.47,-83.66535,-0.477925,1.828975
1,5.75,0.036,-6.400625,0.2867,-1.8318,-110.5096,-6.772625,-11.419775,16.509225,85.64125,0.37275,-84.5138,-0.456225,1.80955
1,6.25,0.038275,-6.6724,0.327225,-0.7388,-121.541875,-4.7552,-11.242775,16.68695,85.6542,0.47,-83.1237,-0.538425,1.741125
1,6.75,0.027425,-6.61965,0.37455,-0.8846,-103.8728,-6.119,-11.277975,17.381775,85.6621,0.48,-83.73065,-0.244475,1.68025
1,7.25,0.035425,-6.685725,0.2908,-1.152,-118.33515,-8.0416,-11.09505,17.9675,85.67295,0.48125,-80.096,0.5027,1.552225
1,7.75,0.044,-6.23905,0.2575,-0.803925,-100.6815,-5.341275,-11.203175,17.6195,85.67945,0.4945,-64.4797,4.531225,1.65715
1,8.25,0.043125,-5.45865,0.2029,-2.2554,-108.585625,-9.19095,-11.275825,18.624025,85.67285,0.34975,-12.7632,16.2089,1.737875
1,8.75,0.049575,-4.79705,0.18525,-4.50705,-71.9155,-5.25395,-11.25715,19.681075,85.66835,0.353,2.7229,27.3127,1.731425
1,9.25,0.0663,-4.025475,0.11985,-6.8368,-51.56445,-12.447,-11.02485,19.25325,85.67195,0.22,4.3159,32.025775,1.867625
1,9.75,0.0572,-3.243475,0.1067,-11.0856,-54.18815,-3.697325,-10.66885,18.342375,85.66845,0.09875,6.9227,51.0958,1.8529
1,10.25,0.101875,-2.6445,0.09715,-10.5784,-46.5086,-1.6022,-9.9403,17.6718,85.660975,0.1565,14.803425,66.6623,1.9093
1,10.75,0.0962,-1.95,0.3215,-10.454,-71.3072,-1.205225,-8.84725,16.7295,85.648125,0.324,13.344625,69.7565,1.86025
1,11.25,0.1203,-1.82375,0.2045,-10.724875,-41.2015,-1.937,-8.6525,16.09675,85.65295,0.432,17.8125,80.662,1.9775
1,11.75,0.110375,-1.5465,0.296,-10.9595,-36.4094,-2.983625,-8.42375,14.9285,85.670575,0.4565,18.30875,85.1662,2.11475
1,12.25,0.1638,-1.49755,0.335,-11.45295,-29.724725,-2.78425,-8.0787,15.394125,85.64505,0.69875,20.546725,87.16135,2.262225
1,12.75,0.1484,-1.4066,0.2252,-11.18505,-22.9617,-1.2947,-6.8063,14.99575,85.614,0.7025,24.1272,90.942875,2.305575
1,13.25,0.119775,-1.480475,0.35125,-12.006725,-23.365,-2.038125,-6.349875,18.494625,85.5578,0.46475,18.0526,81.50505,2.40575
1,13.75,0.09945,-1.45755,0.148,-11.128375,-24.3437,-1.70975,-6.637125,17.89285,85.6595,0.56,18.501575,70.715675,2.3829
1,14.25,0.12525,-1.575075,0.2241,-10.4785,-40.736725,-3.248,-6.41005,18.921775,85.5334,0.677,10.967,56.41625,2.406175
1,14.75,0.094125,-1.6581,0.37435,-9.133,-30.1466,-1.2602,-6.2142,20.886925,85.5355,0.63925,8.82435,43.4275,2.563825
1,15.25,0.063125,-1.693,0.213575,-7.831525,-38.4104,-3.5352,-6.379,21.5025,85.55655,0.6255,5.600625,37.84075,2.654
1,15.75,0.0631,-1.81075,0.156475,-5.927,-44.068975,-5.996625,-6.23275,22.695,85.5588,0.58,-7.5755,26.93375,2.62875
1,16.25,0.0435,-1.88655,0.1114,-4.19125,-49.1971,-7.5601,-6.074825,26.48215,85.55395,0.58375,-61.4338,11.141325,2.71035
1,16.75,0.035,-2.177575,0.14765,-1.625625,-61.7751,-12.99785,-5.908525,27.10715,85.5538,0.5555,-80.6462,2.42595,2.584375
1,17.25,0.03165,-2.78065,0.0883,-1.3973,-100.43775,-6.858325,-5.96215,26.5916,85.55685,0.537,-85.81935,-0.00687499999999999,2.604
