DOY2,HR2,FC,H,LE,CO2,USTAR,TA,RH,PA,WS,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,-0.098572,-7.132561345,-2.740398455,364.59,0.074459,22.51,87.925,99.02,1.005,-32.275,0,0,406.975,433.15
1,0.75,0.0433585,-6.209025,-3.0714,367.09,0.07616172725,22.37,87.5,99.00088728,0.96075,-32.135,0,0,408.625,432.6
1,1.25,0.0063368,-7.3071,-2.35964743,368.8075,0.076286486,22.295,88,98.9720353425,0.9965,-32.37,0,0,410.55,432.125
1,1.75,0.51911,-7.5681,-2.266784291,371.92,0.0848845,22.215,88.7,98.9435,0.98,-31.57,0,0,409.4,431.5
1,2.25,0.1898197215,-7.96105,-2.21818349775,372.71,0.087097693,22.135,89.8,98.9277894125,1.0655,-31.485,0,0,410.025,431.2
1,2.75,0.4819622935,-8.1943,-1.25386198625,372.925,0.077820227,22.01,90.3,98.92125,0.9945,-31.365,0,0,410.8,430.7
1,3.25,0.51658,-7.5199,-2.01305086825,372.61,0.078074212,22,90,98.916,0.94125,-31.08,0,0,410.675,430.5
1,3.75,0.4518925,-6.7695,-1.7225489955,373.94,0.084178,21.9125,90.9,98.913872145,0.99375,-29.65,0,0,411.525,429.925
1,4.25,0.433244831,-7.443125,-1.8216254765,373.655,0.0709645,21.7975,91.3,98.923,0.936,-30.74,0,0,412.575,429.625
1,4.75,0.72449004175,-8.147390522,-1.819310143,374.9,0.0794944345,21.7825,91.5,98.9392683525,0.917,-28.9775,0,0,414.55,429.5
1,5.25,0.89964492,-9.677325,-1.756975,374.585,0.077095908,21.6925,91.3,98.96461641,0.97725,-28.305,0,0.2025,413.925,429.325
1,5.75,0.1285155,-8.2505,-1.773125,375.5,0.07969025,21.6525,91.8,98.993,0.93275,-28.335,0,0.5225,413.525,429.125
1,6.25,1.187972157,-8.80718704075,-0.24367,375.2875,0.08506475,21.665,92.075,99.019801155,1.002,-15.93,8.5075,1.9365,414.25,429.3
1,6.75,1.4644703365,-6.9538162035,1.036925,378.245,0.09860554575,21.7,91.875,99.051,0.89,7.88975,35.6025,5.58925,413.6,430.7
1,7.25,1.073063589,-4.425925,8.13615,381.79,0.121225,21.91,91,99.08775,0.8885,40.515,78.035,11.59,412.75,432.825
1,7.75,-3.45966635725,-1.164145941,27.58614323,378.355,0.15841418075,22.2275,89.5,99.116,0.879,72.275,125.125,17.6125,411.6,435.4
1,8.25,-8.689030787,0.78286,49.1345,376.67,0.19028,22.5,86.8,99.137433385,1.00875,86.45,156.1,22.115,412.85,438.6
1,8.75,-12.29969561,6.29475,87.1735,375.61,0.2192086365,22.8575,83.5,99.1605,1.178,126.2,222.85,28.685,416.1,442.8
1,9.25,-14.426,9.46005,109.0775,373.025,0.2470888505,23.32,80.575,99.171,1.34025,185,273.35,34.095,418.75,445.9
1,9.75,-18.18937563,12.867114345,129.25,366.9075,0.287108159,23.98,77.575,99.174,1.49,230.5,324.325,42.52,423.225,449.125
1,10.25,-19.244,17.52769942,178.09,362.87,0.3025675,24.58,75.615,99.168,1.621,242.8,354.1,43.7175,426.225,453.35
1,10.75,-21.56195195,12.134,214.910620275,360.72,0.334598543,24.95,73.78,99.1552496,1.743,262.775,369.5,46.5,429.625,456.1
1,11.25,-22.1745,13.578,214.785677,358.655,0.3379761,25.17,71.595,99.1214860225,1.6895,283.125,418.925,54.6575,431.5,457.2
1,11.75,-22.3322893925,22.132631145,223.08,356.89,0.33702992775,25.175,68.8525,99.08764308,1.661,299.1,417.1,52.06,433.4,458.6
1,12.25,-21.91563725,26.666685315,236.325,355.6,0.34654,25.58,67.86,99.0445,1.717,336.625,431.175,53.725,433.825,460.525
1,12.75,-21.89851614,25.0435,246.5,353.9775,0.36462438,25.69,67.135,98.996763555,1.752,285.1,396.65,47.945,434.2,460.625
1,13.25,-20.4969977425,23.15875,238.68,354.995,0.337968874,25.64,66.66,98.9364724375,1.68425,282,372.375,47.43,433.125,459.3
1,13.75,-19.30620766,16.7078946375,211.295,352.9,0.32999,25.565,66.15,98.879,1.687,238.525,364.025,43.4475,432.025,458.225
1,14.25,-18.7535,12.20591285,220.5025,353.2,0.315025,25.49,66.4075,98.82,1.5865,184.8,297.15,38.4525,431.1,456.375
1,14.75,-17.2700268175,8.633038873,173.13,351.5575,0.32418,25.455,65.55,98.779,1.56,146.9,241.025,30.795,427.65,456.075
1,15.25,-15.105,2.3898,147.36,353.205,0.273118246,25.125,66.57,98.752,1.47775,123.775,184.225,23.5775,425.8,452
1,15.75,-13.552,-2.3848,107.153854975,350.06,0.26148855725,24.775,67.5925,98.726,1.336,90,153.3,19.445,424.05,449.6
1,16.25,-10.2422807575,-6.79185,88.22,353.71,0.229686125,24.775,69.9075,98.709,1.2655,51.37,104.9,14.8775,421.1,448.35
1,16.75,-8.2269,-10.610996145,46.04525,352.8,0.18772,24.4625,70.845,98.71342153,1.106,25.985,76.9375,10.9275,417.525,446.125
