DOY2,HR2,CO2,FC,H2O,H,LE,PA,RH_1_1_1,RH_1_2_1,T_SONIC,TA_1_1_1,TA_1_2_1,TA_2_1_1,VPD_1_1_1,VPD_1_2_1,USTAR,WS_1_1_1,WS_1_2_1,G_1_3_1,G_2_3_1,G_3_3_1,G_4_3_1,LW_OUT,SW_IN,SW_OUT,LW_IN
1,0.25,673.03675,0.0675615,9.5642575,-0.76856825,5.5986825,96.186225,68.92,75.4,19.58895,16.17,15.21,17.39,10.94746399,8.867726796,0.3019965,0.706,0.29075,-10.37,-16.59,-14.5675,-11.345,386.725,-0.91525,3.1795,333.325
1,0.75,672.15275,0.0672422,9.6363,0.27474775,5.2788175,96.17355,69.82,78.3,19.209775,15.88,14.68,17.06,10.72606184,8.514624523,0.3526165,0.717,0.247,-10.4,-17.17,-14.65,-11.59,385.975,-0.8585,3.33625,337.8
1,1.25,672.50625,0.074732075,9.45003,0.2523325,4.44346,96.15815,71.775,80.9,19.2939,15.5625,14.3575,17.055,10.383561925,8.65675790175,0.4379525,0.79025,0.2465,-10.6475,-16.445,-14.395,-11.5525,385.75,-0.86675,3.367,333.625
1,1.75,673.8355,0.053849075,9.09639,-0.1672275,4.4575125,96.1454,72.525,80.825,18.933125,15.3875,14.52,17,10.10914591,8.06249443425,0.402939,0.84575,0.302,-10.98,-16.775,-13.8725,-11.4525,385.075,-0.8345,3.2645,333.65
1,2.25,674.86175,0.0807187,9.17015,-1.51577,5.1793,96.1353,75.15,82.2,18.354325,15.3875,14.4225,16.58,9.61765333475,8.06911174125,0.40231775,0.79925,0.364,-11.1575,-16.635,-13.9775,-11.525,384.3,-0.9485,3.14175,335.55
1,2.75,676.74625,0.087634525,8.9268475,-3.29406,5.240065,96.1362,75.525,83.875,17.911325,14.97,14.2075,15.9,9.07167165775,8.21951993875,0.349093,0.84725,0.356,-11.3425,-16.435,-14.2,-11.93,383.425,-0.89925,3.2655,337.525
1,3.25,676.4275,0.079745625,9.00105,0.2752724,3.91499,96.12245,76.45,84.1,17.622575,14.975,14.205,16.01,9.031885996,8.2159846715,0.4180035,0.87025,0.349,-11.4225,-16.305,-14.4525,-11.7475,383.25,-0.877,3.2645,337.95
1,3.75,674.3945,0.0745018,8.93032,-1.3334975,6.02219,96.106,77.425,85.6,17.75845,15.0325,14.255,16.21,9.037151721,7.9363642295,0.3827635,0.8805,0.24,-11.5275,-15.86,-14.405,-12.0075,382.3,-0.743,3.3035,334.75
1,4.25,675.622,0.069633825,8.91556,-0.3905335,4.4427225,96.1024,80.9,86.55,17.577925,14.845,14.0775,15.89,9.110630529,7.83433448,0.291536,0.887,0.266,-11.7475,-16.8075,-14.2625,-12.245,382,-0.865,3.025,326.5
1,4.75,676.317,0.093133,8.77456,-1.95624,5.351575,96.0963,78.95,85.4,17.4134,14.5975,13.97,15.47,8.93706127875,7.7050551235,0.399614,0.94325,0.294,-11.88,-16.08,-14.69,-12.415,380.5,-0.751,3.28,326.9
1,5.25,679.4105,0.079288375,8.9830125,-4.6263375,5.1701025,96.1015,79.75,86.5,17.186525,14.485,13.9025,15.45,8.894476264,7.74918401825,0.3544475,0.94725,0.433,-11.6275,-16.885,-14.035,-12.1675,379.3,-0.90875,3.09025,325.2
1,5.75,678.0665,0.09448985,8.8064525,-5.0849475,7.2418,96.09375,80.175,88.425,17.2606,14.2925,13.6125,15.6625,9.076025975,7.832158401,0.32799325,0.953,0.376,-11.4375,-17.56,-13.935,-12.05,378.925,-0.66325,3.31725,328.8
1,6.25,676.73975,0.094475025,8.8397625,-3.2440375,4.61263,96.10125,80.225,88.475,17.19,14.2375,13.84,15.335,8.9789088445,7.644044334,0.41305275,0.9795,0.4605,-11.185,-17.2475,-13.8575,-12.06,379.6,-0.70575,3.1985,331
1,6.75,680.59825,0.10127095,8.7201575,-2.681525,5.54754,96.108325,80.175,89.225,16.9218,14.15,13.54,15.12,8.7961474935,7.6146403605,0.3595505,0.9335,0.36225,-11.2875,-17.63,-13.6825,-11.98,378.375,-1.0075,3.04825,330.2
1,7.25,678.301,0.09440615,8.7355325,-3.2074325,6.5020525,96.1267,81.35,88.4,16.536,14.04,13.565,14.7475,8.592807486,7.7821193295,0.3937145,0.973,0.38025,-11.1175,-18.0725,-13.9625,-11.595,377.725,-0.7375,3.17475,329.85
1,7.75,680.32675,0.09204285,8.632985,0.06126395,6.025795,96.150975,82.1,89,16.65555,13.88,13.62,14.88,8.495864729,7.88952779125,0.378919,0.9625,0.3485,-11.6825,-17.435,-14.195,-11.6175,376.975,-0.525,3.1125,326.65
1,8.25,678.51775,0.0856641,8.602885,-5.602705,6.13023,96.16915,80.925,87.85,16.985,14.11,13.27,15.2525,9.024957754,7.8582925715,0.3715425,1.0025,0.41,-11.665,-17.345,-14.3825,-11.6925,376.675,9.38,5.66025,325.725
1,8.75,682.153,0.055371575,8.534995,-2.947775,5.98896,96.18085,76.225,86.925,16.726775,14.7175,13.64,15.545,9.7606023495,8.0676348555,0.39345,1.01375,0.5835,-11.0475,-12.615,-12.625,-10.3225,379.15,74.04,23.86,325.35
1,9.25,679.16775,0.0375514,8.61036,4.64296,12.5714,96.236325,72.05,79.325,17.0103,15.7475,15.165,15.8925,11.062330075,9.19903437975,0.410107,0.88725,0.44425,-9.16,-5.01125,-9.01,-7.2575,388.35,165.7,32.535,326.55
1,9.75,674.092,0.00597161,8.5893,40.2039,29.8374,96.2646,65.3775,69.595,18.2111,17.4825,16.6275,17.11,13.0005947475,11.8788063625,0.461565,0.98225,0.55,-6.235,4.06975,-3.70775,-2.3225,396.4,262.5,37.17,333.2
1,10.25,667.2885,-0.065979425,8.9257925,84.760275,41.350825,96.2748,60.05,62.135,20.143925,19.5375,18.715,18.93,15.945143225,14.7085585775,0.50705475,0.98025,0.50875,-3.02375,18.895,3.055,5.57625,409.55,358.6,42.1375,338.8
1,10.75,662.8845,-0.1242375,9.027835,136.605,50.23995,96.2975,54.155,56.545,22.0375,21.3425,20.6125,20.515,18.92620549,17.2579990575,0.4929585,1.122,0.5195,0.9255,25.115,11,17.3675,425.75,448.8,48.73,344.9
1,11.25,659.54175,-0.1661245,9.079285,164.21225,63.9808,96.306675,50.1225,51.085,23.622675,22.66,22.5,21.9075,21.5884934125,20.49002368,0.466527,1.15475,0.543,6.48175,52.9725,31.035,22.785,441.35,526.975,55.8775,350.3
1,11.75,655.59625,-0.21514925,8.5053225,191.134,72.317025,96.292925,46.5,45.81,24.884575,23.4525,23.91,23.15,23.0264929925,23.37648412,0.47467725,1.26575,0.59575,14.5575,64.1475,45.3325,21.705,451.675,593.05,62.5725,357.175
1,12.25,653.99375,-0.2910605,8.1026925,225.9905,79.960275,96.26665,41.92,42.4525,25.639,24.53,24.715,24.02,24.57613521,24.6913920475,0.532304,1.48075,0.61325,25.415,73.95,60.6325,22.1875,461.6,644.35,67.495,360.1
1,12.75,651.283,-0.325734,8.37551,243.09,85.599025,96.2282,41.0075,41.32,26.49365,25.48,25.565,24.99,26.72032982,26.73871469,0.51302,1.6245,0.75275,34.1975,86.65,64.795,23.435,469.375,675.2,71.705,364.1
1,13.25,649.673,-0.335535,8.45999,262.4,96.1294,96.1746,40.03,39.91,27.137175,26.015,26.5425,25.665,28.7920407525,29.0587069475,0.542936,1.75675,0.79175,33.4675,81.9,57.6075,25.7925,474.825,690.2,73.7925,367.825
1,13.75,646.96575,-0.348251,8.6266375,263.4765,98.940225,96.1212,39.465,38.97,27.6472,26.69,26.95,26.32,29.6273689075,29.6405688925,0.5601735,1.937,0.81475,29.1325,98.15,59.945,29.9325,480.4,685.1,73.88,368.9
1,14.25,646.046,-0.3445535,8.16406,262.23875,107.194,96.0642,35.7225,36.1275,27.87345,27.0875,27.495,26.58,30.2080578425,31.0432422975,0.560457,1.99025,0.82175,25.1325,91.675,58.55,39.2275,482.5,668.3,71.5,368.9
1,14.75,645.803,-0.2965435,7.75881,246.77475,91.064725,96.0319,35.1825,34.805,28.1825,27.3925,27.715,27.11,30.63814246,31.273399105,0.5663475,1.982,0.8615,27.4325,99.375,54.865,38.6675,482.1,633.8,68.27,369.8
1,15.25,645.068,-0.292902,7.91246,227.248,96.1545,96.0205,34.745,34.55,28.3255,27.7175,28.0125,27.36,30.6524070825,31.478206915,0.563715,2.01125,0.83575,32.385,64.7175,35.56,35.8125,480.4,584.5,64,369.6
