DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_2_2,H2O_1_3_2,H2O_1_4_2,H2O_1_5_2,H2O_1_6_2,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CO2_1_5_2,CO2_1_5_3,CO2_1_6_2,CO2_1_6_3,CH4_1_1_1,CH4_1_2_1,CH4_1_6_1
1,0.25,1.45396329224375,-14.4781163758212,0.0532055641945186,0.184080422045536,-0.0805817474407439,0.188853350313485,-0.999576518717549,-1.28742134880165,0.168585303350484,-16.6630374876982,-5.97091523534352,0.375474538396425,1.0375,0.72,0.36,0.2325,0.11,-15.451275,-14.542,-14.783925,-15.56255,-15.9906,-16.3054,-16.8324,95.413115,74.4,0.2848,-14.39,-14.5725,-14.5875,-12.12,-12.2025,0.6,-3.3325,2,-0.315,208.975,247.875,250.525,257.175,-0.01,-0.14,-0.03,-0.17,0,-0.22,-0.16,-0.1,-0.02,-0.29,-0.2335,-0.16025,0.82275,1.357,2.101,2.40825,3.05875,3.574,4.9615,-1.19275,-0.71875,-0.13075,0.978,1.703,2.249,2.95375,3.21325,4.609,-0.259,0.249,0.75,1.31325,1.81575,2.21025,3.05575,3.112,4.7005,0.245,0.23,0.765,1.11375,1.4935,2.142,2.88275,3.529,4.6425,-0.731,-0.22,0.07675,0.692,1.25925,1.791,2.7435,3.05025,4.16275,-5.58775,-6.5665,-5.59725,-56.035,1.40608530468502,1.34308320592094,1.32930869540759,1.34476937071372,1.78431368263834,1.77790372647613,1.19883349690115,416.243001410221,421.906643715442,422.336644522224,421.890372355898,422.537430273247,422.221228007009,424.374090684025,421.31576645569,424.051596424732,421.540815127155,422.180761838356,424.820364999349,425.733544074838,2019.63339104566,2019.67544339505,2009.4567569209
1,0.75,1.51361279867274,-15.1350487201272,0.0510128680871065,0.183091105119722,-0.12225262511343,0.169684271031349,-0.733694893403634,-1.45572359971301,0.169707098328499,-13.4833023769127,-4.7197021692894,0.358580702912434,1.01,0.66,0.38,0.24,0.11,-15.643475,-14.72,-15.081775,-15.750225,-16.35225,-16.6715,-16.47705,95.4654575,75.64,0.28185,-14.63,-14.3175,-14.805,-12.25,-12.4475,0.5,-2.9525,2,-0.3975,207.8,246.775,249.875,256.775,-0.01,-0.14,-0.03,-0.1775,0,-0.22,-0.16,-0.11,-0.02,-0.2875,-0.2455,-0.15975,0.82175,1.355,2.095,2.40725,3.0585,3.573,4.96125,-1.227,-0.73775,-0.1295,0.978,1.707,2.2495,2.95275,3.21325,4.60825,-0.262,0.2465,0.749,1.313,1.81575,2.2095,3.05475,3.112,4.6995,0.243,0.232,0.766,1.114,1.48975,2.141,2.88175,3.53675,4.64225,-0.732,-0.217,0.07425,0.6905,1.259,1.79075,2.74325,3.04925,4.1625,-5.6355,-6.64625,-5.591,-54.5475,1.39216741062901,1.33284262318839,1.31147265927595,1.32297070267622,1.76871364683783,1.70093607251321,1.16408875422985,415.619054431043,421.75868740401,422.383584014925,422.092678209401,422.921100861976,422.171514643906,424.160337609216,421.612395697182,423.619221340348,421.748715526114,421.890428562533,424.436875358283,424.092772256064,2020.20624630715,2019.62997879671,2007.79312377714
1,1.25,1.43365635459082,-15.5537726050905,0.050128507149479,0.211210369570209,-0.148424215379144,0.151195919574526,-0.545961958136852,-1.33236561530803,0.149620024570732,-14.4132305757167,-5.04809506839992,0.375964259957063,0.89,0.66,0.37,0.25,0.11,-15.77035,-15.05525,-15.433075,-15.811075,-16.41615,-17.0103,-16.70855,95.48399,75.8,0.28085,-14,-13.83,-14.375,-12.28,-12.6975,0.6,-2.89,2,-0.4375,206.3,247.525,247.625,255.3,-0.0175,-0.14,-0.02,-0.18,-0.01,-0.22,-0.16,-0.1,-0.0175,-0.29,-0.23475,-0.16,0.821,1.35275,2.09725,2.40725,3.0575,3.573,4.96025,-1.246,-0.7495,-0.1275,0.974,1.70625,2.24875,2.9525,3.21225,4.60725,-0.264,0.241,0.747,1.312,1.815,2.2095,3.05375,3.10725,4.69925,0.241,0.2295,0.76725,1.114,1.48675,2.14425,2.881,3.53175,4.6415,-0.735,-0.21775,0.07125,0.6885,1.259,1.79075,2.7425,3.04575,4.16075,-5.5565,-6.6495,-5.511,-55.81,1.39884265705202,1.34985999982291,1.3201089185725,1.35043127304846,1.75690076623519,1.72770179115033,1.22398363897583,415.345406959042,421.923396759884,422.023723379651,422.189259457452,422.428904445758,422.663732135474,423.738907140892,421.335878850006,424.614797902095,421.509484597782,422.130702547912,424.723555739985,423.610950152399,2019.64223682472,2019.59582073675,2008.02917701161
1,1.75,1.43101602443288,-15.8377974832984,0.0511664028032829,0.188020446863156,-0.0667322078390974,0.273374594919384,-0.808438836394015,-0.903069748942154,0.155246612378934,-14.6605999538361,-4.32364005237209,0.366374185159182,0.865,0.66,0.36,0.24,0.11,-15.9373,-15.19,-15.708025,-15.82,-16.43435,-17.11955,-16.989725,95.4464975,75.76,0.2706,-14.53,-14.345,-14.52,-12.5,-12.965,0.6,-3.0025,2,-0.425,203.25,248.875,247.7,255.15,-0.01,-0.14,-0.03,-0.18,-0.02,-0.22,-0.16,-0.11,-0.02,-0.29,-0.2315,-0.16625,0.822,1.35575,2.09725,2.40625,3.0575,3.57275,4.96025,-1.257,-0.7615,-0.12475,0.977,1.721,2.2485,2.9515,3.212,4.607,-0.301,0.238,0.745,1.311,1.81475,2.2085,3.05375,3.105,4.6985,0.24175,0.22825,0.76625,1.114,1.485,2.14325,2.88075,3.5345,4.6415,-0.73175,-0.236,0.06725,0.68725,1.259,1.78975,2.74,3.04825,4.16125,-5.521,-6.63,-5.60275,-59.01,1.40120555191761,1.33663450184523,1.28564859076746,1.32924084410815,1.77954366984508,1.77872617462217,1.2514648375286,414.933885805705,422.060490638982,422.812670193326,422.30157392339,423.084569790444,422.879018491313,424.418363744604,421.07517773106,424.342016977728,421.876623688165,420.4891147378,424.635802897207,423.82995686382,2021.64780760348,2021.97967198854,2010.22682380236
1,2.25,1.428189040886,-15.636013559377,0.0482939339391169,0.189171766219949,-0.0341113192488767,0.173231054179495,-0.580170609169653,-1.12959750161164,0.158212657082354,-13.2355451125774,-4.35054322795382,0.35066847705832,0.89,0.63,0.31,0.23,0.11,-15.87195,-15.324,-15.9001,-16.081075,-16.7819,-16.9055,-17.158775,95.5042425,75.755,0.2699,-14.47,-14.48,-14.3925,-12.8,-13.1725,0.6,-3.2125,2,-0.3925,208.025,247.75,245.975,254.375,-0.01,-0.14,-0.02,-0.17,-0.01,-0.22,-0.16,-0.1,-0.02,-0.29,-0.2265,-0.174,0.818,1.358,2.096,2.406,3.0565,3.572,4.95925,-1.26575,-0.766,-0.12275,0.9795,1.721,2.2475,2.9505,3.21125,4.60625,-0.3135,0.23175,0.743,1.3105,1.812,2.2085,3.05275,3.105,4.6975,0.2395,0.22675,0.7665,1.114,1.48475,2.1425,2.88,3.5285,4.6405,-0.7305,-0.237,0.06,0.68625,1.258,1.7895,2.74,3.04825,4.1605,-5.587,-6.668,-5.6275,-55.8,1.36758350339687,1.25891841266423,1.25342183181277,1.28342080611362,1.80667030647361,1.80518169899411,1.23517036186602,414.911938022098,421.994108322225,421.949451473203,422.324185947723,422.495738247029,422.723163789804,423.448065889043,421.350451820561,426.011875760369,421.731822797904,421.731629292031,424.638174926859,424.253074986786,2021.16188491598,2021.57460424178,2011.52333212441
1,2.75,1.45163689654695,-15.8654265377373,0.0490238845559226,0.1671354306663,-0.026126514450632,0.192167468392055,-0.738861393687688,-0.807087787712355,0.150379941052356,-13.4836675132331,-4.5474800139095,0.328852248670098,0.9875,0.68,0.34,0.2225,0.1175,-16.0588,-15.4345,-16.047375,-16.28815,-16.9127,-17.1541,-16.815725,95.48573,76.35,0.2663,-14.82,-14.7575,-15.01,-13.15,-13.205,0.6,-2.925,2,-0.4275,202.675,246.15,247.275,254.525,-0.01,-0.14,-0.02,-0.17,-0.0075,-0.22,-0.16,-0.1,-0.02,-0.29,-0.2275,-0.176,0.815,1.3585,2.097,2.40525,3.05625,3.571,4.959,-1.278,-0.773,-0.12075,0.9765,1.721,2.2465,2.9505,3.211,4.60525,-0.3175,0.231,0.741,1.31075,1.811,2.20775,3.052,3.104,4.6965,0.24225,0.226,0.76675,1.114,1.48425,2.14225,2.87975,3.536,4.63975,-0.7355,-0.24425,0.059,0.68575,1.258,1.78925,2.739,3.04725,4.16025,-5.544,-6.588,-5.664,-52.49,1.37777870261072,1.24354683376548,1.24548248718568,1.25642043869774,1.68081454532369,1.63805868663323,1.18505339996268,415.235231226311,422.167791890377,422.861814280606,422.156916132647,423.509890639483,422.438562588844,424.81545992497,421.695863907722,426.173163812759,421.511922644025,421.191595346918,424.727887851841,424.134674417488,2022.31844652371,2022.04446955419,2010.13786484091
1,3.25,1.58583381806593,-16.0495873676775,0.0522875093903936,0.188348680559233,-0.0831586340748689,0.190762154117331,-0.611804643202801,-0.708869970331345,0.151596634859854,-13.8018233500909,-4.14863125115957,0.341340082864936,1.05,0.74,0.38,0.2325,0.11,-16.5916,-15.8615,-16.285825,-16.507625,-17.3637,-17.471575,-16.5831,95.419165,76.375,0.261875,-15.17,-14.92,-15.535,-13.3,-12.7925,0.6,-2.9075,2,-0.4175,206.525,243.825,249.775,256.025,-0.01,-0.14,-0.04,-0.1775,0,-0.22,-0.16,-0.1,-0.02,-0.29,-0.237,-0.17775,0.813,1.358,2.095,2.405,3.05625,3.57075,4.95825,-1.2955,-0.776,-0.11925,0.976,1.70375,2.2455,2.9495,3.21,4.60425,-0.325,0.228,0.73925,1.312,1.81075,2.20775,3.05175,3.10425,4.6965,0.2375,0.22525,0.767,1.114,1.483,2.149,2.879,3.532,4.6395,-0.74075,-0.257,0.062,0.6845,1.258,1.78825,2.74025,3.04725,4.16,-5.552,-6.538,-5.57175,-50.065,1.37545417894763,1.30315116452055,1.26811015913547,1.2875817602577,1.80668502803297,1.81189539223742,1.14373907816922,415.299000568878,422.082238367278,422.883873299705,422.254881565785,422.889298197318,422.578517404075,424.328814351164,421.212601339764,426.334873487594,421.239418001251,421.18769704354,424.392856678115,424.460032798925,2022.61013460358,2022.61353524717,2011.72203027712
1,3.75,1.51493568639107,-16.2201710949362,0.0478562928948094,0.13911537003008,-0.0619615399734429,0.159161903678226,-0.767372973935467,-0.841452433778746,0.15642532017075,-13.7795138055802,-4.02711956481267,0.34664003662418,1.0575,0.77,0.36,0.23,0.11,-16.594475,-16.13325,-16.4864,-16.630775,-17.59475,-17.615575,-16.91195,95.36935,76.7925,0.2641,-14.75,-14.6125,-14.5975,-12.92,-12.605,0.6,-2.87,2,-0.5025,208.25,243.675,250.375,257.3,-0.01,-0.14,-0.02,-0.17,-0.0075,-0.22,-0.16,-0.1,-0.02,-0.29,-0.246,-0.1815,0.813,1.358,2.094,2.40475,3.05525,3.57,4.958,-1.3045,-0.77725,-0.11675,0.9705,1.7035,2.2455,2.94875,3.20925,4.6035,-0.327,0.23175,0.736,1.3095,1.8105,2.207,3.05075,3.1035,4.6955,0.23075,0.22,0.766,1.114,1.4825,2.149,2.87825,3.531,4.6385,-0.739,-0.26975,0.0645,0.6825,1.258,1.788,2.7395,3.04625,4.159,-5.5675,-6.59175,-5.56225,-48.3575,1.34977909023955,1.28595761035547,1.21448345493444,1.25682018001809,1.66716129603838,1.51878638791075,1.09876304625781,415.191513586063,422.223471570816,423.721963511507,422.497335609235,423.817900213209,422.772264931074,424.745025249053,421.410853887546,426.94161799116,421.769843776712,422.650048132596,424.547922354615,424.138445420507,2022.77724385252,2022.90369790012,2009.88158997982
1,4.25,1.45154281049686,-16.4603052672126,0.049404136515271,0.185491824884674,-0.0491319487208171,0.196252071974228,-0.778333091382643,-0.932772739138976,0.154291856031234,-12.8746436865429,-3.21238250882812,0.35263074792709,0.9475,0.67,0.36,0.24,0.1175,-16.77625,-16.074,-16.7688,-17.0578,-17.5575,-17.6457,-17.05765,95.36285,77.52,0.2607,-14.5,-14.93,-14.6875,-13.14,-12.49,0.6,-2.9725,2,-0.41,212.225,243.75,251.2,258.25,-0.01,-0.14,-0.03,-0.17,-0.0275,-0.22,-0.16,-0.1,-0.02,-0.29,-0.245,-0.18775,0.813,1.358,2.09375,2.40375,3.05425,3.56975,4.957,-1.32175,-0.77725,-0.11525,0.9685,1.70275,2.2455,2.9485,3.209,4.6025,-0.33275,0.231,0.736,1.3095,1.81,2.20675,3.05,3.1025,4.6945,0.223,0.217,0.766,1.11375,1.482,2.148,2.878,3.52425,4.63775,-0.73325,-0.2815,0.0665,0.68125,1.25775,1.78775,2.73925,3.0445,4.159,-5.62025,-6.66925,-5.59175,-50.9775,1.32346267649839,1.25997163976755,1.20043503495395,1.27336458938969,1.71381079196455,1.54118366414756,1.15863657543591,415.449256221303,422.371526059065,423.650357208798,422.399431128916,423.499242302736,422.51106804842,424.76070501934,421.625972844961,425.821199075256,422.14148013731,423.97613699182,424.557244456349,424.842499766923,2022.70938473368,2022.93328864615,2010.58504602415
1,4.75,1.45876434447705,-16.6192477569541,0.0467082073263011,0.166353838102262,-0.164736182337927,0.0869942208464455,-0.530260349413422,-0.79810234722959,0.147893472326006,-11.507286061997,-3.32739038556931,0.355107170134129,0.9425,0.65,0.36,0.24,0.11,-17.2205,-16.0265,-16.7716,-17.165475,-17.54555,-17.6179,-17.1547,95.3501,77.58,0.2632,-14.04,-14.385,-14.375,-12.91,-12.7725,0.6,-2.65,2,-0.4275,206.9,244.025,251.15,256.25,-0.01,-0.14,-0.03,-0.17,-0.0275,-0.22,-0.16,-0.11,-0.02,-0.29,-0.238,-0.18575,0.81475,1.358,2.093,2.40375,3.054,3.56875,4.956,-1.3365,-0.779,-0.11475,0.969,1.702,2.2455,2.94775,3.208,4.6025,-0.334,0.2245,0.736,1.312,1.8095,2.20525,3.049,3.1015,4.6945,0.22325,0.212,0.76625,1.113,1.48075,2.13975,2.87725,3.52375,4.6375,-0.73325,-0.28725,0.06925,0.67925,1.257,1.787,2.73825,3.0455,4.158,-5.522,-6.635,-5.558,-49.415,1.29195360047617,1.23996971036172,1.16733051335375,1.24677580157914,1.60587759269007,1.55592913868668,1.25795831209033,415.759984218928,422.531301925061,423.014517606595,422.379980732412,422.998162746326,422.739780367808,424.638017423369,421.570504699046,424.54172976403,421.700651268758,422.606701041026,424.512032362973,423.939078143043,2023.91564721946,2023.903282683,2008.38309694673
