DOY2,HR2,CO2,CH4,H2O,FC,FCH4,G_1_1_1,G_2_1_1,G_3_1_1,H,LE,PA,RH,T_SONIC,TA,VPD,LW_IN,LW_OUT,SW_IN,SW_OUT,NETRAD,PPFD_IN,TS_1_1_1,TS_2_1_1,TS_3_1_1,TAU,U_SIGMA,V_SIGMA,W_SIGMA,USTAR,WS
1,0.25,399.0884,2015.9895,0.4974409,-0.611481625,-12.47962,-21.7546,-14.54874,-11.70698,-63.24089,-3.79441,98.38246,60.6511625,-24.748,-26.741825,0.00765998656335711,141.65935,200.668675,-8.739366,-8.036572,-77.42104,0.02435184,-7.69919999999999,-6.60539999999998,-9.01999999999997,-0.6169528,0.288276386396654,0.303948893719469,0.139240854854102,0.09464455,1.852339
1,0.75,399.4934,2014.665,0.488138,-0.779048425,-14.57865,-21.74926,-14.4354,-11.258,-73.3722975,-4.00986775,98.3941,59.6178775,-24.976,-26.562625,0.00289195381875336,141.418925,200.525175,-9.69983,-8.222188,-77.96734,0.0254,-7.69919999999999,-6.60119999999998,-9.01999999999997,-1.794046725,0.342647483923502,0.29906244459272,0.103673464904175,0.08061479,1.190533
1,1.25,399.868575,2015.5025,0.485042325,-0.59713005,-10.304705,-21.786425,-14.5150075,-11.3813775,-71.362875,-8.6713875,98.39986,59.700445,-25.0929,-26.76715,0.00229806947948522,141.10815,200.5116,-9.08518475,-7.67840575,-78.1450775,0.01759,-7.69542499999997,-6.59934999999997,-9.03434999999997,-0.6702231,0.345853343428568,0.24903492863468,0.0949802076411243,0.0849791725,2.05003175
1,1.75,402.10995,2017.216,0.48832335,-0.663144,-4.0174925,-21.75961,-14.43005,-11.39139,-67.579835,-4.1590785,98.393425,60.0935375,-25.0047,-27.019125,0.00270397486415657,141.203025,200.7335,-9.75356,-6.897564,-77.9430275,0.0215745066273329,-7.69129999999999,-6.60069999999999,-9.02799999999997,-0.6998075,0.416788510487536,0.254187656729074,0.115662076531054,0.076561075,2.3116005
1,2.25,401.643,2013.43,0.503941375,-0.9689636,-5.769656,-21.72372,-13.5591525,-11.3825,-67.0118,-6.77125,98.38975,60.462405,-24.89675,-27.0718,0.00620118667732115,141.305025,201.0324,-9.64236325,-7.04241875,-77.8909975,0.0289925,-7.69167499999998,-6.59999999999997,-9.03317499999998,-0.66416325,0.32075682123359,0.335270541748158,0.140608845776898,0.11656075,1.982875
1,2.75,401.7226,2011.1825,0.5126616,-0.8269869,-8.87931,-21.62994,-13.45722,-11.31918,-62.9374375,-3.41671975,98.38358,62.33796,-24.8458,-27.02315,0.00261091673360011,141.84285,201.5552,-8.692216,-7.404342,-77.053415,0.02410776,-7.68859999999996,-6.59999999999997,-9.04299999999998,-0.6409927,0.383146439695504,0.31429480083047,0.175692019227976,0.1496726,2.793966
1,3.25,401.6167,2046.9095,0.5187927,-1.13833475,-11.478594,-21.54279,-13.40986,-11.28275,-61.8829375,-6.543816,98.3694,61.72564,-24.86865,-26.94255,0.00262367763797465,141.25695,201.5969,-6.024571,-5.218385,-76.86719,0.02572555,-7.58249999999997,-6.57999999999997,-8.7911,-0.524953,0.413312493126264,0.309095996735125,0.173295861431438,0.163893375,2.4728395
1,3.75,403.491225,2046.94316666667,0.5117342,-0.847399075,-11.5972184772727,-21.633775,-13.300495,-10.749509,-60.61356,-2.1649825,98.3374375,61.96579,-24.909,-26.9723,0.00286655448072998,141.342925,201.00545,-2.453386,-0.38490345,-77.78791,0.030457725,-7.58999999999997,-6.58999999999997,-8.79404999999998,-0.5274236,0.409541265346121,0.316321007301497,0.162901371064773,0.145493175,2.11870175
1,4.25,403.276725,2046.97683333333,0.497306925,-1.10454975,-11.7158429545455,-21.7446325,-13.1830425,-10.75624975,-60.2126025,-9.7059775,97.57073,62.18683,-25.0246,-27.133275,0.116013989625972,140.927,200.471,-2.460296,-0.1064111075,-78.0864225,0.0265988875,-7.60864999999998,-6.59499999999997,-8.80725,-0.5652076,0.42377268120016,0.311992109749741,0.151918582676533,0.141485125,2.525796
1,4.75,406.69425,2047.0105,0.4927405,-1.129895,-11.8344674318182,-21.8176,-13.2285,-10.7702,-66.8579975,-5.84372275,98.297475,62.50152,-25.034,-27.3826,0.116384190734142,140.5188,200.503375,-2.41671,-0.111034,-78.3348,0.0291,-7.69199999999995,-6.59999999999997,-8.86199999999997,-0.511095875,0.400830181575577,0.238467757178247,0.121223609041883,0.0938664125,2.42590625
