DOY2,HR2,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,G_1_1_1,G_1_1_2,H_1_1_1,LE_1_1_1,SH_1_1_1,WS_1_1_1,USTAR_1_1_1,TAU_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,T_SONIC_1_1_1,TS_1_1_1,TS_1_2_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,NETRAD_1_1_1,PPFD_IN_1_1_1,PPFD_IN_1_2_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NEE_1_1_1
1,0.25,424.8115,4.42065,1.1386485,-24.955,-40.65,-45.8136,-1.561349,-11.304475,2.2472,0.177616,-0.4625545,0.436,0.38927,0.272165,99.35115,54.9525,3.48075,1.70675,5.024,7.864,10.415,9.15,9.57,11.9,-84.225,0,0.0045,0.32275,0.70525,273.15,345.85,1.1386485
1,0.75,425.0205,4.4325,1.2790225,-25.11,-41.81,-40.630538,-0.511187,-12.7758,2.19276375,0.1745495,-0.460025,0.420734,0.4060275,0.26576,99.3142,56.15,3.313,1.57615,5.0795,7.7065,10.39,9.085,9.55,11.9,-84.3,0,0.0045,0.32275,0.5775,270.225,344.8,1.2790225
1,1.25,425.43725,4.3723,1.1582735,-25.505,-41.6,-42.568724,-1.5324,-11.806575,2.2716945,0.18028275,-0.43173275,0.4491725,0.4091825,0.2498475,99.29675,56.58,3.128,1.617825,4.7795,7.538,10.365,9.015,9.495,11.9,-82.475,0,0.0045,0.32275,0.79825,273.175,344.35,1.1582735
1,1.75,426.291,4.3931,1.236464,-25.865,-41.72,-43.004354,-1.44385,-9.5241,2.266136,0.20084,-0.42292375,0.4799825,0.42553525,0.2825725,99.3106,58.5875,3.104,1.61805,4.105,7.4085,10.34,8.945,9.42,11.89,-82.125,0,0.0045,0.32275,0.85925,271.15,344.225,1.236464
1,2.25,426.486,4.2652,1.118892,-26.855,-42.38,-44.1745,-1.1754375,-12.277275,2.29923925,0.183632,-0.41285725,0.44665,0.400405,0.260308,99.2739,60.325,2.867,1.599875,3.8595,7.2885,10.305,8.885,9.34,11.885,-84.075,0,0.0045,0.32275,1.01175,271.375,343.225,1.118892
1,2.75,427.17,4.236925,1.17453825,-27.22,-42.48,-39.6282435,-0.517,-10.56085,2.32674375,0.1815595,-0.4284225,0.5254265,0.421065,0.320235,99.289475,61.595,2.722,1.459275,3.723,7.1745,10.275,8.825,9.285,11.88,-83.45,0,0.0045,0.29721875,0.966,273.95,341.975,1.17453825
1,3.25,427.049,4.234975,1.1798185,-27.4,-43.63,-41.0902,-0.524018,-10.0915,2.141625,0.2040175,-0.37378525,0.4988015,0.4106875,0.2939495,99.29845,62.83,2.499,1.57185,3.6475,7.0825,10.245,8.745,9.24,11.87,-83.325,0,0.0045,0.2716875,0.7685,272.8,340.7,1.1798185
1,3.75,427.1805,4.23235,1.3761555,-27.005,-44.03,-42.2602095,-0.72086,-8.433725,2.24772025,0.2011365,-0.4005985,0.520522,0.415125,0.3313465,99.318025,61.62,2.485,1.4211,3.6465,6.9545,10.21,8.67,9.195,11.86,-82.6225,0,0.0045,0.24615625,0.8265,270.35,340.025,1.3761555
1,4.25,427.86575,4.2452,1.2717725,-27.24,-44.51,-43.7518325,-1.431872,-10.678375,2.332808,0.20736775,-0.37869375,0.53413,0.4419965,0.3623225,99.30665,61.3575,2.264,1.3736,3.4025,6.8295,10.17,8.59,9.15,11.845,-83.625,0,0.0045,0.220625,0.9525,268.325,339.1,1.2717725
1,4.75,427.77225,4.271675,1.3499385,-27.8875,-44.09,-39.19655,-0.5737315,-7.743375,2.219,0.193799,-0.42657,0.5686725,0.4542525,0.327357,99.316475,60.485,2.17,1.385875,3.0205,6.664,10.075,8.445,9.075,11.82,-81.1,0,0.0045,0.19509375,0.998,268.725,339.7,1.3499385
