DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,CH4,PPFD_IN,FC,SC,NEE,TS_1_1_1,FCH4
1,18.75,0.5066275,3.2249,2.345125,-2.48835,8.0998,72.8495,100.12815,413.165,5.934225,2162.4,1.0642,2.8309,0.71,3.3384,4.5823,10.29425
1,19.25,0.5183625,2.65195,2.337225,-1.7322,8.609475,73.51,100.12405,414.5725,5.96725,2190.85,1.0653,2.66135,1.1213,3.6302,4.6025,10.00925
1,19.75,0.50884,2.44695,2.405925,-1.24305,10.637,74.658,100.10895,414.655,5.9928,2191.4,1.06545,2.4879,0.674245,2.75365,4.62285,10.748
1,20.25,0.5054025,2.479775,2.36295,0.7169,10.06335,76.1025,100.094375,411.9225,5.854275,2189.2,1.064175,2.943,0.60438,3.4139,4.624,12.888
1,20.75,0.518665,2.0123,2.429475,-0.08356,8.6836,77.8675,100.105025,415.01,5.7646,2205.1,1.0651,2.429775,0.6214725,2.6488,4.6053,17.7415
1,21.25,0.5187,1.81435,2.2995,-0.0960975,8.477925,78.28375,100.110675,415.7225,5.7952,2206.65,1.0656,2.538975,0.61436,2.8098,4.6091,9.9557
1,21.75,0.5098625,1.57985,2.37825,-0.7292425,9.0658,78.12975,100.104025,417.2,5.742075,2212.1,1.0646,2.0963,0.616295,2.864575,4.627275,8.75155
1,22.25,0.49071,1.59295,2.2049,-2.375,8.17125,79.1065,100.124025,415.395,5.795825,2215.2,1.0652,2.3752,0.3992475,2.5437,4.613925,14.2795
1,22.75,0.5096975,1.69,2.260325,-1.04175,7.6397,79.9715,100.107075,414.2225,5.823325,2230.375,1.0679,2.0332,0.544375,2.5959,4.601675,8.105725
1,23.25,0.480965,1.509,2.214,-1.50165,9.4827,79.7185,100.09665,416.54,5.902,2249.2,1.0678,2.161675,0.4107225,2.5698,4.5751,11.337
1,23.75,0.4748825,1.3027,2.239675,-1.38464,8.005025,80.8935,100.11465,414.69,5.8873,2255.625,1.067325,1.7339,0.5071,2.0804,4.562525,6.93055
2,0.25,0.4531,1.9726,2.1644,-1.76835,8.49375,79.694,100.0203,417.415,5.844325,2232.1,1.068,2.0369,0.494715,2.0571,4.497875,6.5583
2,0.75,0.48255,2.02,2.2462,-3.8519,10.702,79.84,99.98295,416.835,5.744975,2236.15,1.0699,1.88555,0.47583,2.0735,4.5193,8.21605
2,1.25,0.51179,1.93635,2.42755,-3.7977,12.6025,79.983,100.0039,417.79,5.7472,2239.95,1.068125,1.5973,0.2788175,1.619875,4.494675,14.328
2,1.75,0.46528,1.8727,2.2409,-3.98875,9.91375,79.8875,100.0057,418.77,5.7591,2241,1.066925,1.613875,0.63686,2.0017,4.467925,12.049
2,2.25,0.50101,1.70115,2.2081,-4.967125,9.957275,80.4465,100.0271,418.9125,5.7422,2231.075,1.068225,1.9748,0.82676,2.4785,4.441025,12.4275
2,2.75,0.4854325,1.4914,2.202125,-0.52236,10.0574,80.921,100.0214,418.81,5.7256,2235,1.0695,1.445125,0.6092,1.967025,4.4148,7.014525
2,3.25,0.4678,1.4935,2.148525,-3.1245,8.59055,81.42275,100.0225,416.99,5.6603,2238,1.068375,1.5594,0.54887,2.0757,4.38925,10.604
2,3.75,0.476145,1.51815,2.02685,-2.28075,9.626675,81.567,99.95898,419.5375,5.677225,2231.525,1.068375,2.009975,0.608565,2.5299,4.364625,13.243
2,4.25,0.448095,1.4624,1.98925,-2.527325,8.95065,82.5425,99.97401,414.805,5.70375,2220.25,1.0746,1.6817,0.66186,1.932275,4.354475,11.2155
2,4.75,0.46235,1.371,2.064025,-0.93218,10.45325,83.13675,100.0122,415.9275,5.913925,2222.25,1.074425,1.78195,0.53757,1.87925,4.353925,11.508
2,5.25,0.43695,1.322425,2.021375,-0.45728,11.288,84.1315,100.0099,416.3775,5.769925,2224.6,1.0756,1.8358,0.475655,2.007125,4.35295,9.0873
2,5.75,0.458335,1.06915,2.14495,0.036755,9.7186,83.8435,100.0458,416.485,5.62885,2218.7,1.07475,2.11975,0.674225,3.04195,4.34595,7.8143
2,6.25,0.44747,0.90835,2.0752,0.58395,9.9721,84.069,100.0673,417.745,5.5751,2238.6,1.0741,1.9698,0.81993,3.1172,4.337075,16.2335
2,6.75,0.460785,0.855895,2.060925,-1.102755,10.2575,84.4835,100.0917,420.39,5.675,2234.8,1.079275,1.996125,1.0624,2.8641,4.330025,11.48475
