DOY2,HR2,CO2,FC,H2O,SC,H,LE,SH,PA,T_SONIC,PPFD_IN,TAU,USTAR,WS,G_1_3_1,G_2_3_1,LW_OUT,SW_IN,SW_OUT,SLE,RH_1_1_1,RH_2_1_1,TA_1_1_1,TA_2_1_1,VPD_1_1_1,VPD_2_1_1,LW_IN
1,0.25,376.58332741,-1.18192350115,5.73068339855,-0.80132622105,-87.5980904925,-10.6873162956,-11.97379909975,96.8003024295,14.835975245,-0.002525,-0.24788419815,0.0658925,0.4496977643,-16.2655,-10.134,364.54,-4.946575,0.39435,-18.009947638,24.781852194,29.7184425415,9.47476058,10.5924919475,1.1772891034,1.37635778935,287.0475
1,0.75,375.78440176,-0.3631311566,5.5184063388,-0.6527029216,-94.313167426,-11.798549698625,-9.5133379785,96.76683309,14.3204453925,-0.005625,-0.26416281985,0.081925,0.50535819015,-16.67875,-10.944,362.375,-5.0869,0.5255,-11.264284456,25.023985696,28.110632054,8.83337118,9.876881,1.1462839942,1.237017116,285.5475
1,1.25,377.773271905,-1.8391672456,5.5945777022,-0.3875102494,-87.00048100125,-13.9157828285,-13.062272383,96.75430355575,14.4352373075,-0.00615,-0.21715180235,0.072575,0.608402119125,-16.939,-11.52975,361.58,-5.052475,0.4213,-17.154352294,24.014199776,27.6666329,8.3948919275,10.0087590725,1.2227418918,1.0636798244,284.5175
1,1.75,376.862790335,-0.45535882775,5.38650251135,-0.6870851602,-94.20544773,-14.26424202625,-9.5131589976,96.75780108325,14.2016524875,-0.00515,-0.2269066254,0.06754,0.549603447025,-17.634,-11.70325,360.6225,-5.482125,0.659075,-13.120784775,25.34649088375,27.979013627,7.707946045,9.6751907,1.1250512034,0.9842981554,283.6125
1,2.25,377.710366875,-0.156729416,5.3871885223,-1.1463089413,-92.81293253875,-8.10513364605,-12.80078926475,96.752778383,13.844635505,-0.005,-0.27635907995,0.0752925,0.6575099319,-18.39025,-11.85675,359.09,-5.257075,0.662025,-14.0577970935,24.16632804,27.82332476,7.5583983275,9.5387608725,1.1665357414,0.9003301506,282.4125
1,2.75,377.95119647,-0.3764083677,5.48972654355,-0.52009574865,-96.537272932,-12.26458524475,-9.726638481075,96.76315974475,13.7971786225,-0.003625,-0.21857190915,0.091794734775,0.518820288625,-18.81075,-12.044,354.2,-5.4075,0.5058,-14.692730213,23.815171148,28.2113774785,7.22506681,9.1073633,0.9633517524,0.95692959545,279.9675
1,3.25,378.664842845,-0.78954636435,5.40886369775,-0.41875337455,-90.921174386,-10.9113086856,-12.36735514125,96.75783053775,13.6282258925,-0.002,-0.232253524225,0.065835,0.502941900625,-19.4985,-12.123,353.005,-4.7382,0.470175,-11.1550833105,22.702279638,27.5478768855,7.15387543,8.984383915,0.7991572962,0.6994227816,278.9875
1,3.75,378.3894743,-0.1412772729,5.2667320147,-0.7522644791,-92.5821373505,-13.3746665,-9.62396166175,96.75149498725,13.2219156425,-0.003625,-0.2530682055,0.0619,0.493360478225,-19.8135,-12.22175,352.4125,-5.60095,0.270275,-10.06022816085,22.419666352,25.624459248,7.31592203,8.5535265625,0.7456993184,0.67291777295,279.49
1,4.25,373.63599193,-1.1120217368,5.2788809642,-0.9892403953,-93.00859714125,-14.03808535125,-9.07093517095,96.7316180435,13.192618875,-0.002525,-0.25411756,0.0447775,0.593057912825,-19.8035,-12.3095,353.265,-5.051975,0.586075,-14.9766210085,22.009405756,24.6992518785,6.792955195,8.498167255,0.686144146,0.62305814535,279.3375
1,4.75,376.9782041,-0.89809252745,5.2878354418,-0.47500242995,-92.981315591,-12.846719189125,-10.56045035075,96.72552579275,12.709750545,-0.005525,-0.3052668666,0.0913025,0.6049882739,-19.89275,-12.52,352.36,-5.214125,0.5346,-11.9007929867,14.77771963325,23.0406809885,6.4812987725,8.1377993175,0.736785977325,0.6604214534,278.79
1,5.25,376.592955865,-1.3830875704,5.32360837765,-0.61097526855,-96.398997667,-13.32645246125,-9.25201911315,96.73722602975,12.4974545575,-0.006675,-0.274709120275,0.0823225,0.7465752526,-19.80875,-12.6235,349.2375,-4.535175,0.51285,-9.43980881345,16.55896214225,23.3842691535,6.3240022875,7.7710592575,0.67123561685,0.68055170765,278.4
1,5.75,376.635914115,-0.6058153683,5.202039192,-0.2658710034,-95.50844326,-13.672746684,-8.749595449275,96.752440377,12.1940540775,-0.002525,-0.285779968475,0.067985,0.4825091465,-19.80125,-12.84625,350.1225,-4.382125,0.3746,-6.90687237595,16.350513424,23.114463964,6.2535075875,7.53257604,0.584022469,0.58266416215,278.4225
1,6.25,370.21644788,-2.0329420543,5.39568317935,-2.1496595652,-91.137908246,-11.5821775415,-9.81761398445,96.770455498,12.05392145,-0.002,-0.262788021525,0.058485,0.5984180632,-19.811,-12.954,348.56,-4.237775,0.36265,-12.576212222,21.490552976,24.081078713,6.1632893625,7.268349945,0.525232629,0.5265894215,279.0225
1,6.75,368.35508092,-1.4153556245,5.6232094284,-1.6349624822,-97.0134565275,-11.0449791375,-9.9391713963,96.7838375965,11.8480076275,-0.00415,-0.2575728072,0.05819,0.6487364795,-20,-13.01425,347.1675,-4.438825,0.266425,-9.8606606813,22.195437118,25.0743513655,6.702883325,7.1370177875,0.5725170662,0.5243040801,278.965
1,7.25,368.936858295,-1.2235630071,5.77588382325,-2.30127994725,-94.49185961475,-12.188622305,-7.182514858825,96.80969910575,11.72754392,-0.002525,-0.250972774525,0.06592,0.799878810375,-19.95675,-13.2245,347.8475,-4.644875,0.260825,-16.4747296775,22.196033662,25.5867336175,6.442771905,7.0980950925,0.731092664525,0.68980974055,278.7275
1,7.75,375.844272535,-1.9208133478,5.50174996795,-0.85220258255,-97.66997547275,-7.6570487794,-10.03193077845,96.8368032265,11.52272972,0.289,-0.26506154455,0.0506125,0.535316069725,-20.002,-13.54375,346.585,-4.28085,0.298875,-15.154499773,22.691848542,25.145311305,6.221395485,7.0220098875,0.63606974125,0.5816687931,278.5175
1,8.25,362.591197515,-1.358334162,5.5849770952,-6.27196715665,-95.616261112,-12.63512888545,-5.258749826875,96.87664351875,11.48384094,11.28375,-0.31533389625,0.0395875,0.558065620375,-19.97925,-13.51425,345.295,3.1271,1.045475,-23.380012788,22.368624144,24.4996503935,6.0719932675,6.9590688525,0.769280196175,0.74476234755,278.1475
1,8.75,377.84527446,-1.0065142597,5.70397495585,-0.803585316075,-93.868377575,-15.806380269,-3.433192595225,96.91633355225,11.89313137,63.53525,-0.442835073175,0.07619,0.640205544125,-19.80625,-13.70675,345.8675,20.173,2.423575,-9.2223136559,14.1234828335,24.606537811,6.52031508,8.4265773075,1.31745731295,1.0336547883,277.795
1,9.25,379.2877981675,-17.3397281855,5.17779162185,-0.8943647183,-70.657500406,-1.0066153588,4.67516935465,96.975662872,12.57382759,128.46,-0.479997026075,0.051915,0.51388071375,-18.542,-13.6015,358.1025,47.72775,7.312075,-14.720396248,21.09025,21.9549215975,8.6995434325,10.923,2.3197728868,2.22621199295,279.285
1,9.75,378.9744554925,-3.06154190155,5.37646041545,-0.806529292325,-38.6285778685,-2.44863861555,4.943760309275,97.0012295905,13.8342480675,282.42,-0.6296402535,0.089365,0.5214648996,-14.73725,-13.20525,374.955,142.245,16.77925,-19.38191130025,19.48075,20.31353185125,11.1546983425,14.728,3.871836281975,4.26507298275,285.9175
