DOY2,HR2,USTAR,TA_1_1_1,WS,NEE,FC,SC,H,LE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA,CO2,VPD,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,FCH4,SH,SLE,SCH4,T_SONIC,CH4
5,17.75,0.7100395,28.7714166675,2.91838,-1.768,1.26622,0.5061199985,36.718,119.2245,0.748,26.736,27.055,74.6489166675,101.5,414.066,18.2,119.7225,219.82,38.5502499975,416.030833325,468.0666667,27.910175,-0.1552715045,1.7274095,1.6393975,10.268425,5.99,33.78575,2021.635
5,18.25,0.654559,28.243,2.6332825,0.495,3.1510264385,0.8100299495,7.732,84.2714,-0.15625,26.9115,27.13025,75.618,101.5,416.411880075,16.44,20.38175,87.3135,20.76275,415.0325,464.134999975,27.73865,-0.0953224495,3.916221,1.3202025,9.47273,8.23,33.89425,2033.315
5,18.75,0.608,27.74125,2.476495,2.957,3.942057409,0.97489275,-7.592,64.728925,-1.261,27.1035833325,27.17575,77.7155000025,101.53,419.324,14.431325,-32.5245,22.242133335,4.7745833335,413.10166665,459.885,27.921775,-0.0564531555,4.500575,-2.70118,14.8732,10,33.857,2043.07916
5,19.25,0.5385,27.08475,2.29625,3.7745,4.73578,1.023623468,-10.2616130725,50.23475,-2.11025,27.145,27.203,80.6442499975,101.59,420.241,12.9699,-52.967,0,2.177075,409.975,455.16,27.91795,-0.0491812065,3.8175,-3.061541004,12.18195,8.0275,33.73775,2047.8175
5,19.75,0.490199,26.54325,2.17593,4.009,4.28482,1.074235,-9.5492475,37.5766,-3.21475,27.164,27.2275,83.284,101.6,422.477,11.5723,-55.45875,0,2.05639166675,410.225,452.14,28.32285,-0.034472666,5.39561925,-1.713655,11.3609,7.7703975,33.5445,2061.4575
5,20.25,0.456819,26.1514999975,2.0953175,4.3285,5.05185,1.079,-9.252325,37.1547,-3.7855,27.16325,27.2220833325,85.650166665,101.62,423.9475,10.541475,-55.8265,0,2.20785833325,406.5625,449.7,28.47,-0.0334202775,5.33074675,-0.83173525,7.97331696725,9.665,33.24075,2073.9825
5,20.75,0.434724,25.81,1.96325,4.97825,5.2157425,1.26875,-8.3955,36.898,-4.316,27.16525,27.21675,87.76833333,101.67775,427.42591485,9.351925,-53.80225,0,2.30275,404.2508333,448.1475,28.85625,-0.031,7.585748,-1.1599525,9.041565,10.95,33.0825,2076.44
5,21.25,0.4121595,25.5516666675,1.890245784,5.28,5.6225,1.3183407905,-7.96125,37.516475,-4.72,27.16025,27.2035,89.13975,101.7,428.78,8.985265,-56.701,0,2.368,400.97,446.26,28.7195,-0.0384638145,4.77,-0.66988835325,6.16499,11.130728,33.0615,2092.62
5,21.75,0.403,25.34708333,1.8114325,6.273,5.9651975,1.41225,-9.7605225,34.438,-5.5705,27.1941666675,27.19625,90.4605,101.7,430.5718258,9.18426,-56.9845,0,2.44150000025,401.787499975,444.873333325,28.5984,-0.02654474625,4.73904,-0.08008125,5.952155,16.35,33.09725,2115.92
5,22.25,0.3867875,25.1948333325,1.82651988175,6.1435,6.361,1.2772125,-7.70292,35.311,-6.1685,27.1520000025,27.168,91.635,101.7,430.08527875,8.62,-56.10875,0,2.512,400.194999975,443.594166675,28.527475,-0.029675,6.695,0.077425,7.398455,14.2,32.8875,2123.5628665
5,22.75,0.37,24.3585,1.71361,6.61,6.19325,1.464,-6.69425,29.444025,-6.95275,27.422,27.483,90.5685,101.7,430.4327012,8.3119825,-57.412,0,2.58,386.8,439.97,28.516275,-0.019975,7.422939,0.29414369375,4.527525,14.825,32.8205,2148.485
5,23.25,0.3594475,24.7037500025,1.72869,6.46,5.608,1.62518,-8.23824,25.81695,-8.0195,27.014,27.109,94.2915,101.7,431.387,7.888525,-53.02825,0,2.433,398.254999975,441.654166675,28.51395,-0.02304287525,10.9108605,0.377550124,4.88279,16.4,32.82475,2140.385
5,23.75,0.3455,24.495833335,1.7069425,6.852,6.265145,1.4215,-7.633925353,26.467,-8.0015,27.0019166675,27.052,94.761666665,101.6825,432.841519025,7.688375,-55.08775,0,2.38025,396.795,441.256666675,28.723,-0.02295440025,8.86967,0.2146246565,4.6835525,17.1,32.77575,2174.08
6,0.25,0.294,26.4651666675,1.475,7.4725,7.0093744235,2.00969542175,-6.03062,22.87725,-6.68075,28.37933333,28.2859999975,95.358333335,101.6075,440.83086415,13.335375,-30.9495,0,2.06865,417.56333335,452.65,33.10455,-0.013312128,8.856461,1.30116668,5.71285,15.67509325,34.6125,2171.99014025
