DOY2,HR2,TA_1_1_1,RH_1_1_1,VPD_1_1_1,H2O_1_1_1,RH_1_1_2,WS_1_1_1,PA_1_1_1,PA_1_1_2,CO2_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,USTAR_1_1_1,TAU_1_1_1,H_1_1_1,FC_1_1_1,LE_1_1_1,WS_1_1_2,T_SONIC_1_1_1,G_1_1_1,G_1_2_1,G_1_3_1,G_2_1_1,G_2_2_1,G_2_3_1,G_3_1_1,G_3_2_1,G_3_3_1,T_CANOPY_1_1_1
1,0.25,-1.5267469,93.09631515,2.34724435,5.8961643,91.7407595,8.3233679,70.5971802,71.1379572,425.9515888,1.5928265,0.0590631999999999,0.846488999999999,3.0275636,278.7359053,294.206752,0.79127595,0.00308954999999998,0.739160599999996,1.7912257,28.14693255,9.05919594999999,-0.494878800000006,-0.8594215,-1.55456125,-1.94698615,-1.2764513,-1.89863995,-2.2823485,-2.2959055,-2.3202507,-2.1750316,-9.9987716
1,0.75,-1.959217675,93.137034125,2.570601425,5.905602825,91.9626998,7.0614462,70.58160415,71.12395625,425.5363168,1.25340085,0,0.0408699999999999,3.0521021,277.574037,291.95040885,0.7963261,0.00357714999999992,-1.48887690000001,1.3263151,25.44636,7.5665784,-1.1757257,-0.8704597,-1.55454055,-1.9466484,-1.2770712,-1.89599865,-2.2822923,-2.29562305,-2.320198025,-2.1749814,-10.1731808
1,1.25,-2.0737356,92.851171425,2.7142054,5.883184975,91.843183,8.31101225,70.5534047,71.09386175,425.440027625,1.0099148,-0.0208152000000001,-0.099927,2.41098025,277.44293115,292.73174415,0.74557835,0.000182374999999941,1.05161157499999,1.218378375,26.7064595,8.79169225,-1.064711225,-0.87086125,-1.554454575,-1.943101875,-1.276394325,-1.8965666,-2.282281175,-2.29597795,-2.320183025,-2.174972825,-10.9378058
1,1.75,-1.8982911,92.8786113,2.9404081,5.885978175,91.8784986,7.76823475,70.57163595,71.0729145,425.55512625,1.8686638,0,0.164801075,2.7057539,279.978248,294.64467,0.7934722,0.00135830000000001,-0.993969199999997,1.309161625,23.820941625,7.9652793,-0.889427299999999,-0.87454545,-1.554419425,-1.937912575,-1.276375925,-1.8954405,-2.28225315,-2.296415125,-2.320154575,-2.174941325,-10.818499
1,2.25,-1.7966873,92.6882821,2.8904787,5.9416077,91.23832625,6.900083025,70.5875738,71.090798325,425.70349935,1.5161914,-0.0036102,0.419089825000001,2.75479025,283.8515805,296.452230825,0.725159625,0.009157125,1.516051875,1.36127725,17.7783817,7.067055325,-0.863482824999999,-0.8738953,-1.5546127,-1.9347983,-1.2763596,-1.8942632,-2.2822243,-2.2958708,-2.3201247,-2.1749135,-10.62176015
1,2.75,-1.7974013,93.6385316,2.6570888,5.9488349,91.47527265,6.70584565,70.581833575,71.087753425,426.185737325,2.0908343,0,0.399398925,2.884291125,287.443277925,296.804842,0.69735145,0.0187811749999999,1.394272425,1.304896275,13.51254075,6.6249744,-0.780851149999999,-0.8718503,-1.5546315,-1.9342681,-1.2763518,-1.8941083,-2.2822105,-2.2947202,-2.3201109,-2.1749004,-11.362289825
1,3.25,-1.5500755,94.2302379,2.7454047,5.9209156,91.233645925,7.2172309,70.574658175,71.0810439,427.8047218,4.79487265000001,0.061189275,0.3732742,3.25385375,289.948530425,297.6522255,0.95922725,0.00245959999999999,-0.896630600000002,2.6410812,30.3048382,7.213039,-0.447783,-0.8739823,-1.5546461,-1.9340235,-1.2763441,-1.8940545,-2.2821971,-2.295796,-2.3200968,-2.174887,-10.37766675
1,3.75,-0.964554500000001,93.5445398,2.97842715,5.9249102,91.206028,7.538486,70.568585,71.074037,429.4712133,0.950139,-0.0190828,0.210595,2.616662,289.493483,298.110167,0.946049875,0.002683625,1.95981575,2.4116348,30.40394485,8.207285,0.141614,-0.87315645,-1.55447135,-1.9323461,-1.2763032,-1.892967,-2.2821243,-2.2967592,-2.32002345,-2.17481845,-11.00631285
1,4.25,-1.14188325,93.2519377,2.94101225,5.97278695,90.967241025,8.587249,70.587008,71.089218,429.4057705,2.238947,0,0.149112,2.349718,287.369317,298.218917,1.0504471,-0.0047202,1.7331856,3.6721395,38.032730875,9.023476,-0.012131,-0.87184785,-1.55466905,-1.9319776,-1.27626105,-1.8924158,-2.28204875,-2.29688715,-2.31994695,-2.17474615,-10.1981517
1,4.75,-1.265433375,93.8795825,2.858435625,6.001904,89.05364965,11.099045,70.587712,71.089848,429.6576276,1.909659,0,0.517566,2.08451,286.866733,296.909883,1.1629014,-0.000113399999999995,-0.0459385999999977,4.8248996,42.229967,11.04565285,-0.206964975,-0.871805375,-1.554655375,-1.929483375,-1.276208875,-1.891191375,-2.281954625,-2.296801125,-2.319851,-2.174656375,-10.821060775
