DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,SW_IN,SW_OUT
1,0.25,-0.0761,10.479,1.521755,0.2385965,2.798785,0.375166,-3.23652,423.176,4.598365,1.05602,0.840313,0.584055,0.1751795,-1.025229,-0.8393356
1,0.75,-0.102425,8.92027,3.27508,0.00176,2.73835,0.380097,-3.120135,421.565,4.39413,1.00772,0.867247,0.570496,0.1850065,-0.9988678,-0.8361245
1,1.25,-0.067,9.91701,2.4827,-0.0938,2.9342,0.373635,-3.005855,426.387,4.35082,1.015875,0.920706,0.541617,0.169586,-0.9669263,-0.7825657
1,1.75,-0.101651,4.20854,1.50874,-0.348456,2.8299,0.3644015,-2.954195,424.987,4.53099,0.97706,0.9018905,0.548787,0.170605,-1.048983,-0.8181935
1,2.25,-0.0891,7.55503,2.23648,-0.21026,2.588475,0.350857,-3.20491,423.091,4.413065,0.99952,0.861869,0.518079,0.148042,-1.141419,-0.9608867
1,2.75,-0.101404,7.69622,2.569165,-0.20731,2.83332,0.3643405,-2.988645,422.966,4.462115,1.0116405,0.812666,0.518618,0.169565,-1.2111,-0.9471821
1,3.25,-0.0998435,9.54561,2.21902,-0.316393,2.78379,0.3915035,-3.39865,423.097,4.62035,1.07123,0.883789,0.571545,0.1644195,-1.131016,-0.9111409
1,3.75,-0.094793,8.70667,2.049085,-0.255108,2.66346,0.3597405,-3.30994,424.222,4.45852,1.048125,0.83839,0.5296365,0.146932,-1.27141,-1.00715
1,4.25,-0.0904,7.15162,1.01571,0.00918,2.74293,0.3883575,-3.38764,424.2485,4.279215,1.00177,0.8202115,0.56129,0.156006,-1.251839,-0.9767126
1,4.75,-0.101364,9.01708,1.80298,0.091289,2.88405,0.394188,-3.6972,424.406,4.329135,1.100865,0.779614,0.569258,0.149571,-1.024997,-0.7931676
1,5.25,-0.102682,7.40188,1.16772,-0.197929,2.7487,0.3923955,-3.5628,424.487,4.277545,1.0137005,0.820834,0.5705775,0.173369,-1.01278,-0.8336143
1,5.75,-0.0701,8.026255,2.03658,-0.0679,2.89447,0.3778135,-3.058125,425.661,4.303765,1.010845,0.854337,0.5238245,0.153579,-0.9996068,-0.7688872
1,6.25,-0.13257,11.2801,2.18739,-0.138038,2.61783,0.37513,-3.76919,428.449,4.52834,0.970587,0.870512,0.495424,0.188292,-0.9304163,-0.7390489
1,6.75,-0.065,12.3401,2.53784,0.182256,2.47453,0.385071,-3.7852,428.622,4.07364,0.959137,0.91147,0.485354,0.163573,-0.8725239,-0.7123033
1,7.25,-0.0975,11.6835,3.24811,0.264661,2.7528,0.382853,-4.535725,424.449,4.544285,1.00775,0.930604,0.583326,0.149526,-0.8790774,-0.7123204
1,7.75,-0.1101545,9.91972,2.56539,0.1757955,2.789015,0.416267,-4.46877,427.493,4.59,1.0634,0.943119,0.579595,0.167295,-0.362166,-0.2418009
1,8.25,-0.095799,14.3587,3.114905,0.4721625,2.88384,0.454451,-4.511555,428.882,4.5168,1.109085,0.954307,0.5873525,0.19416,6.543165,5.488816
1,8.75,-0.107964,18.0442,3.26078,0.227619,3.05052,0.460058,-4.55747,428.373,4.66486,1.249685,1.06841,0.6276435,0.222286,26.64948,22.41067
