DOY2,HR2,USTAR,TA,WS,FC,H,LE,G,TS_1_1_1,TS_1_2_1,RH,PA,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT
1,0.25,0.3425,-5.9,6.045,-0.0055,1.75,7.5,-9,-2.755,-2.48,88.15,97.885,0.665,-17,0,-1,0,0,256,280
1,0.75,0.33075,-5.9,5.81,-0.062,1.75,6.75,-8.25,-2.5925,-2.095,88.15,97.8705,0.64,-16,0,-1,0,0,255.5,278.5
1,1.25,0.3565,-5.95,6.235,-0.07925,2,6.75,-9,-2.6525,-2.1425,88.35,97.87,0.645,-12.5,0,-1,0,0,255.5,278
1,1.75,0.33,-6.2,5.97,0.05175,0.75,8,-9,-2.82,-2.315,88.05,97.87,0.63,-9.5,0,-1,0,0,260,278.5
1,2.25,0.34825,-6.1,6.395,-0.09,1.75,7,-9.25,-2.7925,-2.365,88.4,97.8705,0.625,-9,0,-1,0,0,262,279
1,2.75,0.348,-5.9,6.355,-0.113,0,6.5,-9,-2.6375,-2.225,88.2,97.905,0.605,-9,0,-0.5,0,0,263,279.5
1,3.25,0.3775,-6.2,6.605,-0.068,0,5.75,-10,-2.7775,-2.3725,87.95,97.8705,0.605,-10,0,-1,0,0,261.5,278.5
1,3.75,0.329,-6.5,6.335,0.01175,-0.5,6.75,-10,-2.73,-2.26,87.15,97.8705,0.65,-9.5,0,-1,0,0,263,279.5
1,4.25,0.357,-6.45,5.775,-0.0055,-0.25,7.75,-9.25,-2.83,-2.29,88.35,97.8705,0.625,-9,0,-1,0,0,259,277.5
1,4.75,0.353,-6.55,6,-0.045,0,7,-10,-2.9375,-2.335,87.75,97.89,0.59,-11,0,-1,0,0,257.5,276.5
1,5.25,0.34525,-6.75,5.885,-0.0335,-0.25,4.75,-11,-3.1525,-2.555,87.6,97.91,0.59,-12,0,-1,0,0,258.5,275.5
1,5.75,0.318,-6.5,5.825,-0.05075,0,6,-11,-3.095,-2.5575,87.45,97.9005,0.565,-10,0,-1,0,0,265.5,277
1,6.25,0.311,-6.55,5.735,-0.07925,0,5,-11,-3.1725,-2.63,87.15,97.886,0.585,-9,0,-1,0,0,264,277
1,6.75,0.303,-6.6,5.96,-0.0055,0,5,-11,-3.225,-2.68,87.6,97.895,0.58,-9,0,0,0,0,265.5,276.5
1,7.25,0.289,-6.5,5.765,-0.022,0.75,4,-11,-3.2725,-2.8575,87.6,97.9355,0.58,-10,0,-0.5,0,0,260,276
1,7.75,0.2875,-6.5,5.88,0,1.75,5,-12,-3.315,-2.9075,87.15,97.95,0.57,-10,7.5,2,4.5,2,255.5,276.5
1,8.25,0.3025,-6.8,6.09,-0.02775,3.75,4.75,-12,-3.3475,-2.945,86.75,97.915,0.59,-4,58.5,25,39.5,23,256.5,277.5
