DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_2_3_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_2_2,H2O_1_3_2,H2O_1_4_2,H2O_1_5_2,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CO2_1_5_2,CO2_1_5_3,CH4_1_1_1,CH4_1_3_1,CH4_1_4_1,CH4_1_5_1
1,0.25,2.32450733809371,-7.73295945089212,0.238394083106307,0.289960085534353,-0.113246957728305,0.264409429978282,0.706758887464275,-1.66560898568342,0.249953309688777,-99.5728114356035,-4.97382573159776,0.910275279455771,1.78,0.9725,0.5,0.81,-7.538075,-7.844,-7.980675,-8.3623,-9.3194,-9.8048,72.3067725,32.53,1.5709,-8.955,-9.4325,-8.8175,-6.6975,0.7,-4.5975,2.125,0.31,188.475,276.8,261.625,277.25,0.09,-0.13,-0.05,0.14,0.09,0.18,-0.07,-0.24,0.03,-2.784,-2.45875,-1.4295,-1.30025,-0.717,-0.284,0.04875,-1.21275,-1.055,-0.617,-0.30975,0.113,0.83025,1.1825,2.11075,2.572,-2.09425,-1.92875,-1.3405,-0.84525,-0.695,-0.32375,0.1345,0.32575,1.15275,-1.9835,-1.8845,-1.114,-1.24075,-0.1455,0.0055,0.421,0.827,-2.894,-2.5545,-2.01925,-1.031,-0.597,-0.31625,0.202,0.365,-1.218,-3.669,-2.323,-102.55,1.61041116028936,1.7705612415732,1.83915546303111,1.81263736857147,1.75769716485011,1.99258823928902,406.819340204597,404.67771843032,413.339295739274,404.766133526361,413.477783114555,405.134037730199,413.69742425,405.111741606261,413.53133229153,407.054965995152,413.159170414355,1957.4176370992,1955.03251902229,1949.94919425865,1949.45527192613
1,0.75,2.33988749977644,-7.95870738203757,0.238973735936306,0.316074138686155,-0.1460136414238,0.264785455823603,2.79220618733371,-1.69231483091434,0.256347166728532,-86.2954120054729,-6.43110888133504,0.860076987451735,1.85,0.9475,0.515,0.83,-7.58165,-7.89675,-7.7785,-8.2143,-8.8961,-9.695325,72.3023125,30.8125,1.647875,-8.715,-9.4075,-8.92,-6.6025,0.7,-4.765,2.2,0.3025,188.2,276.425,259.9,276.85,0.09,-0.13,-0.0575,0.14,0.09,0.1975,-0.07,-0.24,0.02,-2.778,-2.4745,-1.44325,-1.299,-0.71525,-0.28475,0.049,-1.218,-1.06,-0.61575,-0.309,0.11275,0.82425,1.18225,2.10975,2.572,-2.04775,-1.92975,-1.3515,-0.8425,-0.69375,-0.32425,0.13425,0.32575,1.15175,-2.003,-1.915,-1.118,-1.242,-0.14425,0.004,0.415,0.82775,-2.90675,-2.58775,-2.025,-1.03,-0.609,-0.316,0.2005,0.364,-1.146,-3.86425,-2.32525,-104.33,1.59502198500229,1.65389080336208,1.68656433416434,1.74119372253139,1.81422834917614,1.92463702352473,406.971939945897,404.729241643047,413.259023063164,404.889231020432,413.534677966862,404.914502801165,412.928520858784,405.331377342225,413.575338668661,407.357931141348,413.276376669433,1954.65585322613,1951.65684143396,1948.84513711439,1951.81722409141
1,1.25,2.22614097371827,-7.68381956716337,0.216853007679149,0.325833969955715,-0.0865850971469371,0.288591135854985,2.76072794567545,-1.72995256785382,0.285923286832821,-90.0982025239699,-6.54415567410659,0.873798463271922,1.7325,0.915,0.5125,0.8025,-7.551125,-7.5965,-7.859875,-7.99455,-8.9763,-9.49635,72.2972625,31.2475,1.492275,-8.9075,-9.59,-9.035,-6.6925,0.7,-4.79,2.2,0.31,188.45,275.775,258.3,276.325,0.09,-0.13,-0.0575,0.14,0.08,0.19,-0.07,-0.24,0.03,-2.771,-2.46575,-1.44425,-1.302,-0.71275,-0.28475,0.053,-1.2175,-1.06275,-0.615,-0.308,0.1125,0.827,1.18125,2.1095,2.571,-2.037,-1.9455,-1.3535,-0.84225,-0.6935,-0.3135,0.13625,0.32575,1.1465,-2.01975,-1.916,-1.1245,-1.24575,-0.14325,0.0045,0.4145,0.82725,-2.938,-2.591,-2.02675,-1.035,-0.6065,-0.31575,0.2015,0.3635,-1.143,-4.00875,-2.40475,-103.51,1.50422445173495,1.77691747721291,1.79880284820544,1.75012318323036,1.78511519375646,1.90464826380354,406.824158136568,405.066099922292,413.064335765126,404.958663923867,413.134519278817,405.187605596613,413.06472145618,405.080387758954,413.254352860734,407.558893785905,414.16664987735,1948.33727794743,1953.68077070519,1952.72717573001,1947.37059155763
1,1.75,2.43648739816135,-7.73231507689225,0.242226461959195,0.295943600913465,-0.108209910766061,0.290906498147116,2.41542927839898,-1.97906245121514,0.292353458113038,-85.3773269290492,-5.71567257424137,1.01824653259018,1.8625,0.9725,0.52,0.84,-7.4584,-7.661,-7.749625,-8.194325,-8.91835,-9.6856,72.2980025,31.5775,1.582125,-9.0375,-9.8475,-9.2675,-6.62,0.7,-4.61,2.3,0.2625,188.25,275.625,257.2,275.975,0.09,-0.13,-0.05,0.14,0.08,0.1875,-0.07,-0.24,0.02,-2.75875,-2.499,-1.4415,-1.3015,-0.711,-0.28375,0.05275,-1.22325,-1.06575,-0.61375,-0.308,0.11225,0.8285,1.18025,2.1085,2.57525,-2.01925,-1.9425,-1.358,-0.842,-0.69575,-0.323,0.13825,0.31875,1.1465,-2.05025,-1.93325,-1.13325,-1.249,-0.1435,0.01,0.413,0.827,-2.928,-2.6245,-2.0295,-1.03825,-0.604,-0.31425,0.20325,0.36575,-1.276,-3.95525,-2.5265,-102.9475,1.51740905792092,1.68533326916847,1.63459384497028,1.69187661287153,1.67387864636612,1.78511424555681,406.678603663148,404.334863200981,413.133964902143,404.722521850795,413.186464297602,404.868016485496,413.852094354976,405.467030922178,412.996391603796,407.630375627273,413.810813414737,1956.90020728274,1951.10922037539,1948.63122005642,1947.87566775178
1,2.25,2.31305901007185,-7.60795851921914,0.246817299041445,0.321668551030558,-0.103549420342598,0.300611518939135,2.88705672412827,-1.20662263043494,0.304406507531013,-88.884519826103,-4.60842870285756,0.938382163264837,1.9425,1.0225,0.5175,0.85,-7.7289,-7.8895,-8.033375,-8.52695,-9.1949,-9.605,72.300555,31.1725,1.560625,-9.0175,-9.555,-8.9075,-6.7125,0.725,-4.74,2.2,0.355,187.725,275.35,258.8,276.225,0.09,-0.14,-0.05,0.14,0.0825,0.19,-0.07,-0.24,0.03,-2.7575,-2.49125,-1.44125,-1.29925,-0.711,-0.283,0.051,-1.23675,-1.07025,-0.613,-0.30075,0.11225,0.82825,1.18,2.10775,2.5745,-2.022,-1.93625,-1.3595,-0.855,-0.69975,-0.323,0.1395,0.3195,1.149,-2.0805,-1.95425,-1.137,-1.25375,-0.14225,0.011,0.417,0.827,-2.94325,-2.628,-2.0405,-1.0415,-0.60975,-0.3125,0.205,0.3665,-1.178,-3.848,-2.36075,-103.88,1.49876987073073,1.6979234959718,1.67986457165568,1.64989815352629,1.68893207206854,1.82965998502532,406.666813151956,404.21974906031,413.753968875133,404.691998193212,413.646260183613,404.69605238804,413.715165788872,405.02087927756,414.292258391943,406.272523670317,414.675807593149,1952.61247419027,1951.23807746647,1955.62523619659,1952.91038703647
1,2.75,2.39887442360914,-7.76579842232278,0.244983770690981,0.341158385931761,-0.0759530478669825,0.333030737373339,3.71953183073773,-1.43904392953288,0.315256505887242,-93.0909547128773,-3.81433664954189,1.02367561856911,1.92,1.05,0.54,0.85,-7.601,-7.934,-8.032525,-8.537675,-9.3337,-9.5015,72.3039175,33.21,1.56015,-8.88,-9.39,-8.82,-6.85,0.7,-4.6425,2.2,0.32,188,275.5,257.8,276.3,0.09,-0.13,-0.05,0.14,0.08,0.18,-0.07,-0.24,0.03,-2.779,-2.501,-1.439,-1.296,-0.71325,-0.283,0.05,-1.246,-1.078,-0.613,-0.307,0.111,0.825,1.177,2.105,2.57,-2.07,-1.937,-1.362,-0.86525,-0.698,-0.32475,0.14,0.32,1.149,-2.121,-1.968,-1.14,-1.261,-0.13725,0.00825,0.41,0.82575,-3.052,-2.693,-2.0625,-1.051,-0.619,-0.311,0.203,0.366,-1.198,-4.036,-2.606,-104.55,1.46829167060368,1.68874029458601,1.68094815181938,1.68195203374607,1.73374593768671,1.84388567212863,406.834492992129,404.667715256047,413.416311493844,405.129149293128,413.344342262475,405.069404225654,413.471169262597,405.464857566914,413.656163315295,406.756818305027,413.628598553571,1953.99733131067,1954.30133126884,1947.77363188914,1949.29114829634
1,3.25,2.210898018072,-7.38766675296093,0.251508049936617,0.361268698646618,-0.0662514954595681,0.319345703849256,2.99103495170154,-1.92016443557132,0.258485847256364,-97.5439011715233,-5.54470663017249,0.958445464393622,1.83,0.995,0.5925,0.88,-7.519675,-7.55975,-7.6343,-8.6474,-9.193475,-9.62105,72.30648,31.375,1.6036,-8.9675,-9.4475,-8.7725,-6.81,0.8,-4.68,2.2,0.3325,189.65,275.8,258.675,276.175,0.09,-0.14,-0.05,0.14,0.08,0.18,-0.07,-0.24,0.0225,-2.803,-2.53075,-1.43425,-1.2885,-0.711,-0.283,0.049,-1.256,-1.07675,-0.611,-0.30975,0.11075,0.82725,1.178,2.10625,2.5735,-2.079,-1.952,-1.363,-0.866,-0.698,-0.324,0.1405,0.31975,1.155,-2.13675,-1.97425,-1.1445,-1.25775,-0.13625,0.009,0.422,0.828,-3.038,-2.694,-2.06825,-1.0525,-0.62025,-0.309,0.204,0.36525,-1.277,-4.006,-2.4125,-105.92,1.42718327576628,1.65234294243949,1.68115915345764,1.6139822162436,1.69642564243959,1.88032268680171,406.788758234592,404.790374569123,413.465516980751,404.511561944686,413.557318069214,404.624562097331,413.447226850217,405.888739157596,413.588600520343,405.831292010809,414.021441350808,1953.8456801479,1952.57230520537,1952.30039501494,1952.79523120548
1,3.75,2.09203379141802,-7.41414735529436,0.263376035652582,0.338168591514178,-0.0800003662744487,0.439785945902149,4.26748785934431,-1.64574124374778,0.309509524312588,-103.006257799176,-5.08773679175694,0.901603374562347,1.78,0.9425,0.555,0.87,-7.374375,-7.459,-7.6206,-8.6389,-8.92515,-9.907825,72.30935,30.965,1.755125,-9.065,-9.3925,-8.7525,-6.94,0.7,-4.8275,2.2,0.29,189.35,275.225,259.5,276.475,0.09,-0.13,-0.05,0.14,0.08,0.19,-0.07,-0.24,0.02,-2.8255,-2.56125,-1.43,-1.287,-0.71,-0.28475,0.048,-1.26475,-1.0715,-0.6135,-0.3095,0.11075,0.827,1.17775,2.106,2.57325,-2.10675,-1.9725,-1.37,-0.865,-0.69875,-0.325,0.14025,0.31975,1.154,-2.164,-1.9895,-1.15125,-1.257,-0.1355,0.01,0.4295,0.827,-2.949,-2.69975,-2.05925,-1.0515,-0.62025,-0.3075,0.205,0.364,-1.242,-4.01275,-2.563,-104.19,1.38004263324597,1.58602925084146,1.61701004301256,1.61762933990105,1.6613709552613,1.83239193422623,406.83896527578,404.630044213702,413.295465083684,404.905157706125,413.422833060481,404.952483053869,413.389334520282,404.898210985416,413.53122617699,406.213101216272,414.019233141584,1952.86373600511,1954.55895386387,1953.58939419882,1951.0311386269
1,4.25,2.36350152387,-7.16416267902464,0.262736718527508,0.354349474573636,-0.129179629651446,0.308855920419241,2.53021058800576,-1.04766991424275,0.301426772593875,-95.1361813845848,-6.75421216005855,1.0565752687597,2,1.0175,0.5725,0.82,-7.369875,-7.34475,-7.67605,-8.195,-8.815425,-9.935,72.29529,30.94,1.8406,-9.14,-9.575,-8.7425,-7.1925,0.7,-4.8275,2.225,0.3025,186.65,275.625,258.05,276.3,0.09,-0.13,-0.05,0.14,0.08,0.19,-0.07,-0.24,0.02,-2.807,-2.58575,-1.4265,-1.298,-0.71,-0.28775,0.04775,-1.2695,-1.0835,-0.618,-0.309,0.11075,0.82625,1.17725,2.105,2.57075,-2.09875,-1.9895,-1.376,-0.865,-0.69825,-0.325,0.149,0.32,1.15275,-2.204,-1.9935,-1.158,-1.257,-0.134,0.011,0.432,0.823,-2.9925,-2.684,-2.0625,-1.05275,-0.62,-0.30625,0.2065,0.36325,-1.213,-3.8205,-2.597,-105.8825,1.30373873952955,1.56990742577228,1.539007550661,1.60903904474654,1.697824238735,1.82369211907484,406.864819194617,404.892436762358,413.226437268654,404.938855270523,413.417281679945,405.350464914858,413.403449513145,405.360595024501,413.000957671453,406.463793381715,413.736717394575,1956.19375534056,1950.60872825257,1950.94817552415,1949.54963071689
1,4.75,2.21888639659887,-7.32326623953597,0.269578464458606,0.356088709952024,-0.0652220744191616,0.330911915695916,3.84920454340866,-1.01991684938517,0.289499030561709,-86.7664649886315,-5.63424886410038,1.09187348755572,1.81,0.94,0.5525,0.825,-7.402675,-7.406,-7.51275,-7.986575,-8.7073,-9.87555,72.274025,30.8675,1.78915,-9.105,-9.7775,-8.9975,-7.15,0.7,-4.895,2.3,0.27,187.75,276.125,260.025,275.375,0.09,-0.13,-0.0475,0.14,0.0825,0.19,-0.07,-0.24,0.02,-2.8265,-2.606,-1.4255,-1.308,-0.709,-0.2915,0.0465,-1.2745,-1.08275,-0.6205,-0.299,0.11075,0.832,1.17625,2.10475,2.573,-2.10475,-1.9575,-1.373,-0.865,-0.697,-0.324,0.1385,0.32,1.15225,-2.2045,-1.99725,-1.162,-1.256,-0.13275,0.00975,0.426,0.822,-3.0375,-2.67725,-2.07125,-1.0605,-0.62,-0.305,0.207,0.367,-1.2465,-4.0805,-2.6505,-106.3475,1.41310127604276,1.491270382083,1.57391249778451,1.58310481014854,1.65340995053119,1.8611524703068,406.839619425123,404.557887950758,413.051064022819,404.861617133695,413.065504963297,404.967080472257,413.36111856379,405.370123496604,413.176035766407,406.488342968057,413.638079504481,1956.3287417804,1958.94505518426,1957.46146962393,1954.16874997386
