DOY2,HR2,CO2,CO2_SIGMA,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,TAU,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_4_1_1,G_1_1_1,TS_5_1_1
1,0.25,393.302,0.168716923,4.69776,2107.47,0.384562,17.97625,-3.8505,4.7401775,4.9231,0.261281,0.0128713,1.029412454,0.66519095,0.330916908,102.105,75.81725,-12.725,1.6597175,-9.877,0.736668854,-4.369,-0.07775,-0.06875,-0.252,0.29475,248.55,259.175,-0.57775,-1.3185,-0.75625,0.7165,-32.919475,-13.5375
1,0.75,393.271,0.104998095,4.85952,2106.2,0.27299,15.2247,-6.513355,4.3459825,5.02545,0.247094,-0.00564398,0.773754483,0.765430598,0.365468193,102.077,75.616075,-11.995,1.5160275,-9.558,1.050937677,-2.552,-0.08,-0.0675,-0.19725,0.29475,246.525,259.525,-0.5795,-1.33175,-0.7535,0.72025,-32.961405,-13.085
1,1.25,393.371,0.077429452,4.84659,2109.65,0.24472325,17.1401,-10.0569325,5.591695,3.82787,0.176226,-0.0127205225,0.76853497,0.697820894,0.269001115,102.045,77.1341,-11.6425,1.98767,-9.461,0.821808372,-1.47975,-0.07875,-0.06875,-0.46025,0.29475,243.625,258.85,-0.57775,-1.33175,-0.75725,0.68825,-33.037635,-13.485
1,1.75,393.464,0.08725096,4.81646,2103.26,0.30413525,13.8419,-1.1120475,7.06373,3.64938,0.190535,-0.0130366,0.645527691,0.756639941,0.254171989,102.052,76.8599,-11.6225,2.0325,-10.175,0.887377034,-0.908,-0.08275,-0.07275,-0.104,0.2945,250.85,257.375,-0.58175,-1.3395,-0.75175,0.67925,-33.1621375,-13.3125
1,2.25,393.425,0.06261749,3.971495,2104.2625,2.1333425,14.27255,-4.38414,7.48828416666667,3.61746,0.234976,0.029371775,0.77626413,0.645843634,0.343189452,102.072,74.9517,-12.08,1.94408,-10.425,0.377559267,-2.227,-0.081,-0.071,-0.21575,0.31125,247.1,258.05,-0.583,-1.34775,-0.75375,0.63225,-33.05842,-13.38
1,2.75,393.09875,0.088184863,4.52609,2101.12,0.380245,22.4158,-7.29638,7.91283833333333,3.97103,0.261346,0.000517510000000001,0.82094945,0.817338975,0.389580544,102.059,68.07475,-12.5,2.080635,-10.205,0.828738801,-3.96725,-0.078,-0.07275,-0.26,0.279625,246.425,256.625,-0.582,-1.35625,-0.75575,0.6635,-32.91895,-13.4175
1,3.25,392.99275,0.083003976,3.6203,2110.44,0.677893,17.7469,-7.13996,8.3373925,4.48188,0.235005,-0.00663795,1.198912007,0.957886737,0.370488866,102.06,67.666725,-12.0525,2.2259825,-10.12,0.386044039,-2.63075,-0.082,-0.07375,-0.10175,0.248,251.3,255.25,-0.5795,-1.35825,-0.75,0.688,-32.787965,-13.7675
1,3.75,394.39225,0.121889294,3.71422,2110.14,0.2787255,17.6227,-3.1188625,7.0722375,3.76568,0.23175,0.0103032,0.878804301,0.77604639,0.363993132,102.085,67.567475,-12.33,2.0339,-9.904,0.736864981,-1.67025,-0.0815,-0.06975,-0.18225,0.256,249.25,255.425,-0.5845,-1.365,-0.75925,0.641,-32.6541825,-13.73
1,4.25,393.076,0.126395016,4.18596,2102.96,0.870804,19.13805,-5.58826,8.9765,3.9257,0.267999,-0.00590061,0.763661574,0.785113368,0.34378918,102.089,67.9131,-12.605,1.95795,-9.679,0.88132911,-4.9735,-0.08,-0.072,-0.30925,0.24475,247.1,251.15,-0.5765,-1.35775,-0.7585,0.66425,-32.522925,-14.8175
1,4.75,393.93725,0.160909913,3.5388225,2104.66,0.38047,21.7634,-9.62681,5.867035,4.24137,0.219917,-0.00755809,0.837206665,0.67465028,0.336517459,102.069,67.1757,-13.15,2.08114,-9.671,0.895869968,-2.8325,-0.078,-0.06775,-0.233,0.2335,246.175,257.05,-0.58025,-1.36425,-0.761,0.71025,-32.67801,-13.7975
1,5.25,392.71575,0.168513798,3.53194,2112.33,0.11966315,19.194025,-2.65949,4.14233,3.49433,0.217472,-0.0075517,0.899307511,0.701366523,0.217740212,102.091,68.1553,-13.3475,1.94499,-9.454,0.866920412,-4.661,-0.07575,-0.07175,-0.2925,0.22225,243.45,256.7,-0.579,-1.36925,-0.75525,0.70775,-32.858595,-13.675
1,5.75,392.876416666667,0.18132315825,3.473545,2111.4225,0.6663865,6.029335,-3.6322875,3.866655,4.1715025,0.27207475,0.0013119825,0.72497686625,0.726470272,0.22879231875,102.28125,69.357775,-13.79,1.939425,-8.71725,0.7097578835,-2.4115,-0.08,-0.075,-0.274,0.211,249.8,254.2,-0.5815,-1.366,-0.755,0.701,-33.46009,-14.3
1,6.25,393.037083333333,0.1069197245,3.54985,2113.6975,0.11783125,4.558235,-8.40373,2.66356,4.3609,0.26421725,-0.01203022,0.8874914805,0.77956686925,0.21957715075,102.275,70.2543,-13.97,1.94656,-8.844,0.73387712525,-2.34125,-0.081,-0.071,-0.294,0.19975,245,253.6,-0.58575,-1.374,-0.748,0.746,-33.26257,-14.42
1,6.75,393.19775,0.186998648,3.58412,2121.49,1.17199225,23.52755,-4.48775,2.80064666666667,3.9024525,0.26229025,-0.01395625,0.8990667045,0.86336288775,0.288492414,102.2805,70.03675,-13.49,1.971255,-9.30425,0.94103552475,-3.234,-0.07675,-0.0755,-0.268,0.152,248.525,254.575,-0.5865,-1.375,-0.74275,0.721,-32.71151,-14.095
1,7.25,393.358416666667,0.13114116225,3.680665,2112.7225,0.87355375,5.81149,-15.634605,2.93773333333333,4.345895,0.27103975,-0.0197022875,1.15521603175,1.1015662125,0.3647331835,102.30675,69.0064,-13.1125,1.9350975,-9.7,0.93360439075,-4.20575,-0.081,-0.07575,-0.1305,0.2125,250.55,253.225,-0.58975,-1.3775,-0.73625,0.75925,-32.60258,-14.0325
1,7.75,393.519083333333,0.10974912575,3.6721925,2068.2225,0.6294045,10.05844,-7.2493975,3.07482,3.957125,0.28610725,-0.0267019,1.29637206875,0.9436844715,0.3901619075,102.321,71.628125,-13.0375,1.8674925,-9.44175,0.4563368925,-2.65,-0.079,-0.072,-0.32325,0.273,253.7,254.225,-0.59325,-1.38075,-0.73175,0.7655,-32.486195,-13.7425
1,8.25,393.67975,0.103035916,3.84974,2111.9,0.988604,15.130775,-6.582285,5.980665,3.79525,0.253544,-0.0139553,0.835413071,0.730709245,0.405037035,102.083,74.16975,-13.37,1.88677,-9.887,0.748017379,-3.63575,-0.0805,-0.0725,-0.18975,0.3335,251.475,253.675,-0.59475,-1.394,-0.736,0.75425,-32.3701775,-13.855
1,8.75,394.0475,0.164164552,3.9218,2122.1575,0.399914,19.4673,-1.769735,2.47081,3.59519,0.23961,-0.01337685,1.201757047,1.012328998,0.336184473,102.106,71.280925,-13.18,2.11484,-9.732,0.998285029,-2.169,-0.07675,-0.069,-0.3385,0.394,250.4,254.6,-0.59625,-1.39575,-0.7265,0.74775,-32.25163,-13.9225
1,9.25,393.711,0.14651075,4.1848575,2139.25,1.1184525,18.432675,-1.099132,2.02926,4.43782,0.224919,-0.0242319,0.914054703,0.692229008,0.340884145,102.132,69.315,-12.7975,2.00178,-9.338,0.700569768,-2.81925,-0.078,-0.0705,-0.19275,8.711,251.825,258.325,-0.5955,-1.39975,-0.72325,0.71775,-32.2798225,-13.6775
