DOY2,HR2,FC_1_1_1,CO2_1_1_1,H_1_1_1,LE_1_1_1,H2O_1_1_1,H2O_2_1_1,NEE_1_1_1,RH_1_1_1,RH_2_1_1,VPD_2_1_1,VPD_1_1_1,T_SONIC_1_1_1,TAU_1_1_1,USTAR_1_1_1,WS_1_1_1,PA_1_1_1,TA_1_1_1,TA_2_1_1,NETRAD_1_1_1,PPFD_IN_2_1_1,TS_1_1_1,TS_1_2_1
1,0.25,-1.1196371875,335.34366,-106.6578,-3.31364975,0.7949069,1.29820575,-2.576657425,48.01734975,54.282,0,0.164962475,-21.139545,-0.96775741,0.06625838375,0.50167362,98.0149,-20.69,-22.6645,-80.048,0,0.0800000000000001,0.7
1,0.75,-0.4626156875,333.38764,-116.443,-4.2385865,0.80322098,1.25992575,-1.481141735,49.0222425,55.302,0,0,-21.53999,-1.1431594,0.041397291,0.7628987525,98.1,-21.086,-22.875,-79.258275,0,0.16,0.7
1,1.25,-0.4272476,333.504205,-99.16644,-4.49003035,0.7668948,2.02623275,-1.4754225,47.9396,56.814,0,0.5703618,-22.5487,-1.01356442,0.0523187565,0.74776583,98.1,-21.3475,-22.966,-79.541,0,0.175,0.7
1,1.75,-0.768590925,334.27718,-81.5349065,-4.7868665,0.8330424,2.04536125,-2.964253295,46.80695,55.796,0,0.1032441,-21.7784525,-1.0207525,0.049557042,0.61626588,98.107275,-21.537,-22.985,-79.219,0,0.1,0.7
1,2.25,-0.8242095225,333.76148,-116.738375,-5.4679965,0.78694883,2.010934,-1.78342115,47.85684,55.126,0,0.629658775,-21.51698,-0.7604910425,0.0617000115,0.56640949,98.1075,-21.9935,-23.301,-78.73455,0,0.175,0.7
1,2.75,-0.5990446,333.6148,-104.085625,-3.40049,0.79700085,1.996954,-1.513839,48.1450875,55.25,0,0.61245095,-22.585115,-1.2091122,0.0357977095,0.2535099475,98.2,-21.9735,-23.783,-77.567475,0,0.2,0.7
1,3.25,-0.3204714,334.051845,-98.4549625,-2.61911475,0.7573264,1.149192,-1.906696,48.18231,54.348,0,0,-22.8821,-1.45459035,0.051938417,0.3769017,98.152825,-22.5185,-23.5605,-76.972,0,0.1,0.6775
1,3.75,-0.9254715,334.9585,-94.95245425,-4.435452,0.67028085,1.166498,-1.25784065,47.9212,55.024,0,0,-22.54806,-1.223035,0.0420786995,0.564514795,98.2075,-22.801,-23.904,-76.642175,0,0.2,0.7
1,4.25,-0.47864899,334.598965,-82.7753,-2.9293325,0.869610875,1.13548575,-1.659371785,47.32847,56.642,0,0.0429548,-23.309145,-1.050199015,0.0462294725,0.3627849,98.2075,-22.72875,-24.199,-75.696475,0,0.1,0.7
1,4.75,-0.399671125,332.80715,-92.613915,-2.611684,0.729105105,1.1251675,-0.9762189875,47.00921,55.474,0,0.1278045,-22.610215,-1.22925276,0.04547542725,0.6349051825,98.2075,-22.785,-24.4975,-76.153175,0,0.175,0.7
