DOY2,HR2,RH,TA,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT
1,0.25,75.575,-25.205,0.71375,0.8805,211.275,213.5,2.306,0.0288050925,0.1435207675
1,0.75,75.325,-24.68,0.71375,0.503,211.9,214.725,2.306,0.0287870675,0.08113832
1,1.25,76.2,-24.265,0.71375,0.748,213.475,216.825,2.306,0.020284115,0.08812626
1,1.75,75.175,-23.99,0.71375,0.5365,215.05,219.05,2.306,0.019975725,0.111875
1,2.25,75.35,-24.1625,0.71375,0.4965,213.925,217.45,2.306,0.027238,0.09489718
1,2.75,75.575,-23.0025,0.71375,0.67975,215.075,218.775,2.306,0.0192773925,0.07442717
1,3.25,75.575,-21.7125,0.71375,0.964,217.1,224.775,2.306,0.0135074275,0.07404945
1,3.75,77.05,-21.915,0.71375,0.533,219.35,225.05,2.306,0.0220780325,0.1116449
1,4.25,76.975,-21.8025,0.71375,0.9305,216.925,221.425,2.306,0.020316415,0.0741129
1,4.75,76.85,-21.92,0.71375,0.6025,216.225,220.275,2.306,0.0152467475,0.0892213025
1,5.25,77.4,-22.08,0.71375,0.567,219.35,220.575,2.306,0.0275891725,0.05423908
1,5.75,77.75,-22.3225,0.71375,0.5395,218.275,220.825,2.306,0.033086445,0.09440289
1,6.25,76.575,-23.1175,0.71375,0.728,218.225,220.7,2.306,0.0153333825,0.1017215
1,6.75,76.975,-23.4925,0.71375,0.469,214.2,219.3,2.306,0.020218515,0.1075849
1,7.25,76.875,-23.7225,0.71375,0.658,211.05,219,2.306,0.01526077,0.1082803
1,7.75,77.8,-23.4725,0.71375,0.5115,210.575,219.7,2.306,0.0354867225,0.062567465
1,8.25,77.9,-23.515,0.7335,0.65225,206.575,216.125,2.306,0.02042095,0.08805364
1,8.75,79.425,-23.0475,2.614375,0.59975,208.225,213.575,2.306,0.028910245,0.077947885
1,9.25,78.375,-23.185,4.49525,0.602,216.225,214.65,1.859,0.0313292575,0.056044665
1,9.75,78.55,-23.14,13.665,0.6915,216.15,218,0.322,0.0289089675,0.0807723725
1,10.25,78.75,-22.9925,30.66,0.739,214.25,220.975,-0.62975,0.18629685,0.1759135
1,10.75,77.4,-22.9825,0.612,1.256,216.85,221.25,0.211,1.056457,1.145627
1,11.25,77.1,-22.7275,2.18275,2.714,218.2,220.5,-0.2105,4.60533875,4.39135575
1,11.75,77.2,-23.6175,4.685,6.012,218.775,214.9,-0.451,11.338525,11.345615
1,12.25,77.175,-24.2975,8.142,9.0575,218.4,212.4,-1.0055,20.543365,20.3850325
1,12.75,77.7,-22.93,10.95,14.4075,213,215.05,-1.088,28.46378,30.3350575
1,13.25,77.8,-22.835,15.0025,19.4875,217.725,217.025,-0.56275,36.9906775,38.394585
1,13.75,77.8,-22.6825,14.665,18.4075,211.875,217.575,-0.6755,39.7053325,40.9538125
1,14.25,77.675,-22.4375,14.4125,17.8175,214.65,219.45,-0.09875,39.5841275,38.14658
1,14.75,79.025,-22.6975,11.785,14.72,215.7,217.3,-0.038,31.6828925,31.5287625
1,15.25,77,-22.395,7.9015,9.505,215,219.8,-0.603,20.7631425,22.1557275
1,15.75,77.45,-22.4225,6.34625,5.605,216.85,222.125,-0.65775,12.3984625,13.395825
1,16.25,77.3,-22.605,3.998,2.64075,215.525,220.325,-0.411,5.32794325,5.218043
1,16.75,77.025,-22.7325,1.0805,0.8065,214.75,218.475,-0.70825,1.29047175,1.5303025
1,17.25,77.625,-23.1125,24.72,0.61675,216.5,216.65,-0.262,0.151601075,0.310937275
1,17.75,76.375,-23.5025,14.7475,0.49525,215.225,215.75,1.8685,0.0425995475,0.1085785
1,18.25,75.825,-23.535,4.775,0.50475,215.75,215.95,3.642,0.028881765,0.057374285
1,18.75,74.575,-23.455,1.01225,0.5905,215.675,216.175,0.9735,0.0101165515,0.101081125
1,19.25,75.925,-23.3325,1.01225,0.619,215.375,218.15,0.9735,0.03184684,0.084455655
1,19.75,75.95,-23.04,1.01225,0.5505,211.825,220.3,0.9735,0.0278881425,0.102849975
1,20.25,75.7,-23.0875,1.01225,0.53525,209.7,219.65,0.9735,0.0338448575,0.06779596
1,20.75,75.325,-24.5575,1.01225,0.6505,210.2,214.55,0.9735,0.0423078875,0.088143285
1,21.25,74.725,-24.3825,1.01225,0.667,212.35,213.075,0.9735,0.035159115,0.088082965
1,21.75,76.175,-24.6975,1.01225,0.7055,213.8,212.725,0.9735,0.0203289675,0.11827645
1,22.25,76.15,-24.935,1.01225,0.4285,211.525,211.1,0.9735,0.031396115,0.088958765
1,22.75,75.025,-24.5725,1.01225,0.46425,212.525,212.375,0.9735,0.027072025,0.071126285
1,23.25,75.625,-24.475,1.01225,0.6775,211.1,212.925,0.9735,0.0166455125,0.08478154
1,23.75,75.225,-25.1925,1.01225,0.7435,208.55,211.625,0.9735,0.0228396325,0.08470426
2,0.25,72.875,-29.935,0.60075,0.3065,198.625,198.025,2.306,0.01359742,0.1621165
2,0.75,73,-29.875,0.60075,0.4725,198.8,199.7,2.306,0.0270137375,0.1822378
2,1.25,72.925,-29.795,0.60075,0.43,199.325,199.225,2.306,0.01534859,0.197854525
2,1.75,72.95,-29.73,0.60075,0.4415,200.05,199.475,2.306,0.0135166975,0.1706351
2,2.25,73.05,-29.5825,0.39775,0.40825,200.825,201.225,2.306,0.027181305,0.1624782
2,2.75,73.275,-29.4625,0.426477272727273,0.449,201.1,201,2.306,0.020334645,0.1656102
2,3.25,73.45,-29.3025,0.455204545454545,0.29175,201.65,200.775,2.306,0.0288289325,0.1484956
2,3.75,73.675,-29.0925,0.483931818181818,0.3885,201.6,199.85,2.306,0.0203277675,0.1623037
2,4.25,73.75,-29.04,0.512659090909091,0.655,201.2,198.2,2.306,0.0202550175,0.12187765
2,4.75,73.7,-29.115,0.541386363636364,0.41075,200.875,197.775,2.306,0.02210425,0.1524431
2,5.25,73.6,-29.0975,0.570113636363636,0.7645,200.675,199.1,2.306,0.0288307225,0.147082925
2,5.75,73.15,-29.345,0.598840909090909,0.345,199.875,198.6,2.306,0.02035353,0.181010325
2,6.25,73.45,-29.2725,0.627568181818182,0.54775,199.775,198.65,2.306,0.020370865,0.155750525
