DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_1_1,RH_1_1_1,WS_1_1_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_OUT,PPFD_IN,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_3_1_1,TS_3_2_1,TS_4_1_1,TS_4_2_1
1,0.25,-71.23455,-25.40465,1.9739,-22.931,0.259,0.15715,397.7503,6.21335,9.3494,87.3744,8.63,37.89,1.9761,0,0,258.15425,326.54575,0,0,4.67005,6.0667,6.805,7.4637,8.16105,10.3371,5.44695,6.82545,9.82,10.27,9.255,10.4
1,0.75,-71.6141,-25.5866,1.661,-22.1572,0.247,0.1546,398.2911,6.139,9.24435,87.3668,8.5,38.79,1.9858,0,0,257.36095,326.43455,0,0,4.4501,5.9016,6.76835,7.4608,8.19105,10.31845,5.0867,6.6611,9.82,10.265,9.265,10.405
1,1.25,-70.77295,-25.8236,1.949,-22.44545,0.2545,0.15635,397.9908,6.03585,9.29135,87.34245,8.54,38.4664,1.9205,0,0,256.26495,325.6251,0,0,4.2866,5.8085,6.7575,7.47,8.1871,10.31345,4.866,6.501,9.83,10.265,9.27,10.405
1,1.75,-70.5489,-24.8828,1.738,-22.9477,0.23715,0.15595,398.3495,6.061,9.07,87.3481,8.37,39.5179,1.97315,0,0,256.0499,325.0248,0,0,4.14195,5.6497,6.73155,7.47735,8.18605,10.3052,4.746,6.4203,9.83,10.26,9.275,10.405
1,2.25,-70.64975,-24.3746,1.9686,-23.4021,0.25795,0.1603,398.0683,6.0216,8.8225,87.3545,8.29,39.9237,2.013,0,0,255.68275,324.8369,0,0,4.01285,5.5545,6.7192,7.46385,8.21105,10.30845,4.6661,6.29455,9.835,10.265,9.285,10.405
1,2.75,-71.265,-25.069,1.8517,-23.3121,0.21705,0.15565,398.3073,5.99975,8.9488,87.3485,8.26,39.4169,2.08985,0,0,254.1594,325.8776,0,0,3.8964,5.4414,6.6775,7.4583,8.205,10.322,4.5552,6.202,9.84,10.265,9.285,10.405
1,3.25,-70.8237,-25.7702,2.2127,-24.82175,0.2318,0.1644,398.3,6.0176,8.7282,87.3426,8.03,40.0426,1.9746,0,0,255.1238,324.2055,0,0,3.771,5.3444,6.6477,7.4942,8.205,10.322,4.452,6.101,9.84,10.27,9.295,10.4
1,3.75,-70.3178,-24.3987,2.3382,-24.6663,0.2619,0.1604,397.8,5.9919,8.819,87.33555,8.05,38.97,2.0449,0,0,255.49525,324.6423,0,0,3.722,5.244,6.5877,7.45,8.2469,10.3052,4.3748,5.969,9.845,10.27,9.31,10.4
1,4.25,-70.0641,-24.166,2.20595,-25.1326,0.253,0.15985,397.5626,5.9713,8.9285,87.3254,8.12,39.69,2.11795,0,0,256.403,323.7618,0,0,3.6538,5.14,6.546,7.5052,8.2171,10.3052,4.2809,5.85,9.85,10.275,9.315,10.405
1,4.75,-70.615,-23.9487,2.4038,-26.75475,0.27065,0.1636,397.6,6.0458,8.6367,87.319,7.987,39,2.0758,0,0,255.34195,324.48045,0,0,3.5498,5.0081,6.5092,7.4956,8.2542,10.3052,4.1714,5.698,9.855,10.28,9.31,10.41
