DOY2,HR2,CO2,G_1_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD_1_1_1,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TA_1_1_1,TS_1_1_1,TS_1_2_1,USTAR,VPD,WS
1,0.25,345.49,-22.44,-46.6795,0.26935,-2.02,122.99,164.78,-91.3865,93.8,0,0,60.2825,-0.393,-5.625,-0.665,-2.4255,-0.37625,-39.9,-18.3215,-16.7995,0.008,0.08,0
1,0.75,345.04355,-22.43,-49.3165,0.2551,-6.5075,123.8775,163.7225,-89.32225,93.8,0,0,60.3175,-0.946,-12.0825,-1.74,-2.584,-0.52075,-39.9,-18.2565,-16.812,0.03,0.08,0
1,1.25,341.141975,-22.63,-38.652,0.24875,-2.05,124.4275,162.0725,-89.4645,93.8,0,0,60.125,-0.48325,-5.4875,-1.58,-2.636,-0.31425,-39.9,-18.20075,-16.8245,0.02775,0.08975,0.0585
1,1.75,351.0961,-22.7525,-42.6925,0.2468,-2.93,126.805,160.805,-91.39525,93.8225,0,0,60.0075,-0.761,-4.1675,-0.635,-2.5355,-0.22425,-39.9,-18.1355,-16.9225,0.02,0.08,0.21475
1,2.25,351.3008,-22.9525,-56.69,0.2348,-3.17,125.2175,159.4925,-90.933,93.8225,0,0,59.4275,-1.4575,-7.2,-0.845,-2.46775,-0.1755,-39.9,-18.2165,-17.0185,0.035,0.08,0.2745
1,2.75,353.29505,-23.14,-49.053,0.352,-1.96,127.3675,158.5575,-90.047,93.845,0,0,59.1225,-0.6475,-6.5275,-9.1075,-2.5655,-0.29,-39.9,-18.32725,-17.12425,0.014,0.08,0.10885
1,3.25,355.4467,-23.38,-43.294,0.3475,-1.55,127.8825,158.36,-91.111,93.845,0,0,58.935,-0.6375,-5.8,-0.8,-2.53875,-0.34075,-39.9,-18.418,-17.23025,0.01725,0.08,0
1,3.75,354.23525,-23.575,-43.73225,0.338825,-3.47,127.0575,158.6625,-93.99475,93.9225,0,0,58.8275,-1.063,-6.85,-3.575,-2.41,-0.41525,-39.9,-18.50775,-17.174,0.034,0.08,0
1,4.25,352.651825,-23.885,-59.287,0.338,-2.75,124.86,159.2375,-95.83625,93.9225,0,0,59.7,-0.8195,-6.425,-13.685,-2.33,-0.23,-39.9,-18.61775,-17.21525,0.03625,0.08,0.129675
1,4.75,350.10325,-24.2,-42.3195,0.327475,-2.205,126.4775,158.98,-101.74425,94,0,0,59.7875,-0.43825,-6.4875,-0.565,-2.41875,-0.241,-39.9,-18.71825,-17.286,0,0.07975,0.092925
1,5.25,351.673,-24.395,-51.534,0.3124,-2.6375,124.3025,157.8475,-99.66575,94,0,0,59.19,-0.2525,-5.225,-0.69,-2.65975,-0.402,-39.9,-18.82775,-17.3665,0.0205,0.08,0.157025
1,5.75,353.108275,-24.65,-57.1,0.29195,-4.95,123.745,159.9075,-93.16125,94,0,0,59.475,-0.3195,-6.835,-2.365,-2.58775,-0.29525,-39.8025,-18.9375,-17.4565,0.0205,0.07,0.178225
