DOY2,HR2,USTAR,NEE,FC,SC,H,SH,LE,SLE,CO2,H2O,TA,G,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,NETRAD,RH,VPD,WS,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PA,T_CANOPY
7,13.75,0.119020875,-53.59869425,-53.477659625,-0.5837064,-22.01421915,-1.015117475,58.0787624,-3.097058325,352.19099645,11.385891275,19.19566475,-0.625783995,22.14191275,21.76806675,21.13049775,20.56785375,79.31506,39.69212875,1.419746572475,0.9030843975,122.99173,22.13568575,358.48568,421.470025,274.261405,97.4989476,21.31880402
7,14.25,0.116327925,-50.3133292,-50.3037275,-0.3933135,-15.90268365,-1.34025475,37.820614,-3.5447652,351.09892825,11.472913875,19.49199275,0.0638584374000004,22.41513475,22.09657575,21.48870175,20.8407715,65.55375875,37.835134,1.50868905095,0.8529181575,102.8195655,21.25372275,355.8047875,424.5054575,238.803525,97.4836744,20.8507345
7,14.75,0.13997065,-45.338921,-45.2214512,-0.35021175,-25.5993258,-1.2402477,31.150972,-3.72969,350.56647435,11.3846391,19.45985775,1.35935481875,22.62060425,22.2404265,21.701924,21.1607315,36.169632,37.33896825,1.454040453075,0.849881995,88.0533245,14.4339995,354.715735,421.92793,191.26831,97.4801278,20.56416176025
7,15.25,0.1166413,-41.109109625,-41.0379114,-0.45741115,-29.051264525,-1.3232249,44.7176694,-3.225032675,346.754733575,11.315658325,19.13863025,1.2234868075,22.3062325,22.26829825,21.904786,21.33440075,48.13738025,37.39672725,0.451796312925,0.821642055,85.222155,16.332072,352.2146825,419.2625875,191.11648,97.4808114,20.15326975
7,15.75,0.1030522,-33.5026934,-33.4793104,-0.569153,-33.9687695,-1.197650425,37.54965265,-4.47024675,347.9135127,11.325268025,19.2321805,0.422846685,22.4878095,22.17448575,21.96437225,21.450564,28.603208,37.20278275,0.888974498825,0.787024035,56.8017125,10.77914,353.636615,417.33053,122.85077,97.4808856,20.05979075
7,16.25,0.109330575,-30.5821157,-30.7291678,-0.43877245,-40.9077048,-1.1705116,35.522491025,-2.863487125,348.000265125,11.517356375,18.72362325,0.65460031,22.515869,22.45809775,22.067724,21.58019075,21.0378965,37.22396575,1.219888597925,0.6906962825,49.896372,13.696517,350.7552275,414.1177725,117.6767925,97.4791948,19.63915275
7,16.75,0.107059,-25.3636477,-25.551399,-0.4259324,-49.3114751,-1.481031875,25.479786325,-3.51436935,347.7104359,10.94074155,18.80035825,0.0563321737500008,22.4543455,22.29052875,21.89413575,21.5582,4.711821825,37.863964,1.12724868615,0.6982445,36.9120135,7.2790785,347.4384125,413.5125525,81.1062155,97.4673106,19.27225475
7,17.25,0.08752675,-20.51966575,-20.42533115,-0.659669325,-56.808810125,-1.384841,25.2002639,-3.188640625,347.4142583,11.264106,18.83784225,-1.0108954254,22.3436155,22.05628875,21.795091,21.59598475,-2.84620977499999,37.625837,1.20092800815,0.58370934,19.60069875,5.2613566,345.5111175,415.3383875,53.58110825,97.4630766,19.2489435
7,17.75,0.07748075,-13.549756625,-13.417595,-0.4154612,-58.144446075,-1.70514035,20.8233521,-2.7408024,346.8938108,11.097536875,19.11934575,-1.910435075,22.36065725,22.03271625,21.720977,21.53671475,-8.0766623,38.83306225,1.435186105975,0.6060847425,17.7961045,2.918209925,341.965,413.62376,48.504814,97.4726768,19.79622125
7,18.25,0.0497597,-9.88201,-9.67506745,-0.29738045,-63.8676148,-2.37624615,10.5902788,-3.499252,345.846779,10.74608475,19.194311,-3.8199440875,22.212561,21.9810305,21.72721725,21.476869,-13.71771,40.39402625,0.418335066725,0.4264644,12.7272225,4.26171935,338.762885,414.7358,32.9219335,97.4691992,19.86663611075
