DOY2,HR2,FC,LE,H,CO2,PA,TA,RH,PPFD_IN,SW_IN,NETRAD,TS_1_1_1,TS_1_2_1,USTAR,WS,NEE
1,0.25,0.09,-0.343,-31.1745,384.54025,88.962,-5.039,80.39475,0,0,-30.8715,-0.691,0.727,0.07025,0.5225,0.40875
1,0.75,0.153,-0.37225,-18.044,385.06025,88.9505,-4.878,80.55,0,0,-29.7155,-0.7095,0.72775,0.07,0.561,0.3925
1,1.25,0.203,-0.77,-18.457,384.824,88.96,-4.937,81.08625,0,0,-30.3205,-0.74825,0.66225,0.072,0.476,0.43525
1,1.75,0.198,-0.597,-28.435,385.26,88.983,-5.453,82.50475,0,0,-31.83875,-0.777,0.694,0.0685,0.51475,0.41
1,2.25,0.18525,-0.3335,-13.918,385.2495,89.01,-5.55,83.099,0,0,-27.20875,-0.781,0.685,0.076,0.566,0.39425
1,2.75,0.0805,-0.544,-20.49475,385.361,89.0045,-5.474,84.625,0,0,-27.00575,-0.82775,0.6865,0.073,0.546,0.39075
1,3.25,0.154,-0.39175,-21.897,384.87,89,-5.404,82.5965,0,0,-28.134,-0.8155,0.661,0.067,0.582,0.425
1,3.75,0.15,-0.32675,-26.9805,384.449,88.99675,-5.447,79.9885,0,0,-30.84925,-0.86375,0.65575,0.067,0.504,0.4255
1,4.25,0.121,-0.3195,-28.514,385.008,88.96,-5.604,82.50175,0,0,-30.0015,-0.9265,0.6785,0.068,0.4855,0.404
1,4.75,0.042,-0.2955,-30.085,385.051,88.965,-5.335,84.298,0,0,-27.519,-0.9395,0.67,0.072,0.545,0.40075
1,5.25,0.1195,-0.163,-21.88225,384.9165,88.944,-5.425,81.93475,0,0,-26.6,-0.97175,0.69825,0.065,0.582,0.43
1,5.75,0.259,-0.292,-18.2085,384.956,88.95875,-5.981,81.904,0,0,-26.52725,-1.0005,0.68625,0.068,0.558,0.42225
1,6.25,0.11725,-0.501,-22.66,385.714,88.963,-5.619,83.3,0,0,-24.95425,-0.9925,0.68275,0.06275,0.548,0.393
1,6.75,0.163,-0.641,-15.82925,384.925,88.969,-6.109,83.15,0,0,-24.9415,-1.02525,0.69025,0.0725,0.586,0.39775
1,7.25,0.0545,-0.141,-19.753,385.197,88.989,-6.056,82.5065,0,0,-29.95475,-1.03,0.68675,0.059,0.559,0.35775
1,7.75,-0.337,-0.429,-32.36425,384.9315,88.9825,-6.019,83.5,9.156,0,-26.0345,-1.05375,0.67175,0.062,0.534,-0.22825
1,8.25,-0.761,-0.339,-17.949,385.0615,88.98825,-5.67,80.87425,39.396,18.62275,-9.603,-1.14725,0.6685,0.07425,0.49375,-0.856
1,8.75,-0.5895,-0.158,-16.6215,385.625,89.0435,-4.731,78.25,78.456,51.805,1.1155,-1.2755,0.473,0.071,0.418,-0.8535
1,9.25,-0.666,0.1385,-12.869,384.6155,89.051,-4.19625,74.835,141.19,77.392,10.23975,-1.4675,0.31325,0.08325,0.332,-1.35025
1,9.75,-0.8875,1.303,-5.371,384.34275,89.05575,-3.7465,68.283,192.43,105.748,18.89,-1.532,0.29125,0.103,0.39725,-1.201
1,10.25,-1.303,3.421,-1.5865,383.45325,89.066,-3.55875,65.983,247.03,146.667,27.6575,-1.4085,0.3535,0.1145,0.45925,-1.485
1,10.75,-1.3705,1.886,7.4875,383.0575,89.076,-3.09225,64.165,284.13,152.88425,32.16475,-1.33175,0.42,0.145,0.517,-1.562
1,11.25,-1.3585,3.685,9.3865,382.8275,88.996,-2.5545,62.021,285.48875,186.34075,34.04325,-0.9665,0.50175,0.143,0.5335,-1.543
1,11.75,-1.707,2.052,8.407,382.74,88.938,-2.25475,60.4305,303.89625,134.60225,40.69675,-0.971,0.5155,0.17175,0.595,-2.0405
1,12.25,-1.38725,1.615,13.63375,382.3675,88.923,-2.11825,56.456,321.14425,192.53375,37.9775,-0.8335,0.56175,0.17175,0.6595,-2.00375
1,12.75,-1.7865,3.6565,15.887,381.907,88.897,-1.791,54.293,299.88,170.206,42.096,-0.772,0.5605,0.17775,0.59675,-1.639
1,13.25,-1.4355,3.913,12.393,382.2035,88.8485,-1.359,52.359,261.38,155.87,42.54,-0.63025,0.632,0.161,0.7,-1.654
1,13.75,-1.686,3.77375,5.995,381.4275,88.848,-1.00975,50.49575,273.77,131.92425,37.7775,-0.53525,0.655,0.1565,0.574,-2.60725
1,14.25,-1.44625,2.28725,3.481,381.4265,88.8565,-0.85875,51.3905,239.13425,146.0005,26,-0.4615,0.66375,0.15,0.613,-1.534
1,14.75,-1.36725,1.14575,-0.73375,381.224,88.891,-0.86675,52.805,189.43125,92.201,15.85,-0.4175,0.7035,0.14825,0.642,-1.13425
1,15.25,-1.17975,0.313,-7.1355,381.1,88.8995,-0.9595,53.012,129.57,63.9565,9.54,-0.33875,0.757,0.154,0.637,-1.011
1,15.75,-1.005,0.35725,-7.323,380.113,88.91125,-1.38975,53.64375,83.41275,41.176,2.184,-0.323,0.7995,0.132,0.596,-0.98025
1,16.25,-0.6165,-0.20875,-19.908,379.8035,88.925,-1.59225,56.655,38.3495,18.257,-14.8,-0.303,0.8275,0.10025,0.49875,-0.667
1,16.75,-0.294,-0.245,-25.0675,380.74275,88.94025,-1.9565,58.835,8.04075,0,-43.0955,-0.26725,0.82625,0.0735,0.54275,0.01825
1,17.25,-0.112,-0.3225,-28.53,380.941,88.95475,-2.1555,61.83575,0,0,-38.85025,-0.2665,0.863,0.071,0.531,0.464
1,17.75,0.087,-0.34075,-41.414,380.88775,88.99525,-2.47475,66.9335,0,0,-41.792,-0.2575,0.80025,0.073,0.608,0.4635
1,18.25,0.095,-0.26325,-32.953,381.984,89.0115,-2.95075,69.1535,0,0,-40.34675,-0.317,0.78825,0.06475,0.56925,0.467
1,18.75,0.15375,-0.479,-29.013,382.2675,89.032,-3.07975,72.0305,0,0,-38.03075,-0.3665,0.749,0.059,0.592,0.4795
1,19.25,0.10025,-0.259,-22.7385,382.478,89.032,-3.3105,74.225,0,0,-35.11,-0.4055,0.74175,0.069,0.578,0.46075
1,19.75,0.0815,-0.64975,-26.50575,381.538,89.03425,-3.635,76.3035,0,0,-35.8025,-0.40075,0.74375,0.06525,0.572,0.4685
1,20.25,0.1395,-0.291,-25.416,382.415,89.063,-3.95925,77.17225,0,0,-33.99075,-0.4585,0.7415,0.071,0.5275,0.4545
1,20.75,0.139,-0.1815,-20.92325,383.078,89.102,-4.168,79.05,0,0,-33.372,-0.47425,0.72775,0.06,0.60225,0.44675
1,21.25,0.1405,-0.53175,-25.25675,382.772,89.1135,-4.23525,79.331,0,0,-34.575,-0.50075,0.729,0.068,0.552,0.4195
1,21.75,0.164,-0.342,-20.722,383.9785,89.10675,-4.26875,81.169,0,0,-32.5655,-0.527,0.7285,0.06075,0.55325,0.42675
1,22.25,0.159,-0.466,-19.15,384.346,89.1,-4.32125,82.603,0,0,-34.60675,-0.55475,0.71575,0.06075,0.547,0.414
1,22.75,0.1995,-0.5245,-18.4925,385.1235,89.08275,-4.503,82.0755,0,0,-32.58625,-0.591,0.74925,0.065,0.5565,0.42475
1,23.25,0.173,-0.15325,-25.14575,385.049,89.092,-4.53675,80.455,0,0,-32.1895,-0.6405,0.69475,0.073,0.526,0.421
1,23.75,0.24125,-0.12925,-24.40475,384.373,89.04475,-4.79375,78.52325,0,0,-29.34,-0.6565,0.666,0.07,0.537,0.43575
