DOY2,HR2,CO2_1_1_2,H2O_1_1_2,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,H2O_1_4_3,CH4_1_4_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_4_1_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_5_1_1,TS_5_2_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,419.9795,1.634,1.8695,1999.9385,420.03575,1.624,1.835,2000.29875,420.36375,1.582,2.059,1998.79375,420.302,1.531,1.656,1998.357,6.51475,-5.65625,0.64275,423.799,1.73025,0.115,0.03825,0.052,2.156,0.094,0.273,-2.53625,2.26,0.8255,3.89,3.525,-6.285,-10.0885,-7.45,-6.484,91.54675,76.44,1.57025,-13.4025,-4.595,-7.505,1.6,-1.1575,3.4,-0.66,-0.165,228.35,254.425,-3.835,279.95,287.35,0.36,0.08,0.01,0.1,0.38,0.09,0.23,0.26,-1.96425,-1.5155,-1.05525,-3.4165,-2.88875,-1.771,-1.47,-1.461,-1.1695,-0.60675,-3.752,-3.159,-2.134,-1.595,-1.4055,-0.322,-0.0625,-2.986,-2.524,-2.172,-1.472,-1.513,-1.134,-5.305,-5.111,-3.114,-3.91525,-2.10025
1,0.75,420.044,1.8425,2.0165,1999.0335,420.0285,1.8465,1.96425,1999.79725,419.919,1.88175,2.029,2000.0825,420.0025,1.984,1.483,1998.347,6.4485,-5.411,0.6965,423.9075,1.79425,0.071,0.008,0.118,1.333,0.14375,0.25875,-2.883,2.37,0.84375,3.775,3.4,-6.071,-10.472,-7.3915,-6.2465,91.545,76.36,1.625,-13.665,-4.58,-7.4175,1.65,-1.3,3.5,-0.66,-0.145,228.25,254.6,-4.855,280.325,287.35,0.36,0.09,0.01,0.09,0.39,0.09,0.23,0.26,-1.96425,-1.516,-1.056,-3.418,-2.888,-1.77,-1.4655,-1.459,-1.158,-0.605,-3.71825,-3.1415,-2.135,-1.59,-1.391,-0.321,-0.06275,-2.996,-2.523,-2.17675,-1.475,-1.513,-1.1355,-5.286,-5.109,-3.186,-4.0085,-2.173
1,1.25,425.588,1.822,2.009,1998.875,425.583,1.825,2.00825,1999.32375,425.71675,1.831,2.0405,1998.4975,426.0925,1.86425,1.829,1999.2295,6.515,-5.3675,0.6615,424.041,1.6525,0.088,0.0325,0.168,1.748,0.15025,0.29,-1.2775,2.9065,0.772,3.955,3.6675,-5.91675,-10.1665,-7.61775,-6.293,91.557,75.995,1.67925,-13.3,-4.585,-7.42,1.7,-1.325,3.4,-0.6725,-0.2125,227.95,254.3,-5.8025,281.35,287.575,0.35,0.08,0.01,0.095,0.39,0.09,0.23,0.26,-1.962,-1.517,-1.056,-3.42,-2.886,-1.77,-1.4655,-1.461,-1.158,-0.605,-3.7105,-3.1315,-2.1395,-1.5915,-1.39175,-0.321,-0.063,-3.006,-2.522,-2.1785,-1.478,-1.514,-1.1375,-5.285,-5.105,-3.19275,-4.02325,-2.137
1,1.75,419.6975,1.78675,1.978,1999.65575,419.5405,1.7855,2.0385,1999.02525,419.6585,1.81725,1.959,1999.044,419.916,1.7025,1.55,1999.4665,7.15225,-5.5445,0.63875,424.112,1.6805,0.118,0.039,0.12075,0.7805,0.1565,0.25975,-1.985,2.036,0.90625,3.92,3.55,-5.922,-10.074,-7.594,-6.189,91.55325,75.86,1.653,-13.76,-4.6,-7.535,1.6,-1.28,3.3,-0.65,-0.15,229.2,253.05,-4.42,281.525,287.575,0.36,0.09,0.01,0.1,0.39,0.09,0.23,0.26,-1.966,-1.518,-1.056,-3.424,-2.88,-1.769,-1.473,-1.46,-1.1585,-0.606,-3.72175,-3.12075,-2.145,-1.596,-1.3915,-0.32275,-0.06325,-3.017,-2.521,-2.1795,-1.478,-1.517,-1.1395,-5.286,-5.101,-3.019,-3.866,-2.09
1,2.25,419.98475,1.701,1.96725,1999.72675,420.15025,1.6635,1.977,1999.94975,419.781,1.649,1.986,1999.962,420.361,1.2905,1.2545,1998.66,6.2625,-5.304,0.66275,424.311,1.73225,0.139,0.014,0.063,1.9735,0.144,0.25975,-2.48275,3.177,0.79575,3.52,3.415,-5.8825,-9.968,-7.556,-6.08375,91.558,75.945,1.6635,-13.925,-4.605,-7.57,1.8,-1.165,3.6,-0.66,-0.21,229.9,253.9,-4.145,281.425,287.55,0.36,0.09,0.01,0.095,0.38,0.09,0.23,0.26,-1.968,-1.518,-1.057,-3.435,-2.882,-1.768,-1.471,-1.46,-1.15925,-0.606,-3.7325,-3.119,-2.14725,-1.5975,-1.3915,-0.32375,-0.06425,-3.027,-2.52,-2.1795,-1.477,-1.521,-1.142,-5.307,-5.103,-3.037,-3.852,-2.09375
1,2.75,419.848,1.5955,1.91175,1999.9435,419.8765,1.57625,1.8755,1999.9285,419.8145,1.5395,1.908,2000.15875,419.964,1.6795,1.2625,2000.77725,6.7865,-5.561,0.65225,424.3105,1.70875,0.14475,0.012,0.05625,3.59,0.064,0.243,-2.772,2.588,0.84325,3.76,3.57,-6.135,-10.1475,-7.7925,-6.181,91.559,75.8125,1.60525,-14.025,-4.62,-7.5625,1.7,-1.23,3.5,-0.655,-0.19,227.25,253,-5.545,281.175,287.55,0.36,0.095,0.01,0.095,0.38,0.09,0.23,0.26,-1.969,-1.517,-1.05925,-3.436,-2.881,-1.768,-1.471,-1.46,-1.161,-0.607,-3.729,-3.12925,-2.13975,-1.59725,-1.392,-0.32475,-0.06525,-3.035,-2.519,-2.17975,-1.479,-1.53325,-1.144,-5.333,-5.11,-3.201,-3.98075,-2.151
1,3.25,425.77925,1.62,1.8785,1999.459,425.76075,1.55,1.849,1999.582,425.81375,1.574,1.9375,1999.896,426.73125,1.799,1.451,2000.4215,6.6505,-5.1895,0.66475,423.941,1.616,0.1005,0.015,0.072,1.1575,0.0905,0.25975,-1.5145,2.85,0.737,3.85,3.43,-6.2995,-9.9125,-7.64275,-6.03125,91.564,76.1075,1.628,-14.32,-4.6,-7.4625,1.6,-1.29,3.4,-0.67,-0.19,225.5,251.95,-6.63,280.8,287.525,0.36,0.095,0.01,0.095,0.38,0.09,0.23,0.26,-1.97,-1.5155,-1.059,-3.44,-2.878,-1.768,-1.47,-1.461,-1.162,-0.608,-3.72125,-3.1395,-2.133,-1.599,-1.39,-0.325,-0.06525,-3.041,-2.517,-2.179,-1.484,-1.5365,-1.149,-5.347,-5.109,-3.1715,-3.961,-2.096
1,3.75,419.557,1.56825,1.99025,2001.37325,419.535,1.5645,1.96275,2000.019,419.484,1.54225,2.023,2000,419.992,1.33,1.128,2000.04375,6.436,-5.351,0.664,423.967,1.6205,0.113,0.0325,0.01,2.102,0.236,0.2515,-3.67,3.058,0.799,4.14,3.76,-5.73975,-9.517,-7.2535,-6.3565,91.56375,76.21,1.6585,-13.855,-4.575,-7.4125,1.5,-1.275,3.2,-0.69,-0.135,228.05,254.3,-5.05,280.925,287.5,0.36,0.09,0.01,0.09,0.39,0.09,0.23,0.26,-1.97,-1.5145,-1.0595,-3.435,-2.872,-1.767,-1.469,-1.461,-1.164,-0.61,-3.7185,-3.14975,-2.126,-1.5965,-1.39175,-0.3265,-0.06625,-3.046,-2.516,-2.18,-1.489,-1.533,-1.155,-5.352,-5.11,-3.1425,-3.93125,-2.089
1,4.25,419.6795,1.856,1.957,1999.137,419.5195,1.831,2.024,2000.741,419.867,1.864,2.087,1999.75,419.99,1.925,1.2185,2001.091,6.6005,-5.5725,0.5515,424.01,1.579,0.087,0.008,0.034,1.958,0.235,0.26175,-2.133,1.928,0.7555,4.285,3.7775,-5.82075,-10.121,-7.5725,-6.3885,91.56275,76.14,1.631,-13.665,-4.5575,-7.4725,1.6,-1.35,3.35,-0.68,-0.17,228.85,254.6,-4.89,280.75,287.5,0.36,0.09,0,0.09,0.39,0.09,0.23,0.26,-1.968,-1.5135,-1.06,-3.429,-2.873,-1.767,-1.468,-1.461,-1.165,-0.612,-3.726,-3.16,-2.1225,-1.598,-1.39225,-0.3275,-0.0665,-3.052,-2.515,-2.18,-1.494,-1.537,-1.163,-5.369,-5.113,-3.15525,-3.97525,-2.07525
1,4.75,419.359,1.7675,1.912,1999.6575,419.445,1.8025,2.011,2000,419.5295,1.85175,1.845,1999.5,419.6895,1.79325,1.3905,1999.943,6.7065,-5.5845,0.542,424.20275,1.7915,0.1235,0.02025,0.062125,2.40225,0.182,0.251,-3.258,3.12225,0.8145,4.04,3.7275,-6.041,-10.2105,-7.07175,-6.36125,91.547,76.755,1.642,-13.725,-4.555,-7.63,1.6,-1.2,3.4,-0.67,-0.16,230.55,254.85,-3.265,280.7,287.6,0.36,0.0875,0.01,0.0975,0.39,0.09,0.23,0.26,-1.964,-1.516,-1.0595,-3.425,-2.875,-1.78275,-1.468,-1.46925,-1.165,-0.614,-3.7335,-3.17025,-2.124,-1.6005,-1.392,-0.32775,-0.06725,-3.054,-2.514,-2.18,-1.5,-1.541,-1.1655,-5.367,-5.109,-3.01,-3.93925,-2.0675
