DOY2,HR2,FC,H,LE,CO2,USTAR,TA,RH,PA,WS,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,5.334154553,-0.301451831,5.463588862,398.3921272,0.16145262025,24.23,93.7,99.17506087,1.684,-15.01,0,0,426.975,441.375
1,0.75,4.88565,-0.233692439,3.72925,398.94297015,0.1532175,24.135,93.9,99.1615,1.66175,-15.9225,0,0,426.9,440.75
1,1.25,5.38545,-0.50029,6.8517,399.157599275,0.175762789,23.955,94,99.13825,1.61075,-15.805,0,0,426.6,440.375
1,1.75,6.184026841,-1.152,7.689154892,401.38200755,0.186683956,23.755,94.1,99.12795953,1.591,-14.28,0,0,428.275,439.9
1,2.25,5.78265,-0.48071,7.13051461575,405.4674577,0.175046754,23.49,94.3,99.116,1.65,-13.39,0,0,428.075,439.075
1,2.75,6.529311934,-0.707891049,7.94037850325,404.866964825,0.17241,23.52,94.3,99.1011282375,1.60875,-12.8475,0,0,428.8,438.1
1,3.25,6.7003,-0.597982852,6.25735,406.870834625,0.1850825,23.43,94.4,99.096685905,1.62025,-12.415,0,0,429,437.8
1,3.75,6.412631647,-0.6827,9.7778153315,410.224568525,0.184613876,23.2675,94.5,99.09779092,1.64675,-12.695,0,0,429,437.575
1,4.25,7.402417716,-0.544305,8.47255,415.684716125,0.19482919625,23.13,94.7,99.089,1.662,-11.79,0,0,428.6,437.5
1,4.75,8.6806944645,-0.566600336,10.73516187,417.0973736,0.19802020875,23.15,94.7,99.092,1.657,-11.8425,0,0,427.95,436.9
1,5.25,7.5276,-0.8179875,10.6058373675,416.06837115,0.18924,23.125,94.8,99.1079117,1.6825,-10.175,0,1.26,428.575,436.9
1,5.75,7.25285,-0.31207,8.82965,419.402740325,0.198438517,22.9575,94.8,99.128237495,1.64,-10.05,0.81175,1.66175,428.375,436.6
1,6.25,9.01875980425,-0.0749185,10.80818901,418.96105375,0.20452101225,23.0025,94.9,99.15725,1.619,-2.364,18.625,5.16375,428.8,436.6
1,6.75,8.973664007,-0.071365792,22.590051715,422.2782821,0.2306980445,23.0625,94.9,99.205,1.613,26.575,77.6025,14.125,430.3,438.3
1,7.25,10.72330086,8.20283018275,60.92275,423.8761031,0.29702805775,23.365,94.7,99.24586708,1.62625,75.305,164.525,26.56,431.1,441.6
1,7.75,7.71555120375,25.018,126.09,418.26708765,0.3514725,24,94.5,99.28388355,1.7215,142.55,265.15,39.5225,433.2,447
1,8.25,4.69465455325,49.12353743,189.5979569,412.5332446,0.43009,24.6375,94.3,99.31186901,1.9805,227.45,372.5,50.96,434.2,452.65
