DOY2,HR2,FC,LE,H,FCH4,CO2,H2O,CH4,USTAR,WS,T_SONIC,TA,RH,PA,TS_1_1_1,PPFD_IN,FCH4_1_1_1,FCH4_1_1_2,CH4_1_1_1,CH4_1_1_2,SW_IN
1,0.25,-0.135056,-0.583071,-7.9634675,13.115,406.984568,2.862439,1929.115,0.122306,1.113965,-12.384179,-13.39,85.3,96.074337,0.86,0,15.316,10.107,2033.433,2023.751,-0.8055
1,0.75,-0.123826,-0.5368095,-6.756325,10.2905,405.923886,2.715382,1944.894,0.115381,1.013903,-13.08277,-13.44,85.75,96.03594,0.8575,0,14.45,10.54,2039.602,2023.492,-0.468
1,1.25,-0.1575145,-0.653034,-6.7911415,11.34,405.764512,2.712953,1943.056,0.1169265,1.019617,-12.55245,-13.275,85.65,96.030656,0.8575,0,14.581,12.3495,2030.167,2026.857,-0.754
1,1.75,-0.108821,-0.542819,-6.622431,11.7725,406.735827,2.904919,1934.262,0.1167375,0.9945765,-11.9915895,-13.075,86.2,96.093685,0.858,0,14.091,12.351,2039.467,2023.282,-0.779
1,2.25,-0.118455,-0.725966,-6.9651065,10.9115,406.3290565,2.906804,1932.361,0.119205,0.997637,-11.9890915,-13.235,86.2,96.088157,0.8585,0,13.1095,12.669,2032.079,2021.2135,-0.595
1,2.75,-0.1863335,-0.389806,-5.832838,10.8195,407.273017,2.8905115,1932.869,0.121522,0.991177,-11.7958755,-12.965,86.2,96.070275,0.8595,0,18.9595,11.889,2034.437,2024.69,-0.6585
1,3.25,-0.2331585,-0.042746,-4.949191,11.081,407.254966,2.802924,1928.311,0.11367,0.981035,-11.925676,-12.875,85.95,96.072163,0.86,0,13.085,11.968,2028.583,2028.249,-0.567
1,3.75,-0.1647205,-0.4700615,-5.868215,11.0715,405.416481,2.736245,1935.0505,0.1166845,0.891865,-12.316802,-13.255,86,96.034207,0.859,0,13.082,12.0025,2055.549,2026.692,-0.7905
1,4.25,-0.120014,-0.2195655,-4.99918,11.841,404.8378385,2.734365,1929.495,0.115964,0.927618,-12.51523,-13.38,86.4,96.040418,0.859,0,14.4885,13.273,2046.7135,2024.775,-0.569
1,4.75,-0.1163365,-0.2354195,-5.520673,11.435,407.733732,2.884205,1924.557,0.119343,0.985681,-12.118908,-13.665,86,96.0632335,0.859,0,15.756,12.176,2036.4235,2028.88,-0.52
1,5.25,-0.22619,-0.077231,-4.680842,12.239,408.158693,2.925618,1930.5425,0.1120795,0.9896915,-12.086478,-14.06,86.3,96.061124,0.8535,0,15.4505,12.856,2050.84,2031.547,-0.4115
1,5.75,-0.162909,-0.118649,-5.222253,10.854,407.7175425,2.899188,1932.093,0.115299,1.0261545,-12.340246,-14.12,86.7,96.018958,0.852,0,14.6905,11.478,2042.048,2033.47,-0.792
1,6.25,-0.17251,-0.172149,-5.7826705,10.3845,406.189092,2.890247,1932.463,0.11837,0.937698,-12.52209,-14.18,86.7,95.9792755,0.854,0,14.2715,11.099,2037.718,2031.6145,-0.802
1,6.75,-0.156182,-0.693659,-6.9587705,10.192,405.884527,2.95211,1932.8785,0.121249,0.949682,-12.680147,-14.6,86.55,95.9973085,0.856,0,15.902,12.78,2040.9055,2028.7185,-0.785
1,7.25,-0.171736,-0.4933345,-5.249966,11.381,407.887523,3.003269,1917.127,0.120609,0.923771,-12.190958,-14.555,86.9,96.025161,0.852,0.008,16.432,9.7515,2044.813,2024.0795,-0.471
1,7.75,-0.133625,0.154422,-4.471781,12.335,408.354639,3.008083,1929.706,0.1223825,1.0047885,-12.274438,-14.745,86.55,96.028897,0.852,1.5575,15.237,10.543,2051.4225,2023.871,0.3105
