DOY2,HR2,FC,CO2,CO2_SIGMA,LE,H2O,H2O_SIGMA,H,T_SONIC,T_SONIC_SIGMA,WS,USTAR,W_SIGMA,U_SIGMA,V_SIGMA,TA,VPD,RH,PA,TS_1_1_A,TS_1_2_A,TS_1_3_A,TS_1_4_A,TS_1_5_A,G_1_1_A,NETRAD,SW_IN_1_1_1,PPFD_IN,PPFD_OUT,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,PPFD_DIF
1,5.75,1.27955,413.373054,1.944465,0.84164,7.538231,0.0782125,-12.413,10.682,0.399036,1.2199,0.1109,0.12575,0.34322,0.335887,5.389,0.97889,89.004,100.14,8.01,8.46535,9.23485,10.236,11.178,-12.811,-36.748,0,0,0,0,0,309.09,336.135,0
1,6.25,1.2649,414.2818215,1.928783,0.94356,7.5640265,0.079831,-12.882,10.688,0.3862125,1.2232,0.110995,0.124344,0.3464385,0.3406395,5.328,1.0989,88.642,100.16,7.8923,8.404,9.22,10.217,11.17,-13.0155,-37.295,0,0,0,0,0,308.935,336.39,0
1,6.75,1.07705,414.351073,1.8951885,0.79682,7.536099,0.0727215,-13.1675,10.6635,0.397165,1.2039,0.10907,0.125837,0.349657,0.333032,5.25135,1.03295,88.483,100.17,7.85795,8.3528,9.16865,10.1955,11.169,-12.893,-34.28,0.089465,0.194,0.038152,0.09036,1.8062,308.86,336.525,0.676
1,7.25,1.0331,414.158517,1.84342,0.99645,7.265731,0.06806,-13.315,10.627,0.387324,1.1958,0.11194,0.1298615,0.3477065,0.346237,5.19835,0.95216,88.948,100.17,7.8522,8.31205,9.1486,10.169,11.168,-13.1795,-33.491,2.04,6.9711,0.61445,2.5895,2.4127,308.31,335.595,5.375
1,7.75,0.705425,414.130377,1.875982,3.1393,7.281811,0.1013725,-10.522,10.297,0.3716975,1.1643,0.11682,0.136341,0.367981,0.348841,5.4583,1.0467,87.5,100.2,7.8435,8.2733,9.1386,10.147,11.17,-12.484,-20.609,26.7585,59.866,5.4638,27.14655,8.1456,309.29,338.065,46.62
1,8.25,0.085145,413.134435,1.6834135,10.487,7.468077,0.177277,-3.62665,10.5915,0.289174,1.1558,0.12729,0.152056,0.393256,0.352434,6.1366,1.2962,85.123,100.21,7.91785,8.36565,9.1024,10.1575,11.1655,-10.776,11.0395,72.132,154.745,13.319,73.0315,15.929,308.355,345.27,92.8
1,8.75,-0.66973,412.232418,1.561393,23.903,7.908681,0.251662,10.339,11.217,0.337491,1.129,0.14091,0.168557,0.424953,0.3824265,7.169,1.8066,81.6,100.25,8.14,8.5017,9.18,10.146,11.21,-7.5095,46.595,131.495,287.765,28.31,134,30.422,305.65,355.94,133
1,9.25,-1.4457,409.876514,1.645293,35.851,8.386106,0.295882,23.946,12.044,0.419369,1.0738,0.14402,0.176358,0.430906,0.431208,8.641,2.3389,78.195,100.275,8.43,8.6414,9.2467,10.17,11.224,-4.5478,87.756,200.89,421.745,43.672,201.63,42.4895,309.5,366,165.65
1,9.75,-2.1705,407.627831,1.642224,46.244,8.773645,0.324194,38.836,12.814,0.4554445,0.945185,0.15217,0.1878205,0.493011,0.5166835,9.6465,2.8852,74.498,100.3,8.9119,8.9106,9.3414,10.2,11.227,-1.1429,121.76,243.875,530.35,52.0065,246.63,48.313,302.885,375.135,217.2
1,10.25,-2.4842,407.400044,1.4971645,55.2315,8.810329,0.338048,52.388,13.521,0.485375,1.1296,0.16844,0.212923,0.553498,0.615532,10.361,3.4264,71.88,100.3,9.49635,9.2893,9.42625,10.176,11.2125,2.0704,157.19,294.16,617.29,60.3445,295.54,55.3185,301.185,382.435,256.7
1,10.75,-2.6995,405.989986,1.431552,58.821,9.097927,0.333132,64.689,13.932,0.531968,1.3537,0.183645,0.2357685,0.612344,0.690452,10.712,3.7166,71.156,100.29,9.9739,9.6433,9.5643,10.15,11.17,5.3824,186.01,327.02,689.565,67.469,327.48,63.984,298.3,387.905,286.7
1,11.25,-2.5396,404.899988,1.310071,60.138,9.164534,0.328879,78.451,14.293,0.573202,1.4014,0.191055,0.2456345,0.64486,0.7326285,11.07,3.9764,69.565,100.26,10.368,9.9796,9.7278,10.154,11.16,8.9345,210.35,375.375,789.73,75.5105,374.805,71.682,301.54,392.97,312.15
1,11.75,-2.69,403.824728,1.270206,60.594,9.266741,0.318711,86.407,14.579,0.608441,1.4624,0.196005,0.2571965,0.6636705,0.7738505,11.44,4.19165,68.9435,100.22,10.726,10.3,9.9,10.178,11.151,11.346,221.17,385.1,803.94,78.1565,387.77,76.214,302.45,397.54,323.2
1,12.25,-2.4851,404.405028,1.2603575,63.307,9.333546,0.3099445,92.8775,14.8535,0.628657,1.5209,0.20771,0.268524,0.695169,0.813019,11.754,4.3622,67.875,100.18,11.082,10.637,10.108,10.217,11.133,13.371,223.975,380.38,814.85,80.2575,381.66,74.536,300.64,400.55,304.35
