DOY2,HR2,FC_1_1_1,LE_1_1_1,H_1_1_1,SW_IN_1_1_1,VPD_1_1_1,RH_1_1_1,TA_1_1_1,USTAR_1_1_1,CO2_1_1_1,H2O_1_1_1,WS_1_1_1,PA,LW_IN_1_1_1
1,0.25,-1.7561105,4.96987925,-31.2837,0,0.34036245,65.8319425,-11.543975,0.203761275,399.19695,1.422441,0.8441952,97.0350375,202.384975
1,0.75,-2.702891,3.5847065,-29.8523225,0,0.32351345,66.5965325,-11.925145,0.2312769,399.716,1.37716525,0.872477575,96.9933725,196.924175
1,1.25,-1.265571,3.65155275,-17.908445,0,0.325932225,67.0451475,-11.8496475,0.2216325,401.13375,1.40424425,0.9213248,96.948915,195.660825
1,1.75,-0.8573513,4.357962,-14.328895,0,0.319623725,67.67985,-11.959,0.223951425,399.1324,1.401512,0.775696925,96.945025,196.892525
1,2.25,-2.7948535,2.71810375,-13.54526125,0,0.325511675,67.4326225,-12.0501875,0.21875335,401.3678,1.3744455,0.7952899,96.9540275,197.07755
1,2.75,-0.98935325,2.1570395,-19.4730175,0,0.3457355,68.1847,-12.18469,0.20175755,401.332525,1.3174285,0.754661975,96.9341,199.298325
1,3.25,-1.23507125,0.2697911,-17.55125,0,0.333205225,67.6319475,-12.4971675,0.231460625,400.703775,1.328336,0.7795907,96.9284125,200.2675
1,3.75,-1.76397325,2.695392,-13.45714,0,0.33254065,68.0757,-12.664675,0.2178334,401.4164,1.3328365,0.76691265,96.906875,199.94
1,4.25,-0.2555456,3.188214,-9.410823,0,0.315192475,68.35065,-12.7708875,0.221610375,399.22405,1.28450325,0.780317175,96.955925,199.56
1,4.75,-0.41593645,2.052895,-8.4832535,0,0.2794114,69.182625,-12.97257,0.2022911,399.5044,1.23562175,0.7515461,96.9729525,198.32
1,5.25,-0.4168647,-3.31444675,-20.9744,0,0.27517005,69.3597125,-12.85168,0.2081105,402.98945,1.223675,0.7476646,96.9895075,200.9525
