DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,LE_1_1_1,G_1_1_1,TS_1_1_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1
1,0.25,0.321,1.073,1.6805,0.991,0.595,0.164,-21.86,0.565,-3.997,4.875,79.15,101.3005,397.7215,1.48,-40.945,-0.057,-2.2655
1,0.75,0.3445,1.0965,1.677,1.058,0.68,0.0425,-22.6185,0.434,-4.0525,4.845,77.85,101.3005,397.387,1.33,-37.245,-0.053,-2.287
1,1.25,0.317,0.9295,1.744,0.9145,0.666,0.133,-22.577,0.558,-4.1435,4.89,78.1,101.3005,397.373,1.275,-40.165,-0.0445,-2.2685
1,1.75,0.297,0.7195,1.591,1.049,0.7015,0.068,-23.154,0.193,-4.0785,4.85,79,101.4,397.1645,1.22,-37.17,-0.0485,-2.349
1,2.25,0.297,0.727,1.506,0.8675,0.578,0.031,-25.8715,0.3425,-4.0615,4.825,78.3,101.35,397.2255,1.205,-41.215,-0.038,-2.335
1,2.75,0.315,0.439,1.6545,0.9895,0.809,-0.026,-26.113,0.28,-4.0625,4.815,78.05,101.35,397.6575,1.22,-41.775,-0.03,-2.1955
1,3.25,0.3335,0.1965,1.6365,0.9625,0.6645,0.053,-23.443,0.342,-4.117,4.815,78.65,101.35,398.386,1.225,-39.22,-0.043,-2.3015
1,3.75,0.308,0.1895,1.632,0.978,0.708,0.04,-24.425,0.983,-4.232,4.775,78.4,101.3,399.23,1.155,-40.075,-0.0365,-2.417
1,4.25,0.31,-0.036,1.571,0.861,0.6485,0.0765,-20.955,0.479,-4.444,4.73,77.95,101.3,399.492,1.165,-44.27,-0.05,-2.2965
1,4.75,0.337,-0.06,1.572,1.039,0.825,0.068,-23.035,0.6855,-4.516,4.67,78.9,101.3,398.831,1.18,-40.61,-0.033,-2.2735
1,5.25,0.344,-0.0885,1.606,0.852,0.886,0.054,-21.159,0.433,-4.355,4.645,78.5,101.3,398.114,1.16,-37.47,-0.008,-2.2705
1,5.75,0.3245,-0.2615,1.622,0.722,0.591,0.0055,-24.562,0.451,-4.527,4.62,78.85,101.301,398.212,1.14,-36.89,-0.006,-2.0965
1,6.25,0.334,-0.372,1.6235,0.793,0.8655,-0.048,-17.782,0.5335,-4.4185,4.6,78.9,101.3505,397.626,1.16,-34.415,-0.006,-2.0355
1,6.75,0.361,-0.287,1.55,0.83,0.618,-0.127,-15.51,0.772,-4.477,4.6025,79.3,101.4,398.0085,1.16,-31.555,0.0285,-1.9315
1,7.25,0.365,-0.1895,1.599,0.557,0.53,-0.059,-15.453,0.843,-4.4635,4.63,79.05,101.4,397.5585,1.12,-17.995,4.0995,0.131
1,7.75,0.4175,0.293,1.652,0.51,0.582,-0.263,-3.259,1.382,-4.4625,4.615,77.85,101.4,396.22,1.195,-5.9645,31.46,10.37
1,8.25,0.5075,1.1725,1.7255,0.063,0.664,-0.562,7.412,4.9115,-4.381,4.617,73.85,101.5,395.7295,1.435,14.24,95.15,18.62
1,8.75,0.5315,1.744,1.9665,-0.002,0.643,-0.565,39.706,9.686,-4.1235,4.675,71.6,101.5,395.684,1.77,47.715,147.95,26.565
1,9.25,0.65,2.699,2.132,0.198,0.83,-0.604,71.018,11.133,-3.904,4.7115,67.405,101.45,395.709,2.105,91.85,210.8,30.205
1,9.75,0.698,3.333,2.247,-0.373,0.074,-0.601,111.963,16.041,-3.67,4.785,62.015,101.5,395.084,2.485,126.75,221.7,32.76
1,10.25,0.677,3.9145,2.332,-0.111,0.425,-0.445,127.862,15.59,-3.4855,4.91,59.695,101.5,395.087,2.775,143.85,243.8,34.405
1,10.75,0.719,4.1375,2.459,-0.296,0.38,-0.502,155.914,23.408,-3.2015,5.055,57.105,101.4,395.0295,2.89,160,262.75,40.01
1,11.25,0.714,4.5395,2.459,-0.478,-0.091,-0.4075,171.32,22.3385,-2.5105,5.155,54.87,101.4,395.4845,3.145,179.45,293.25,38.105
1,11.75,0.699,4.6725,2.328,0.158,0.309,-0.263,162.2,21.236,-1.692,5.215,53.61,101.301,394.799,3.385,172.1,276.5,38.885
