DOY2,HR2,FC,LE,USTAR,H,V_SIGMA,CO2_1_1_1,H2O_1_1_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_2_3_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_4_1,TS_3_5_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,5.14815456375213,17.9555106563026,0.404927398806721,-8.3730300633876,1.03078623547962,433.768065599932,30.9486662215708,3.26521118081859,27.5301983339467,0.482138772032377,2.893,1.27775,0.49475,0.57075,24.778,24.598625,24.2873625,24.0701325,23.97654,23.852875,100.545248,91.208,10.972785,24.04975,24.11625,24.2355,23.783,1.3,-1.06875,3,-0.649250000000001,1.36,423.98,448.74,442.7175,453.71,0.166,0.04,0.1,0.15,0.05,0,0.2,3.93299999999999,0.08,24.318775,24.44335,24.83875,25.280675,25.594575,26.1893,26.504425,26.832425,24.4446,24.703,25.2184,25.3073,25.590825,26.6785,26.835625,27.195525,24.285625,25.2831,24.788675,27.14065,24.34955,24.668275,24.734725,25.055425,25.830975,26.218075,26.415725,27.307375,24.547425,25.038025,25.372875,25.740575,26.18835,26.728025,27.006375,27.126175,27.501525,-1.382775,-1.24975,-1.652,-19.3975
1,0.75,5.76975881790504,40.3760542707893,0.441142483588746,-4.97962702647544,1.02164858084011,434.394315318603,30.3109742690984,3.21088224868077,27.3057021604403,0.473110258760179,2.99025,1.2955,0.49775,0.55075,24.858,24.44445,24.269745,23.9463375,23.86131,23.7818875,100.544872,92.98,11.30521,24.05875,24.0855,24.1855,23.69775,1.4,-1.325,3,-0.588250000000001,1.564,423.12,447.54,440.8725,453.0525,0.172,0.04,0.1,0.15,0.05,0.00200000000000003,0.19,3.45475,0.08,24.290625,24.4058,24.82335,25.266075,25.5909,26.188525,26.5042,26.832425,24.397575,24.657,25.166275,25.28275,25.582925,26.678275,26.8354,27.195525,24.2344,25.265875,24.78845,27.13965,24.3028,24.590775,24.70235,25.03195,25.8253,26.218075,26.415725,27.30665,24.479575,24.961075,25.3168,25.706675,26.177675,26.727025,27.0056,27.126175,27.5013,-1.45395,-1.16475,-1.7778,-16.224
1,1.25,5.82685676996725,24.5512656612847,0.449464832598629,-0.989553093237344,1.09158592776796,432.979351663374,30.7267024449153,3.11879982690739,27.0361453906059,0.63645208137562,3.042,1.393,0.45325,0.563,24.8277,24.401725,24.42471,23.99522,23.910995,23.876325,100.527872,92.343,11.963745,24.07775,24.11775,24.13325,23.77275,1.5,-1.179,3.1,-0.630250000000001,1.182,418.4,446.7,439.975,452.7825,0.174,0.0377499999999999,0.1,0.15,0.05,0,0.19,3.1605,0.08,24.270575,24.381525,24.796525,25.247825,25.587225,26.188525,26.5042,26.832425,24.34475,24.6082,25.120775,25.259425,25.5758,26.677275,26.834625,27.194525,24.21215,25.25085,24.788,27.1392,24.25985,24.5546,24.667475,25.0097,25.81885,26.218075,26.415725,27.306375,24.424125,24.895525,25.25885,25.672325,26.167775,26.726025,27.005375,27.125175,27.5013,-1.663,-1.468475,-1.930525,-19.457
1,1.75,5.09977792170428,15.7329636907514,0.483975952713018,-7.18128236047689,0.986318270771354,435.170314054496,30.4452852575129,3.26742862684005,26.6792212737985,0.432837799588969,3.148,1.418,0.46875,0.56375,24.759,24.38,24.50662,24.08762,23.9011125,23.9248875,100.49849525,95.0475,12.57713,24.15875,24.1195,24.0985,23.581,1.4825,-1.023,3.1,-0.748,1.062,426.72,446.76,439.61,451.9825,0.164,0.04,0.1,0.15,0.05,0,0.19,3.15575,0.08,24.237675,24.3525,24.761475,25.226925,25.583775,26.1883,26.5042,26.832425,24.297475,24.5616,25.084375,25.237325,25.569125,26.6768,26.834625,27.194525,24.1843,25.23405,24.78755,27.1392,24.22775,24.52765,24.6304,24.994725,25.8134,26.217075,26.415725,27.305375,24.29555,24.84625,25.205075,25.638,26.1581,26.725025,27.0046,27.125175,27.500525,-1.995775,-1.8995,-2.4208,-19.147
1,2.25,6.13145407891522,20.580157677425,0.508296044916419,6.20133031333357,1.3835467405428,432.76861614556,29.9947205776612,3.2593082117507,26.6714686976999,0.503398189154591,3.124,1.411,0.504,0.573,24.74842,24.3236,24.42147,24.1075325,24.02052,23.8066,100.46322,93.67625,12.91457,24.04775,24.036,24,23.54975,1.38,-1.3755,2.98,-0.540000000000001,1.036,425.12,448.6,439.2425,451.7275,0.166,0.04,0.1,0.148,0.05,0,0.19,3.6185,0.0877499999999999,24.20155,24.325425,24.72985,25.206925,25.5811,26.1883,26.5042,26.8322,24.2726,24.5264,25.0538,25.223,25.565,26.6766,26.8348,27.1948,24.152625,25.218375,24.786325,27.138975,24.176725,24.50775,24.603775,24.98495,25.8085,26.2182,26.415725,27.304375,24.23105,24.763875,25.1744,25.6029,26.149975,26.724025,27.0036,27.12495,27.500525,-2.05375,-2.104,-2.5461,-18.502
1,2.75,3.59935967727173,22.7571400266635,0.495851075917175,10.1950871945391,1.18718386823791,434.032466612617,30.0120143498018,3.53278926027772,26.7547724019209,0.680836095306705,2.98775,1.32775,0.478,0.51225,24.73544,24.3228,24.23067,23.9593275,23.83308,23.6686,100.428712,97.547,12.306625,23.85775,23.88425,23.918,23.50775,1.48,-1.24,3.1,-0.6145,1.13,416.04,447.46,437.92,450.865,0.1645,0.04,0.1,0.15,0.05,0,0.19,4.70299999999998,0.08,24.164425,24.310775,24.703975,25.1897,25.5792,26.187525,26.503425,26.831425,24.2296,24.4838,25.027,25.2066,25.561,26.6756,26.834,27.1948,24.104825,25.204825,24.7851,27.1382,24.1209,24.472775,24.594425,24.9806,25.8056,26.2174,26.415725,27.303375,24.18355,24.693125,25.144525,25.570125,26.144175,26.723025,27.0036,27.124175,27.5003,-2.0824,-2.2714,-2.70455,-22.448
1,3.25,9.60847031458135,53.0148335251732,0.534374064537007,-2.67507844650297,1.13879757027949,437.089656456003,29.8138113564018,3.37548781853774,26.9172022686788,0.418709170661219,3.008,1.2755,0.464,0.54,24.677065,24.30365,24.2108,23.9774625,23.88059,23.5625625,100.414872,98.646,11.78165,23.982,23.948,23.93,23.49425,1.4,-1.203,3,-0.785750000000001,1.14,413.96,447.62,437.365,449.7525,0.175,0.04,0.1,0.15,0.05,0,0.19,4.57024999999998,0.08,24.11445,24.28125,24.678075,25.173475,25.5793,26.1873,26.5032,26.831425,24.1924,24.4456,24.9992,25.1788,25.5578,26.6746,26.834,27.1938,24.04095,25.1915,24.78365,27.1382,24.078275,24.44335,24.57855,24.97935,25.803475,26.217075,26.415725,27.302375,24.14885,24.642525,25.105625,25.54075,26.139375,26.722025,27.003375,27.124175,27.5003,-1.9362,-1.8728,-2.253,-25.607
1,3.75,6.07830160797692,24.6746186283523,0.591766536237113,-7.77584153231862,1.36569784236307,432.301618132509,29.482548151038,3.27780441622172,27.1436746148234,0.606405973077254,2.974,1.32875,0.4465,0.56225,24.693775,24.17245,24.09007,23.8609875,23.7219875,23.513425,100.39825225,98.55325,11.616855,23.891,23.776,23.856,23.4475,1.3,-1.24,2.9825,-0.63125,1.22925,409.85,447.28,437.32,449.44,0.166,0.0477499999999999,0.1,0.158,0.05,0,0.19,4.14824999999999,0.07,24.075975,24.2427,24.654825,25.158125,25.578175,26.1873,26.5032,26.831425,24.1662,24.4162,24.9758,25.1564,25.5554,26.6738,26.8338,27.1938,24.00435,25.1775,24.782425,27.1382,24.027525,24.4082,24.56455,24.974775,25.80135,26.21685,26.4152,27.3021,24.119725,24.595675,25.074325,25.519375,26.13535,26.7218,27.0026,27.12395,27.499525,-2.0674,-1.889,-2.3473,-26.412
1,4.25,5.79283687376876,19.1768645969608,0.486489307719639,-3.01576632053293,1.33839847924154,438.749207713078,29.136062205302,3.26076099044674,26.7509912114598,0.56362249079384,2.86475,1.2655,0.429,0.54,24.5437375,24.168075,24.0901625,23.7538875,23.66374,23.380525,100.405464,96.6845,11.58442,23.76425,23.7985,23.84,23.32875,1.5,-1.6315,3.2,-0.612,1.16475,408.05,446.8225,437.165,449.265,0.174,0.05,0.1,0.15825,0.05,0,0.19,3.65899999999999,0.08,24.064925,24.217775,24.624625,25.139325,25.576275,26.1873,26.5032,26.831425,24.1206,24.3756,24.951,25.1404,25.5514,26.6736,26.8338,27.1938,23.97495,25.16295,24.78075,27.138975,23.991425,24.34255,24.5473,24.965775,25.79845,26.21585,26.4152,27.3011,24.084,24.544375,25.047225,25.499675,26.13055,26.7208,27.0016,27.123175,27.499525,-2.154,-2.033275,-2.448275,-29.036
1,4.75,6.39207558413265,57.6827636900858,0.408176215686664,-1.01414511743627,1.21971799356735,441.297936666965,28.543190092719,3.49438611178405,26.6332226601067,0.450297492948304,2.78,1.242,0.4,0.53075,24.4417625,24.158775,24.08982,23.77809,23.24001,23.4236,100.411144,98.20225,11.53104,23.708,23.627,23.634,23.26975,1.3,-1.875,2.9,-0.67675,1.276,411.48,445,438.1325,448.5425,0.166,0.0477499999999999,0.1,0.15775,0.05,0.00200000000000003,0.19,3.14875,0.07,24.040625,24.19615,24.598775,25.11875,25.5726,26.1873,26.5032,26.831425,24.0552,24.3204,24.9206,25.1208,25.5472,26.6726,26.833,27.1936,23.941025,25.147625,24.778525,27.1382,23.937025,24.3059,24.52785,24.95335,25.79555,26.21585,26.414725,27.3001,24.0322,24.4964,25.0077,25.4787,26.124425,26.7198,27.001375,27.12295,27.499525,-2.3465,-2.57365,-3.178625,-28.6535
