DOY2,HR2,USTAR,NEE,FC,SC,H,SH,LE,SLE,CO2,H2O,TA,G,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,NETRAD,RH,VPD,WS,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PA,T_CANOPY,TS
1,0.25,0.0248024,-0.533305875,-0.51747805,-0.10922745,-40.341933,-1.0529852,-5.409461,-0.5115891,311.9853035,1.00886085,-26.1421,-48.67438677825,-6.7072725,-10.98959499975,-5.7738675,-2.21219415,-74.04327875,59.045275,0,0.193,-2.1549,-1.4731364252,145.16073068,201.9529053,-2.6418772712,96.670756,-27.671359976,-11.801010668
1,0.75,0.0289301,-0.96966365,-1.018177875,-0.1242356476,-40.210255025,-1.13584195,-5.5850628,-0.42104105,312.2177205,0.94141265,-25.77055,-49.14089741675,-6.7531225,-10.94610000025,-5.79748,-2.244410925,-74.152654595,59.33875,0,0.1807865332,-2.15415,-1.29477,144.557,199.429,-2.2217422252,96.66437,-27.4003,-11.82031867
1,1.25,0.0319787,-0.882771375,-0.9348166847,-0.13330157475,-39.88326835,-1.20476425,-5.0637706,-0.72226905,311.8951795,0.91851495,-25.929075,-47.54602578175,-6.77581,-10.90796833,-5.8021,-2.242426225,-73.022036,59.736475,0,0.193,-2.07532441015,-1.36595,145.19825,198.5325,-2.606216118,96.607265,-27.7182,-11.825517334
1,1.75,0.032295,-0.91490635,-0.7612583444,-0.141862425,-39.83724955,-1.2728448,-6.47379175,-0.625777875,312.791150625,0.9215315,-25.82225,-46.80966937825,-6.9853,-10.8473816665,-5.98782,-2.23549845,-72.89959512,62.52375,0,0.193,-2.002935,-1.418515,144.688,199.78475,-2.116198423425,96.600076,-27.8128,-11.837690666
1,2.25,0.0259417,-0.988893575,-0.874193593825,-0.11501230855,-37.95253215,-1.37161775,-5.464005375,-0.5627241,313.7518023,0.883109,-26.0329,-49.6953867465,-7.05444,-10.77775333,-6.07422,-2.23694205,-73.48854784,62.2275,0,0.1927234335,-2.19165426745,-1.3601275,146.19125,198.3835,-2.60037178225,96.6445795,-27.8754,-11.85584667
1,2.75,0.02850949005,-0.9361645,-0.822609699925,-0.1529823362,-40.0922615,-1.15810275,-6.254265275,-0.6581914,314.0408972,0.8496407,-26.100525,-49.00856024925,-7.11143,-10.815425,-5.83546,-2.2471624,-74.27285964,60.166425,0,0.193,-2.1157794157,-1.2773625,145.66475,198.0029725,-3.22338855755,96.588588,-28.288,-11.881837334
1,3.25,0.026932775,-0.86066865,-0.72429145,-0.134201015825,-41.2647425,-1.2961495,-4.721556225,-0.568468325,314.0002007,0.835951,-26.21774619475,-48.4771198075,-7.0691,-10.91949333,-5.85259,-2.257578325,-72.608034944,60.18,0,0.1835125,-1.959165,-1.3805309948,144.64725,198.3822611875,-2.152234518275,96.57700825,-28.378849376,-11.933437334
1,3.75,0.02895825,-0.897602,-0.804999303425,-0.1530157,-42.459765,-1.11117615,-4.95533245,-0.6688254,314.27711675,0.834424975,-26.6562812,-48.68465448,-6.94081,-11.027215003,-5.88281,-2.310516775,-71.381846,62.523025,0,0.19205,-2.2799,-1.35557,144.989,198.288,-2.556932070125,96.46839,-28.348957972,-12.015785332
1,4.25,0.032231825,-0.822187,-0.6777082,-0.12020831085,-41.5648662,-1.1225105,-4.5850218,-0.47404115,314.8274081,0.885866,-26.91661865,-49.650144685,-6.91468,-11.1430683365,-5.94072,-2.293868175,-73.260653058,62.779975,0,0.191975,-2.3827075,-1.3283125,145.316,198.467935,-2.585790703625,96.44245,-28.9624,-12.08335867
1,4.75,0.03289945,-0.8914833,-0.8082541082,-0.148672635925,-40.72790585,-1.230674,-4.974099125,-0.523541725,314.9157236,0.909651675,-26.77923895,-48.15651359825,-6.88651,-11.265124997,-6.06574,-2.34703595,-75.06112654,63.5635,0,0.1836625,-2.45896775985,-1.3559925,145.125,197.032,-1.9534448648,96.4524295,-29.534,-12.059456
1,5.25,0.02794725,-0.901867675,-0.8402493981,-0.113282536,-39.068306675,-1.215359475,-4.851186825,-0.6794025,313.9441316,1.052159,-26.952199,-49.1569493285,-6.75706,-11.36802667,-5.90094,-2.384561725,-75.546558984,64.3505,0,0.1927375,-2.179265,-1.3168725,145.102,196.019,-1.807756391525,96.4281365,-29.7036,-12.045548
1,5.75,0.02521385,-0.866277025,-1.061718375,-0.1238677,-38.3338031,-1.269078275,-5.4054306,-0.594501975,313.7090353,1.088689625,-26.93305,-47.75295714825,-6.74336,-11.45874333,-5.91258,-2.408759425,-73.2698739,60.99975,0,0.19205,-2.3194,-1.2521675,144.944,196.3035,-1.7633535413,96.6347,-30.0434,-12.127997334
1,6.25,0.031593175,-0.9565892,-0.952295272625,-0.105996658275,-41.5926852,-1.25610875,-5.6259577,-0.4776204,314.1680582,1.0994096,-27.102219782,-49.9691188135,-6.74592,-11.625665003,-5.92057,-2.4246836,-75.81269096,62.0195,0,0.193,-2.31305635065,-1.4189075,143.6515,194.598068385,-1.8591019656,96.589,-30.033339342,-12.20370667
1,6.75,0.0348056,-0.96171225,-0.9060676068,-0.11543205,-44.126684375,-1.5563836,-5.2168015,-0.45144225,313.42283425,1.0998258,-27.93825,-49.46892811825,-6.70368,-11.8145333365,-5.92737,-2.438743675,-75.9203272,62.51675,0,0.193,-2.38305,-1.347985,145.3215,194.09625,-1.4490397885,96.68587675,-30.162,-12.276593334
1,7.25,0.0312679,-0.9729122,-0.886969225,-0.1096164,-43.0946763,-1.1320344,-5.4252753,-0.466212775,313.0271804,1.09461865,-28,-48.30239973,-6.76221,-11.9989833365,-5.95303,-2.52592135,-77.82491352,62.517725,0,0.1929625,-2.1042,-1.2564475,144.976,197.88975,-1.26766516135,96.46365,-30.168419136,-12.354889332
1,7.75,0.035765,-0.80308005,-0.73262915,-0.1306723,-39.7981488,-0.990624625,-4.80872005,-0.491123775,313.586629125,0.746996425,-28,-47.75330245325,-6.80623,-12.1819333335,-5.97515,-2.559151175,-72.557165868,61.9495385,0,0.193,1.11117885,0.079705,145.96525,195.146,2.275625,96.50052,-29.9454,-12.49186533
1,8.25,0.036588025,-1.173256725,-1.043133810625,-0.10861413075,-35.6572614,-0.96064925,-4.0552784,-0.34081455,314.3334296,0.9751128,-27.632125,-48.94042714175,-6.84295,-12.3482333335,-5.99818,-2.575009875,-63.352296,61.941,0,0.193,8.7451773,3.8088275,148.837,198.46775,15.07619351025,96.504554,-29.5678,-12.653439998
1,8.75,0.036281725,-0.924215,-0.85365041945,-0.132813912575,-29.69231655,-0.932632775,-3.1535063,-0.4510385,314.83444415,1.142565675,-27.0988,-41.7729314,-6.92592,-12.4408,-6.0407,-2.60101435,-57.326,60.440475,0,0.193,19.0914,7.455875,151.83825,204.46,40.1388853375,96.51083,-28.0514,-12.699637334
1,9.25,0.0359718,-0.835587725,-0.7840815664,-0.160806725,-29.011428,-0.7769019,-3.05441775,-0.37221085,314.3966267,1.0611533,-26.24655,-34.5780949695,-7.04949,-12.4246666635,-6.07091,-2.600027175,-49.0652,58.4319,0,0.190225,43.5331385,11.94875,154.35825,208.12525,74.69340132775,96.557915,-26.688358542,-12.580716
