DOY2,HR2,FC,H,LE,USTAR,WS,NETRAD,PPFD_IN,SW_IN,TA_1_1_1,RH,VPD,PA,G,TS_1_1_1,TS_1_2_1,TA_1_1_2,SW_OUT,LW_IN,LW_OUT,CO2
1,0.25,6.261475,2.78175,46.4471375,1.1316,5.508075,0.814,0,0,8.8425,100,6.14075,91.5,-0.839,1.887375,1.114425,8.44979799999999,3.771884,237.855,300.7916,455.0138
1,0.75,7.1908,3.8645,36.1258325,1.192875,5.404325,2.3415,0,0,8.27675,100,5.15675,91.4225,-0.839,1.9221,1.1349,5.549853,3.942472,238.12895,290.99615,449.807025
1,1.25,6.38465,34.4895,23.4735025,1.0619,5.525325,0.23375,0,0,8.6225,100,5.53475,91.4225,-0.839,1.8555,1.144825,5.4207225,3.84199225,239.084775,290.983925,443.5606
1,1.75,5.5785,13.449,40.3209225,1.1265,5.1396,0.45675,0,0,8.6305,100,5.98,91.5,-0.839,1.94515,1.14615,5.656794,3.916606,240.2618,290.2538,447.480875
1,2.25,4.0346,1.34425,23.674065,0.840875,5.424175,0.963375,0,0,7.8315,100,5.5225,91.5,-0.839,2.062525,1.2172,5.70886,3.365436,242.5662,291.5904,446.72
1,2.75,3.94955,6.91,16.60222,0.9263,5.00955,1.716375,0,0,7.8835,100,5.567,91.5,-0.839,1.952475,1.222375,5.7899975,3.59709775,239.415025,292.591075,441.0862
1,3.25,2.0439,8.3725,9.474376,0.98575,4.90535,0.98275,0,0,8.716,100,6.14,91.5,-0.839,1.98865,1.27845,5.8270175,3.193374,243.744875,291.327875,443.0436
1,3.75,7.1714,4.165,16.584188,1.0185,5.008225,0.5305,0,0,9.28425000000001,100,7.09,91.425,-0.839,1.89785,1.285875,6.09536,3.22131075,244.599125,292.224975,445.0026
1,4.25,2.6508,5.3225,11.46464,1.22675,4.972825,-0.047625,0,0,8.507,100,6.8235,91.425,-0.839,1.830275,1.237225,5.683782,3.26849,247.0086,292.1396,444.37775
1,4.75,3.746125,5.48,19.66,0.8685,4.919825,0.34025,0,0,9.46575,100,7.5795,91.425,-0.839,1.9264,1.1965,5.14342,2.804005,238.025,290.1305,444.72155
1,5.25,2.723,41.52475,12.422332,0.9902,4.4233,-0.10425,0,0,9.99025,100,7.35199999999999,91.35075,-0.839,1.819425,1.170925,5.07336825,3.05083375,241.111,290.451175,446.89
1,5.75,5.8653,3.3075,17.674755,0.81805,4.6647,-0.51775,0,0,9.5665,100,7.2575,91.35075,-0.839,1.8493,1.144925,4.84793,3.9617905,243.1023,289.28155,451.4028
1,6.25,4.43675,20.984,18.528,0.7805,4.361425,0.531299999999996,0,0,9.562,100,7.30525,91.425,-0.839,1.837025,1.128975,5.10047925,4.99625499999999,243.575475,289.743875,448.11625
1,6.75,5.64825,51.84088,10.85825,0.832925,4.78915,-0.85835,0,0,9.29925,100,7.165,91.4,-0.839,1.784725,1.1245,5.1900035,8.02059349999999,241.366,289.63305,446.16695
1,7.25,2.730125,18.58525,25.33925,1.0426,4.9654,-0.4839,3.230425,2.683425,8.82675,100,7.095,91.4,-0.839,1.907275,1.113025,5.53432,12.11015,243.786,291.6275,448.522025
1,7.75,2.884025,88.8969999999999,38.991,1.05255,4.8666,2.5485,35.927725,18.125425,8.746,100,6.64,91.4,-0.839,1.832275,1.131625,5.8443185,24.846805,245.13715,292.8931,444.104875
