DOY2,HR2,USTAR,TA_1_1_1,WS_1_1_2,NEE,FC,SC,H,LE,G,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O
1,0.25,0.04,21.53275,0.5065,-6.652,-1.6425,-14.0815,-34.2045,-13.9915,-6.492,23.85,23.989,64.844,98.4,377.9,4.215,-34.58425,-4.475,-2.145,0.2,-0.363,392.6425,428.76725,22.47875
1,0.75,0.0255,21.479,0.54475,-13.86375,-1.287,-17.502,-37.619,-5.3185,-6.8125,23.85,23.989,66.7448,98.36375,377.875,2.28425,-34.9515,-4.185,-2.005,0.21,-0.363,390.6505,427.484,21.686
1,1.25,0.03,21.40325,0.851,-3.33,-1.58625,-16.952,-28.3215,-8.903,-7.2545,23.8595,23.9895,68.3841,98.33,376.139,2.171,-32.67025,-4.0785,-1.95425,0.1905,-0.34925,389.50975,428.276,21.774
1,1.75,0.045,20.95675,0.69375,-7.8575,-3.0635,-15.931,-31.7725,-11.6745,-7.106,23.8495,23.9795,73.50125,98.3145,375.2695,2.1,-32.657425,-3.89,-1.86,0.21025,-0.433,390.17975,429.25925,21.889
1,2.25,0.045,20.818,0.6125,-10.6165,-4.7275,-16.03475,-32.5871,-12.5835,-7.5205,23.8495,23.9695,73.24035,98.304,378.59325,2.068,-32.420825,-4.067,-1.949,0.23,-0.402,386.61125,429.237,21.772
1,2.75,0.05,20.687,0.88,-5.544,-1.045,-15.9045,-36.76,-4.47875,-7.5095,23.8055,23.95,73.379525,98.29325,382.9305,2.107,-31.10575,-3.8645,-1.8545,0.22025,-0.405,385.9785,424.4315,21.803
1,3.25,0.03,20.5885,0.4935,-11.7615,-0.64075,-20.25725,-34.201675,-6.515,-7.62675,23.7955,23.9495,71.78755,98.31,384.4705,2.053,-32.075,-3.8395,-1.84475,0.213,-0.38,383.88575,424.89425,22.047
1,3.75,0.03,20.604,0.68875,-10.852,-1.324,-19.07975,-37.67275,-5.49975,-8.55,23.7855,23.9395,71.948,98.3235,384.385,1.9925,-33.8815,-3.90425,-1.8695,0.212,-0.35625,387.77275,424.6455,21.99
1,4.25,0.04,20.681,0.94,-10.848,-0.285,-13.3165,-34.01,-6.509,-14.93275,23.81775,23.9385,74.1984,98.34275,388.858,2.0195,-32.2675,-3.81425,-1.8295,0.252,-0.321,387.333,426.56625,21.895
1,4.75,0.04425,20.882,0.65,-9.25,-3.328,-17.944,-36.50625,-6.654,-13.99625,23.80775,23.9385,74.730125,98.35,389.06475,2.015,-33.474,-3.76275,-1.80375,0.2525,-0.25025,386.1225,428.229,21.85875
