DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,H,LE,FC
2,6.25,0.12,1.93,-1.05,-1.17,31.94,-4.935,0.495,-65.735,-5.3,0.61,0.095
2,6.75,0.15,2.1,-1.11,-1.05,33.25,0.855,2.435,-61.375,-4.87,0.67,0.07
2,7.25,0.18,2.2,-1.18,-1.34,32.11,46.985,23.715,-26.15,-6.63,0.71,0.07
2,7.75,0.24,1.965,-0.69,-0.945,30.08,133.16,50.35,14.93,-1.23,2.46,0.12
2,8.25,0.285,1.865,-0.55,-0.295,30.23,231.16,68.985,62.36,18.305,6.125,0.3
2,8.75,0.34,1.725,-0.25,0.25,29.6,330.64,87.055,113.355,49.905,11.025,0.44
2,9.25,0.415,1.735,0.43,0.5,27.68,422.16,117.425,157.12,101.23,17.59,0.88
2,9.75,0.48,1.88,1.27,0.9,27.04,514.17,149.805,203.76,149.48,25.14,1.03
2,10.25,0.51,1.82,1.42,1.23,28.29,581.835,174.665,245.805,179.435,32.485,0.93
2,10.75,0.56,2.07,1.73,1.27,27.35,631.11,199.795,261.405,208.745,37.585,0.97
2,11.25,0.58,2.29,1.96,1.48,29.36,672.785,218.6,274.945,222.37,42.755,1
2,11.75,0.63,2.62,2.03,1.66,29.96,693.74,228.845,287.46,239.39,41.63,0.89
2,12.25,0.67,2.89,1.76,1.48,30.9,690.16,230.36,284.455,239.99,41.81,1.21
2,12.75,0.68,2.785,1.67,1.475,33.85,682.555,225.18,271.84,252.19,37.33,0.87
2,13.25,0.65,2.8,1.69,1.63,34.45,655.69,207.07,258.595,239.325,41.61,0.965
2,13.75,0.685,3.03,1.76,1.6,37.25,604.76,187.87,247.615,219.535,38.85,0.95
2,14.25,0.64,2.885,1.96,1.675,37.97,547.86,151.12,221.075,215.805,38.52,1.195
2,14.75,0.605,2.755,1.74,1.51,39.9,471.085,117.01,188.99,190.66,32.35,1.03
2,15.25,0.58,2.54,1.91,1.18,43.51,388.18,94.095,137.155,143.36,29.8,1.12
2,15.75,0.54,2.47,1.45,1.11,40.42,279.235,68.5,85.32,96.62,27.52,0.87
2,16.25,0.46,2.31,0.93,0.53,42.22,180.32,46.015,34.875,60.07,12.67,0.8
2,16.75,0.36,2.03,0.18,-0.3,42.71,84.72,29.16,-6.105,22.73,4.175,0.62
2,17.25,0.28,1.88,-0.23,-0.63,47.29,22.69,8.975,-50.925,0.31,2.205,0.5
2,17.75,0.2,1.69,-0.64,-1.26,48.67,-3.175,0.6,-75.695,-1.35,2.6,0.35
2,18.25,0.18,1.65,-1.37,-1.7,50.76,-5.3,0.365,-75.31,-3.21,1,0.125
2,18.75,0.2,2,-1.5,-1.55,48.77,-5.25,0.45,-73.545,-6.2,1.025,0.17
2,19.25,0.15,2.12,-1.61,-1.42,46.67,-4.975,0.485,-72.93,-4.975,0.455,0.165
2,19.75,0.18,2.25,-1.04,-1.3,46.63,-4.96,0.495,-71.795,-5.21,0.11,0.165
2,20.25,0.2,2.18,-1.07,-1.19,43.48,-5.185,0.415,-74.035,-6.26,1.115,0.14
2,20.75,0.18,2.05,-1.12,-1.28,43.85,-5.095,0.545,-74.135,-7.3,1.49,0.16
2,21.25,0.13,2.12,-0.87,-1.19,44.9,-5.195,0.46,-73.945,-4.94,0.66,0.13
2,21.75,0.155,2.185,-0.98,-1.265,41.06,-5.14,0.47,-71.775,-6.955,0.86,0.155
2,22.25,0.16,2.125,-0.66,-1.075,40.69,-5.24,0.625,-71.38,-7.425,0.77,0.08
2,22.75,0.15,2.27,-0.47,-0.92,42.66,-5.25,0.565,-71.385,-4.215,0.84,0.19
2,23.25,0.17,2.08,-0.52,-0.795,37.53,-5.15,0.485,-71.15,-4.22,0.76,0.17
2,23.75,0.165,2.055,-0.77,-1.03,38.37,-5.285,0.33,-69.655,-4.7,1.24,0.155
3,0.25,0.16,1.98,-0.68,-0.6,56.79,-4.75,0.42,-64.09,-3.14,0.495,0.08
3,0.75,0.16,1.91,-0.85,-0.55,57.675,-4.67,0.46,-63.16,-3.95,0.14,0.055
3,1.25,0.185,2.21,-0.69,-0.61,61.2,-4.72,0.48,-62.76,-3.62,0.475,0.1
3,1.75,0.15,2.155,-0.61,-0.405,61.405,-4.82,0.26,-61.27,-5.545,0.22,0.06
