DOY2,HR2,FC_1_1_1,CO2_1_1_1,H_1_1_1,LE_1_1_1,H2O_1_1_1,H2O_2_1_1,NEE_1_1_1,RH_1_1_1,RH_2_1_1,VPD_1_1_1,VPD_2_1_1,T_SONIC_1_1_1,TAU_1_1_1,USTAR_1_1_1,WS_1_1_1,PA_1_1_1,TA_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_4,PPFD_DIF_1_1_1
1,0.25,-0.2943985875,357.8504625,-86.081275,-8.6364078,0.814185985,1.3258445,-0.66619186,43.53732,54.9205,0.59958915,0,-22.59142,-1.1846004,0.05241429,0.490753315,98.1,-22.1775,-100.6,-0.01,-4.801075,-2.45175,147.4775,223.4625,-3.20725,-2.4517,-0.7131,-4.48245,0.31325
1,0.75,-0.44632075,356.2184675,-103.03706,-5.458246,0.88044335,1.3558635,-2.20590662,46.15328725,55.534,0.5760372,0,-22.8703625,-1.18778025,0.0547084,0.447976085,98.1,-22.388,-99.35,-0.006,-4.6807,-2.5991,147.13,223.59,-3.2151,-2.462,-0.7575,-4.532,0.314225
1,1.25,-0.39134912,358.1436425,-95.1082415,-6.286864275,0.86844716,1.3348365,-1.783748,42.556734,56.814,0.5982944,0,-23.039965,-1.2642124,0.0506850975,0.47721438,98.140575,-22.37,-99.5125,-0.01,-4.5522,-2.5886,146.25,222.58,-3.1795,-2.4713,-0.7533,-4.6904,0.314
1,1.75,-0.434950485,358.6676,-89.943002,-7.06348665,0.7832567,1.35271875,-1.18212875,39.243014,55.13,0.58027905,0,-23.354935,-1.105646725,0.045521834,0.46400995,98.20375,-22.404,-99.75,-0.007625,-4.6415,-2.4203,145.39,221.74,-3.1604,-2.5334,-0.746,-4.8172,0.311225
1,2.25,-0.380783175,358.57829,-93.7037655,-11.3021,0.80912045,1.3470705,-1.0687863725,40.510522,55.006,0.533467275,0,-23.44165,-1.1523057,0.049590685,0.489956125,98.224425,-22.635,-98.275,-0.012,-4.7372,-2.4226,146.8125,220.67,-3.174,-2.551,-0.753625,-4.854375,0.312
1,2.75,-0.965931165,358.642925,-90.32836,-6.576197825,0.81795108,1.3783275,-1.2314355,42.5440585,54.858,0.5463501,0,-23.794125,-1.1580724,0.0554103945,0.5155371725,98.203375,-22.872,-98.7125,-0.008,-4.9167,-2.5908,146.6,219.28,-3.145825,-2.5925,-0.797375,-4.94275,0.31245
1,3.25,-0.4681642325,358.39207,-94.279991,-6.093412625,0.7524429,1.41017625,-1.11241214,33.06813375,54.984,0.528936225,0,-22.82824,-1.0607352,0.0438030855,0.320440145,98.2,-22.865,-98.0875,-0.012,-4.6483,-2.5734,146.22,217.99,-3.144025,-2.57175,-0.848875,-4.99875,0.313225
1,3.75,-0.44529328,358.22385,-96.7859165,-9.1669146,0.83709656,1.271911,-0.96389738,47.4392485,54.946,0.53578645,0,-24.076485,-1.173299225,0.047735437,0.50288751,98.3,-23.255,-98.15,-0.008,-4.5892,-2.5393,146.0375,217.3,-3.220675,-2.605,-0.879425,-5.1113,0.314
1,4.25,-0.317855,357.843125,-95.52149025,-6.11546775,0.84199034,1.25477475,-1.5520713,45.1252225,55.694,0.488368,0,-24.14107,-1.229257875,0.053201877,0.550708795,98.3,-23.5935,-97.875,-0.01,-4.6821,-2.5818,145.26,217.28,-3.284125,-2.674625,-0.900625,-5.167,0.312225
1,4.75,-0.461876065,357.39378,-92.342912,-6.0125855,0.81328404,1.39055,-1.104622375,49.0219,55.472,0.557947375,0,-23.91719,-1.1322779,0.04728434,0.496293955,98.3,-23.924,-99.15,-0.007,-4.6745,-2.5905,145.94,217.07,-3.31225,-2.75915,-0.9466,-5.2115,0.313
