DOY2,HR2,FC_1_1_1,LE_1_1_1,CO2_1_1_1,H2O_1_1_1,FC_1_1_2,LE_1_1_2,CO2_1_1_2,H2O_1_1_2,H,USTAR,TA,RH,PA,VPD,WS,NETRAD,PPFD_IN,SW_IN,LW_IN,SW_OUT,LW_OUT
1,12.25,-0.267605,10.9147565,390.10702,4.4946316,-0.13432,12.303713,415.521865,3.214487275,106.51036,0.20869206,2.96037,25.24527,83.92036,4.1000472,1.5690305,275.00097,914.84193,521.2138,227.956095,103.3417,364.30072
1,12.75,-0.213335,10.423157,388.91627,4.4358968,-0.102299,10.856143,415.439,3.068847175,107.2245425,0.21526496,3.23261,23.90607,83.89029,4.37099295,1.5377972,271.98865,911.73689,501.7677,229.19847,101.6691,369.006885
1,13.25,-0.239795,9.5758104,388.53561,4.3651995,-0.06541,10.66030575,414.981705,3.009083725,98.8736675,0.217701485,3.62121,22.28988,83.84914,4.7417758,1.5394367,240.948275,868.20109,474.8166,230.094205,97.12148,370.27
1,13.75,-0.170615,8.86142395,388.02537,4.271710875,-0.1313,9.92626665,414.79201,2.96720855,93.3375795,0.2228931525,4.0287525,21.24553,83.81919,5.0374146,1.59172775,215.85146,815.6804,452.1988,230.643775,90.83247,368.28518
1,14.25,-0.17399,7.678654275,387.709435,4.226565075,-0.033323,9.08367555,415.17741,2.9272701,82.802031,0.22784289,4.4573475,20.4325525,83.800795,5.1840138,1.711346125,181.870245,724.9611975,398.55205,231.7572075,81.2396625,365.51413
1,14.75,-0.15526,6.4130053,387.7127975,4.1566354,-0.01956675,7.0540718,414.75145,2.849179875,67.9543875,0.2095268325,4.65557,19.32367,83.80906,5.237267575,1.69507555,142.16728,610.85201,340.1508,233.11511,70.79493,359.3637625
1,15.25,-0.116925,5.00154165,387.5531775,4.157145375,-0.017794,6.0001209,414.456415,2.8231398,47.92236675,0.202390255,4.805675,18.9351375,83.8061125,5.2532135,1.725002,94.91840375,473.851695,264.3529,232.3939425,57.8016525,351.9944775
1,15.75,-0.139845,3.5013628,387.50529,4.1928975,-0.002990275,4.3046491,414.28177,2.806819925,26.091556,0.1803531075,4.721825,19.3758525,83.800415,5.29640085,1.692318125,38.67529,362.5626875,187.3391,231.4734475,42.725415,345.510595
1,16.25,-0.061338,2.102120625,387.766255,4.18643435,0.03571575,2.0569404,414.228475,2.80379635,4.2500013,0.149853695,4.422785,19.7161575,83.7965325,5.1080157,1.53833745,-10.8211185,205.5429775,113.26121,230.08836,30.9347565,337.404845
1,16.75,-0.055097,0.878717,388.08754,4.206360325,0.0129575,0.678024005,414.55544,2.8438641,-11.210671,0.103123265,3.85836,21.37475,83.7997125,4.530917675,1.288470475,-60.563893,83.294874,45.74636575,230.234075,13.270855,328.009915
1,17.25,-0.045927,0.09103436825,388.44439,4.28062375,0.00687635,0.01871380675,414.824315,2.837529975,-23.426876,0.0758236,2.932285,24.4095075,83.82939,3.97324225,1.113572425,-82.921394,11.33361875,1.13344225,230.60429,1.809197,314.6195825
1,17.75,-0.047632,-0.60829597,388.5901275,4.339134375,-0.0254235,-0.2980426,414.9600125,2.826625975,-25.7732165,0.0754422415,1.9869975,27.1955025,83.86083,3.23695945,1.238733775,-83.292771,0.1465527,0,230.4100575,0.6385892325,305.8219275
1,18.25,-0.0757245,-1.1270212,388.55873,4.3766234,-0.002641775,-0.43332444,415.052415,2.884393375,-25.571228,0.0767499185,0.464497500000005,31.08201,83.8893075,2.6329107,1.475789975,-80.7032675,0,0,227.999815,0.54719151,301.16752
1,18.75,-0.0711425,-0.89180605,388.27849,4.437210375,-0.0189475,-0.7541068225,414.688065,2.9749855,-27.694118,0.077261923,-0.57051999999999,34.05528,83.9029925,2.30295615,1.6841229,-79.439728,0,0,227.25651,0.769572525,298.551375
1,19.25,-0.073649,-1.0083688,388.1980675,4.4698717,-0.0267955,-0.75922011,414.556165,2.947487075,-28.30781425,0.082455152,-1.166535,35.4592,83.9105,2.13776795,1.6476822,-77.81621575,0,0,226.51734,1.0308302,296.06735
1,19.75,-0.0603065,-1.025041925,387.98559,4.451313,-0.0496555,-0.73438418,414.1365625,2.890348025,-28.391652,0.08393429225,-1.647625,37.30492,83.925555,1.928734525,1.62918685,-76.7844455,0,0,224.78871,1.1420907,294.71422
1,20.25,-0.0412575,-1.0045446,388.14153,4.533556725,-0.088394,-0.7883765625,414.54345,2.96056525,-29.28117025,0.087139926,-2.005175,39.23615,83.93962,1.8921615,1.6276014,-75.9881525,0,0,224.75694,1.2155364,292.666465
1,20.75,-0.044585,-1.045213475,388.14805,4.5536124,-0.05958175,-0.661588015,414.5343175,2.957751575,-26.923167,0.089420676,-2.2420925,39.81099,83.94679,1.809821875,1.5772,-75.02912075,0,0,224.034005,1.2140795,291.51861
1,21.25,-0.056413,-1.05085115,388.1528725,4.583688975,-0.0450395,-0.584330985,414.1684825,2.9805159,-29.32315625,0.08588725575,-2.39,40.99095,83.9628325,1.7246881,1.57608,-73.72664675,0,0,222.731665,1.156361,290.15634
1,21.75,-0.04475825,-1.01674995,388.232425,4.606097875,-0.069008,-0.62883986,414.08089,3.0424046,-26.8149245,0.08918006175,-2.55687,42.34584,83.9590075,1.57637935,1.52469465,-72.41577,0,0,221.511155,1.1334331,287.71535
1,22.25,-0.0367525,-1.0922968,388.727765,4.654569225,-0.0619405,-0.55267342,413.939605,2.942984775,-26.9392935,0.08484377575,-2.72321,43.49718,83.96954,1.4425732,1.4160918,-71.871585,0,0,220.19482,1.11879485,286.48033
1,22.75,-0.0119509,-0.90303082,388.17433,4.5802091,-0.067573,-0.65812228,413.734475,3.082030575,-25.010351,0.08427551875,-3.19998,45.09792,83.986135,1.3811696,1.435437775,-72.53643,0,0,219.356565,1.101200575,285.212805
1,23.25,-0.020362,-0.98932172,388.12927,4.5241491,-0.0818785,-0.74103467,413.9445125,3.1326441,-25.3942565,0.081427805,-3.362285,46.53569,83.98466,1.26543735,1.483040225,-71.581995,0,0,219.032315,1.0520265,283.94975
1,23.75,-0.001733675,-0.87356889,388.07092,4.615754325,-0.0869115,-0.6742500875,414.04253,3.133466875,-23.0318955,0.077127469,-3.70223,47.079515,83.98387,1.18056155,1.47015075,-70.9515925,0,0,217.84289,0.96889278,282.07886
2,0.25,-0.050027,-0.88072195,390.7851,4.5977118,-0.05561125,-0.7561936225,411.71369,2.206095375,-30.60749725,0.093616116,-1.263615,34.9861075,83.712705,1.889254025,1.6365188,-75.370637,0,0,226.18275,1.141608,292.9020875
