DOY2,HR2,USTAR,TA,WS,NEE,FC,H,LE,TS_1_1_1,TS_1_2_1,RH,PA,CO2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,SC,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TA_1_2_1,TA_1_3_1,RH_1_2_1,RH_1_3_1
1,0.25,0.2555,-10.254,1.9156,0.171555,0.12675,-25.3365,-0.9498017605,0.323,0.325,74.372,97.52275,395.725,-42.78125,0.0075589,-1.443325,0.12378,238.74325,272.745,2.2554,-0.15523,0.49791666875,0.916666575,1.872925,2.3,4.412499875,5.95,-8.60835833325,-6.1246,81.0058333325,83.4
1,0.75,0.251185,-10.43725,1.89915,0.1367339775,0.129625,-23.9945,-1.186425,0.346,0.321,75.2384274975,97.51225,395.979,-43.742,0.009,-1.432,0.136515,238.981,272.7725,2.244,-0.177805,0.491666675,0.91666675,1.88,2.3085,4.45,5.9667,-9.14666666675,-5.929775,81.59166667,84.24175
1,1.25,0.24872,-10.649,1.8711,0.1748325,0.11119,-26.2935,-0.90767,0.3375,0.325,75.56575,97.5025,395.893,-44.6855,0.008,-1.4589,0.138175,238.59825,272.8375,2.238,-0.144405,0.49167,0.91666675,1.875,2.3,4.45,6,-9.40333333325,-5.819525,82.31666667,84.4335
1,1.75,0.254,-10.77925,1.9353,0.194575,0.134,-25.338,-0.79328,0.342,0.31667,75.7653516675,97.4895,395.558,-41.1385,0.008,-1.4181,0.13723,237.345,271.73,2.2198,-0.162945,0.475,0.91666665,1.8833,2.3,4.4667,5.9667,-9.5283,-5.758,82.7583333325,83.58325
1,2.25,0.24623,-10.83575,1.92755,0.163585,0.108195,-24.0435,-0.7935,0.326,0.325,76.73886,97.51575,395.571,-42.7495,0.0084250565,-1.334225,0.137,234.79,270.82,2.196934581,-0.110069698,0.48333335,0.9,1.875,2.3,4.4333,5.9833,-9.545,-5.706725,83.3333333325,82.967
1,2.75,0.243325,-11.00725,1.93225,0.1990075,0.10651929125,-24.8295,-1.104175,0.3245,0.329165,76.601,97.52775,395.57,-44.5735,0.0078970485,-1.4975,0.131915,234.28325,270.785,2.1727,-0.119455,0.475,0.9,1.8667,2.3,4.45,5.97915,-9.505,-5.752925,82.5750000025,83.533
1,3.25,0.248615,-11.15875,1.9063765585,0.179,0.1021025,-23.467,-1.079275,0.326,0.33333,76.8429475025,97.52825,395.578,-44.139,0.007,-1.57695,0.123,234.865,272.108,2.13475,-0.13426966875,0.491666675,0.900000075,1.875,2.3,4.45,5.9667,-9.553325,-5.71965,82.7167499975,84.7665
1,3.75,0.22962,-11.26875,1.903,0.1773929405,0.13548,-22.50875,-0.92735,0.321,0.317,76.56925,97.51025,395.7635,-48.4795,0.006,-1.672,0.1107525,232.50925,272.0925,2.1397,-0.127445,0.48333335,0.91666665,1.87499975,2.3,4.45,5.9667,-9.64835833325,-5.8153,82.8,84.3415
1,4.25,0.239,-11.286,1.878,0.1994175,0.126,-23.676,-1.095,0.321,0.321,77.4481066675,97.515,395.77775,-49.093,0.00768635,-1.719,0.0861,233.81,271.63,2.157075,-0.19586579075,0.491666675,0.9,1.8667,2.3,4.4333,5.9667,-9.68832499975,-5.927475,83.4249999975,83.792
1,4.75,0.23025,-11.312,1.85,0.214735,0.1366075,-23.085,-0.9420725,0.327,0.317,77.8325,97.513815,395.7765,-43.402,0.008,-1.4994,0.106,236.855,271.44,2.166587034,-0.16593781525,0.48333335,0.900000075,1.875,2.3,4.45,5.9667,-9.46667500025,-6.120025,83.642,84.008
1,5.25,0.221435,-11.362,1.80155,0.211905,0.1540975,-23.158,-1.06344668475,0.316,0.329165,77.70575,97.504,395.75375,-41.284,0.00827925,-1.531,0.1155275,237.51,270.78,2.13495,-0.14298,0.5,0.90833325,1.8667,2.3,4.4167,5.9833,-9.6183,-6.203925,84.43333333,82.733
1,5.75,0.214895,-11.458,1.864,0.190245,0.103774,-22.923,-1.1199,0.3265,0.325,77.77075,97.514,395.758,-37.509,0.009,-1.428,0.125055,238.33,271.505,2.1539,-0.163375,0.46667,0.908333325,1.8667,2.3,4.4333,5.9667,-9.63835,-6.262425,85.7917500025,83.26675
1,6.25,0.22785,-11.515,1.894162567,0.257925,0.1657975,-21.8865,-1.1464,0.3195,0.313,78.0755,97.518,395.62025,-39.08525,0.00818745,-1.437125,0.11516,236.72,269.975,2.136725,-0.13777204475,0.48333335,0.900000075,1.8667,2.3,4.4333,5.9667,-9.65415,-6.250325,86.4249999975,84.792
1,6.75,0.22881,-11.541,1.86025,0.22,0.13489,-21.896,-1.018525,0.312,0.3045,78.15425,97.529,395.692,-40.888,0.009,-1.42225,0.12177,238.1635,269.7715,2.13675,-0.1137575,0.5,0.9,1.875,2.3,4.4333,5.95,-9.8533,-6.32505,85.5167499975,85.40025
1,7.25,0.218,-11.429425,1.8255,0.2470380135,0.135697315,-22.613,-0.94576,0.316,0.312835,78.44525,97.534,395.396,-42.389,0.006,-1.373775,0.11467,234.3595,269.765,2.15785,-0.16107,0.5,0.900000075,1.867,2.3,4.4333,5.9667,-9.8817,-6.44755,85.4,85.733
1,7.75,0.22067,-11.54075,1.824,0.2070375,0.175004089,-21.997,-0.844,0.3125,0.312835,78.6405,97.534,395.19025,-42.603,0.092984894,-1.29125,0.14302,234.867,269.9775,2.1362,-0.1236651345,0.48333,0.9083334,1.8667,2.3,4.4167,5.9667,-9.930025,-6.5071,84.9585833325,85.0835
1,8.25,0.22752,-11.5106625,1.854375,0.21875,0.15475,-21.398,-0.8312575,0.3105,0.321,78.92675,97.537,394.81675,-38.98775,4.1712,1.32395,0.68116,236.8625,269.94,2.12675,-0.19322232625,0.48333335,0.89166665,1.875,2.3,4.4333,5.9667,-9.65575000025,-6.582675,84.2582500025,84.64975
1,8.75,0.23475,-11.557,1.7973966925,0.2051575,0.1655,-20.50525,-0.94797,0.3135,0.313,78.62025,97.552,394.548,-17.27,22.284,10.66875,2.765575,230.8925,270.01,2.115,-0.2150575,0.458333325,0.883333325,1.8667,2.3,4.4333,5.9667,-9.360825,-6.607325,84.99975,84.41675
1,9.25,0.261,-11.38125,1.7794,0.082471901,0.23314,-12.72275,-0.88123,0.2965,0.325165,78.10675,97.558,395.04,3.476675,51.0235,26.525,6.545,233.70725,272.47925,2.158,-0.42639,0.475000025,0.900000075,1.8667,2.3,4.4333,5.9667,-8.560825,-6.578425,83.74975,83.73325
1,9.75,0.319,-10.99875,1.812582959,0.076773,0.31102,-5.3505,-0.574145,0.278,0.304166674,76.945,97.588,394.67,21.805,93.14425111,46.49275,11.4305,235.01,273.81525,2.194,-0.6072225,0.5,0.9,1.85833325,2.3,4.4333,5.95,-7.75849999975,-6.5406,81.6385833325,83.217
1,10.25,0.35524,-10.6936091675,1.717729033,0.055261,0.338315,2.7756,-0.7481175,0.271,0.30833,75.4765,97.576,394.258,39.325,135.17,70.0945,14.915,233.7075,275.58,2.2369,-0.64852,0.466666675,0.89167,1.875,2.3,4.4167,5.95,-7.71833333325,-5.852725,79.825,82.6325
1,10.75,0.38854,-10.2575,1.7972,0.01788325,0.35532,13.38425,0.17795394425,0.263,0.316835,73.9344275025,97.589,393.92,52.6885,175.82425,92.0555,20.39425,233.62,277.045,2.238,-0.5994475,0.46666665,0.90833325,1.86666675,2.3,4.4167,5.9667,-7.44975000025,-5.32385,77.845833335,79.323
1,11.25,0.40109,-9.92255,1.852,0.0112535,0.284,18.736,0.58399,0.278,0.309,72.5505,97.584,393.814,66.18,209.5325,108.985,23.464,236.56,279.78,2.262,-0.619625,0.44791666875,0.8979175,1.8666916875,2.3,4.433225,5.95,-7.14182499975,-4.902675,75.9024999975,78.1085
1,11.75,0.415,-9.56135,1.89445,0.06762525,0.285385,28.998,1.0565,0.284,0.3020825,70.449,97.58,393.318,77.01975,230.73,120.62575,26.59175,231.7625,280.98,2.235,-0.5864175,0.45624999375,0.9062475,1.8583,2.3,4.428925,5.9333,-6.83860833325,-4.67605,74.1742499975,78.013
1,12.25,0.450155,-9.3201,1.94345,-0.049298,0.2461690865,33.01325,1.117,0.297,0.309,68.2264775,97.541,393.004,80.436,245.086,124.733,26.46175,234.2645,282.6075,2.2169,-0.615857575,0.4750000125,0.8999999,1.875,2.3,4.42485,5.96685,-6.48475,-4.639725,74.37025,76.13075
1,12.75,0.45,-9.071475,1.9767,0.04892675,0.31734,34.97775,1.3468,0.3005,0.319,66.65575,97.516,392.91,84.5185,240.2025,125.6575,26.589,231.62,283.12,2.184,-0.5592,0.4624999875,0.89791656875,1.872925,2.3,4.428925,5.945825,-6.46125,-4.682075,71.13075,73.184
1,13.25,0.455,-8.8142,2.0274,0.02547448875,0.24948,34.58275,1.671125,0.3265,0.309,65.20225,97.493,393.066,74.8435,227.6875,116.719,25.098,236.2575,283.655,2.1822,-0.5099725,0.47083335,0.90624999375,1.8667,2.3,4.412525,5.95,-6.35458333325,-4.17625,69.696,70.26225
1,13.75,0.46168,-8.664175,2.02859549525,0.03546175,0.30725,31.333,1.72765,0.328,0.3109175,64.25125,97.487,392.887,70.168,217.79225,111.575,23.528,232.644,284.285,2.2079,-0.442745,0.48958334375,0.89166916875,1.8667,2.3,4.416691625,5.9333,-5.939275,-3.9312,68.576,70.5075
