DOY2,HR2,FC_1_1_1,CO2_1_1_1,H_1_1_1,LE_1_1_1,H2O_1_1_1,H2O_2_1_1,NEE_1_1_1,RH_1_1_1,RH_2_1_1,VPD_2_1_1,VPD_1_1_1,T_SONIC_1_1_1,TAU_1_1_1,USTAR_1_1_1,WS_1_1_1,PA_1_1_1,TA_1_1_1,TA_2_1_1,NETRAD_1_1_1,PPFD_IN_2_1_1,TS_1_1_1,TS_1_2_1
1,5.75,0.1654865,404.251,-18.21051,-0.04416758,2.26134,2.54671,0.2765745,74.4267,81.2,0.543163,1.457645,-8.933,-0.08009896,0.2248522,2.474834,100.58499925,-9.46,-9.975,-13.753,0,2.1,2.5
1,6.25,0.198148,403.83,-16.9045,-0.04030915,2.2728,2.47682,0.3270813,75.084,81.2,0.4912432,1.405085,-8.8166,-0.08381234,0.2278096,2.11684,100.585,-9.56,-9.915,-14.04,0,2.1,2.5
1,6.75,0.203292,401.817,-18.85639,-0.03600488,2.31021,2.27428,0.22791117,75.8462,81.4,0.5007575,1.427405,-8.253,-0.085770705,0.2479232,2.523263,100.58,-9.87,-10.03,-12.7535,0,2,2.5
1,7.25,0.219457,402.1435,-14.799735,-0.0060775645,2.228755,2.207385,0.2228716,75.19475,80.9,0.5200014,1.24996,-8.503,-0.1009823,0.2681962,2.390191,100.6,-9.85,-10.09,-7.773,14.45,2,2.5
1,7.75,0.297255,402.83735,-13.096405,-0.02958295,2.32943,2.00361,0.310412795,73.7673,81.3,0.53349275,1.50003,-9.017,-0.1215029,0.2920025,2.084395,100.6,-9.91,-10.18,5.282,65.195,2.1,2.5
1,8.25,0.259431,399.938,-4.699,0.0480902,2.16363,1.97269,0.330695,73.36795,81.4,0.598613,1.76165,-8.877,-0.12779765,0.29760255,2.066061,100.6,-9.51,-9.71,30.215,141.69097265,2,2.45
1,8.75,0.505783,402.75925,7.127025,0.205242,2.28437,2.32849,0.4800853,70.90195,80.2,0.6879187,1.878455,-8.4289,-0.2163009,0.3448562,2.0227385,100.6,-8.74,-9.04,66.48,240.9,2.1,2.4
1,9.25,0.5408795,406.778,32.376125,0.418177,2.35167,1.92302,0.4102191,70.175,79.1,0.8030454,2.03552,-7.4796,-0.2813006,0.4382302,2.032025,100.6,-7.95,-8.4,104.9455,330.1,2,2.45
1,9.75,0.494121,407.83,58.86374,0.887723,2.50408,1.94684,0.31262925,68.4092,76.81,0.903716,2.19858,-6.717,-0.2802866,0.452682,2.400436,100.6,-7.272,-7.67,133.2585,427.72018695,2.1,2.4
1,10.25,0.475051,408.6495,70.5516,0.7829525,2.573111,1.87655,0.22260765,65.69418,74.99,1.02754,2.41832,-6.1425,-0.3746183,0.5258017,2.471725,100.6,-6.1525,-6.996,168.27,527.9,2.1,2.4
