DOY2,HR2,FC,CO2,SC,H,LE,H2O,SH,SLE,G_1_1_1,G_1_2_1,G_2_1_1,G_2_2_1,WS,USTAR,V_SIGMA,W_SIGMA,PA_1_1_1,PA_1_1_2,RH_1_1_1,RH_1_2_1,VPD,TA_1_1_1,TA_1_1_2,TA_1_1_3,TA_1_2_1,T_SONIC,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_1_10_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_8_1,TS_2_9_1,TS_2_10_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,FCH4,SCH4,NEE
4,6.25,0.5211085,411.2560235,0.14072825,0.78976,4.541319,4.111127,0.677578,0.3957195,0.025031,0.002159,0.033049,0.093187,4.125,0.37046,0.6349755,0.41471,98.68011788,98.56262,79.61375,86.6327375,1.8326,0.20225,2.262654,0.164898,-0.5179235,0.6824855,-0.026714286,-0.04503571425,-1.0677,0.164393,-0.275857,-0.12,-0.0402858215,-0.105,-0.180289,-0.261143,-0.29564275,0.068857,-0.142285,-0.161714,-0.09575,0.2574975,-0.09225075,-0.17429,30.497,8.7072,282.1306,311.2184,53.40144,14.52,6.205,0.761,0.57907
4,6.75,0.526043,411.094929,0.1858055,3.789554,6.24355,4.17215,3.005,0.6125205,0.026085,0.003001,0.032723,0.087592,4.0935,0.39711975,0.6935,0.44532,98.660477345,98.5805,78.855,85.66975,1.9115,0.4745,2.598061,0.52052825,0.13767775,0.7924785,-0.025428571,-0.04682132175,-1.1034,0.17435725,-0.25343,-0.118714286,-0.0400713215,-0.105,-0.1931765,-0.28114,-0.26935746425,0.047429,-0.127645,-0.151429,-0.09710725,0.27089275,-0.073464,-0.18629,71.00713,17.922,282.7761176,312.8001,113.2,31.5575,7.46,1.1975,0.56465425
4,7.25,0.56654,411.6540495,0.167105,13.668215,8.44380075,4.16875,6.20042,1.0115,0.025818,0.002832,0.031402,0.082387,4.0065,0.432915,0.7284995,0.46653,98.6487225,98.59025,78.0425,84.129035,2.0474231615,0.68525,3.276446,1.060767,0.56048775,1.322334,-0.01825,-0.0434642855,-1.1027,0.1890325,-0.251714,-0.1191429645,-0.039285714,-0.105,-0.19103575,-0.29557,-0.2350714645,0.070857,-0.12625,-0.154333,-0.09775,0.267215,-0.02139325,-0.19471,124.809,28.43,281.17,315.57,201.1,50.7575,8.69,0.7365,0.555433
4,7.75,0.62805,411.96978875,0.165654,25.85025,11.97674025,4.1883,9.369131,1.18449,0.025634,0.003777,0.032582,0.079272,3.955575,0.4414425,0.73868625,0.491333,98.64813,98.55634,76.12,81.7196425,2.220542606,1.092,3.630156,1.4405,0.9746955,1.95,0,-0.0285355,-1.1101,0.19803525,-0.24957,-0.11939285725,-0.039642857,-0.1053214285,-0.1996795,-0.286286,-0.1502175,0.091571,-0.1316075,-0.15,-0.0912855,0.2613175,-0.053964,-0.20914,187.3,41.885,281.79,317.6756,321.4,79.42939,10.175,0.5635,0.63797275
4,8.25,0.56477775,412.7082865,0.0989,41.36968975,14.63637825,4.20078125,11.1543355,0.9714985,0.024957,0.003472,0.031104,0.078917,4.052,0.4773845,0.768141,0.494544,98.643988605,98.595,73.93,77.665155,2.624431848,2.111,4.6589395,2.397446,2.29877025,2.451015,0,-0.02021425,-1.0906,0.20307125,-0.23929,-0.12010725,-0.0384642855,-0.1053214285,-0.21792925,-0.29429,-0.09092857175,0.104429,-0.101001,-0.139429,-0.08792857175,0.26888975,-0.05800025,-0.20343,264.9347,61.33,283.2204,321.010568,450.7,114.9,10.065,0.2945,0.46167175
4,8.75,0.428105,414.08204225,0.09725,56.1665745,17.7109,4.2170865,11.9347,1.0721525,0.024461,0.004111,0.031646,0.085698,4.0368,0.4898735,0.832199,0.500154,98.6303374075,98.56274,71.69,74.375465,3.18683436125,2.634,5.2195,3.29435,3.2257805,3.552685,0,0,-1.1187,0.2287145,-0.271857,-0.121285714,-0.037357143,-0.105,-0.2093575,-0.282429,-0.07714282175,0.147,-0.0953575,-0.137429,-0.0833575,0.29592825,-0.06971425,-0.19843,330.3281,79.265,282.763,323.7706364,559.00525,153.5,9.9375,0.32175,0.36193
4,9.25,0.4352475,414.07515075,0.111564,73.260725,20.816775,4.232162,12.44053775,1.052065,0.024402,0.003269,0.034701,0.085887,4.32935,0.5069775,0.880976,0.5109495,98.62135,98.560725,69.32,71.861915,3.4677933475,3.438,5.57785,4.07267925,4.46415,4.2635,0,0,-1.1204,0.244857,-0.278429,-0.118857143,-0.036785714,-0.105,-0.2209275,-0.278286,-0.04600010725,0.15871,-0.0599285,-0.127857,-0.0743925,0.3149275,-0.033786,-0.18043,395.445,98.524,282.843,326.863516,678.4,193.2,10.425,0.609,0.4569975
4,9.75,0.3455395,414.783028,0.113987,96.7815995,22.099706,4.25390325,11.887988,1.014965,0.025069,0.003201,0.033208,0.084512,4.5198,0.51557,0.90900525,0.53824725,98.62497768,98.552465,67.03,68.84675,4.0896,4.365,6.261223,4.57883,5.407,4.8674985,0,0,-0.98185,0.279143,-0.26001775,-0.11632139275,-0.035928571,-0.1036428575,-0.20214,-0.2757855,-0.003286,0.16742975,-0.053143,-0.11375025,-0.084857,0.32629,-0.040143,-0.170928,461.15,120.12,283.34,330.13,785.98345,235.0922,9.855,0.5845,0.32668
4,10.25,0.326675,414.6860545,0.13570275,109.2105,27.042681,4.3235,10.459024,1.03446,0.025843,0.003302,0.032418,0.083859,4.66,0.53634,0.980122,0.554301,98.597785,98.54003,65.81,65.512765,4.3352,5.277,6.7682915,5.387993,6.18775,5.23591675,0,0,-1.06145,0.291285714,-0.263001,-0.11732142825,-0.0365,-0.105,-0.212571,-0.260856,0.003857,0.19182,-0.035,-0.08524975,-0.057286,0.328857,-0.0220715,-0.163605,517.1,140.31,283.2371068,335.0788625,889.2477,280.2,10.625,0.641,0.37928075
4,10.75,0.1741485,415.297941,0.1200025,130.445,30.884,4.307894,10.1026205,0.93570325,0.028532,0.00388,0.032138,0.08869,4.83265,0.55387,0.9743995,0.57620875,98.58319,98.5185,63.21,63.215,4.736236397,5.897,6.97459475,6.3329555,6.863671,5.863887,0,0,-0.97413,0.32871,-0.25996,-0.111214286,-0.0339285715,-0.1036428575,-0.20357,-0.260643,0.120714286,0.2677875,-0.004429,-0.07,-0.076142857,0.334,0.001,-0.161035,575.03,157.94,285.4502,338.64,992.444925,317.1,9.555,0.595,0.253381
