DOY2,HR2,WS_1_1_1,WS_1_2_1,WS_1_3_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,PA,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,SW_IN,SW_OUT,LW_IN,LW_OUT,USTAR,H,LE,WS_2_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,FC,SCH4,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CH4_1_1_1,CH4_1_2_1,CH4_1_3_1,CH4_1_4_1,CH4_1_1_2
1,0.25,0.0398523445,0.00729896425,0,-32.077327095,-32.88265,-33.515,-33.67432973,70.708485975,70.626001,69.8155015,70.42184633,98.21127908,-4.9096467,-4.5660560035,-5.134058214,-3.17042586725,-1.470623864,-0.443862275,180.31701265,188.8724509,0.0616004875,-18.2529857,-1.074184309,0.3925455,0.2623185,0.253107,0.1053345,0.121933,-0.2857257285,-0.03517924625,387.744,431.34,388.74,431.36,1884.2817545,1828.270007,1866.1360855,1829.4877775,2054.25
1,0.75,0.049757873,0.00840465275,0,-32.246099585,-33.033809245,-33.587,-33.80385,70.474501,71.042,69.597767865,70.315002,98.23432646,-4.86243,-4.5025541,-5.16741,-3.153548896,-1.3139006665,-0.401494928,179.9103043,188.73174585,0.0674416995,-16.3579945625,-1.387746759,0.38370775,0.2657665,0.24979925,0.11632825,0.113751,-0.338155233,0.14577084425,387.812,431.42,389.092,431.52,1880.34168675,1819.4500135,1884.60738775,1826.7024755,2060.75
1,1.25,0.0562224615,0.0094466325,0,-31.986061615,-32.77656562,-33.61418793,-33.904722935,70.469778115,71.31089292,69.743395845,70.558002,98.25268,-4.915299525,-4.4987127625,-5.02450374975,-3.147949527,-1.489335006,-0.398952096,179.96520175,188.9698989,0.065584251,-17.1850361075,-1.519093478,0.35355375,0.25211275,0.2316495,0.10641925,0.09317725,-0.47331796825,0,387.252,431.66,388.856,431.74,1887.239713,1828.857982,1878.3901815,1824.600389,2068
1,1.75,0.0549301255,0.0090299655,0,-32.03404773,-32.35775397,-33.318644305,-33.761334685,70.48855765,71.161,69.789328875,70.523999,98.246148,-4.97547615,-4.4977840875,-4.952378025,-3.1476340695,-1.3431253785,-0.346556886,180.86556025,189.9074816,0.0699738265,-17.9919761525,-1.5050965615,0.37026025,0.252264,0.250292,0.10918275,0.116267,-0.40923082825,-0.58632116125,386.896,431.86,389.012,431.86,1872.0531545,1826.937514,1871.1157875,1823.101102,2066.5
1,2.25,0.0508007905,0.009384382,0,-32.10535271,-32.3147,-33.648926595,-33.870949105,70.1405,71.039,69.50179083,69.934003,98.24992,-4.9591611,-4.5267418625,-5.24922105075,-3.149369085,-1.483343428,-0.42589820325,180.04236045,188.7355016,0.0603613285,-16.18083354,-1.37662818325,0.3645055,0.258442,0.2442415,0.106216,0.110143,-0.459543826,-0.146415885,388.116,431.48,388.36,431.36,1894.942973,1825.9128475,1879.939088,1824.30453625,2082.75
1,2.75,0.044794786,0.00777861,0,-31.84155,-32.3019018725,-33.2299562975,-34.055425,70.1868555,71.212,69.66618681,70.108002,98.25544046,-5.0608326,-4.4976152375,-5.031135,-3.146687697,-1.4109159345,-0.48502994,182.07212575,189.1107792,0.0634178725,-13.87455777,-1.302668065,0.4181085,0.275606,0.2457045,0.1112085,0.089481,-0.527587078,-0.18026975825,387.264,430.74,388.04,430.72,1891.1260655,1833.29789925,1871.1715375,1833.620548,2076.5
1,3.25,0.047297288,0.00706925525,0,-31.94505213,-32.3648642025,-33.3202643025,-33.598359455,70.2739985,71.3206479,69.72319058,70.414001,98.264962,-4.97459295,-4.5150343135,-5.224423925,-3.1481072555,-1.3775517945,-0.454351308,180.9640191,190.50976085,0.059541798,-17.21353269,-1.152003774,0.396349,0.255281,0.229149,0.099882,0.095142,-0.44603631325,-0.97595481075,386.904,430.22,388.404,430.14,1891.0437845,1825.70349275,1889.8315805,1829.783811,2081
1,3.75,0.042959826,0.00663163,0,-32.2165099,-32.49934014,-33.53818521,-33.9906,70.1755,71.21681374,69.635467255,70.545001,98.2687248,-5.0562018375,-4.499261525,-5.2347262035,-3.14637224,-1.4877666245,-0.407185629,181.91992215,188.80393605,0.067271998,-17.6709833775,-0.9663721465,0.397202,0.267768,0.234433,0.110479,0.095872,-0.349726497,-1.16974877725,385.912,429.56,388.208,429.44,1902.5305565,1829.221916,1868.449043,1832.66678875,2079.5
1,4.25,0.04915320225,0.00663162975,0,-31.904558705,-32.594454955,-33.5599636925,-34.168825065,70.42,71.249,69.978598225,70.61049405,98.24716092,-5.0363505375,-4.4975308125,-5.22959748775,-3.1465299685,-1.4229560885,-0.45630249125,181.7105181,188.5737374,0.06344667175,-19.766233585,-1.243251268,0.3499465,0.23582925,0.206834,0.09008625,0.0945965,-0.287212457,-0.89566643175,386.08,428.88,387.772,428.78,1884.2263285,1836.9213685,1888.882091,1833.72995525,2077
1,4.75,0.048798789,0.0080080065,0,-31.9154410325,-32.7481,-33.602,-34.07950811,70.207,71.133002,70.143,70.579999,98.2120804,-5.082790425,-4.4982906375,-5.340945,-3.147160883,-1.463355542,-0.4307634735,182.44613005,187.78919955,0.053605445,-20.687698455,-1.49541963025,0.3184565,0.2319755,0.2089135,0.09822425,0.095177,-0.274972186,-0.57664560475,386.104,428.1,387.972,427.98,1921.388637,1831.348164,1890.136428,1833.9487925,2069.75
