DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,TA,PA,NETRAD,G_1_1_1,G_2_1_1,TS_1_1_1,TS_2_1_1,PPFD_IN
4,19.25,-0.03915,-8.398205,7.478655,0.6737,1.90435,0.1794505,9.63366,406.259,7.54042,0.574785,0.5484245,0.2657425,0.2071715,9.190385,98.1165,-27.70595,4.936485,5.543385,11.10555,10.86065,1.83501
4,19.75,-0.02885,-7.62198,4.631525,0.7466345,1.78762,0.1615565,9.234535,407.881,7.30425,0.569368,0.4829425,0.2316485,0.222383,8.83255,98.11605,-28.3705,0.0995545,2.26002,10.7933,10.58105,-0.01725
4,20.25,-0.02985,-7.433535,4.584465,0.59519,1.86253,0.159848,9.18934,408.117,7.286765,0.539654,0.4690325,0.233118,0.2366925,8.476415,98.131,-22.50425,-3.54498,-1.489805,10.5683,10.30195,-0.0444
4,20.75,-0.0314,-7.95724,4.306955,0.811135,1.80364,0.173496,8.70925,410.4405,7.415095,0.571635,0.488007,0.242233,0.251105,7.629135,98.1549,-20.23575,-6.898575,-4.04485,10.3639,10.050315,-0.04315
4,21.25,-0.0255,-6.69914,2.90564,0.730586,1.6234,0.1529755,8.25945,411.986,7.2255,0.5186785,0.465526,0.2239795,0.2243185,7.195475,98.16415,-22.17545,-8.830445,-6.66418,10.2329,9.799525,-0.0408
4,21.75,-0.03015,-6.908065,3.69708,0.640043,1.612255,0.160754,7.88076,413.301,7.3288,0.5351545,0.489626,0.2357925,0.2190165,7.069565,98.14785,-23.6113,-10.4612,-8.569075,9.98618,9.49916,-0.03885
4,22.25,-0.0284,-5.99041,3.577,0.5517025,1.67449,0.15786,7.45706,413.2935,7.53897,0.52087,0.49127,0.244343,0.217263,6.758645,98.14175,-20.471,-11.8504,-9.7129,9.692725,9.2588,-0.0359
4,22.75,-0.0309,-6.88988,3.018915,0.562548,1.69626,0.162948,7.21779,413.828,7.53729,0.556295,0.50917,0.235855,0.20278,6.5282,98.1469,-16.40235,-12.87015,-10.41025,9.432495,9.060835,-0.0335
4,23.25,-0.03795,-6.10412,1.04311,0.698985,1.73215,0.179541,7.07325,415.642,7.42116,0.545943,0.473719,0.248171,0.213614,6.354525,98.15125,-19.74235,-12.5633,-11.02625,9.20081,8.858215,-0.0345
4,23.75,-0.03035,-6.56817,3.555935,0.849584,1.750275,0.1619705,6.760545,414.931,7.29472,0.533729,0.489959,0.238743,0.210604,6.099675,98.15265,-18.4164,-13.347,-11.8498,9.053425,8.75372,-0.0331
5,0.25,-0.0168,-4.5198,0.283785,1.52945,1.05007,0.121163,13.1082,418.7385,12.9669,0.4094,0.380358,0.170568,0.227973,11.66375,98.051,-16.54865,-10.17415,-7.37918,14.98225,14.5909,-0.0297
5,0.75,-0.024,-5.16963,1.687135,1.39095,1.20964,0.141067,13.0513,418.308,13.61935,0.41222,0.42828,0.184427,0.22513,11.17495,98.03275,-16.44535,-10.9979,-8.15528,14.81245,14.3677,-0.029
5,1.25,-0.0213,-3.477305,1.24734,1.56171,1.280855,0.1354115,12.2752,420.035,13.1278,0.4522345,0.3742685,0.190967,0.2214335,10.9073,98.04715,-15.2597,-11.6735,-8.67301,14.6307,14.1899,-0.0267
5,1.75,-0.0161,-4.16732,0.6280255,1.449105,1.17598,0.118891,12.23105,421.0045,13.03385,0.446686,0.3688655,0.17886,0.2196845,10.69535,98.0291,-15.44755,-12.46725,-9.179735,14.42865,14.04185,-0.0298
5,2.25,-0.0221,-5.06454,1.620755,1.2827,1.21645,0.138383,12.2302,425.095,13.33005,0.434764,0.382106,0.174786,0.220576,10.76545,98.01945,-15.49305,-12.72245,-9.38973,14.2284,13.93035,-0.02635
5,2.75,-0.02645,-4.83823,1.22117,1.75106,1.289655,0.1493005,12.13375,421.3515,12.7161,0.46162,0.4092635,0.206902,0.203731,10.6818,98.02795,-14.48015,-13.33995,-9.320885,14.0806,13.79325,-0.0266
5,3.25,-0.0233,-6.31904,4.16182,1.80039,1.21213,0.146883,12.0952,423.1935,13.1682,0.491584,0.422017,0.190181,0.201161,10.71555,98.03145,-13.1568,-13.6098,-10.021615,13.9457,13.66725,-0.0306
5,3.75,-0.0208,-5.98814,0.8369405,1.61387,1.22315,0.144643,12.5313,423.03,13.77685,0.455768,0.437051,0.202362,0.18496,10.8899,98.0398,-13.5645,-13.7281,-10.4509,13.9215,13.616,-0.0326
5,4.25,-0.02235,-7.813145,0.713568,2.274015,1.14845,0.1413965,12.3878,424.141,13.58615,0.420223,0.3953025,0.198877,0.19334,10.8408,98.0771,-12.07,-13.5623,-10.3888,13.7883,13.5525,-0.0243
5,4.75,-0.02575,-7.055195,1.3222,1.66152,1.2868,0.1498885,12.3187,426.205,13.7917,0.4418875,0.4248265,0.1966835,0.2063855,10.6288,98.0705,-10.6485,-13.6148,-11.5207,13.7144,13.4913,0.630593
5,5.25,-0.0254,-6.46695,1.904155,1.7345,1.31814,0.147583,12.1783,430.81,13.27585,0.507581,0.451254,0.208693,0.189361,10.5123,98.0856,-5.87029,-12.7305,-10.8809,13.6006,13.3911,12.7041
5,5.75,-0.0261,-4.26554,7.014705,1.66272,1.46839,0.152391,12.1223,431.456,13.53395,0.487993,0.433876,0.213545,0.197352,10.6595,98.1187,7.30123,-12.7597,-10.4949,13.5445,13.367,69.1648
5,6.25,-0.02875,-0.42869,17.3653,1.2539,1.46227,0.163739,12.8584,427.781,13.6659,0.522902,0.456464,0.237133,0.259895,11.5016,98.1136,32.7775,-12.0618,-10.0699,13.4438,13.3482,137.83
5,6.75,-0.04155,8.97567,36.36865,0.841567,1.81659,0.187873,13.7317,424.6255,13.557,0.593346,0.539706,0.280375,0.2943885,12.366,98.1162,73.5878,-9.78524,-8.20914,13.3674,13.345,275.423
5,7.25,-0.0527,15.94365,53.857,0.581777,2.155785,0.226221,14.8236,418.5405,13.8478,0.645648,0.592581,0.313558,0.3315025,13.065,98.1304,114.2,-5.77435,-6.08173,13.519,13.3344,406.06
5,7.75,-0.0715,28.4429,66.0185,0.44592,2.429215,0.251044,15.09695,414.8375,13.7374,0.7787825,0.7159585,0.349845,0.3782745,13.837,98.1432,165.294,-1.57476,-3.71848,13.7791,13.4629,532.198
5,8.25,-0.0797,51.18695,76.3347,0.244691,2.601315,0.2608985,15.83985,412.685,14.2544,0.828186,0.819826,0.390653,0.4437735,14.9073,98.1464,228.912,4.48496,0.214901,13.7494,13.608,708.504
5,8.75,-0.0814,68.7935,79.32655,0.116014,2.65466,0.268031,17.0178,410.9695,14.08495,0.872265,0.885203,0.396495,0.493708,15.72195,98.1334,253.8025,13.1041,6.697435,13.96415,13.7258,748.9295
5,9.25,-0.09365,94.95345,90.1056,0.057,2.803335,0.2992595,17.8713,408.959,14.1764,0.9698405,1.006755,0.4391445,0.567638,16.5819,98.11135,309.8575,22.7526,13.0787,14.3835,14.14245,989.941
5,9.75,-0.093,109.4255,83.0314,-0.1814755,2.81184,0.294936,18.21525,407.102,13.9389,1.005095,1.04615,0.440717,0.6125915,17.50375,98.11455,375.6855,30.38925,19.4589,14.9972,14.4976,1042.339
5,10.25,-0.111648,124.302,98.36245,0.101801,2.87492,0.314334,18.4693,405.58,13.6659,1.05122,1.15112,0.467972,0.602021,17.74405,98.10505,361.058,36.8224,23.92875,15.27865,14.8991,1059.78
5,10.75,-0.137409,130.196,104.686,-0.541291,3.11485,0.34903,18.8158,405.1095,13.6495,1.11165,1.21893,0.492999,0.613569,18.10725,98.0987,404.089,41.2742,27.1571,15.9634,15.4053,1258.515
5,11.25,-0.126948,140.032,114.6415,0.0252,3.16637,0.342816,19.3547,404.313,13.4494,1.18195,1.26787,0.492601,0.599903,18.58655,98.1043,419.601,46.8734,32.019,16.35755,15.8971,1242.315
5,11.75,-0.1267395,174.676,120.005,-0.0946,3.13736,0.3314865,19.4619,403.832,13.4398,1.131565,1.2391,0.5012475,0.6620845,18.8564,98.1033,475.905,52.5594,37.9401,16.69325,16.41365,1396.105
5,12.25,-0.1409795,163.795,127.5865,0.138797,3.16516,0.3523575,20.3437,403.376,13.1172,1.20479,1.271765,0.50138,0.720769,19.1614,98.0844,460.666,57.7955,43.494,17.402,16.7492,1292.4
5,12.75,-0.13826,158.964,119.553,-0.0824,3.21355,0.36323,20.4341,403.179,13.1333,1.2487,1.32432,0.523452,0.682106,19.57865,98.067,444.3145,63.4443,48.5283,17.94775,17.21475,1287.345
5,13.25,-0.1320565,171.1825,117.694,-0.0106,2.94889,0.345621,20.9708,402.211,13.051,1.216925,1.37942,0.5257755,0.6829595,19.9995,98.0167,441.6855,64.7847,49.52725,18.1414,17.69985,1320.61
5,13.75,-0.133629,159.487,121.32,0.409253,3.08502,0.3468785,20.99095,402.4745,12.94375,1.218325,1.350235,0.5263265,0.669189,20.186,97.9829,408.3335,61.44775,49.7548,18.41205,18.0885,1231.97
5,14.25,-0.146102,158.334,110.577,-0.101556,3.08951,0.356138,20.9489,402.354,13.2452,1.14725,1.33061,0.524505,0.635965,20.50935,97.9812,405.6345,62.34115,49.15185,18.7262,18.3229,1230.1
5,14.75,-0.1296675,142.5115,101.6945,0.0155,3.183485,0.33213,20.67675,402.459,13.2564,1.16283,1.285625,0.5299295,0.6231,19.9572,97.9676,389.368,60.9664,48.35385,18.99955,18.4339,1123.335
5,15.25,-0.130009,129.177,90.64865,0.218321,3.117815,0.3390805,19.90295,401.4855,12.9743,1.13232,1.298145,0.519114,0.525941,19.1488,97.9551,309.268,58.8356,48.1472,19.19325,18.6802,982.383
5,15.75,-0.1197195,90.04005,91.7819,-0.00466,3.099945,0.322632,19.85615,400.9785,12.9522,1.01511,1.171315,0.489693,0.4536835,19.01495,97.9547,266.785,53.3343,44.56255,19.19505,18.59545,830.2175
5,16.25,-0.0963,81.5137,76.9866,0.277255,2.99256,0.2947995,20.0089,399.9475,12.7745,1.030385,1.13612,0.4775285,0.44412,18.8687,97.9581,248.618,47.63475,40.35175,19.11415,18.6191,826.8305
5,16.75,-0.1119485,55.0055,65.4609,0.409473,2.89763,0.3153905,19.7607,399.502,12.7793,0.9816045,1.037715,0.458279,0.3528835,18.9543,97.95535,181.8645,42.43375,35.4721,19.07275,18.7582,629.9275
5,17.25,-0.0896,32.52435,52.28005,0.64683,2.729055,0.2776765,19.2696,398.862,13.3601,0.8890685,0.947022,0.4238895,0.2568455,18.1858,97.9442,124.063,34.67375,31.03235,18.94565,18.7338,462.7675
5,17.75,-0.0812,15.8435,46.1364,0.9102665,2.40964,0.261818,19.0715,399.198,13.582,0.775143,0.796859,0.395957,0.20904,18.1084,97.9486,72.40675,28.86255,26.08045,18.66095,18.5296,286.492
5,18.25,-0.0587,3.58643,31.7196,1.05036,2.1635,0.223658,18.4756,399.752,13.8325,0.715934,0.701337,0.334195,0.175558,17.5912,97.94965,36.6995,23.3428,21.92615,18.43905,18.24045,188.692
5,18.75,-0.0442,-6.422515,17.8831,1.2959,2.07235,0.1971275,18.1719,401.3185,13.4727,0.6392715,0.5899,0.3002705,0.200611,17.1627,97.95325,7.99516,18.0259,17.29735,18.1976,17.93345,103.588
5,19.25,-0.02515,-8.271295,10.25105,1.312015,1.62417,0.15161,17.45295,404.0325,13.2455,0.546882,0.522229,0.2320935,0.2616295,16.24215,97.96825,-11.6248,13.4094,13.21335,17.86765,17.5405,32.5666
5,19.75,-0.0206,-6.08027,5.31887,1.47967,1.55002,0.134158,16.6094,407.096,13.782,0.481675,0.416462,0.193223,0.278785,15.1183,97.98405,-23.36775,8.879265,9.297205,17.59855,17.11315,3.468565
5,20.25,-0.01535,-7.324595,3.05884,1.415445,1.10436,0.114431,16.03255,411.675,13.6723,0.4497735,0.400164,0.166645,0.2909825,14.4051,97.99305,-26.0551,4.151895,5.53397,17.2643,16.7981,0.0341
5,20.75,-0.0133,-4.52431,1.64701,1.338305,1.10526,0.110586,15.2534,413.5115,13.55165,0.428115,0.366287,0.16368,0.259059,13.90305,98.0187,-25.25295,-0.00646,1.371635,16.9416,16.54645,-0.02695
5,21.25,-0.0178,-5.66975,2.41191,1.49428,1.11818,0.130099,14.9378,416.764,13.8708,0.414919,0.398695,0.164977,0.249041,13.5011,98.0479,-23.3919,-3.00597,-0.9163565,16.6524,16.31225,-0.02625
5,21.75,-0.01475,-5.68288,1.72405,1.67976,1.3286,0.116508,14.7733,418.804,14.29855,0.460571,0.385045,0.17057,0.249942,13.09335,98.0436,-21.2845,-4.47224,-2.772955,16.35085,16.03995,-0.02425
5,22.25,-0.0219,-3.87454,1.13417,1.435745,1.18745,0.142996,14.4771,421.219,13.8414,0.426882,0.400098,0.180631,0.228584,12.80565,98.05415,-18.425,-6.595425,-3.813725,16.1119,15.7064,-0.02365
5,22.75,-0.0203,-3.60079,1.13128,1.37356,1.27727,0.132367,14.0906,421.397,13.1827,0.428008,0.386795,0.174345,0.21439,12.6219,98.06365,-18.30215,-7.675395,-4.1491,15.96415,15.4548,-0.02425
5,23.25,-0.0155,-5.96723,1.40322,1.798715,1.16672,0.122538,13.7761,421.309,13.6872,0.442369,0.381491,0.155489,0.230028,12.34385,98.05985,-17.91345,-8.677075,-5.523485,15.8138,15.21955,-0.02385
5,23.75,-0.0155,-6.22714,2.19793,1.59325,1.26812,0.11556,13.4121,420.738,13.5431,0.407898,0.366731,0.1826,0.217093,11.96475,98.035,-16.6197,-10.06737,-6.70117,15.6026,15.0476,-0.02765
6,0.25,-0.0169,-7.53485,1.742925,3.1543,1.20353,0.122638,17.5745,414.133,16.7153,0.437516,0.37632,0.157207,0.232657,15.5374,98.0023,-18.1436,-13.0452,-9.86843,20.1249,19.8561,-0.0273
