DOY2,HR2,VPD,CO2,H2O,LW_IN,SW_IN,NETRAD_1_1_1,LW_OUT,SW_OUT,USTAR,TA_1_1_1,RH,PPFD_IN,PPFD_OUT,LE,H,G_3_1_1,SH,TS_1_1_1,TS_1_2_1,PA,WS
1,0.25,0.25,375.922,3.589,264.625,0,3.4925,267.9,0.7425,0.46,-10.525,89.975,0,0,1.85,0.19,-2.43,1.15,-3.095,-3.0625,95.8,2.555
1,0.75,0.2525,376.373,3.573,264.325,0,2.4925,266.9,0.72,0.45025,-10.7,90.525,0,0,1.9,0.1325,-2.405,1,-3.0875,-3.06,95.8,2.6325
1,1.25,0.26,376.199,3.51375,261.82575,0,2.1575,268.025,0.6725,0.46075,-10.725,89.375,0,0,2,0.97,-2.44,0.75,-3.085,-3.05,95.7,2.7925
1,1.75,0.27,376.539,3.5335,258.10075,0,1.4775,267.975,0.6525,0.47,-10.8,89.85,0,0,1.2,1.23,-2.46,0.65,-3.075,-3.0425,95.7,2.7525
1,2.25,0.25,376.67725,3.403,256.55,0,1.5425,267.9,0.635,0.465,-10.2,89.5,0,0,1.2,1.52,-2.45,1.2,-3.0675,-3.04,95.8,2.9125
1,2.75,0.25,376.265,3.481,261.45,0,1.9325,268.125,0.6,0.5,-10.2,89.85,0,0,1.05,1.595,-2.475,1.05,-3.06,-3.04,95.8,2.7625
1,3.25,0.24,376.186,3.726,264.4,0,2.2225,269.75,0.6425,0.51,-10.325,90.4,0,0,0.9,2.2875,-2.495,1.4,-3.105,-3.0825,95.8,2.8525
1,3.75,0.24,375.98225,3.7915,265.8,0,2.0925,269.375,0.68,0.53,-10.35,90.975,0,0,1,1.52,-2.545,1.7,-3.1475,-3.12,95.8,2.9425
1,4.25,0.25,376.52225,3.744,266.175,0,2.5775,269.65,0.63,0.54,-10.45,90.325,0,0,1.1,1.73,-2.585,1.4,-3.14,-3.11,95.8,2.8025
1,4.75,0.25,375.857,3.75675,265.825,0,2.5925,267.8,0.7,0.54,-10.45,90.3,0,0,0.9,3.25,-2.6,0.75,-3.13,-3.0925,95.8,2.94
1,5.25,0.2425,377.7075,4.04525,263.875,0,3.905,267.225,0.6425,0.555,-10.4,89.95,0,0,1.9,3.5175,-2.605,0.6,-3.0975,-3.0675,95.8,2.9175
1,5.75,0.24,377.15,3.96875,262.45,0,3.4625,267.55,0.6325,0.585,-10.425,89.975,0,0,2.45,4.9775,-2.655,0.7,-3.0675,-3.0375,95.825,2.945
1,6.25,0.24,377.011,3.8175,263.475,0,4.1475,268.95,0.7225,0.595,-10.45,90.025,0,0,2.5,4.935,-2.645,1.2,-3.0375,-3.005,95.8,3.0625
1,6.75,0.24,377.258,3.865,263.3,0,3.8125,268.925,0.6925,0.59,-10.525,89.825,0,0,5,3.285,-2.665,1.375,-3.0275,-2.9875,95.8,2.9975
1,7.25,0.24,376.565,3.905,262.55,0,2.4675,268.975,0.69,0.59,-10.425,89.85,0,0,3.3,2.83,-2.68,0.9,-3.015,-2.98,95.8,3.055
1,7.75,0.24,377.0125,3.93,260.32575,0,3.9975,268.125,0.6625,0.66475,-11.075,90,0,0,3,5.0125,-2.685,0.9,-3.0175,-2.9775,95.8,3.0125
1,8.25,0.2425,376.218,3.813,261.825,0,3.935,265.275,0.62,0.6425,-11.4,89.5,0,0,2.3,5.98,-2.635,0.725,-3.015,-2.9675,95.8,3.0025
1,8.75,0.24,377.602,3.833,261.12575,0.34,3.17,264.925,0.7325,0.5925,-11.425,90.05,0,0.025,3.625,5.9375,-2.615,0.5,-3.005,-2.96,95.8,3.02
1,9.25,0.24,376.601,3.95175,259.87525,8.88,9.16,264.475,4.465,0.61,-11.575,89.725,12.1875,4.49,3.25,9.5,-2.605,1.2,-3.0025,-2.9575,95.8,3.0575
1,9.75,0.2425,378.3935,4.233,260.325,46.385,21.36,264.6,16.2675,0.6,-11.825,89.925,48.6175,18.9925,4.9,9.8975,-2.615,1.4,-3,-2.9575,95.825,3.14
1,10.25,0.25,379.22525,4.2235,261.2,91.8,42.68,265.95,28.6675,0.63,-11.35,89.975,107.52,39.3975,6.275,15.0725,-2.6,1.9,-2.9975,-2.9525,95.825,3.1325
