DOY2,HR2,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,SC_1_1_1,G_1_1_1,H_1_1_1,LE_1_1_1,WS_1_1_1,USTAR_1_1_1,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,TS_1_1_1,TS_1_2_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,T_SONIC_1_1_1,CO2_2_1_1,SC_1_1_2,G_1_1_2,G_1_1_3,SH_1_1_1,TAU_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,NEE_1_1_1,CO2_2_2_1,CO2_2_3_1,CO2_2_4_1,CO2_2_5_1,SC_1,SC_2,FCH4_1_1_1,CH4_1_1_1
1,0.25,368.496461365,3.0516896,-0.90465895,-11.19973265,-22.71875,-84.53574725,-27.6105105,0.3008305,0.021601475,99.738145,35.47158821625,-7.2723956,4.11476e-05,2.632925,4.474325,-102.5063875,-2.750406,-0.0336636375,190.59725,274.4189875,-21.735,-5.5190029,391.835416925,-0.778676,-25.21625,-33.6175,-19.47432075,-1.0666993,0.09024835,0.083843125,0.031670325,-8.79705755,393.186666975,396.813333,400.054583025,399.0400003,-13.785836925,-17.0384903,-50.299575,2024.695
1,0.75,365.03720696,3.008783775,-1.93445736735,-20.790730075,-22.828,-83.961285631,-56.6165285,0.274691675,0.018440125,99.77887,34.252225,-7.8827343,0,2.52185,4.4451,-103.163855,-2.908416,-0.05113576,190.724,273.1880875,-21.7755,-5.5301031,391.722083425,-0.7258101,-25.0835,-33.107,-18.07413325,-1.1170607,0.09188725,0.0935132,0.0357693,-3.3005219,392.692500325,395.801250325,394.95325,397.95,-23.85995,-3.3364334,-7.333,2030.75825
1,1.25,364.43282095,3.02035345,-7.781091525,-10.7147545,-22.46325,-82.23427067,-41.282606,0.23694885,0.0213328674,99.764510296,35.3434,-7.8905339,0.000138745,2.47035,4.439925,-104.04882,-2.8194247,-0.117283,189.718,273.13048,-21.765,-5.84074015,391.77083325,-3.31426025,-25.035,-32.666,-16.23263125,-0.820205525,0.0793455,0.0816657,0.0266436,-9.810888625,392.909583025,402.95375,404.264999975,404.673749975,-16.9622543,-5.5227474,-27.088125,2033.238
1,1.75,369.5048339,2.9142685,-1.59085645,-8.6498542,-22.38025,-79.5504876275,-89.35685485,0.284454875,0.020226975,99.739375,36.107179986,-8.1024828,0.00014344275,2.40855,4.40155,-102.98039,-2.8265514,-0.1069569,190.10426,272.2656,-21.7525,-6.052753375,391.962083525,-2.48471165,-25.005,-32.513,-19.490597125,-1.04722635,0.0827276,0.0846958,0.03474365,-5.379634725,392.63125,404.435417,404.80624975,405.354166375,-58.64026,-5.250367675,-13.8725,2028.9355
1,2.25,370.0647708175,3.100770925,-0.588940625,-7.50120779895,-22.45175,-85.0571259025,-80.6123932,0.185375,0.0202759872,99.780775,39.116408,-8.3293197,0,2.389975,4.390225,-101.5242,-2.879695,-0.09601715,189.69011,272.1164,-21.77,-6.4417982,391.01333315,-2.0052264,-24.94625,-33.22625,-20.3893624,-0.77777685,0.06661255,0.074871,0.02638715,-10.10829745,393.023333,406.904167,408.1108331,406.9008331,-44.7173075,-7.1794608,-34.00245,2032.97
1,2.75,368.92180086,3.1794179151,-0.68452749775,-8.023606925,-22.37075,-79.7526597675,-48.921015,0.2163563,0.023429,99.75876,39.4681542185,-8.3835113,0,2.352,4.329175,-102.3445575,-2.827805,-0.12618215,190.95295,270.7412525,-21.75375,-6.73485845,390.335833175,-0.9868047,-25.18375,-34.18875,-16.862032625,-1.08614325,0.08069735,0.07503735,0.02474155,-5.37093095,391.641249725,408.075833,409.652499725,407.841249725,-31.2149862,-23.1603314,-22.9837,2031.447
1,3.25,369.20788306,3.16545365,-0.9569055968,-13.14978625,-22.106,-78.127609966,-73.636881575,0.284910075,0.017824337375,99.706525,40.209597013,-8.804338725,0,2.303925,4.271575,-101.746635,-2.7334535,-0.10027292,190.46174,270.02133,-21.75825,-7.052903475,390.05,-1.91516475,-25.03375,-34.14125,-17.14531635,-0.9474089,0.0772877,0.0706684,0.027541025,-24.034452,390.89708355,405.57083355,410.22625,408.8366664,-22.872721875,-10.400188,-26.069625,2032.37875
1,3.75,368.961821075,3.0227925,-0.514,-10.619085425,-22.246,-80.7015087745,-92.09253695,0.204235825,0.015917375,99.66945,41.1422955215,-9.010951,0,2.230425,4.22275,-101.301515,-2.872132,-0.109827975,190.2286425,269.1835625,-21.74,-7.2523955,390.64625,-1.45584315,-25.4625,-34.3775,-18.8988546,-0.907023175,0.08163645,0.07356155,0.029076275,-4.1014386,391.14999975,406.395833,409.95833325,410.0833335,-63.0495675,-12.232022275,-34.2578,2015.556
1,4.25,369.9761749625,3.015298135975,-0.77,-10.490681742,-22.566,-75.329867325,-71.31400145,0.2099891,0.016289503625,99.62486,41.963238681,-8.86545725,0,2.166575,4.1744,-101.37976,-2.905836,-0.112047475,192.193945,270.37723,-21.781,-7.4689821,391.299583525,-1.2952197,-25.29625,-33.24125,-13.6985604,-0.7716174,0.0910212,0.0764335,0.0240159,-4.9823034,391.93750025,395.870833,396.22083325,398.016667,-15.4791,-25.806489075,-27.09955,2012.49
1,4.75,369.56617649,2.95070618255,-1.45389025,-14.3147268,-22.418,-75.383,-49.371,0.2661762,0.0185569733,99.5854125,38.94174401125,-8.8546677,0,2.10915,4.1376,-102.047355,-2.9186624,-0.1480873,192.8024175,269.672885,-21.73,-7.479438625,391.8166668,-2.52808215,-24.95375,-33.325,-11.92982225,-0.873661375,0.084259125,0.08521975,0.028219375,-1.8120982,392.27125,394.187916425,395.208333,395.19874985,-20.868121,-16.3938512,-36.4495,2013.421
