DOY2,HR2,G,PPFD_IN,TS_1_2_1,TS_1_1_1
1,0.25,-17.187375,-0.289,-3.409325,-3.676325
1,0.75,-17.442,-0.289,-3.4115,-3.6834
1,1.25,-17.552875,-0.289,-3.414475,-3.689375
1,1.75,-17.495875,-0.289,-3.417375,-3.696725
1,2.25,-19.942775,-0.289,-3.421175,-3.702075
1,2.75,-19.424575,-0.289,-3.42135,-3.70815
1,3.25,-17.469625,-0.289,-3.424875,-3.715675
1,3.75,-16.400825,-0.289,-3.428125,-3.721125
1,4.25,-17.530975,-0.289,-3.4322,-3.726125
1,4.75,-20.04975,-0.289,-3.4359,-3.7342
1,5.25,-23.403125,-0.289,-3.4406,-3.740475
1,5.75,-29.171375,-0.289,-3.444125,-3.74765
1,6.25,-43.683775,-0.289,-3.447825,-3.7541
1,6.75,-56.5573,-0.289,-3.448925,-3.761825
1,7.25,-65.4017,0,-3.446775,-3.767275
1,7.75,-77.93055,1.0723,-3.4458,-3.773825
1,8.25,-38.445375,9.475,-3.44555,-3.779
1,8.75,-14.827625,26.1053,-3.44395,-3.783825
1,9.25,-14.233875,41.1428,-3.44235,-3.7891
1,9.75,-33.449775,59.4828,-3.4402,-3.79355
1,10.25,-24.804425,101.0309,-3.44005,-3.79855
1,10.75,-15.293,137.9144,-3.437625,-3.801825
1,11.25,-31.452325,163.5852,-3.435475,-3.80255
1,11.75,-17.067275,165.9319,-3.43205,-3.80445
1,12.25,-10.047575,170.365,-3.428175,-3.8019
1,12.75,-9.610525,153.5314,-3.4252,-3.799525
1,13.25,-9.24005,123.3988,-3.42085,-3.794325
1,13.75,-9.220275,94.4253,-3.42185,-3.788675
1,14.25,-9.393075,86.8339,-3.420575,-3.781025
1,14.75,-9.462125,71.3333,-3.4183,-3.77365
1,15.25,-9.49215,49.1399,-3.4163,-3.764275
1,15.75,-9.6249,27.6413,-3.412925,-3.75275
1,16.25,-9.90205,8.9243,-3.40865,-3.74195
1,16.75,-10.2555,1.159,-3.4061,-3.732325
1,17.25,-10.60015,0,-3.40055,-3.72035
1,17.75,-10.89995,-0.289,-3.39655,-3.71145
1,18.25,-11.115775,-0.289,-3.39255,-3.703375
1,18.75,-11.2737,-0.289,-3.388825,-3.698025
1,19.25,-11.411675,-0.289,-3.389175,-3.692575
1,19.75,-11.524875,-0.289,-3.388075,-3.6885
1,20.25,-11.857375,-0.289,-3.388425,-3.684425
1,20.75,-12.23075,-0.289,-3.390775,-3.68035
1,21.25,-12.563,-0.289,-3.393675,-3.679
1,21.75,-12.765375,-0.289,-3.396025,-3.6772
1,22.25,-12.96975,-0.289,-3.39865,-3.67485
1,22.75,-13.12975,-0.289,-3.40245,-3.673775
1,23.25,-13.26575,-0.289,-3.404075,-3.670425
1,23.75,-13.415375,-0.289,-3.4067,-3.6717
2,0.25,-4.87055,0,-4.0741,-3.6746
2,0.75,-4.918275,0,-4.06975,-3.6717
2,1.25,-4.952225,0,-4.0625,-3.66645
2,1.75,-5.02,0,-4.057425,-3.66455
2,2.25,-5.046525,0,-4.056075,-3.663925
2,2.75,-5.09245,0,-4.052,-3.662125
2,3.25,-5.123475,0,-4.049825,-3.661775
2,3.75,-5.1626,0,-4.048025,-3.6606
2,4.25,-5.201175,0,-4.0483,-3.661425
2,4.75,-5.2417,0,-4.04695,-3.661975
2,5.25,-5.277025,0,-4.046775,-3.663075
2,5.75,-5.32695,0,-4.044875,-3.6649
2,6.25,-5.349525,0,-4.04425,-3.666275
2,6.75,-5.382075,0,-4.044625,-3.668
2,7.25,-5.417525,2.029,-4.04445,-3.6691
2,7.75,-5.45805,7.968,-4.044375,-3.67065
2,8.25,-5.477125,17.819,-4.04665,-3.6712
2,8.75,-5.519725,33.175,-4.0512,-3.683275
2,9.25,-5.54965,35.348,-4.066075,-3.6947
2,9.75,-5.57545,44.475,-4.08195,-3.7074
2,10.25,-18.208975,51.4285,-4.10145,-3.72155
2,10.75,-5.58835,56.6435,-4.1166,-3.7347
2,11.25,-5.592075,69.8265,-4.133925,-3.7473
2,11.75,-16.393525,76.201,-4.148425,-3.75935
2,12.25,-20.615225,84.893,-4.15875,-3.769325
2,12.75,-44.1891,77.215,-4.172075,-3.7782
2,13.25,-14.714875,85.617,-4.182675,-3.784625
2,13.75,-25.099475,79.5325,-4.195,-3.79105
2,14.25,-8.357525,90.977,-4.2037,-3.7962
2,14.75,-11.079425,84.0235,-4.206025,-3.7989
2,15.25,-15.8995,78.9535,-4.209175,-3.80015
2,15.75,-57.02435,71.275,-4.211775,-3.801575
2,16.25,-80.473125,47.662,-4.212925,-3.80055
2,16.75,-79.3905,24.193,-4.20865,-3.794925
2,17.25,-4.7258,9.127,-4.20295,-3.7884
2,17.75,-4.627925,0.15225,-4.1928,-3.780425
2,18.25,-4.541375,0,-4.18455,-3.771
2,18.75,-9.8093,0,-4.1744,-3.76075
2,19.25,-18.265475,0,-4.164425,-3.7515
2,19.75,-25.0299,0,-4.153175,-3.740975
2,20.25,-29.002625,0,-4.141475,-3.732
2,20.75,-32.30545,0,-4.131775,-3.72175
2,21.25,-4.534125,0,-4.12225,-3.71295
2,21.75,-4.58245,0,-4.114175,-3.704875
2,22.25,-4.645575,0,-4.10365,-3.697525
2,22.75,-4.6969,0,-4.0954,-3.69145
2,23.25,-4.762025,0,-4.0867,-3.684475
2,23.75,-4.807125,0,-4.08045,-3.67895
3,0.25,-77.514375,0,-3.7,-3.43665
3,0.75,-85.699825,-0.093925,-3.69165,-3.4381
3,1.25,-95.824025,0,-3.692275,-3.43755
3,1.75,-48.490525,0,-3.690925,-3.437475
3,2.25,-26.12,-0.093925,-3.688225,-3.438675
3,2.75,-6.819225,0,-3.6857,-3.439775
3,3.25,-4.086125,0,-3.68345,-3.436975
3,3.75,-4.168475,0,-3.681925,-3.43745
3,4.25,-4.2394,-0.093925,-3.680225,-3.437375
3,4.75,-4.307,-0.093925,-3.67825,-3.4373
3,5.25,-4.378225,0,-3.676825,-3.4365
3,5.75,-30.896475,-0.093925,-3.676675,-3.4387
3,6.25,-28.0913,0,-3.676525,-3.43845
3,6.75,-26.820325,4.057,-3.67665,-3.4392
3,7.25,-15.2867,21.78895,-3.674225,-3.44095
3,7.75,-8.88525,57.1799,-3.675625,-3.442875
3,8.25,-9.493325,93.375325,-3.6781,-3.444625
3,8.75,-32.5534,109.69415,-3.67795,-3.444375
