DOY2,HR2,USTAR,TA_1_1_1,WS,FC,H,LE,G,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA_1_1_1,CO2,VPD_1_1_1,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O
1,0.25,0.2225,-0.317,2.663,0.1575,-17.747,1.492,-11.219,1.962,2.8855,78.5,94.57,365.952,1.13,-48.2695,0,-1.524,0,1.3655,248.3405,310.0555,7.943
1,0.75,0.199,-0.3885,2.843,0.161,-22.169,1.015,-11.6745,1.886,2.812,79.9005,94.5515,365.232,1.02,-48.8965,0,-1.4565,0,1.352,247.8785,309.0145,7.953
1,1.25,0.225,-0.576,2.667,0.1225,-22.149,1.626,-11.287,1.855,2.7395,80,94.5265,363.906,0.99,-48.3805,0,-1.4875,0,1.343,247.0025,307.8945,7.9675
1,1.75,0.2375,-0.7,2.59,0.0705,-19.7105,1.83,-11.278,1.8205,2.664,82.15,94.5385,364.822,0.975,-47.304,0,-1.4615,0,1.353,249.353,306.9805,8.242
1,2.25,0.2255,-1.118,2.73,0.1665,-20.7395,2.3395,-11.435,1.763,2.607,82.2,94.57,366.34,0.92,-47.753,0,-1.5015,0,1.295,249.287,306.12,7.993
1,2.75,0.236,-1.341,2.859,0.1585,-21.5635,1.939,-11.2,1.709,2.5665,81.401,94.5955,367.38,0.88,-47.6555,0,-1.448,0,1.221,250.1275,306.9545,7.952
1,3.25,0.256,-1.44,3.086,0.097,-17.4525,2.952,-11.238,1.6855,2.525,82.301,94.611,367.277,0.86,-46.93,0,-1.438,0,1.2175,246.8085,305.896,7.922
1,3.75,0.225,-1.306,2.823,0.174,-14.074,2.322,-11.377,1.666,2.48,82.7,94.596,367.188,0.83,-46.208,0,-1.434,0,1.283,249.49,306.6415,7.899
1,4.25,0.22,-1.116,2.589,0.096,-13.413,1.987,-11.508,1.624,2.4485,84.401,94.5265,367.037,0.81,-46.9385,0,-1.508,0,1.245,249.6985,305.7825,7.9335
1,4.75,0.229,-1.422,2.687,0.0945,-14.18,1.484,-11.3995,1.5695,2.407,85.2,94.562,364.715,0.76,-46.555,0,-1.3955,0,1.292,248.304,304.85,7.9055
1,5.25,0.205,-1.495,2.509,0.056,-13.702,1.684,-11.578,1.5075,2.365,85.801,94.564,365.729,0.71,-46.7705,0,-1.382,0,1.344,245.1575,304.831,8.0885
1,5.75,0.2035,-1.768,2.624,0.026,-14.343,2.165,-11.8915,1.469,2.329,84.7,94.5495,365.875,0.7,-45.1635,0,-1.315,0,1.3655,246.2025,304.1625,8.057
1,6.25,0.212,-2.107,2.483,0.084,-13.548,1.119,-12.1945,1.4315,2.282,84.401,94.5795,366.29,0.71,-44.737,0,-1.378,0,1.3195,249.6995,304.6175,7.984
1,6.75,0.213,-2.07,2.616,0.1,-15.487,0.995,-12.427,1.381,2.2475,85.3005,94.567,365.806,0.72,-45.95,0,-1.5245,0,1.229,245.493,302.8455,7.812
1,7.25,0.208,-2.707,2.699,0.05,-13.424,1.273,-12.7645,1.318,2.227,84.7005,94.5695,368.0765,0.74,-44.6225,0.23,-0.7115,0,1.389,247.353,300.806,7.9275
1,7.75,0.217,-2.678,2.589,0.028,-13.831,1.0945,-12.6,1.266,2.198,85.3,94.5935,369.747,0.6,-38.81,14.577,6.9005,1.9635,3.26,247.183,303.4775,7.858
1,8.25,0.232,-1.8785,2.787,0.0505,-8.1075,5.355,-11.403,1.2275,2.1795,83.7505,94.6095,371.1525,0.695,-19.674,82.558,63.9465,10.66,16.0665,245.5885,307.4575,7.97
1,8.75,0.255,-1.1165,3.396,-0.0575,4.847,11.081,-9.1765,1.2095,2.171,78.801,94.6265,368.712,0.92,11.1905,201.7505,133.8755,23.5765,26.0075,246.239,315.4355,8.119
1,9.25,0.264,-0.1095,3.244,-0.0685,30.003,16.0125,-6.683,1.195,2.176,76.2,94.62,367.698,1.27,43.9165,345.245,232.9955,38.1055,38.687,248.383,322.6085,8.158
1,9.75,0.2865,0.675,3.518,-0.274,47.117,19.518,-4.9965,1.243,2.1915,72.7505,94.6535,366.602,1.63,83.765,470.7705,311.15,51.2095,49.131,249.2355,331.7695,8.5175
1,10.25,0.282,1.9,3.507,-0.3005,78.4885,24.573,-2.546,1.398,2.1915,67.9705,94.671,365.999,2.135,125.585,593.9905,396.145,64.7145,62.984,253.3365,343.04,8.406
1,10.75,0.299,3.015,3.512,-0.4125,103.358,25.878,0.9355,1.525,2.1755,62.58,94.656,365.4545,2.85,163.85,713.7305,466.215,75.16,73.115,255.0605,355.8695,8.851
1,11.25,0.321,4.5885,3.7935,-0.3435,121.2175,27.113,5.178,1.6345,2.2045,58.881,94.6655,365.002,3.54,199.52,808.2455,526.4055,82.708,81.389,259.566,366.2515,8.8505
1,11.75,0.3205,5.4755,3.904,-0.468,140.202,30.0665,9.7475,1.7975,2.2405,56.71,94.625,364.3485,4.18,220.436,860.2955,558.1805,88.223,86.9015,263.9435,373.1545,9.0295
1,12.25,0.328,6.523,3.9055,-0.3825,147.7975,30.2485,13.067,2.078,2.4,51.85,94.548,364.243,4.69,236.31,896.86,577.641,92.471,92.075,266.967,380.74,8.971
1,12.75,0.3445,7.33,4.083,-0.418,150.287,28.748,15.382,2.295,2.372,48.13,94.46,363.954,5.31,237.571,913.11,582.43,93.718,93.045,267.416,387.827,8.525
1,13.25,0.356,7.881,4.287,-0.3085,146.9655,28.311,18.531,2.591,2.4,47.5555,94.426,363.1325,5.445,223.691,891.381,565.12,93.546,92.83,270.777,390.691,8.6945
1,13.75,0.329,8.631,4.123,-0.45,140.554,27.706,19.851,2.889,2.418,46.1605,94.404,363.1535,5.955,207.15,850.091,540.24,90.332,91.501,274.105,393.07,8.7335
1,14.25,0.345,9.11,4.262,-0.289,127.187,24.816,18.557,3.167,2.581,45.1155,94.357,363.801,6.155,181.4,806.23,495.041,86.213,85.256,272.906,391.29,8.907
1,14.75,0.329,9.43,4.1015,-0.227,111.7,22.457,17.65,3.423,2.657,44.34,94.334,362.798,6.37,144.39,701.48,433.921,78.753,77.2225,273.297,389.012,9.071
1,15.25,0.329,9.64,4.1155,-0.12,87.628,19.351,15.626,3.627,2.678,43.771,94.318,363.636,6.57,102.511,597.52,367.011,70.7815,68.279,272.09,382.297,8.8485
1,15.75,0.3145,9.81,4.119,-0.07,54.822,15.5565,13.772,3.731,2.907,44.12,94.341,363.618,5.95,56.257,452.65,281.4,58.2745,56.2005,272.348,374.981,8.697
1,16.25,0.312,9.271,3.909,-0.0595,22.811,10.838,8.75,3.846,2.994,44.9905,94.366,363.1325,5.96,14.886,311.58,189.9,43.938,46.1,271.683,366.563,8.518
1,16.75,0.257,9,3.379,0.067,-2.695,6.469,4.458,3.924,2.944,47.1955,94.405,363.715,5.41,-15.977,166.28,99.093,26.601,31.435,269.343,355.423,8.579
1,17.25,0.19,8.13,2.747,0.075,-17.257,2.034,-1.071,3.905,3.024,50.65,94.389,364.4505,4.985,-46.505,44.255,27.782,7.801,10.721,267.338,340.884,8.666
