DOY2,HR2,CO2,CO2_SIGMA,FC,SC,H2O,H2O_SIGMA,H,SH,LE,SLE,PA,RH,TA,T_SONIC,T_SONIC_SIGMA,VPD,PPFD_IN,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,TAU,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,G_1_1_1,G_1_2_1,G_1_3_1,G_1_4_1,TS_1_1_1,TS_1_2_1
1,0.25,403.477,2.88089131,2.464435,0.000832,13.6212,0.101803331,-9.06738,-0.3235205,-0.2268605,-0.0375,101.701,91.6428,13.78,16.097,0.264196896,1.12748,0,-35.9184,-2.309089,0.9426278,346.9628,375.1676,-0.0139,0.106164,0.338546895,0.3082207,0.124498996,1.03338,-8.865246,-14.73648,-9.943791,-7.613628,18.026,17.28359
1,0.75,403.392,2.499838746,2.592165,-0.010285,13.6503,0.121395242,-9.32207,-0.349212,0.173333,-0.144581,101.696,92.345185,13.32,15.528,0.255929678,0.955392,0,-37.13452,-2.2107,0.9547192,341.094,373.1875,-0.0151,0.111148,0.317951254,0.300832179,0.114891253,1.08467,-9.124933,-15.2599,-10.2792,-8.189031,17.927,17.25557
1,1.25,401.5665,2.5432034175,2.6098,0.00235,13.7456,0.115796339,-10.68075,-0.174612,0.451419,0.1340895,101.693,92.24758,13.15,15.551,0.2526311385,0.788895,0,-34.67364,-2.06265,0.934882,344.191,372.9941,-0.02055,0.130146,0.357468333,0.3132748445,0.131103847,1.032080581,-9.889478,-15.3627,-10.58774,-8.531269,17.834,17.24261
1,1.75,400.752,2.604573264,2.485485,0.04645,13.6684,0.130963256,-10.148,-0.291241,-0.861756,-0.130251,101.692,92.631,13.1685,15.368,0.2764007045,0.7769105,0,-35.5511,-2.340998,0.851158,347.3851,372.816,-0.021,0.1311925,0.344936292,0.332076932,0.131335807,1.048275,-10.19598,-15.5225,-11.58876,-9.292941,17.747,17.21523
1,2.25,400.309,2.704221728,2.36631,0.0139,14.1617,0.1473785055,-8.85102,-0.1951165,0.013207,0.05805,101.6835,92.72298,12.9275,15.1155,0.233237682,0.6293055,0,-31.9868,-2.06014,0.906701,347.371,371.3927,-0.0166,0.1177695,0.347828067,0.28518132,0.1222618145,1.045925,-10.2935,-15.2967,-11.82649,-9.894449,17.66,17.09354
1,2.75,399.943,3.28414446,2.90795,-0.0346,13.8065,0.159242877,-9.62158,-0.147859,-0.859651,-0.158257,101.6695,93.5733,12.659,14.6035,0.2543607315,0.542448,0,-29.12671,-1.99221,0.826489,346.619,371.7706,-0.0162,0.116109,0.385147714,0.3086193425,0.144395187,1.103525,-10.35838,-14.82,-11.8784,-10.20366,17.60383,17.12714
1,3.25,399.6145,3.122238159,2.148945,0.007945,13.40985,0.1766322915,-8.139425,-0.2906775,0.107004,-0.200311,101.665,94.6007,12.3825,14.484,0.2278455205,0.490844,0,-24.46654,-1.94244,0.8276779,351.866,370.5994,-0.0172,0.1181945,0.3466829775,0.257458567,0.1399959,1.13342,-10.97911,-15.18112,-11.79351,-10.37219,17.5,17.17749
1,3.75,400.7925,4.616785926,2.29312,-0.002725,13.6569,0.157829909,-10.7561,-0.117366,-2.196155,-0.011,101.664,94.116955,12.41,14.927,0.23130067,0.48819,0,-23.46252,-1.808853,0.9696633,353.736,371.116,-0.0212,0.130449,0.359487135,0.298496231,0.150332964,1.151577084,-11.03096,-15.94328,-11.5481,-10.42741,17.429,17.14566
1,4.25,404.8035,3.673723709,2.01015,0.0889,13.2391,0.164454703,-9.14613,-0.124658,0.02655,-0.122581,101.668,94.04302,12.12,14.412,0.240416306,0.603804,0,-22.57652,-1.93401,0.945335,352.059,371.5845,-0.0177,0.118226,0.318284464,0.26925824,0.131529464,1.1724015315,-11.48503,-15.46503,-11.0321,-10.7749,17.355,17.002
1,4.75,404.0755,3.345446722,2.01197,-0.0032545,13.3093,0.127233879,-9.13687,-0.240077,-0.609932,-0.158996,101.667,95.03579,11.94,14.692,0.246779254,0.661353,0,-20.36839,-2.094389,0.957628,352.3239,371.279,-0.023,0.136307,0.405589694,0.319732701,0.163401346,1.193524084,-11.57566,-16.0697,-12.11381,-11.20289,17.178,16.90321
