DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,TA,RH
1,0.25,-0.1936966,-42.97532,-12.243794,-4.08637425,0.2495396,0.03954,-13.382915,361.1565,0.5458411,0.1293816,0.1271422,0.03648,0.04136,-3.544399,0.000911914000000005,182.95909276,255.587498455,-0.035,-15.096,44.81
1,0.75,-0.1540574,-31.92348,-2.25825475,-6.386075,0.1448576,0.03072,-13.2389675,336.0312,0.453432125,0.131909,0.139378,0.0344,0.03672,-3.4965398,0.028667008,180.19086336,253.6051147375,-0.0182,-15.098,46.028
1,1.25,-0.156266375,-45.3324725,-3.1051695,-24.02565,0.246298875,0.0408825,-13.52204,362.9298,0.1805762,0.165159825,0.13447485,0.04093,0.04054,-3.611876,-0.031451244,176.5728796075,251.65857898,-0.017,-15.12,47.016
1,1.75,-0.163539,-38.819505,-0.92434155,-0.8957046,0.09946565,0.0424425,-13.9869,362.3768,0.3296474,0.135515075,0.143711675,0.0428025,0.03865,-3.5419234,-0.0380072452,173.46337532,249.52115814,-0.0244,-15.468,47.588
1,2.25,-0.1404359,-31.38918,-26.41826,-2.942926,0.1400049,0.0326475,-14.29258,362.0103,0.29212035,0.13565,0.13593895,0.036015,0.03372,-3.4577816,-0.08182122,172.025510515,248.44592912,-0.0144,-15.89,48.478
1,2.75,-0.188638425,-32.1237575,-0.3754904,-1.1659165,0.259998825,0.05728,-14.5963,362.4201,0.166671025,0.13395415,0.1581092,0.03988,0.0386525,-3.6277582,-0.1204029,172.31609993,247.82385288,-0.0208,-16.186,49.89
1,3.25,-0.25249035,-31.106675,-1.7708644,-16.61534,0.27306415,0.0413325,-15.03596,362.69675,0.1810939,0.1620601,0.09797,0.045805,0.0467275,-3.4897824,-0.08746058,171.29416146,246.12888492,-0.0186,-16.404,50.12
1,3.75,-0.23152175,-36.203235,-22.1431975,-11.18175,0.2514929,0.03358,-15.13934,362.83625,0.125704875,0.15840575,0.146543225,0.04793,0.0409575,-3.5503852,-0.117723378,172.61833233,245.64166706,-0.0248,-16.784,50.626
1,4.25,-0.205193825,-42.228935,-1.523376275,-9.092665,0.16846605,0.02143,-15.40434,351.9815,0.47810435,0.134697775,0.13822365,0.056105,0.0371975,-3.4801856,-0.083863632,173.680868165,244.17855376,-0.0274,-17.02,51.758
1,4.75,-0.192774275,-33.651855,-3.787633,-2.751074,0.183505225,0.0464375,-16.04082,361.8911,0.27973465,0.182836025,0.1524375,0.040065,0.042475,-3.9248598,0.004548532,172.6786598575,241.40125378,-0.0228,-17.266,52.388
1,5.25,-0.304073975,-40.3860275,-47.253355,-19.77997,0.228784925,0.04748,-16.57256,362.3051,0.60978295,0.1799391,0.137724275,0.0565325,0.0407975,-3.8715858,0.07040829,174.01141421,237.88845508,-0.0198,-17.708,54.156
1,5.75,-0.2735704,-42.1798875,-10.821915,-1.881715,0.2546536,0.054355,-16.93082,362.452,0.41420245,0.118678325,0.154088625,0.0418325,0.0441475,-3.7311788,0.06561362,175.8702980325,236.90117486,-0.0114,-18.334,56.644
1,6.25,-0.166445625,-44.887655,-15.393539075,-2.658843,0.193656775,0.031755,-17.5886,362.3808,0.703072975,0.150662825,0.1193255,0.031415,0.03596,-3.8997154,0.089213558,176.495036985,236.31027618,-0.0164,-18.752,58.926
1,6.75,-0.235171825,-27.228915,-2.29238475,-4.489557,0.280522675,0.0410525,-18.47486,362.4986,0.339775225,0.13868615,0.178255725,0.03263,0.04517,-4.3575118,0.13064064,176.94548751,235.02352282,-0.0198,-19.186,60.774
1,7.25,-0.2870905,-52.3793775,-0.2582611,-6.855682,0.198340525,0.0440825,-19.13544,362.9727,0.731467275,0.141601625,0.1231309,0.03788,0.039345,-4.2018716,-0.00199297999999999,175.2632554075,235.69350188,-0.0268,-19.86,60.268
1,7.75,-0.19184715,-28.7510325,-16.3675,-5.265059,0.31648495,0.03126,-19.13648,347.9549,0.4542575,0.154211725,0.1833526,0.03626,0.04344,-3.7357318,0.16934896,181.67713967,236.40629272,0.0376,-20.368,60.872
1,8.25,-0.1786,-53.1774525,-7.766255,-14.064268,0.329592175,0.03473,-19.04252,356.2705,0.4720825,0.186130275,0.161660025,0.0366625,0.0416825,-0.25375616,0.156513272,179.031261415,236.79885442,1.5472,-20.436,59.794
