DOY2,HR2,FC_1_1_1,CO2_1_1_1,H_1_1_1,LE_1_1_1,H2O_1_1_1,NEE_1_1_1,RH_1_1_1,T_SONIC_1_1_1,TAU_1_1_1,USTAR_1_1_1,WS_1_1_1,PA_1_1_1,TA_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_4
1,0.25,1.935048275,433.73043,17.5415375,8.13952474999999,7.259023,2.07125885,96.58,5.802225,-0.0041630065,0.918822185,4.05436,102.462,4.226075,5.21825,0,0.214199999999999,2.3569,328.32,330.91,0.4175,1.1153,1.7017,1.80625
1,0.75,1.45248795,432.958975,35.0502135,11.653245,7.3232205,2.204496675,96.6,5.52116999999997,-0.004297156925,0.9284036275,4.48871,102.466,4.09522499999999,5.052875,0,0.222399999999998,2.3186,328.11,332.12,0.427949999999999,1.0998,1.70535,1.8716
1,1.25,1.9521398,431.4014875,18.6247999999999,19.1433792499999,7.3060477,2.861413175,96.74,5.973375,-0.0036611917,0.954721005,4.329170525,102.5,4.00095,5.8565,0,0.319799999999999,2.2705,329.25,332.04,0.43475,1.11005,1.6977,1.903
1,1.75,2.2421935,430.757665,19.6695075,9.80648479999997,7.1922312,3.395451075,96.74,6.018615,-0.002799214,0.88225336,4.182505,102.5,4.07534999999998,5.68875,0,0.309999999999999,2.2292,328.45,332.89,0.4129,1.08495,1.7028,1.8578
1,2.25,1.81909395,431.95624,24.3826714999999,10.59781165,7.23286445,2.724650375,96.4,6.25618999999999,-0.00331518815,0.91321648,4.180987925,102.44,4.0351,6.262,0,0.284299999999998,2.243,326.41,332.4,0.423575,1.095375,1.698625,1.899375
1,2.75,1.990096125,432.403525,23.9220059999999,14.972834,7.23619965,2.8984234,96.54,6.2485,-0.00389189380000001,0.92943049,4.433345575,102.432,4.3737,6.527875,0,0.325599999999997,2.3006,328.28,333.34,0.4359,1.085125,1.702875,1.947625
1,3.25,1.9286914,430.9932,30.475261,25.0645935,7.05210579999999,2.7662058,96.4,6.81281749999999,-0.002111767525,0.91979954,4.468705675,102.424,4.3414,6.81425,0,0.3596,2.321,330.81,333.24,0.410675,1.069,1.70875,1.869375
1,3.75,1.706104725,430.82113,23.4836535,15.1360965,6.8761002,2.49919195,96.38,7.21865999999999,-0.003143780925,0.906280740000001,4.5045257,102.424,4.4565,7.02875,0,0.236799999999994,2.281,329.8,333.66,0.388349999999999,1.08835,1.713,1.89475
1,4.25,1.97349655,432.329335,24.6067712499999,12.2036465,6.9519916,3.0611656,96.08,4.62981000000001,-0.00349268007500001,0.941086205,4.420149625,102.4,4.07564999999999,7.91875,0,0.3417,2.3672,330.18,333.52,0.408975,1.09875,1.713,1.882625
1,4.75,1.31494075,432.422575,28.7722494999999,9.29154700000005,7.0121776,3.8964781,96.3,4.40013119999999,-0.003071293,0.91584558,4.308122,102.4,4.2959,7.048625,0,0.3094,2.2391,328.24,333.5,0.3895,1.0851,1.7115,1.838
1,5.25,1.599489,432.6453,22.2883809999998,9.33446847499996,6.880092475,3.61122275,96.56,5.10351000000001,-0.0028962092,0.931538625,4.652783525,102.394,4.4271,8.2825,0,0.563999999999999,2.2391,325.45,331.93,0.39455,1.10275,1.707875,1.7715
1,5.75,1.6906335,432.676505,32.403297,11.44751,6.98030005,2.58596015,96.68,4.28994,-0.00349106640000001,0.904517655,4.3499795,102.386,4.0149,9.92375,0,0.5837,2.3187,325.93,331.29,0.397075,1.091,1.70325,1.838875
1,6.25,1.6751154,431.89105,23.41214,19.4503195,6.926776725,1.866650675,96.46,4.72176,-0.00350432824999999,0.93108986,4.48942925,102.4,3.9243,10.6125,0,0.504599999999998,2.2746,323.57,331.11,0.3975,1.0732,1.7082,1.81535
