DOY2,HR2,FC,H,LE,TAU,TA,RH,NETRAD,SW_IN,SW_OUT,PPFD_IN,WS,USTAR,PA,G,TS_1_1_1
1,0.25,0.1,-14.4,0.8,-0.06,-1.4,74.25,-39.45,0,0,0,2.6,0.23,97.315,-12.6,2.4
1,0.75,0.1,-14.3,0.7,-0.084,-1.7,73.6,-40.35,0,0,0,2.68,0.26,97.31,-12.3,2.4
1,1.25,0,-12.8,0.4,-0.072,-1.9,74.95,-39.95,0,0,0,2.41,0.24,97.295,-12.65,2.35
1,1.75,0.1,-13.6,0.3,-0.066,-2.25,75.9,-39.5,0,0,0,2.5,0.235,97.29,-12.25,2.25
1,2.25,0.1,-11.5,0.6,-0.072,-2.2,76.45,-41.3,0,0,0,2.55,0.25,97.275,-12.45,2.15
1,2.75,0,-11.2,1.1,-0.072,-2.45,77.45,-39.5,0,0,0,2.53,0.24,97.27,-12.5,2.15
1,3.25,0.1,-13.4,0.55,-0.06,-2.45,76.75,-37.7,0,0,0,2.37,0.23,97.28,-12.6,2.05
1,3.75,0,-11.9,0.8,-0.06,-2.7,77.35,-37.7,0,0,0,2.35,0.21,97.26,-12.45,2
1,4.25,0,-11.5,1.2,-0.072,-2.95,78.15,-37.5,0,0,0,2.71,0.25,97.24,-12,1.95
1,4.75,0,-13.65,2.1,-0.084,-2.4,77.9,-37.35,0,0,0,2.61,0.265,97.235,-12.5,1.95
1,5.25,0,-12.1,1.1,-0.072,-2.7,78.3,-37.85,0,0,0,2.5,0.25,97.23,-13.3,1.85
1,5.75,0.1,-12.2,1.6,-0.084,-2.8,79.75,-39.1,0,0,0,2.78,0.27,97.265,-12.4,1.85
1,6.25,0,-13.1,1.95,-0.09,-3,80.15,-38.95,0,0,0,2.91,0.275,97.255,-12.4,1.75
1,6.75,0,-11.1,2.5,-0.09,-3.05,79.85,-37.75,0,0,0,2.97,0.275,97.265,-12.7,1.75
1,7.25,0,-9.1,2.4,-0.096,-3.4,80.2,-38,0.2,0,0,3.22,0.29,97.29,-13.4,1.75
1,7.75,0,-9.4,2.5,-0.084,-3.55,79.2,-29.05,11.3,3.05,17.3,3.11,0.27,97.305,-12.9,1.75
1,8.25,0,-2.5,4.55,-0.096,-3.6,79.15,-1.15,67.65,20.5,89,3.31,0.29,97.32,-13,1.65
1,8.75,0,13.3,10,-0.126,-2.5,75.1,36.8,148.1,36.2,234.6,3.9,0.325,97.315,-11.3,1.65
1,9.25,0,32.6,14.3,-0.156,-1.6,71.05,86,238.75,58.5,401.85,4.34,0.36,97.315,-10,1.65
1,9.75,0,59.4,16.85,-0.156,-0.75,68.1,137.75,302.7,73.55,549.8,4.51,0.37,97.335,-8.2,1.7
1,10.25,0,80.7,19.25,-0.168,0.3,62.85,170.85,376.8,89.3,671.95,4.69,0.38,97.345,-5.5,1.8
1,10.75,-0.1,100.8,18.1,-0.18,1.05,58.85,206.95,406.75,91.45,733.5,4.58,0.39,97.335,-2.15,1.95
1,11.25,-0.1,113.45,20.1,-0.198,1.7,54.45,251.8,485.45,109.6,881.35,4.49,0.41,97.32,-0.85,2.15
1,11.75,-0.05,137.3,18.65,-0.186,2.6,51.5,260.9,517.3,117.5,942.95,4.415,0.395,97.28,3.05,2.4
1,12.25,0.1,153.8,19.1,-0.21,3.65,50.6,288.55,533.8,122.1,998.3,4.63,0.42,97.22,6.3,2.5
1,12.75,0.05,151.75,19.1,-0.204,3.55,49.95,287.5,558.55,126.2,1020.85,4.56,0.41,97.185,6.7,2.8
1,13.25,0,147.75,18.85,-0.24,3.85,48.65,282.4,537.65,122.6,984.8,4.92,0.44,97.13,10.25,3.15
1,13.75,0,130.4,17.1,-0.21,3.95,46.85,247.55,485,113.3,881.85,4.77,0.42,97.1,10.2,3.3
1,14.25,0.05,129.2,15.15,-0.216,4.4,45.6,236.6,466.35,109.6,849.55,4.78,0.42,97.07,12.3,3.4
1,14.75,0,101.8,14.25,-0.204,4.9,44.75,192.9,409.6,94.55,735.3,4.615,0.41,97.065,10.05,3.55
1,15.25,0.1,83.8,13.2,-0.168,4.9,44.8,146.05,347.15,85.35,613.45,4.51,0.38,97.08,8.45,3.65
1,15.75,0,50.9,10.3,-0.18,4.85,44.8,88.65,267.65,70.95,458.1,4.505,0.39,97.09,6.05,3.7
1,16.25,0.1,17.45,8.4,-0.162,4.15,45.4,36.4,183.3,51.75,299.15,4.13,0.37,97.11,1.9,3.75
1,16.75,0.1,-6.25,5.2,-0.12,3.85,47.45,-2.55,92.2,29.6,139.9,3.855,0.31,97.1,-2.45,3.75
1,17.25,0.1,-16,1.3,-0.06,3.1,50,-42.15,23.7,8.35,36.45,2.55,0.22,97.135,-6.75,3.7
1,17.75,0,-14.1,0.25,-0.036,2,55.4,-46.6,1.25,0.15,1.5,2.06,0.19,97.13,-9.9,3.65
1,18.25,0.1,-12.25,0.1,-0.036,1.6,58.55,-44,0,0,0,1.885,0.16,97.155,-11.4,3.6
1,18.75,0,-10.7,0.2,-0.024,1.15,59.45,-43.2,0,0,0,1.915,0.15,97.19,-13.05,3.5
1,19.25,0,-11.05,0.4,-0.036,0.65,63,-41.5,0,0,0,1.94,0.16,97.175,-13.5,3.25
1,19.75,0.1,-15.9,0.45,-0.042,0.5,65.75,-42.2,0,0,0,2.12,0.195,97.17,-13.15,3.15
