DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,LE,H,G,SG,WS,USTAR,TAU,U_SIGMA,V_SIGMA,W_SIGMA,PA,TA_1_1_1,RH_1_1_1,TA_1_1_2,RH_1_1_2,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_1_2,TS_2_1_1,NETRAD_1_1_1,NETRAD_1_1_2,PPFD_IN,SW_IN_1_1_1,SW_OUT,LW_IN,LW_OUT
1,0.25,436.339375,1.750887,9.92107,0.0975451775,2.2767925,8.313558,-3.739324,-13.11616,-7.119284,2.2593875,0.391287275,-0.01311276,0.9920159,0.8131608,0.464225025,98.9352,11.14091,79.03951,11.25358,75.24212,5.95289275,13.6804275,0.62157545,13.60093,13.325745,15.0566275,-10.68558,-6.17572625,0.01772837,0.3289028,0.1545833,353.442025,364.879175
1,0.75,436.3312,2.1433555,9.52385875,0.1313004,2.127833,5.93456,-6.22890625,-12.3675625,-6.44590175,2.3152635,0.42396555,-0.014415675,1.064776,0.8029609,0.5163274,98.9531,11.13738,77.93881,10.916,72.7987775,5.769958,13.532615,0.562535,13.43279,13.242375,15.0597675,-9.214539,-6.8201535,0.017851395,0.3289028,0.160861125,356.466425,364.195275
1,1.25,438.8837,1.79167725,9.1872185,0.1364069,2.8740205,6.842314,-3.4645495,-14.60617,-6.3436525,2.45196525,0.4134133,-0.01357875,1.06245925,0.79026205,0.4961647,98.93505,11.28788,78.21724,10.56581,73.237805,5.5976765,13.2026875,0.557030175,13.32562,13.07861,14.971465,-7.884878,-5.3016865,0.01723249,0.3289028,0.18709725,354.467525,363.93285
1,1.75,440.864,2.0673885,9.068099,0.178832075,1.841031,8.611351,-3.20275375,-14.09175,-6.344836,2.6314325,0.4672632,-0.01133914,1.068242,0.7749505,0.4892631,98.9352,10.94049,79.04017,10.7412,74.1309,5.64122,13.091795,0.53533255,13.16773,12.898995,14.978595,-7.690719,-5.304102,0.017397995,0.3289028,0.1720139,352.490675,363.733725
1,2.25,438.171475,2.13582725,9.3596555,0.154120975,2.342769,7.25819825,-4.761033,-14.8467775,-5.510403,2.6216325,0.41550715,-0.012324305,0.97775835,0.74472415,0.48608755,98.94099,10.9168,81.171855,10.3537525,74.90253,5.497657,12.85563,0.48547305,13.17974,12.785025,14.9081825,-7.581742,-4.95129675,0.01854377,0.3289028,0.17930555,355.47455,361.411625
1,2.75,436.97755,1.919087,9.320217,0.1243884,2.2059115,9.217589,-2.453777,-14.54552,-5.777389,2.51802925,0.404984725,-0.0133239325,0.939631825,0.732391,0.45938375,98.92835,10.88358,79.414015,10.6388325,74.39666,5.3556095,12.32817,0.57394265,13.02151,12.581385,14.8670975,-6.773906,-3.9019345,0.0178744375,0.3289028,0.1716389,355.095125,361.184625
1,3.25,435.92445,1.825547,8.829412,0.117824475,1.691388,10.5204125,-2.78276575,-13.9558,-3.68467825,2.77993275,0.46117045,-0.01639911,1.0291905,0.7713016,0.48962445,98.90561,11.09024,79.32595,10.62191,73.64989,5.507115,12.6394,0.564219825,12.97561,12.51668,14.8257325,-7.4648,-5.711603,0.0177928725,0.3289028,0.181999975,354.644875,361.218125
1,3.75,436.025825,1.825935,8.89476525,0.10815795,2.096839,8.629024,-3.785466,-13.5656725,-3.48288025,2.892604,0.4552287,-0.01515323,1.100119,0.7915226,0.5309886,98.91704,10.99347,81.1367325,10.7516775,73.82539,5.6796655,12.54693,0.5613785,12.83713,12.51811,14.7496175,-7.077225,-7.500437,0.0183985775,0.3289028,0.1846875,356.797525,361.317275
1,4.25,435.1499,1.833016,8.593556,0.1034246,1.44896075,9.42323275,-3.3431815,-14.16098,-3.61073,2.544668,0.4192604,-0.011370805,1.01022075,0.7797443,0.53366515,98.9251,11.04879,80.3157,10.37015,73.31856,5.710766,11.9356375,0.539943875,12.84796,12.53037,14.7104425,-7.084946,-5.764618,0.0181878225,0.3289028,0.1746667,356.64875,361.0887
1,4.75,437.38615,1.9086835,7.474735,0.1073207,1.98507125,7.7721055,-2.690941,-12.493725,-2.60026975,2.741362,0.5021847,-0.009452533,1.124318,0.82168215,0.54815435,98.90496,10.72665,77.811275,10.01040575,73.37724,5.061668,12.049175,0.569004,12.73322,12.41751,14.6660475,-6.906572,-4.29083125,0.0186645775,0.3289028,0.183305525,356.1677,360.5667
