DOY2,HR2,CO2,FC,H2O,SC,H,LE,PA,RH,T_SONIC,TA,VPD,LW_IN,LW_OUT,NETRAD,SW_IN,SW_OUT,TAU,USTAR,WS,TS_1_1_1,TS_1_2_1,TS_1_3_1,CO2_SIGMA,H2O_SIGMA
1,0.25,431.723,1.13579,4.5506975,0.036925,-1.379285,5.62058,98.54425,91.7,1.9155,-2.0525,0.809407,284.095,300.36625,-5.9532225,-5.07131,-3.9304725,-0.02055,0.32560375,5.356025,-0.10525,0.045,-0.1,0.9749358615,0.067225622
1,0.75,430.8895,1.01435,4.46427,0.0331,0.876776,5.6213475,98.516175,90.7,1.38125,-2.44525,0.777702,281.784,299.45625,-5.7143725,-5.177,-4.1641225,-0.013825,0.317418,5.236185,-0.10525,0,-0.1,1.117773174,0.064091385
1,1.25,429.64325,1.21046,4.47029,0.039575,-0.276093,5.76649,98.475475,90.9,1.1755,-2.44975,0.815599,285.53775,298.45775,-6.1351075,-5.0365325,-4.08445,-0.01295,0.292913,5.365535,-0.1075,0,-0.1,1.08380074125,0.05957073325
1,1.75,430.8,1.18037,4.3304175,0.0427,-0.60898,5.59474,98.45525,91.689725,1.024,-2.598,0.7764235,285.4325,298.93325,-5.80004,-5.0980125,-4.18476,-0.015125,0.3030165,5.18564,-0.11275,0,-0.1,1.14357481,0.062024656
1,2.25,432.1715,1.158,4.33286,0.03215,-0.14550025,5.1997875,98.460225,91.255675,1.05875,-2.75075,0.736282,287.508,298.14225,-6.2244825,-5.3583825,-4.161645,-0.0163,0.298503,4.71475,-0.18575,0,-0.11725,0.973575557,0.05843910675
1,2.75,432.48125,1.13964,4.40994,0.0476,0.2965005,5.71272,98.46685,91.48425,1.00575,-2.65425,0.73703925,287.068,300.08,-7.177235,-5.4375425,-3.8650025,-0.0226,0.314596,4.979315,-0.1975,0,-0.14275,0.94555658125,0.061408962
1,3.25,432.8245,1.26388,4.4375,0.0395,-0.609525,4.6345,98.45005,91.5706,1.05375,-2.548,0.6865443325,287.0735,300.767,-6.542625,-5.70233,-3.9131625,-0.0199,0.329318,4.969065,-0.19825,0,-0.1655,1.102113371,0.056227429
1,3.75,432.618,1.0399175,4.4367375,0.0298,0.45612175,6.404305,98.4366,92.125,1.239,-2.648,0.688516,287.87375,300.49975,-4.944395,-5.83263,-4.0495075,-0.0181,0.3040735,4.90407,-0.19575,0,-0.186,1.076030637,0.0546189865
1,4.25,432.678,1.123245,4.4645975,0.037675,-0.396399,4.12968,98.445,92.59315,0.623,-2.614,0.70220475,285.3985,300.57475,-5.3289725,-5.7976125,-3.897675,-0.01645,0.31953275,4.70207,-0.19325,0,-0.18975,1.15833467575,0.0681969405
1,4.75,432.81725,1.045665,4.57389,0.0353,-0.8429055,3.6999175,98.46805,93.2202,0.66075,-2.77675,0.6757655,287.684,299.538,-6.8797675,-5.72678,-4.0184525,-0.01665,0.29857,4.515535,-0.19425,0,-0.18575,1.132726819,0.052583734
1,5.25,433.63575,1.2250175,4.54531,0.060775,-2.289515,4.5955425,98.43525,92.5,0.76875,-2.63125,0.70415725,287.6525,299.4235,-5.43416,-5.5728875,-4.0846075,-0.0187,0.30556175,4.625685,-0.2,0,-0.1845,1.2298481265,0.0597753015
1,5.75,434.03725,1.073065,4.584725,0.0307,-2.48765,4.1403,98.4349,92.4,1.0235,-2.532,0.672551,291.21675,301.5135,-7.93543,-5.3496175,-3.8109175,-0.0154,0.306774,4.50946,-0.19925,-0.00425,-0.1805,1.35965046625,0.0560756675
1,6.25,433.56775,1.2613,4.48857,0.049825,-1.10646,3.8301975,98.4216,92.25435,1.05,-2.687,0.66431675,284.2715,301.69575,-8.12883,-5.52284,-3.82676,-0.0158,0.2943,4.69285,-0.2,-0.01575,-0.17225,1.133186753,0.052898075
1,6.75,433.312,1.23801,4.46956,0.069425,-1.905435,4.189615,98.45,92.72155,0.994,-2.694,0.63659575,285.74325,301.44075,-7.46242,-5.36696,-4.0959525,-0.0206,0.297278,4.76946,-0.2,-0.02425,-0.16725,1.09957455625,0.062066492
1,7.25,433.947,1.04783,4.42116,0.0492,-1.45704,3.27019,98.4431,92.19785,0.875,-2.694,0.6319955,287.41575,301.6325,-6.8746325,-4.84923,-3.6474275,-0.020275,0.284598,4.62905,-0.2,-0.025,-0.15275,1.05445492875,0.059633979
1,7.75,434.035,1.462,4.380805,0.0438,-0.8743725,4.70242,98.437,91.73555,1.145,-2.42,0.649554,288.9905,301.50775,-5.3052675,3.31995,2.3869325,-0.0209,0.282928,4.60348,-0.2,-0.025,-0.1615,0.97991728075,0.057294531
1,8.25,434.457,1.7413,4.35482,0.03945,2.04968,5.91793,98.45345,91.4919,1.16,-2.462,0.69668325,290.25825,299.68225,1.5595325,59.0588,32.909625,-0.02395,0.277126,4.7491,-0.2,-0.0275,-0.18725,1.0324217215,0.0590640035
1,8.75,434.643,1.644535,4.51714,0.01965,5.40688,9.0733375,98.46125,91.775,1.4585,-1.98,0.789264,289.28075,302.87125,28.925675,156.707,80.915525,-0.0307,0.32019,5.120535,-0.2,-0.03075,-0.19,1.123217931,0.071962051
1,9.25,434.18075,1.4967275,4.68168,0.011,10.16865,10.889325,98.490925,90.8581,1.88425,-1.67975,0.8387435,289.3175,303.95775,52.91495,222.533,135.5335,-0.031425,0.337607,5.038925,-0.2,-0.0425,-0.19,1.151520647,0.0722417015
1,9.75,433.51,1.54995,4.8373225,0.01645,19.58815,13.7725,98.51405,89.8855,2.0895,-1.0335,0.882333,290.4615,307.25525,65.3118,315.924,193.715,-0.034125,0.351451,5.53843,-0.2,-0.02225,-0.19325,1.119415908,0.08754833025
1,10.25,432.918,1.334295,5.0382025,0.0101,27.0669,19.381,98.49495,89.136425,2.257,-0.80975,0.98570799,291.529,310.1245,90.0494,386.335,248.75025,-0.050175,0.347616,5.53878,-0.2,-0.02225,-0.19,1.086567485,0.1012690845
1,10.75,432.6705,1.503745,5.00842,-0.0003813,31.832925,19.500325,98.47255,88.45,2.4505,-0.393,1.081285,292.2305,312.7245,99.24105,440.02,291.28375,-0.0439,0.3386755,5.58381,-0.2,0.00025,-0.18425,1.17819791,0.105231731
1,11.25,432.30375,1.43117,5.122105,0.0070375,32.8455,20.8518,98.44785,88.1135,2.601,0.0925,1.278515,293.47225,314.58225,107.01525,477.26,311.153,-0.046575,0.34190875,5.680055,-0.2,0.0025,-0.156,1.1051069325,0.10355778325
1,11.75,430.44625,1.403775,5.18977,0.0075375,43.40815,28.735375,98.43425,86.5,2.8615,0.421,1.37019,287.987,316.01,109.431,514.141,352.25475,-0.048525,0.3565,5.631415,-0.19525,0.01225,-0.1615,1.046271682,0.11756150125
1,12.25,429.2875,1.55099,5.234955,0.009025,36.4812,24.70155,98.39505,86.74555,3.367,0.526,1.43992,285.27925,317.802,129.304,526.036,362.59975,-0.051575,0.364414,5.855415,-0.173,0.025,-0.18325,1.0432314775,0.11149960075
1,12.75,429.9535,1.41075,5.31634,0.0099875,34.0221,23.294,98.36145,85.475,3.9305,0.85825,1.6481875,288.4395,318.693,124.4235,502.553,361.72825,-0.048275,0.39378975,5.81314,-0.177,-0.05,-0.17,0.88220888,0.1231079235
1,13.25,430.2235,1.450615,5.366895,0.00871,35.12315,25.823225,98.331825,85.5821,4.16775,0.8575,1.705250325,287.855,318.41125,118.803,473.858,348.65475,-0.04775,0.3670135,5.878995,-0.147,-0.0035,-0.143,0.9889025235,0.120571656
1,13.75,430.055,1.39565,5.39506,0.0141,30.4151,26.069375,98.2969,84.73515,4.126,0.885,1.63069,290.691,318.327,102.314275,442.136,314.47075,-0.0463,0.373041,5.67401,-0.13,0,-0.147,1.1050367575,0.11321612975
1,14.25,429.18275,1.39487,5.3219475,0.007405,22.3793,23.8155,98.2893,85.94565,4.119,1.122,1.706115,285.847,318.362,88.41105,397.124,278.70575,-0.038725,0.364234,5.701015,-0.14,0,-0.127,0.821641882,0.112834002
1,14.75,428.14225,1.529475,5.152065,0.013725,19.4096,21.5563,98.303525,84.30465,4.37925,0.93825,1.73079,287.227,316.97225,58.20565,343.491,240.009,-0.0436,0.37419025,5.5902075,-0.107,0.0365,-0.147,0.756042289,0.105313801
1,15.25,427.841,1.6167375,5.31637,0.01985,17.07635,20.7072,98.30005,85.0179,4.405,0.857,1.70994283,284.85275,315.438,42.519,262.561,184.8955,-0.0428,0.340477,5.40831,-0.1,0.0835,-0.123,0.661097261,0.102660601
1,15.75,427.486,1.60427,5.25888,0.0238,7.77525,16.367175,98.3063,84.48755,4.459,0.7555,1.620465,285.84325,315.2805,20.63285,210.582,138.15925,-0.0338,0.364459,5.433705,-0.1,0.155,-0.113,0.648697744,0.099409156
1,16.25,427.69225,1.677955,5.248065,0.031,2.62053,11.84505,98.30365,85.4864,4.3675,0.68525,1.657365,285.9815,314.3655,6.2696375,128.586,80.88925,-0.031,0.36268275,5.416065,-0.1,0.1725,-0.13,0.75241483625,0.088265431
1,16.75,427.74325,1.4589025,5.20298,0.0329,-1.4359775,7.38965,98.333175,86.7164,3.74575,0.31725,1.43401698,282.119,311.517,-6.4811,47.2303,28.3106,-0.023975,0.349999,5.182975,-0.05275,0.15,-0.10325,1.00634607875,0.0723417315
1,17.25,428.084,1.1711725,5.08808,0.0602,-2.86621,6.086785,98.3542,86.68865,3.766,0.218,1.22614284,283.713,310.278,-9.11034,1.19023725,1.29639,-0.0157,0.321228,4.75699,-0.0325,0.15,-0.10425,1.306319901,0.0727712145
1,17.75,428.979,1.0967575,4.9636625,0.0609,-3.18105,5.7985725,98.378,87.6748,3.576,-0.145,1.10876,280.951,309.234,-10.5255,-5.4519775,-4.17689,-0.01655,0.284793,5.00356,-0.09775,0.1265,-0.10175,1.449899263,0.077084953
1,18.25,429.2025,1.1720575,4.902575,0.06,-2.784105,6.0474175,98.38875,89.01135,3.482,-0.15475,1.043305,285.115,307.879,-10.4541,-5.479075,-4.24563,-0.015425,0.267707,4.7552825,-0.09475,0.1,-0.1,1.368694489,0.062427639
1,18.75,430.03275,1.23578,4.87725,0.048,-2.76682,5.83184,98.401275,88.803675,3.568,-0.31225,0.9677805,286.7,306.286,-10.1828,-5.710775,-4.23413,-0.010775,0.27829875,4.89798,-0.07975,0.1,-0.1,1.536609789,0.06462202925
1,19.25,430.8115,1.24052,4.9304325,0.038125,-1.211045,5.24568,98.4158,89.203425,3.178,-0.2835,0.977514965,287.405,306.751,-10.0887,-5.31553,-3.99303,-0.0118,0.27861675,4.8058675,-0.07,0.1,-0.1,1.35172864925,0.0633813835
1,19.75,430.048,1.234455,4.8821,0.0401,-2.2176925,6.728095,98.4372,89.86375,2.8055,-0.4305,1.009375,286.043,306.484,-8.97568,-5.35244,-3.87646,-0.014875,0.27228425,5.00181,-0.04525,0.1,-0.10075,1.755294588,0.079912828
1,20.25,429.6165,1.218125,4.874145,0.04515,-1.820915,6.0832325,98.466775,90.6978,2.74275,-0.58,0.94840191,289.168,306.372,-8.58257,-5.1902725,-4.15959,-0.0131,0.29698425,5.0094175,-0.04,0.1,-0.1,1.29293250725,0.071182955
1,20.75,429.23425,1.204165,4.87933,0.045,-2.47238,5.5292,98.48045,90.4665,2.766,-0.7365,0.94227875,287.341,305.217,-8.58436,-5.3904975,-3.80358,-0.019075,0.282876,4.8919,-0.1,0.1,-0.1,1.288363674,0.0657336525
1,21.25,429.40225,1.088805,4.87584,0.04065,-2.900685,6.35972,98.49095,90.165625,2.6285,-0.90325,0.874553,287.391,304.217,-8.19508,-5.3105325,-3.7141,-0.0151,0.3074615,5.044325,-0.1,0.1,-0.1,1.20064703325,0.0730612385
1,21.75,429.941,0.98552125,4.842595,0.0519,-2.67854,6.13531,98.4856,90.8259,2.314,-1.174,0.90051925,286.946,304.436,-7.019,-5.2469,-3.64622,-0.0199,0.303799,5.31024,-0.1,0.1,-0.1,1.227010827,0.06914217625
1,22.25,430.0685,1.15218,4.7086525,0.03265,-0.939886,5.81127,98.4894,91.25405,2.342,-1.227,0.86964175,288.164,303.431,-6.98984,-5.21198,-3.68037,-0.016325,0.31749175,5.20311,-0.1,0.1,-0.1,1.107663844,0.0688644325
1,22.75,429.905,1.1258175,4.487655,0.03205,-1.21248,6.2644725,98.4956,91.203925,2.2185,-1.46325,0.912151,289.4,302.453,-6.56322,-5.2407725,-3.77291,-0.017,0.3216075,5.3108475,-0.1,0.1,-0.1,1.06819023,0.076544093
1,23.25,428.87925,1.042795,4.54901,0.0216,-1.51279,6.91944,98.49635,91.59795,2.12375,-1.5315,0.942941,289.938,301.778,-6.68663,-5.24431,-3.70971,-0.016025,0.314736,5.332735,-0.1,0.1,-0.1,0.9064787025,0.06365335375
1,23.75,430.65925,1.14198,4.683875,0.023,-2.2256675,6.211265,98.51425,92.03395,2.05275,-1.57625,0.8614845,288.026,301.192,-6.7294,-5.4205075,-3.88235,-0.016575,0.295132,5.30668,-0.1,0.08,-0.10825,1.023384899,0.06687533775
2,0.25,426.802,1.1915,4.899735,0.036275,-3.557745,6.976045,98.496425,87.666875,4.719,0.3245,1.1832225,253.41325,306.03225,-22.0235,-5.49981,-3.61905,-0.01335,0.290106,4.31211,0,0,0,1.245617658,0.0844006855
2,0.75,427.192,1.174435,4.888685,0.045975,-3.83405,6.8636825,98.487375,87.857225,4.20025,0.007,1.117170105,252.89075,305.5735,-28.1455,-5.72121,-3.67937,-0.0169,0.28044475,4.071405,0.0035,0,0,1.419006252,0.0723271
2,1.25,427.562,1.1590925,4.89376,0.03655,-3.64816,6.58495,98.49805,88.507275,4.1995,-0.02825,1.079107535,262.64925,305.3465,-14.2049,-5.66768,-3.61437,-0.0162,0.26824875,3.92952,0,0,0,1.323469881,0.0716820095
2,1.75,427.955,1.053345,4.855155,0.03135,-2.427395,5.44981,98.4899,88.8,3.8805,-0.62375,0.9751335,256.1125,304.8205,-20.7477,-5.63589,-3.74695,-0.0159,0.2419065,4.2596525,0,0,0,1.152246213,0.0704532185
2,2.25,428.452,1.2200325,4.76216,0.0408,-2.9726775,6.96886,98.4819,89.35915,3.427,-0.621,0.9946223875,264.3145,304.96975,-22.3018,-5.65549,-3.63726,-0.0133,0.27624375,4.54041,0,0,0,1.421706343,0.07324611
2,2.75,430.236,1.204795,4.730375,0.0378,-2.51195,5.647375,98.4752,89.285825,3.189,-0.9,0.9401515,267.72225,304.00425,-16.4921,-5.61625,-3.99722,-0.013525,0.291083,4.56674,0,0,0,1.1255906095,0.071881581
2,3.25,430.266,1.08844,4.6951575,0.0409,-1.6091,6.211385,98.4563,89.61325,2.988,-1.133,1.00705,263.127,303.41,-13.61,-5.54917,-3.94684,-0.0151,0.289813,4.40094,0,0,0,1.2433967245,0.06784513
2,3.75,430.847,1.13395,4.65591,0.0417,-1.56304,5.5908525,98.4405,89.9961,2.792,-1.4,0.902651,261.004,302.11275,-10.4719,-5.03813,-3.8535,-0.01485,0.279003,4.29698,0,0,0,1.139683984,0.05739141775
2,4.25,430.459,1.10073,4.667985,0.0351,-2.173395,5.15178,98.4537,89.523675,2.856,-1.343,0.89971125,260.86775,301.697,-9.31735,-5.24382,-3.90176,-0.014575,0.270994,4.20923,0,0,0,1.246505109,0.067130843
2,4.75,430.94725,1.17919,4.642375,0.03615,-0.39569175,5.30339,98.4669,89.0328,2.933,-1.262,0.86255,265.078,301.6165,-10.284875,-5.1053875,-3.92959,-0.0198,0.261236,4.11268,0,0,0,1.076658134,0.06485095275
2,5.25,431.2985,1.178975,4.5314,0.04285,-2.3838925,5.36745,98.473,88.5954,2.814,-1.262,0.8472365,269.56925,301.56975,-8.0426875,-5.513815,-4.2387,-0.0118,0.270918,4.18354,0,0,0,1.2629597685,0.061267424
2,5.75,432.15025,1.0870125,4.5365625,0.0537,0.15468725,5.3977675,98.4556,89.192075,2.552,-1.368,0.7977495,260.68925,301.66925,-8.70579,-5.44445,-4.01313,-0.0196,0.27165,4.20243,0,0,0,1.392767054,0.05848261725
2,6.25,434.15375,1.05056,4.503845,0.06505,-0.460552,6.504335,98.4504,89.499675,2.573,-1.43,0.79912625,256.474,301.693,-8.1941475,-5.4087525,-4.20072,-0.024625,0.279795,4.11337,0,0,0,1.255497088,0.06244128975
2,6.75,434.1395,1.23331,4.5055925,0.048125,-0.8848985,6.40197,98.457,89.225,2.497,-1.623,0.79169125,256.778,300.731,-7.2658125,-4.131555,-3.61089,-0.02115,0.283475,4.36295,0,0,0,1.190511734,0.0557078675
2,7.25,433.55225,1.410305,4.4556625,0.0363,-0.4442545,6.121295,98.4476,89.03735,2.177,-1.803,0.80168391,267.194,300.9755,-6.5614325,22.00945,2.25005,-0.0261,0.287703,4.25595,-0.0035,0,0,1.282259669,0.0589942245
2,7.75,431.616,1.4007675,4.531815,0.042725,5.060755,10.2335,98.47635,88.03285,2.10175,-1.169,0.851298,269.07525,303.9275,12.41735,87.756575,21.8271,-0.024575,0.282054,4.162415,-0.0105,0,-0.0045,1.389171149,0.08147941
2,8.25,430.373,1.45458,4.705945,0.04225,9.45501,14.199975,98.51765,87.397075,2.68,-0.621,0.9024355,275.5095,307.493,54.902225,170.652,61.7458,-0.0337,0.3112725,4.8160225,-0.044,0,-0.001,1.253512421,0.0993566265
2,8.75,429.683,1.4705925,4.7882875,0.01955,20.3594,21.92,98.5365,84.1444,3.463,0.05175,1.146895,267.15825,309.9535,93.772425,279.22525,110.414,-0.03715,0.333769,5.28102,-0.0485,0,-0.009,1.053002157,0.111270782
2,9.25,428.089,1.2625475,4.991975,0.006445,33.6434,29.104525,98.536725,83.175,3.9095,0.602,1.2704545275,269.42975,314.2585,144.92675,343.2125,155.956,-0.0402,0.363791,5.7877475,-0.038,0,-0.0155,1.145812369,0.137126641
2,9.75,428.1885,1.1585875,5.164475,0.008345,36.7414,36.336975,98.53005,80.03,4.6885,1.696,1.642609265,272.65525,316.845,203.1615,442.88625,212.363,-0.0371,0.365069,5.8593775,-0.0485,0,-0.0065,1.0772869215,0.133530277
2,10.25,427.047,1.10937,5.26011,0.00809,55.0145,46.305425,98.5604,79.749975,5.106,2.261,1.783885,271.8225,319.446,248.35125,517.23,254.747,-0.04835,0.390587,5.80142,-0.0475,0,-0.01,1.18824260375,0.154714294
2,10.75,426.35,1.06697,5.42473,0.00513,65.6679,48.821375,98.5346,78.39305,5.917,2.835,2.062995,272.06325,320.97,287.359,559.5875,296.558,-0.0576,0.39228,5.77062,-0.0285,0,-0.0065,1.316976211,0.17088609425
