DOY2,HR2,TAU,H,LE,FC,CO2,H2O,T_SONIC,PA,VPD,WS,USTAR,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_1_1_1,G_2_1_1,PPFD_IN,RH,TA,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,-0.006415674,-9.66154,2.0025,1.55989,454.37710915589,8.66275,7.33300000000002,102.431,0.855124,1.69846,0.0824038686435885,8.1,10.595,10.93,-22.37,-27.95,0,88.4,6.5375,-1.422,1.259,309.885,340.735
1,0.75,-0.00667,-8.1945,2.943435,1.67342,460.2655,8.25831,6.99800000000004,102.451,1.142215,1.70252,0.0723,7.899,10.505,10.94,-22.505,-25.17,0,88.5,6.3575,-1.446,1.124,308.96,337.335
1,1.25,-0.0109339365,-9.35363772617398,5.70136,1.48367,475.825265965156,8.2503142055949,6.69513428780953,102.41,0.954064733719986,1.726895,0.09425,7.737,10.395,10.945,-23.715,-26.63,0,88.95,6.051,-1.479,1.036,308.745,337.115
1,1.75,-0.0110870855,-11.11475,8.60707,1.57374627648442,474.29469969577,8.11741470370327,6.51320323758952,102.418,0.985691865613317,1.5833819248658,0.0934444748170888,7.582,10.305,10.955,-25.83,-26.645,0,88.55,5.9355,-1.554,1.022,311.04,335.61
1,2.25,-0.009997903,-8.00087,8.88946,2.17111,470.558460346918,8.04712,6.45070292854302,102.439,0.891739,1.53294502636755,0.09346872483656,7.411,10.22,10.97,-26.035,-28.36,0,89.4,5.859,-1.513,1.1085,308.3,335.345
1,2.75,-0.009764735,-10.42318,10.7424131902511,1.72364,471.838,8.01191286170716,6.25100000000003,102.4445,0.969644,1.67286803952071,0.0903676719978574,7.36,10.12,10.965,-26.795,-28.975,0,89.65,5.545,-1.479,1.1595,309.685,333.945
1,3.25,-0.0127171685,-11.0678,5.96405,1.34076505296566,469.83794346836,7.8537,5.77392371855802,102.4,1.11611821717182,1.78228629233461,0.1038815,7.218,10.025,10.95,-27.885,-28.855,0,89.9,5.322,-1.459,1.017,310.46,334.405
1,3.75,-0.009144753,-11.8770261359092,5.48753089778807,1.57738,473.183,7.28709375493982,5.98196298071104,102.437,1.635285,1.67994,0.0880353,7.089,9.96,10.945,-26.975,-28.34,0,90.45,5.5665,-1.202,1.0275,312.035,335.195
1,4.25,-0.009767655,-10.5443,3.17210303624704,1.20948,474.1617490844,7.31266749149204,5.97257748497852,102.431,1.53557821634419,1.69190273587735,0.0948,7.006,9.85,10.935,-26.93,-28.335,0,90.25,5.524,-1.157,1.1325,311.465,335.555
1,4.75,-0.0069715855,-7.94586882632632,6.43922,1.94281237246539,466.15171907537,7.19606825606341,5.76340350087451,102.426,1.62526472144662,1.59331491036507,0.0857187459909582,6.98,9.76,10.93,-26.4,-29.11,0,90.45,5.328,-1.1885,1.1055,310.865,335.665
