DOY2,HR2,CO2,FC,G_1_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TAU,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,T_CANOPY,T_SONIC,USTAR,U_SIGMA,VPD,V_SIGMA,WS,W_SIGMA,G_2_1_1,TA_1_1_3,TA_1_1_2,TS_1_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,G,TA
1,0.25,413.36635205,0.149609,-5.328,-10.234555405,4.167873976,2.933621532,270.5,295.8,-18.22,99.2173,-0.014,-0.01,82.4512895316114,0.008258315,-0.190766973,-0.038755471,-0.792,0.727,-0.140270663,-3.4365,0.3755,0.2,1.3,3.842,5,0.492,0.2,2.4835,4.7,3.892,-4.486,-1.828548064,0.352110439,0.71772523248956,0.670818900205504,0.531586136090374,2.21991,0.345455370688511,-5.93,-3.734,-3.4687265,4.75,2.056,2.563,3.113,3.627,4.124,4.704,5.207,5.878,6.947,2.73,3.31,3.815,4.403,4.985,5.298,5.704,6.184,7.03,-7.9275,-0.947
1,0.75,413.7421842,0.151820248,-6.262,-10.96334488,4.205058862,2.6939054055,271.3,295.45,-16.415,99.19119267,-0.008,-0.006,82.6581064081221,0.0111040035,-0.2,-0.03870684,-0.8285,0.7395,-0.142870402,-3.6405,0.375,0.2,1.3,3.8415,5,0.5165,0.2,2.4585,4.7,3.9005,-4.845,-2.125195408,0.36,0.73773735958196,0.642837526901095,0.559074141716588,2.292,0.354623933587081,-5.948,-3.8045,-3.4754025,4.7415,2.0265,2.5535,3.133,3.647,4.1335,4.714,5.197,5.877,6.947,2.7395,3.33,3.805,4.403,4.985,5.298,5.704,6.174,7.04,-8.47619777781192,-0.987
1,1.25,413.074287,0.135966748,-6.963835,-9.4135382055,4.05438594018028,2.235191459,270.1,294.3,-16.215,99.193920165,-0.009,-0.008,82.7,-0.006683164,-0.2445897025,-0.063445776,-0.799,0.7635,-0.133603015,-3.9605,0.3745,0.2,1.3,3.8665,5,0.4995,0.2,2.425,4.6835,3.9,-4.805,-2.123,0.344,0.721121518460762,0.6364973235,0.529411322130534,2.236574245,0.34374823868335,-6.003,-4.1885,-4.085564,4.75,1.9385,2.495,3.123,3.6565,4.1335,4.7135,5.197,5.867,6.947,2.671,3.34,3.785,4.403,4.985,5.3085,5.7145,6.184,7.0405,-8.445,-1.185
1,1.75,413.3096034,0.1417804455,-7.0485,-8.2998272505,4.19310722,2.924,271.2,294.65,-16.11,99.2071,-0.008,-0.009,83.1650140356998,0.006388335,-0.122272583,-0.0118147425,-0.706,0.739,-0.128628681,-3.8035,0.367,0.2,1.3,3.842,4.9995,0.4915,0.2,2.4415,4.7,3.8825,-4.631,-1.909471754,0.35147793,0.716106688978674,0.630097213093879,0.537425317,2.153000493,0.329977790161702,-6.015,-4.188,-3.761337,4.75,1.8995,2.485,3.113,3.6565,4.1335,4.714,5.197,5.867,6.947,2.6715,3.35,3.785,4.393,4.985,5.3085,5.704,6.184,7.0405,-8.40026111120052,-1.177
1,2.25,412.5642096,0.0654863165,-7.104155,-9.259064866,4.10896475,2.6466,274,294.85,-16.22,99.2206,-0.009,-0.008,83.2,0.004,-0.170195345,-0.059931017,-0.787,0.748,-0.132738676,-3.5745,0.391,0.2,1.3,3.817,4.992,0.458,0.2,2.4335,4.683,3.875,-4.683,-2.0000961115,0.359304,0.7365,0.623454763602365,0.515222219479397,2.06687141,0.328680394403363,-6.101,-4.1585,-3.477294,4.75,1.8125,2.465,3.103,3.647,4.143,4.714,5.207,5.867,6.947,2.6615,3.34,3.785,4.373,4.985,5.2985,5.704,6.184,7.0405,-8.36025,-1.1805
1,2.75,412.7644434,0.130560633,-7.16977,-10.35369409,4.113434307,2.536145,275.65,295,-15.27,99.231,-0.009,-0.009,83.75,0.009,-0.075891938,-0.0041005845,-0.7295,0.7405,-0.12818524,-3.4425,0.375,0.2,1.3,3.8665,4.983,0.4335,0.2,2.4585,4.683,3.8665,-4.772,-2.402893686,0.351156856,0.697073593377352,0.627231426257508,0.515838075494109,2.13379,0.319282996959313,-6.156,-4.0165,-3.4251425,4.733,1.7445,2.4555,3.0835,3.666,4.124,4.714,5.207,5.867,6.947,2.6515,3.33,3.785,4.373,4.985,5.3085,5.704,6.184,7.0405,-7.76104874973873,-1.073
1,3.25,413.0469684,0.132878052,-7.192925,-9.65573,4.047216631,2.65101715,274.4,294.7,-15.52,99.2213565,-0.01,-0.008,83.75,0.008999385,-0.134468997,-0.016,-0.661,0.681,-0.132630061,-3.642,0.3835,0.2,1.3,3.8,4.9675,0.4415,0.2,2.4415,4.6915,3.9,-4.834,-2.604536816,0.352602,0.71973929005899,0.595721513,0.523573268629996,2.098983263,0.33257952112191,-6.139,-3.9905,-3.6686975,4.742,1.7155,2.4655,3.0735,3.6565,4.143,4.724,5.207,5.8775,6.947,2.622,3.3105,3.785,4.373,4.985,5.3085,5.714,6.184,7.0405,-8.40763611119553,-1.144
1,3.75,412.7545,0.144,-7.199325,-9.3922930905,3.98635935568544,3.315225,275.15,294.4,-16.085,99.201,-0.007,-0.01,83.9,0.00333845,-0.088671546,-0.055378172,-0.715,0.7305,-0.139472638,-3.928,0.3755,0.2,1.3,3.8245,4.983,0.4335,0.2,2.4165,4.6915,3.875,-4.932,-2.810469108,0.353986206,0.698975450212667,0.589031915534304,0.519964850735124,2.1375710115,0.333,-6.12,-3.849,-4.024043,4.7335,1.657,2.4555,3.064,3.6565,4.1335,4.714,5.207,5.8775,6.947,2.5925,3.2905,3.785,4.373,4.985,5.3085,5.714,6.184,7.0405,-8.89475,-1.221
1,4.25,412.9436401,0.0913226265,-7.2445,-9.262109764,4.003797306,2.924,274.05,293.6,-13.885,99.23810066,-0.0095,-0.011,83.9093267785017,0.024488218,-0.134191405,-0.036977371,-0.6455,0.702,-0.13758243,-3.766,0.366,0.2,1.3,3.817,4.9905,0.4335,0.2,2.45,4.6915,3.8745,-5.063,-2.869424479,0.3516529795,0.696,0.57632651628218,0.530009080110898,2.07478,0.326983574511014,-6.1825,-4.044,-3.7852825,4.7335,1.589,2.407,3.034,3.647,4.124,4.704,5.207,5.857,6.947,2.5635,3.271,3.795,4.363,4.985,5.3085,5.714,6.184,7.0405,-7.46166444455653,-1.2235
1,4.75,412.777,0.1196238605,-7.26958,-11.374,3.969876903,2.791,273.6,293.6,-13.405,99.24087427,-0.008,-0.009,83.7,0.006496075,-0.1347017,-0.030509893,-0.6185,0.6875,-0.12591636,-3.759,0.383,0.2,1.3,3.8,4.9835,0.484,0.2,2.408,4.7,3.884,-5.062,-2.90131790007734,0.344022,0.667632825735823,0.571397011,0.505469590578899,2.144375,0.322965846491545,-6.2185,-4.3065,-3.7393425,4.709,1.5695,2.387,3.034,3.627,4.124,4.704,5.187,5.857,6.947,2.5435,3.251,3.795,4.363,4.985,5.3085,5.714,6.174,7.0405,-8.56106986120194,-1.3385
