DOY2,HR2,TS_1_1_1
6,15.25,9.965
6,15.75,9.92375
6,16.25,9.844
6,16.75,9.8395
6,17.25,9.833
6,17.75,9.78775
6,18.25,9.886
6,18.75,9.86
6,19.25,9.7795
6,19.75,9.6685
6,20.25,9.682
6,20.75,9.6805
6,21.25,9.57625
6,21.75,9.548
6,22.25,9.499
6,22.75,9.48575
6,23.25,9.438
6,23.75,9.472575
7,0.25,15.32175
7,0.75,15.2415
7,1.25,15.15
7,1.75,15.07025
7,2.25,14.86325
7,2.75,14.89725
7,3.25,14.82725
7,3.75,14.559
7,4.25,14.4595
7,4.75,14.3685
7,5.25,14.28875
7,5.75,14.20825
7,6.25,14.51925
7,6.75,15.0435
7,7.25,15.002
7,7.75,14.5305
7,8.25,13.939
7,8.75,13.70625
7,9.25,13.955
7,9.75,13.938
7,10.25,14.08125
7,10.75,14.243
7,11.25,14.375
7,11.75,14.538
7,12.25,14.8585
7,12.75,15.10525
7,13.25,15.155
7,13.75,15.389
7,14.25,15.51025
7,14.75,15.57325
7,15.25,15.666
7,15.75,15.74925
7,16.25,15.8225
7,16.75,16.013
7,17.25,16.128
7,17.75,15.978825
7,18.25,16.007875
7,18.75,16.12
7,19.25,15.985
7,19.75,15.9555
7,20.25,15.9025
7,20.75,15.975
7,21.25,15.87205
7,21.75,15.784
7,22.25,15.704
7,22.75,15.9595
7,23.25,15.519
7,23.75,15.4205
8,0.25,15.114
8,0.75,15.046
8,1.25,14.968
8,1.75,14.91125
8,2.25,14.854
8,2.75,14.788
8,3.25,14.727
8,3.75,14.65625
8,4.25,14.587
8,4.75,14.54
8,5.25,14.475
8,5.75,14.416
8,6.25,14.36
8,6.75,14.32
8,7.25,14.281
8,7.75,14.29625
8,8.25,14.34025
8,8.75,14.388
8,9.25,14.437
8,9.75,14.516
8,10.25,14.592
8,10.75,14.68
8,11.25,14.7975
8,11.75,14.9105
8,12.25,15.029
8,12.75,15.15
8,13.25,15.2665
8,13.75,15.3775
8,14.25,15.49175
8,14.75,15.5745
8,15.25,15.6215
8,15.75,15.6675
8,16.25,15.713
8,16.75,15.7465
8,17.25,15.76175
8,17.75,15.764
8,18.25,15.75225
8,18.75,15.71825
8,19.25,15.68325
